id,name,zoneType,aliases,h3Cells,anchorPoiIds,cellCount,shortDesc,description,locatedInAdminArea,nightActivity,latitude,longitude,coordinateSystem,h3Index,h3IndexCoarse,geoPrecision,picture,pictureDesc,sourceId,fieldSources,fieldUpdatedAt,batchId,externalIds,lastVerifiedAt,verifiedBy,dataQuality,contentHash,createdAt,updatedAt,lastSeenAt,referencedBy,archivedAt,archiveReason
zone_07edc7d964,贵安新区,产业新区,"[""amap:花溪大学城"",""amap:贵安新区"",""amap_regeo:花溪大学城""]","[""88400c0409fffff"",""88400c040bfffff"",""88400c0413fffff"",""88400c041dfffff"",""88400c0443fffff"",""88400c0451fffff"",""88400c0453fffff"",""88400c0455fffff"",""88400c0457fffff"",""88400c0459fffff"",""88400c045bfffff"",""88400c045dfffff"",""88400c0481fffff"",""88400c0483fffff"",""88400c0485fffff"",""88400c0487fffff"",""88400c0489fffff"",""88400c048bfffff"",""88400c048dfffff"",""88400c0491fffff"",""88400c0493fffff"",""88400c0495fffff"",""88400c0497fffff"",""88400c0499fffff"",""88400c049bfffff"",""88400c049dfffff"",""88400c04a1fffff"",""88400c04a3fffff"",""88400c04a7fffff"",""88400c04abfffff"",""88400c04adfffff"",""88400c04b1fffff"",""88400c04b3fffff"",""88400c04b5fffff"",""88400c04b7fffff"",""88400c04b9fffff"",""88400c04bbfffff"",""88400c04bdfffff"",""88400c04c1fffff"",""88400c04c3fffff"",""88400c04c5fffff"",""88400c04c7fffff"",""88400c04cbfffff"",""88400c04cdfffff"",""88400c04d1fffff"",""88400c04d3fffff"",""88400c04d5fffff"",""88400c04d7fffff"",""88400c04d9fffff"",""88400c04ddfffff"",""88400c04e3fffff"",""88400c04ebfffff"",""88400c0599fffff"",""88400c059bfffff"",""88400c0613fffff"",""88400c0619fffff"",""88400c061bfffff"",""88400c0631fffff"",""88400c0633fffff"",""88400c0653fffff"",""88400c0657fffff"",""88400c0683fffff"",""88400c0685fffff"",""88400c0689fffff"",""88400c068bfffff"",""88400c068dfffff"",""88400c0691fffff"",""88400c0693fffff"",""88400c0695fffff"",""88400c0697fffff"",""88400c0699fffff"",""88400c069bfffff"",""88400c06a1fffff"",""88400c06a3fffff"",""88400c06a5fffff"",""88400c06a7fffff"",""88400c06a9fffff"",""88400c06abfffff"",""88400c06adfffff"",""88400c06b1fffff"",""88400c06b5fffff"",""88400c06b7fffff"",""88400c06b9fffff"",""88400c06bbfffff"",""88400c06bdfffff"",""88400c06c1fffff"",""88400c06c3fffff"",""88400c06c5fffff"",""88400c06c7fffff"",""88400c06c9fffff"",""88400c06cbfffff"",""88400c06cdfffff"",""88400c06d5fffff"",""88400c06dbfffff"",""88400c06ddfffff"",""88400c06e1fffff"",""88400c06e3fffff"",""88400c06e5fffff"",""88400c06e7fffff"",""88400c06e9fffff"",""88400c06ebfffff"",""88400c06edfffff"",""88400c3023fffff"",""88400c3027fffff"",""88400c304dfffff"",""88400c3067fffff"",""88400c306bfffff"",""88400c3101fffff"",""88400c3105fffff"",""88400c3109fffff"",""88400c310dfffff"",""88400c3111fffff"",""88400c3113fffff"",""88400c3115fffff"",""88400c3117fffff"",""88400c311bfffff"",""88400c3121fffff"",""88400c3123fffff"",""88400c3127fffff"",""88400c3129fffff"",""88400c312bfffff"",""88400c312dfffff"",""88400c3133fffff"",""88400c3135fffff"",""88400c3137fffff"",""88400c313bfffff"",""88400c313dfffff"",""88400c3141fffff"",""88400c3143fffff"",""88400c3147fffff"",""88400c3149fffff"",""88400c314bfffff"",""88400c3151fffff"",""88400c3155fffff"",""88400c3159fffff"",""88400c315dfffff"",""88400c3163fffff"",""88400c3167fffff"",""88400c3169fffff"",""88400c316bfffff"",""88400c316dfffff"",""88400c31c5fffff"",""88400c31cdfffff"",""88400c31e5fffff"",""88400c31e9fffff"",""88400c31edfffff"",""88400c3303fffff"",""88400c3309fffff"",""88400c330bfffff"",""88400c330dfffff"",""88400c3311fffff"",""88400c331bfffff"",""88400c3323fffff"",""88400c3325fffff"",""88400c332dfffff"",""88400c3337fffff"",""88400c3339fffff"",""88400c3349fffff"",""88400c3351fffff"",""88400c3361fffff"",""88400c3367fffff"",""88400c336dfffff"",""88400c3a19fffff"",""88400c3a49fffff"",""88400c3a53fffff"",""88400c3a5bfffff"",""88400c3ad5fffff"",""88400c3ad9fffff"",""88400c3addfffff"",""88400ca925fffff"",""88400ca937fffff""]","[""area_amap_B0FFG7TLEV"",""area_amap_B0FFK3GEU0"",""area_amap_B0FFKCK9PF"",""area_amap_B0H2K583TS"",""area_amap_B0J0RAM4S8""]",171,,,admin_520111,,,,,,,none,,,src_grid_derive,,,grid-recompute-ctrip-hotel-20260916,"[""zone:amap:贵安新区""]",,,needs_review,448bc1b2778c5f719f567bb1f9427ae5c9138053f4b2c49f65a6b11606e611d5,2026-09-16,2026-09-16,2026-09-16,937,,
zone_dfebf59aee,花溪公园/十里河滩,商圈,"[""amap:花溪公园/十里河滩"",""amap:花溪大学城"",""amap:近贵阳恒大童世界 · 花溪夜郎谷"",""amap_regeo:徐家冲"",""amap_regeo:清水江路"",""amap_regeo:石板""]","[""88400c0083fffff"",""88400c008bfffff"",""88400c0091fffff"",""88400c0093fffff"",""88400c0099fffff"",""88400c009bfffff"",""88400c009dfffff"",""88400c00b1fffff"",""88400c00b5fffff"",""88400c00b7fffff"",""88400c00b9fffff"",""88400c00bdfffff"",""88400c00d1fffff"",""88400c00d3fffff"",""88400c00d5fffff"",""88400c00d7fffff"",""88400c00d9fffff"",""88400c00dbfffff"",""88400c00ddfffff"",""88400c0281fffff"",""88400c0283fffff"",""88400c0287fffff"",""88400c028bfffff"",""88400c0291fffff"",""88400c0293fffff"",""88400c0295fffff"",""88400c0297fffff"",""88400c0299fffff"",""88400c029bfffff"",""88400c029dfffff"",""88400c02b1fffff"",""88400c02b3fffff"",""88400c02b9fffff"",""88400c02bbfffff"",""88400c02bdfffff"",""88400c02d1fffff"",""88400c02d3fffff"",""88400c02d5fffff"",""88400c02d7fffff"",""88400c02d9fffff"",""88400c02dbfffff"",""88400c02ddfffff"",""88400c0403fffff"",""88400c0407fffff"",""88400c040dfffff"",""88400c0415fffff"",""88400c0417fffff"",""88400c0431fffff"",""88400c0435fffff"",""88400c0439fffff"",""88400c043bfffff"",""88400c043dfffff"",""88400c0441fffff"",""88400c0445fffff"",""88400c0447fffff"",""88400c0449fffff"",""88400c044dfffff"",""88400c0461fffff"",""88400c0463fffff"",""88400c0465fffff"",""88400c0467fffff"",""88400c0469fffff"",""88400c046bfffff"",""88400c046dfffff"",""88400c0541fffff"",""88400c0543fffff"",""88400c0545fffff"",""88400c0547fffff"",""88400c0549fffff"",""88400c054bfffff"",""88400c054dfffff"",""88400c0559fffff"",""88400c055bfffff"",""88400c055dfffff"",""88400c0625fffff"",""88400c0627fffff"",""88400c062dfffff"",""88400c0641fffff"",""88400c0645fffff"",""88400c0661fffff"",""88400c0665fffff"",""88400c0667fffff"",""88400c0669fffff"",""88400c066bfffff"",""88400c066dfffff"",""88400c0711fffff"",""88400c0713fffff"",""88400c0717fffff"",""88400c0719fffff"",""88400c071bfffff"",""88400c0721fffff"",""88400c0723fffff"",""88400c0725fffff"",""88400c0727fffff"",""88400c0729fffff"",""88400c072bfffff"",""88400c072dfffff"",""88400c0731fffff"",""88400c0733fffff"",""88400c0735fffff"",""88400c0737fffff"",""88400c0739fffff"",""88400c073bfffff"",""88400c073dfffff"",""88400c0745fffff"",""88400c0749fffff"",""88400c074dfffff"",""88400c0751fffff"",""88400c0753fffff"",""88400c0757fffff"",""88400c0759fffff"",""88400c075bfffff"",""88400c075dfffff"",""88400c0761fffff"",""88400c0765fffff"",""88400c0767fffff"",""88400c0769fffff"",""88400c076dfffff"",""88400c0e4bfffff"",""88400c1537fffff"",""88400c15a5fffff"",""88400c15adfffff"",""88400c15b7fffff"",""88400c15e5fffff""]","[""sa_112398"",""scenic_amap_B03530OTGJ"",""scenic_amap_B03530RNBF"",""ar_edfe4eb2f652"",""area_amap_B03530QO2N""]",124,,,admin_520111,,,,,,,none,,,src_grid_derive,,,grid-recompute-ctrip-hotel-20260916,"[""zone:amap:花溪公园/十里河滩""]",,,needs_review,ae7aea12e27c3a57093bd1e4954a235eba703900bea86d65c09f99d9efef97f2,2026-09-16,2026-09-16,2026-09-16,1764,,
zone_1f779d7377,白云公园/白云地区,商圈,"[""amap:白云公园/白云地区"",""amap_regeo:云峰大道"",""amap_regeo:龚家寨""]","[""88400c0db7fffff"",""88400c7001fffff"",""88400c7003fffff"",""88400c7005fffff"",""88400c7007fffff"",""88400c7009fffff"",""88400c700dfffff"",""88400c7013fffff"",""88400c7015fffff"",""88400c7017fffff"",""88400c7019fffff"",""88400c701bfffff"",""88400c701dfffff"",""88400c7021fffff"",""88400c7023fffff"",""88400c702bfffff"",""88400c7035fffff"",""88400c7037fffff"",""88400c703dfffff"",""88400c7047fffff"",""88400c704bfffff"",""88400c7051fffff"",""88400c7053fffff"",""88400c7055fffff"",""88400c7057fffff"",""88400c7059fffff"",""88400c705bfffff"",""88400c705dfffff"",""88400c706bfffff"",""88400c7081fffff"",""88400c7083fffff"",""88400c7085fffff"",""88400c7087fffff"",""88400c7089fffff"",""88400c708bfffff"",""88400c708dfffff"",""88400c7099fffff"",""88400c709dfffff"",""88400c70c1fffff"",""88400c70c3fffff"",""88400c70c5fffff"",""88400c70c7fffff"",""88400c70c9fffff"",""88400c70cbfffff"",""88400c70cdfffff"",""88400c70d1fffff"",""88400c70d3fffff"",""88400c70d5fffff"",""88400c70d7fffff"",""88400c70d9fffff"",""88400c70ddfffff"",""88400c70e1fffff"",""88400c70e3fffff"",""88400c70e9fffff"",""88400c70ebfffff"",""88400c70edfffff"",""88400c7233fffff"",""88400c7237fffff"",""88400c7285fffff"",""88400c7289fffff"",""88400c728bfffff"",""88400c7293fffff"",""88400c72a1fffff"",""88400c72a3fffff"",""88400c72a5fffff"",""88400c72a7fffff"",""88400c72a9fffff"",""88400c72adfffff"",""88400c72b5fffff"",""88400c72b7fffff"",""88400c72c3fffff"",""88400c72c7fffff"",""88400c72cbfffff"",""88400c72d1fffff"",""88400c72d3fffff"",""88400c72d5fffff"",""88400c72d7fffff"",""88400c72ddfffff"",""88400c72e1fffff"",""88400c72e3fffff"",""88400c72e5fffff"",""88400c72e7fffff"",""88400c72ebfffff"",""88400c72edfffff"",""88400c7625fffff"",""88400c7627fffff"",""88400c7711fffff"",""88400c7719fffff"",""88400c771bfffff"",""88400c7751fffff"",""88400c7753fffff"",""88400c7757fffff""]","[""area_amap_B0FFHOBBE1"",""area_amap_B0FFIZPGUA"",""area_amap_B0FFJ634CL"",""area_amap_B0FFKXMLXW"",""area_amap_B0FFLJY72K""]",92,,,admin_520113,,,,,,,none,,,src_grid_derive,,,grid-recompute-ctrip-hotel-20260916,"[""zone:amap:白云公园/白云地区""]",,,needs_review,5ab1577b3adcadeb311ea65f16eac8eb044bc2a5d2b4e2e57d16e159c4de7a4f,2026-09-16,2026-09-16,2026-09-16,845,,
zone_ebdbd4fa37,龙洞堡机场/东客站,交通枢纽片区,"[""amap:龙洞堡机场/东客站""]","[""88400c0021fffff"",""88400c0023fffff"",""88400c0025fffff"",""88400c0027fffff"",""88400c0035fffff"",""88400c0103fffff"",""88400c0111fffff"",""88400c0113fffff"",""88400c0115fffff"",""88400c0117fffff"",""88400c011bfffff"",""88400c011dfffff"",""88400c0131fffff"",""88400c0133fffff"",""88400c0137fffff"",""88400c0139fffff"",""88400c013bfffff"",""88400c0181fffff"",""88400c0183fffff"",""88400c0185fffff"",""88400c0187fffff"",""88400c0189fffff"",""88400c018bfffff"",""88400c018dfffff"",""88400c01a1fffff"",""88400c01a3fffff"",""88400c01a5fffff"",""88400c01a7fffff"",""88400c01a9fffff"",""88400c01abfffff"",""88400c01adfffff"",""88400c01b1fffff"",""88400c01b5fffff"",""88400c01b7fffff"",""88400c01b9fffff"",""88400c01bdfffff"",""88400c01c1fffff"",""88400c01c3fffff"",""88400c01c5fffff"",""88400c01c7fffff"",""88400c01c9fffff"",""88400c01cbfffff"",""88400c01cdfffff"",""88400c01d5fffff"",""88400c01e1fffff"",""88400c01e3fffff"",""88400c01e5fffff"",""88400c01e7fffff"",""88400c01e9fffff"",""88400c01ebfffff"",""88400c01edfffff"",""88400c0853fffff"",""88400c0a81fffff"",""88400c0a83fffff"",""88400c0a85fffff"",""88400c0a89fffff"",""88400c0a8bfffff"",""88400c0a8dfffff"",""88400c0a91fffff"",""88400c0a93fffff"",""88400c0a95fffff"",""88400c0a99fffff"",""88400c0a9bfffff"",""88400c0a9dfffff"",""88400c0aa9fffff"",""88400c0aadfffff"",""88400c0ab9fffff"",""88400c0ac3fffff"",""88400c0ac5fffff"",""88400c0ac9fffff"",""88400c0acbfffff"",""88400c0ad1fffff"",""88400c0ad3fffff"",""88400c0ad5fffff"",""88400c0ad7fffff"",""88400c0adbfffff"",""88400c0ae1fffff"",""88400c0ae3fffff"",""88400c0ae7fffff"",""88400c0ae9fffff"",""88400c0aebfffff"",""88400c0f41fffff"",""88400c0f49fffff"",""88400c0f4bfffff"",""88400c0f4dfffff""]","[""area_amap_B035301FVD"",""area_amap_B035301FXT"",""area_amap_B03530OYZH"",""area_amap_B03530P9KZ"",""area_amap_B0FFH0TADB""]",85,,,admin_520102,,,,,,,none,,,src_grid_derive,,,grid-recompute-ctrip-hotel-20260916,"[""zone:amap:龙洞堡机场/东客站""]",,,needs_review,4aedc65a81eef9f55bd87ea990775fce511dc2c1d0f2d6c375aca25ed7b296b2,2026-09-16,2026-09-16,2026-09-16,713,,
zone_8d7273ad2a,石板,商圈,"[""amap:石板"",""amap:花溪公园/十里河滩"",""amap_regeo:石板""]","[""88400c0421fffff"",""88400c0423fffff"",""88400c0425fffff"",""88400c0427fffff"",""88400c0429fffff"",""88400c042bfffff"",""88400c042dfffff"",""88400c0433fffff"",""88400c0437fffff"",""88400c04e1fffff"",""88400c04e5fffff"",""88400c04e7fffff"",""88400c04e9fffff"",""88400c04edfffff"",""88400c0503fffff"",""88400c0509fffff"",""88400c050bfffff"",""88400c0511fffff"",""88400c0513fffff"",""88400c0515fffff"",""88400c0517fffff"",""88400c0519fffff"",""88400c051bfffff"",""88400c051dfffff"",""88400c0531fffff"",""88400c0533fffff"",""88400c0535fffff"",""88400c0537fffff"",""88400c053bfffff"",""88400c0551fffff"",""88400c0553fffff"",""88400c0555fffff"",""88400c0557fffff"",""88400c0583fffff"",""88400c0585fffff"",""88400c0587fffff"",""88400c058bfffff"",""88400c058dfffff"",""88400c05a5fffff"",""88400c05a9fffff"",""88400c05abfffff"",""88400c05adfffff"",""88400c05c1fffff"",""88400c05c3fffff"",""88400c05c5fffff"",""88400c05c7fffff"",""88400c05c9fffff"",""88400c05cbfffff"",""88400c05cdfffff"",""88400c05d1fffff"",""88400c05d9fffff"",""88400c05ddfffff"",""88400c05e1fffff"",""88400c05e3fffff"",""88400c05e5fffff"",""88400c05e7fffff"",""88400c05e9fffff"",""88400c05ebfffff"",""88400c05edfffff"",""88400c0ec3fffff"",""88400c0ecbfffff"",""88400c0ed1fffff"",""88400c0ed3fffff"",""88400c0ed5fffff"",""88400c0ed9fffff"",""88400c0eddfffff""]","[""area_amap_B0FFJEAETX"",""area_amap_B0G07S3OU5"",""area_amap_B0G2NY1E27"",""area_amap_B0I26RK69A"",""area_amap_B0L01OGUWA""]",66,,,admin_520111,,,,,,,none,,,src_grid_derive,,,grid-recompute-ctrip-hotel-20260916,"[""zone:amap:石板""]",,,needs_review,cb3e9afcb41ae5b5bd2694fff7019a2b14e415e5684f888704f1026c277e2046,2026-09-16,2026-09-16,2026-09-16,435,,
zone_e4ba79490b,贵阳东站/新添寨/乌当地区,交通枢纽片区,"[""amap:贵阳东站/新添寨/乌当地区"",""amap_regeo:东风"",""amap_regeo:新添寨"",""amap_regeo:未来方舟""]","[""88400c0817fffff"",""88400c0823fffff"",""88400c0827fffff"",""88400c082dfffff"",""88400c0831fffff"",""88400c0833fffff"",""88400c0835fffff"",""88400c0837fffff"",""88400c0839fffff"",""88400c083bfffff"",""88400c083dfffff"",""88400c0883fffff"",""88400c0885fffff"",""88400c0891fffff"",""88400c0897fffff"",""88400c089dfffff"",""88400c08a1fffff"",""88400c08a3fffff"",""88400c08a5fffff"",""88400c08a7fffff"",""88400c08adfffff"",""88400c08b1fffff"",""88400c08b5fffff"",""88400c08b9fffff"",""88400c08bbfffff"",""88400c08bdfffff"",""88400c08c5fffff"",""88400c08edfffff"",""88400c0983fffff"",""88400c0987fffff"",""88400c0989fffff"",""88400c0999fffff"",""88400c099bfffff"",""88400c099dfffff"",""88400c09c3fffff"",""88400c09c9fffff"",""88400c09cbfffff"",""88400c09d1fffff"",""88400c09d3fffff"",""88400c09d9fffff"",""88400c09ddfffff"",""88400c0d25fffff"",""88400c0d61fffff"",""88400c0d6dfffff"",""88400c7203fffff"",""88400c720bfffff"",""88400c7215fffff"",""88400c7219fffff"",""88400c721dfffff"",""88400c7239fffff"",""88400c723bfffff"",""88400c7249fffff"",""88400c724bfffff"",""88400c724dfffff"",""88400c7255fffff"",""88400c725dfffff""]","[""hotel_ctrip_103265806"",""hotel_ctrip_130061959"",""hotel_ctrip_130930949"",""hotel_ctrip_134444515"",""hotel_ctrip_52949405""]",56,,,admin_520112,,,,,,,none,,,src_grid_derive,,,grid-recompute-ctrip-hotel-20260916,"[""zone:amap:贵阳东站/新添寨/乌当地区""]",,,needs_review,a165133400c6e4672cb90613c8c82904aea5f11b2613043e4267a8d38699e5ed,2026-09-16,2026-09-16,2026-09-16,1038,,
zone_d08524e777,观山湖世纪城/地质博物馆,商圈,"[""amap:观山湖世纪城/地质博物馆"",""amap:观山湖会展城/金融城"",""amap:诚信南路"",""amap:龙泉苑街"",""amap_regeo:金华镇"",""amap_regeo:龙泉苑街""]","[""88400c0c13fffff"",""88400c0c17fffff"",""88400c0c1bfffff"",""88400c0c3bfffff"",""88400c0c81fffff"",""88400c0c83fffff"",""88400c0c85fffff"",""88400c0c89fffff"",""88400c0c8bfffff"",""88400c0c8dfffff"",""88400c0ca5fffff"",""88400c0ca7fffff"",""88400c0cb1fffff"",""88400c0cb3fffff"",""88400c0cb5fffff"",""88400c0cb7fffff"",""88400c0cb9fffff"",""88400c0cbbfffff"",""88400c0cc1fffff"",""88400c0cc3fffff"",""88400c0cc5fffff"",""88400c0cc7fffff"",""88400c0ccbfffff"",""88400c0ccdfffff"",""88400c0cd5fffff"",""88400c0ce3fffff"",""88400c0cebfffff"",""88400c0d9bfffff"",""88400c0ea7fffff"",""88400c3921fffff"",""88400c3929fffff"",""88400c392dfffff"",""88400c3949fffff"",""88400c394bfffff"",""88400c3951fffff"",""88400c3959fffff"",""88400c3961fffff"",""88400c3965fffff"",""88400c3967fffff"",""88400c396dfffff"",""88400c3b07fffff"",""88400c3b15fffff"",""88400c3b23fffff"",""88400c3b2bfffff"",""88400c3b35fffff"",""88400c3b37fffff"",""88400c3b39fffff"",""88400c7649fffff"",""88400c764bfffff"",""88400c7651fffff"",""88400c7653fffff"",""88400c7659fffff"",""88400c765bfffff"",""88400c765dfffff""]","[""area_amap_B0FFFEFNMH"",""area_amap_B0FFFSF6YV"",""area_amap_B0FFHO5MOM"",""area_amap_B0FFIJXCRG"",""area_amap_B0FFKU10HN""]",54,,,admin_520115,,,,,,,none,,,src_grid_derive,,,grid-recompute-ctrip-hotel-20260916,"[""zone:amap:观山湖世纪城/地质博物馆""]",,,needs_review,1520b998f2307fd034321a8ef7c188ebf3a9ad1311bbb4eccfab9cdffecf9536,2026-09-16,2026-09-16,2026-09-16,1201,,
zone_58514568e1,城关,商圈,"[""amap:城关"",""amap:开阳 · 近云开广场 · 开阳县汽车客运站"",""amap:开阳 · 近开阳站 · 云开广场"",""amap:开阳 · 近开阳站 · 开阳县城乡规划馆"",""amap:开阳 · 近西江越农庄 · 云开广场"",""amap:近云开广场"",""amap:近云开广场 · 6+1科技馆"",""amap:近云开广场 · 启铃广场"",""amap:近云开广场 · 开洲大厦"",""amap:近云开广场 · 开阳县汽车客运站"",""amap:近云开广场 · 开阳站"",""amap:近云开广场 · 杭州丝绸"",""amap:近云开广场 · 西江越农庄"",""amap:近云开广场 · 贝贝游乐场"",""amap:近云开广场 · 顺舟画廊"",""amap:近开阳乐悠游海洋主题乐园(万象君汇店)"",""amap:近开阳县历史文化博览公园 · 开阳站"",""amap:近开阳站 · 云开广场"",""amap:近开阳站 · 开阳快铁站前广场"",""amap:近环湖公园 · 海翔开元大厦"",""amap_regeo:城关""]","[""88400ea249fffff"",""88400eb001fffff"",""88400eb003fffff"",""88400eb007fffff"",""88400eb00bfffff"",""88400eb015fffff"",""88400eb01dfffff"",""88400eb027fffff"",""88400eb02bfffff"",""88400eb031fffff"",""88400eb033fffff"",""88400eb035fffff"",""88400eb037fffff"",""88400eb039fffff"",""88400eb03bfffff"",""88400eb03dfffff"",""88400eb087fffff"",""88400eb089fffff"",""88400eb0a1fffff"",""88400eb0a3fffff"",""88400eb0a5fffff"",""88400eb0a7fffff"",""88400eb0a9fffff"",""88400eb0adfffff"",""88400eb0b5fffff"",""88400eb0c1fffff"",""88400eb0c3fffff"",""88400eb0c5fffff"",""88400eb0e1fffff"",""88400eb0e3fffff"",""88400eb0e5fffff"",""88400eb0e7fffff"",""88400eb0e9fffff"",""88400eb0ebfffff"",""88400eb0edfffff"",""88400eb189fffff"",""88400eb191fffff"",""88400eb195fffff"",""88400eb197fffff"",""88400eb199fffff"",""88400eb19bfffff"",""88400eb19dfffff"",""88400eb1b9fffff"",""88400eb1c3fffff"",""88400eb1cbfffff"",""88400eb1d1fffff"",""88400eb1d3fffff"",""88400eb1d5fffff"",""88400eb1d7fffff"",""88400eb1d9fffff"",""88400eb1dbfffff"",""88400eb1ddfffff""]","[""area_amap_B035301FUN"",""area_amap_B03530P2E5"",""area_amap_B03530P6X5"",""area_amap_B03530P8IQ"",""area_amap_B03530PQQN""]",52,,,admin_520121,,,,,,,none,,,src_grid_derive,,,grid-recompute-ctrip-hotel-20260916,"[""zone:amap:城关""]",,,needs_review,7bf5241be4f5e1fd0d5c1a2220d4b9a801dc3715a5543287e3d9a02c06ab2af7,2026-09-16,2026-09-16,2026-09-16,518,,
zone_c871634e68,扎佐镇,商圈,"[""amap_regeo:扎佐镇""]","[""88400c6141fffff"",""88400c614dfffff"",""88400c6325fffff"",""88400c6327fffff"",""88400c6329fffff"",""88400c632dfffff"",""88400c6361fffff"",""88400c6363fffff"",""88400c6365fffff"",""88400c7883fffff"",""88400c788bfffff"",""88400c7891fffff"",""88400c7893fffff"",""88400c7895fffff"",""88400c7897fffff"",""88400c7899fffff"",""88400c789bfffff"",""88400c789dfffff"",""88400c78c1fffff"",""88400c78c5fffff"",""88400c78c7fffff"",""88400c78c9fffff"",""88400c78cdfffff"",""88400c78d1fffff"",""88400c78d3fffff"",""88400c78d7fffff"",""88400c78d9fffff"",""88400c78dbfffff"",""88400c78e1fffff"",""88400c78e9fffff"",""88400c78ebfffff"",""88400c7a81fffff"",""88400c7a83fffff"",""88400c7a85fffff"",""88400c7a87fffff"",""88400c7aa1fffff"",""88400c7aa5fffff"",""88400c7aa7fffff"",""88400c7aa9fffff"",""88400c7aabfffff"",""88400c7aadfffff"",""88400c7ab1fffff"",""88400c7ab3fffff"",""88400c7ab5fffff"",""88400c7ab9fffff"",""88400c7abdfffff""]","[""area_amap_B035301FVX"",""area_amap_B03530QRPN"",""area_amap_B03530RNBL"",""area_amap_B0FFIPJW8D"",""area_amap_B0FFIRVARU""]",46,,,admin_520123,,,,,,,none,,,src_grid_derive,,,grid-recompute-ctrip-hotel-20260916,"[""zone:amap:扎佐镇""]",,,needs_review,219338473171efea64d98d1b0bdc45fb2b2d124be6af0fcb416e522b257b0e9c,2026-09-16,2026-09-16,2026-09-16,116,,
zone_acb394079f,观山湖会展城/金融城,商圈,"[""amap:观山湖会展城/金融城"",""amap:诚信南路"",""amap_regeo:龙泉苑街""]","[""88400c0d81fffff"",""88400c0d83fffff"",""88400c0d85fffff"",""88400c0d87fffff"",""88400c0d8bfffff"",""88400c0d95fffff"",""88400c0d97fffff"",""88400c0d9dfffff"",""88400c0da1fffff"",""88400c0da3fffff"",""88400c0da7fffff"",""88400c0dabfffff"",""88400c0db1fffff"",""88400c0db3fffff"",""88400c0db5fffff"",""88400c0db9fffff"",""88400c0dbbfffff"",""88400c0dbdfffff"",""88400c0dd7fffff"",""88400c7601fffff"",""88400c7603fffff"",""88400c7605fffff"",""88400c7607fffff"",""88400c7609fffff"",""88400c760dfffff"",""88400c7619fffff"",""88400c761dfffff"",""88400c7629fffff"",""88400c762bfffff"",""88400c762dfffff"",""88400c763dfffff"",""88400c7641fffff"",""88400c7643fffff"",""88400c7647fffff"",""88400c764dfffff"",""88400c7655fffff"",""88400c7661fffff"",""88400c7663fffff"",""88400c7665fffff"",""88400c7667fffff"",""88400c766dfffff"",""88400c7749fffff"",""88400c7759fffff"",""88400c775bfffff""]","[""area_amap_B0353035BU"",""area_amap_B03530P0M3"",""area_amap_B0FFF5QOF6"",""area_amap_B0FFFE4XKQ"",""area_amap_B0FFFEFLJ5""]",44,,,admin_520115,,,,,,,none,,,src_grid_derive,,,grid-recompute-ctrip-hotel-20260916,"[""zone:amap:观山湖会展城/金融城""]",,,needs_review,091d7d7dc20d3872e274126924a50ad3c5f93d15518fe32642b3b9ec9dc368c8,2026-09-16,2026-09-16,2026-09-16,2347,,
