,,,,,,,,,
贵阳市空间行政区数据结构化总表,,,,,,,,,
城市、行政区、商圈片区、H3 网格和地名别名按 Schema 完整字段导出；官方区划来源单独审核。,,,,,,,,,
,,,,,,,,,
Schema实体,中文名称,记录数,字段列数,可空间寻址,needs_review,ingestable,寻址覆盖率,主要空间方式,说明
City,城市,1,31,0,1,0,0,城市空间配置,工作簿全量
AdminArea,行政区,157,31,148,157,0,0.9426751592356688,层级/边界关系,市/区县/街镇三级，全量
Zone,商圈片区,171,34,170,171,0,0.9941520467836257,h3Cells,工作簿全量
GeoCell,H3网格,13011,44,13011,13011,0,1,H3 R8/R7 单元,全量见 CSV；工作簿分层样本 3714 条
PlaceAlias,地名别名,40106,24,40106,1673,38433,1,targetCell + targetCellR9,全量见 CSV；工作簿按目标类型样本 3247 条
,,,,,,,,,
,,,,,,,,,
框架检查项,满足数,总数,比例,说明,,关系类型,数量,用途,
官方行政区已核验,157,157,1,民政区划参照,,COLLECTED_IN,53446,采集批次,
H3 R8 骨架格,11297,13011,0.8682653139651064,细网格骨架,,REF_ADMIN_SCOPE,40086,地名解析行政区范围,
H3 R7 父格,1714,13011,0.13173468603489355,粗网格骨架,,REF_DOMINANT_ZONE,2409,网格主导商圈,
行政区边界歧义格,276,13011,0.021212819921604797,分区统计须按 POI 逐条计算,,REF_LOCATED_IN_ADMIN_AREA,13182,商圈/网格所属行政区,
已判定商圈格,2409,13011,0.18515102605487666,POI众数/逆地理/邻格传播,,REF_PARENT_ADMIN_AREA,156,行政区父子层级,
地名可一跳定位,40106,40106,1,R8 + R9 目标格,,REF_PARENT_CELL,11297,R8 网格归属 R7 父格,
地名可对外使用,38433,40106,0.9582855433102279,其余进入复核队列,,REF_TOWNSHIP_ID,4451,网格街镇实体引用,
,,,,,,SOURCED_FROM,53399,字段来源,
,,,,,,,,,
使用约定,说明,,,,,,,,
GeoCell,骨架格保持稳定。挂载新 POI 时只更新 poiCount、分类和来源等派生字段。,,,,,,,,
adminAmbiguous,行政边界歧义格不能按格子汇总行政区数量，必须回到 POI 的 locatedInAdminArea。,,,,,,,,
PlaceAlias,按优先级选择第一个可定位候选，从 targetCell 一跳到格，再按查询半径扩展邻格。,,,,,,,,
Zone,商圈是空间检索标签，不等于行政区；zoneAssignMethod 的不同证据强度不能混用。,,,,,,,,
来源,实体源为标准化全量数据；官方区划审核源为《贵阳市官方行政区原始数据.json》。,,,,,,,,
