id,alias,normalizedAlias,targetType,targetId,resolveMode,geocodeLat,geocodeLng,targetCell,targetCellR9,cellComputedAt,adminScope,priority,mentionCount,aliasSource,status,sourceId,externalIds,batchId,dataQuality,createdAt,updatedAt,lastSeenAt,contentHash
alias_cc410136-4edd-4755-8328-40c99f1eba85,(贵阳但家香酥鸭未来方舟H1店),,FoodAndBeverage,food_e49f29b2-574a-4bcc-a954-49c6bfabb37a,点半径,,,88400c0f25fffff,89400c0f247ffff,2026-09-16,admin_520103,70,,平台别名,启用,src_amap,"[""alias:(贵阳但家香酥鸭未来方舟H1店):FoodAndBeverage:food_e49f29b2-574a-4bcc-a954-49c6bfabb37a""]",alias-ctrip-hotel-20260916,ingestable,2026-09-16,2026-09-16,2026-09-16,28adc43df3b162e924231a6963abbf0e986d8cde5018c2a20b117d49e561dbea
pa_dd3a2afddd6e,0.2℃民宿(国际金融中心店),0.2℃民宿,Accommodation,hotel_ctrip_118332840,点半径,,,88400c0da1fffff,89400c0da1bffff,2026-09-16,admin_520115_a1dc1c89,45,,平台别名,启用,src_grid_derive,"[""alias:0.2℃民宿(国际金融中心店):Accommodation:hotel_ctrip_118332840""]",alias-ctrip-hotel-20260916,ingestable,2026-09-16,2026-09-16,2026-09-16,05ba00831ffec0074636e125bde14368001aad34cf1b4b5c31bf129c1279a7f6
pa_151901db65ad,001县道-道路停车位,001县道-道路停车位,TransitFacility,transitfacility_amap_B0JBKMO2Q2,点半径,,,88400c05c9fffff,89400c05c8fffff,2026-09-16,admin_520111,65,,官方名,启用,src_grid_derive,"[""alias:001县道-道路停车位:TransitFacility:transitfacility_amap_B0JBKMO2Q2""]",alias-ctrip-hotel-20260916,ingestable,2026-09-16,2026-09-16,2026-09-16,24c2236842382e697b96101c9b4910e255176a0ab532552a6b0b487391888691
alias_2d35baed-15aa-48f2-8b61-96dc01f3c2c4,0069香辣虾(鸿通城店),0069香辣虾,FoodAndBeverage,food_1bbf4f40-3687-451f-a545-fb43497aa7f2,点半径,,,88400c0e27fffff,89400c0e26bffff,2026-09-16,admin_520102,70,,平台别名,启用,src_amap,"[""alias:0069香辣虾(鸿通城店):FoodAndBeverage:food_1bbf4f40-3687-451f-a545-fb43497aa7f2""]",alias-ctrip-hotel-20260916,ingestable,2026-09-16,2026-09-16,2026-09-16,bbcd8fb0e78ba2dea9ec763ebd2baed6fdd56688a8ad24d2211f55fed0bd314a
alias_dbe3ef2c-9e50-49ce-b45b-64b71bb36ec1,007热火烧烤烤鱼海鲜家常菜,007热火烧烤烤鱼海鲜家常菜,FoodAndBeverage,food_4e38134a-e3d1-4662-b76d-378b860476fb,点半径,,,88400c0625fffff,89400c06243ffff,2026-09-16,admin_520111,70,,平台别名,启用,src_amap,"[""alias:007热火烧烤烤鱼海鲜家常菜:FoodAndBeverage:food_4e38134a-e3d1-4662-b76d-378b860476fb""]",alias-ctrip-hotel-20260916,ingestable,2026-09-16,2026-09-16,2026-09-16,a1d3b758a53b31373c8e4ea8b98aa62da54fe98e9c649b2edc81cb880b232c5d
alias_1b70c508-c473-45f7-bc69-c0733d02062a,0090汉堡工厂(贵州电子商务职业技术学院),0090汉堡工厂,FoodAndBeverage,food_4e55ad47-a361-4f41-b2c8-6b349048a530,点半径,,,88400c38b5fffff,89400c38b43ffff,2026-09-16,admin_520181,70,,平台别名,启用,src_amap,"[""alias:0090汉堡工厂(贵州电子商务职业技术学院):FoodAndBeverage:food_4e55ad47-a361-4f41-b2c8-6b349048a530""]",alias-ctrip-hotel-20260916,ingestable,2026-09-16,2026-09-16,2026-09-16,6e83450c714ee2fbfae05c957bc399d37855a8be15f2b6c414ee27ae148c2f61
alias_1d8cc0b7-fbe3-41ba-8147-8e055c927fa8,0851咖啡,0851咖啡,FoodAndBeverage,food_a6974870-d944-4372-9ca5-95d1784bdfcf,点半径,,,88400c0f11fffff,89400c0f10bffff,2026-09-16,admin_520102,70,,平台别名,启用,src_amap,"[""alias:0851咖啡:FoodAndBeverage:food_a6974870-d944-4372-9ca5-95d1784bdfcf""]",alias-ctrip-hotel-20260916,ingestable,2026-09-16,2026-09-16,2026-09-16,6994c5a795362357c6efe4d5e697ab4a5aa7344894545d7d3ea0c9f5b51f12f4
alias_9c2e1801-ba46-4ca3-9737-574a27f52645,0851烤鸡,0851烤鸡,FoodAndBeverage,food_15f6c39b-84df-4c89-89b6-fd9d7c39e4a4,点半径,,,88400c0c4dfffff,89400c0c4c7ffff,2026-09-16,admin_520102,70,,平台别名,启用,src_amap,"[""alias:0851烤鸡:FoodAndBeverage:food_15f6c39b-84df-4c89-89b6-fd9d7c39e4a4""]",alias-ctrip-hotel-20260916,ingestable,2026-09-16,2026-09-16,2026-09-16,77a9e06948db554dd82ab5e7eb936c8b0833828c8d0eb5c4f37ad81336dad7b9
alias_c0480628-d47d-481d-8eca-a0b17d5aae7e,0851酸汤牛肉(大学城店),0851酸汤牛肉,FoodAndBeverage,food_9cd3c16a-7fd9-4037-b813-bc1d66bd7eeb,点半径,,,88400c0633fffff,89400c06333ffff,2026-09-16,admin_520111,70,,平台别名,启用,src_amap,"[""alias:0851酸汤牛肉(大学城店):FoodAndBeverage:food_9cd3c16a-7fd9-4037-b813-bc1d66bd7eeb""]",alias-ctrip-hotel-20260916,ingestable,2026-09-16,2026-09-16,2026-09-16,bd24c6dba6204574e2407917e708a3857d7b34f3d0194a232fe8e7a2677b7e1c
alias_3ab07269-29bb-4f3b-b103-f92f8e006445,0851香辣虾(花溪店),0851香辣虾,FoodAndBeverage,food_d3430419-5c34-4b9c-89e0-6f3b7b553589,点半径,,,88400c0731fffff,89400c07313ffff,2026-09-16,admin_520111,70,,平台别名,启用,src_amap,"[""alias:0851香辣虾(花溪店):FoodAndBeverage:food_d3430419-5c34-4b9c-89e0-6f3b7b553589""]",alias-ctrip-hotel-20260916,ingestable,2026-09-16,2026-09-16,2026-09-16,79f71314197a4beaccb2311f01fba3d6afdbe2b49e4c0b5e0f1a6b240efe3afd
