sourceId,sourceType,sourceName,relationType,targetId,targetType,targetName,dayIndex,sequence,isOptional,facilityRole,role,fields,propertiesJson
route_xhs_guiyang_3day_oldcity_qingyan_museum,Route,贵阳三日老城、青岩与省博路线（用户行程证据）,RouteVisits,area_amap_B035301I4Z,Area,翠微园,1,3,否,,,[],"{""dayIndex"":1,""sequence"":3,""isOptional"":""否""}"
route_xhs_guiyang_3day_oldcity_qingyan_museum,Route,贵阳三日老城、青岩与省博路线（用户行程证据）,RouteVisits,area_amap_B03530OWFX,Area,花果园湿地公园,1,4,否,,,[],"{""dayIndex"":1,""sequence"":4,""isOptional"":""否""}"
route_xhs_guiyang_3day_oldcity_qingyan_museum,Route,贵阳三日老城、青岩与省博路线（用户行程证据）,RouteVisits,area_amap_B0HKPZ8N27,Area,青云市集,1,5,否,,,[],"{""dayIndex"":1,""sequence"":5,""isOptional"":""否""}"
route_xhs_guiyang_3day_oldcity_qingyan_museum,Route,贵阳三日老城、青岩与省博路线（用户行程证据）,RouteVisits,area_amap_B0FFFEFLJ5,Area,贵州省博物馆,3,1,否,,,[],"{""dayIndex"":3,""sequence"":1,""isOptional"":""否""}"
route_xhs_guiyang_3day_oldcity_qingyan_museum,Route,贵阳三日老城、青岩与省博路线（用户行程证据）,RouteVisitsScenicArea,sa_6479802,ScenicArea,黔灵山公园,1,1,否,,,[],"{""dayIndex"":1,""sequence"":1,""isOptional"":""否""}"
route_xhs_guiyang_3day_oldcity_qingyan_museum,Route,贵阳三日老城、青岩与省博路线（用户行程证据）,RouteVisitsScenicArea,sa_412694,ScenicArea,甲秀楼,1,2,否,,,[],"{""dayIndex"":1,""sequence"":2,""isOptional"":""否""}"
route_xhs_guiyang_3day_oldcity_qingyan_museum,Route,贵阳三日老城、青岩与省博路线（用户行程证据）,RouteVisitsScenicArea,sa_404936,ScenicArea,青岩古镇,2,1,否,,,[],"{""dayIndex"":2,""sequence"":1,""isOptional"":""否""}"
route_xhs_guiyang_3day_oldcity_qingyan_museum,Route,贵阳三日老城、青岩与省博路线（用户行程证据）,RouteVisitsScenicArea,scenic_amap_B03530OZ78,ScenicArea,观山湖公园,3,2,否,,,[],"{""dayIndex"":3,""sequence"":2,""isOptional"":""否""}"
sa_112398,ScenicArea,花溪公园,HasFacility,facility_amap_B035302DNK,Facility,花溪公园-公共厕所,,,,来源名称或地址明确标注为景区内设施,,[],"{""facilityRole"":""来源名称或地址明确标注为景区内设施""}"
sa_112398,ScenicArea,花溪公园,HasFacility,facility_amap_B0FFF0A8SW,Facility,花溪公园-公共厕所,,,,来源名称或地址明确标注为景区内设施,,[],"{""facilityRole"":""来源名称或地址明确标注为景区内设施""}"
sa_112398,ScenicArea,花溪公园,HasFacility,facility_amap_B0FFJCU2F2,Facility,花溪公园-公共厕所,,,,来源名称或地址明确标注为景区内设施,,[],"{""facilityRole"":""来源名称或地址明确标注为景区内设施""}"
sa_112398,ScenicArea,花溪公园,HasFacility,facility_amap_B0FFKQDWD0,Facility,花溪公园公共厕所,,,,来源名称或地址明确标注为景区内设施,,[],"{""facilityRole"":""来源名称或地址明确标注为景区内设施""}"
sa_4898566,ScenicArea,天河潭风景区,HasFacility,facility_amap_B0FFF2YKX6,Facility,天河潭风景区-公共厕所(装修中),,,,来源名称或地址明确标注为景区内设施,,[],"{""facilityRole"":""来源名称或地址明确标注为景区内设施""}"
