targetId,targetName,adminId,coverageMode,key,title,answer,summary,topic,knowledgeSubtype,temporalScope,pageKey,sourceSection,sourceParentSection,quote,extractionMethod,evidenceStrength,stability,confidence,intentKeys,audienceScenarios,keywords,dataQuality,originalEntityId,webVerdict,webEvidence
sa_112398,花溪公园,admin_520111,direct_entry,b129a3b336a5,花溪公园音乐广场的建设沿革,音乐广场于2002年建成，此前是一幢苏式风格的大楼，称为“和平礼堂”。 原大楼修建于1951年，修建之初意为当做西南军干校。后因贺龙元帅不愿占用花溪公园之地而勒令停工。已经盖了顶的礼堂在搁置了一段时间后成为贵阳博物馆。贵州是一个有着47种少数民族的大省，主要以苗族、侗族、布依族三大少数民族为主。花溪，是一个少数民族杂居地，主要居住着苗族、布依族，音乐广场对花溪的少数民族来说更是尤为重要，每到少数民族的重大节日，例如：苗族的“四月八”、布依族的“三月三”，各个地方的民族同胞们都会盛装打扮聚集到此载歌载舞欢度他们的节日，非常的热闹。,音乐广场于2002年建成，此前是一幢苏式风格的大楼，称为“和平礼堂”。 原大楼修建于1951年，修建之初意为当做西南军干…,history,建设沿革,长期稳定,baike:112398#音乐广场,音乐广场,主要景点,音乐广场于2002年建成，此前是一幢苏式风格的大楼，称为“和平礼堂”。 原大楼修建于1951年，修建之初意为当做西南军干校。后因贺龙元帅不愿占用花溪公园之地而勒令停工。已经盖了顶的礼堂在搁置了一段时间后成为贵阳博物馆。贵州是一个有着47种少数民族的大省，主要以苗族、侗族、布依族三大少数民族为主。花溪，是一个少数民族杂居地，主要居住着苗族、布依族，音乐广场对花溪的少数民族来说更是尤为重要，每到少数民族的重大节日，例如：苗族的“四月八”、布依族的“三月三”，各个地方的民族同胞们都会盛装打扮聚集到此载歌载舞欢度他们的节日，非常的热闹。,百科章节抽取,交叉印证,稳定,0.9,"[""了解景区"", ""历史文化""]","[""文化游览""]","[""花溪公园"", ""音乐广场""]",needs_review,ar_edfe4eb2f652,real_place,花溪公园运营方官网 gyhxgy.cn 的园内游览导览条目中第一条即「音乐广场」，与睡莲池、水杉路、憩园、南湖、百步桥、坝上桥并列；数据记录本身还带有独立于百科的高德 POI（amapPoiId B0LRGATLG8，amapType「风景名胜;公园广场;公园广场」，地址「花溪大道南段3108号花溪公园内(东北角)」，坐标 26.43522/106.675316）。两条相互独立的证据都指向公园东北角一处可前往的实体广场（2002 年在原「和平礼堂」旧址建成）。
sa_112398,花溪公园,admin_520111,direct_entry,2b32e2c24a76,花溪公园放鸽桥的名称由来,1943年将介石游花溪，途径此桥时遇一只被枪击而落的斑鸠，斑鸠遭枪击却并无大碍，蒋介石放飞斑鸠，因斑鸠形似鸽子，因而桥得名放鸽桥。,1943年将介石游花溪，途径此桥时遇一只被枪击而落的斑鸠，斑鸠遭枪击却并无大碍，蒋介石放飞斑鸠，因斑鸠形似鸽子，因而桥得…,culture,名称由来,长期稳定,baike:112398#放鸽桥,放鸽桥,主要景点,1943年将介石游花溪，途径此桥时遇一只被枪击而落的斑鸠，斑鸠遭枪击却并无大碍，蒋介石放飞斑鸠，因斑鸠形似鸽子，因而桥得名放鸽桥。,百科章节抽取,交叉印证,稳定,0.9,"[""了解景区"", ""历史文化""]","[""文化游览""]","[""花溪公园"", ""放鸽桥""]",needs_review,ar_c652888ff449,real_place,贵州数字出版云村寨《花溪公园七十七年》原文：「改放鹤洲一带的跳蹬为有曲径通幽之妙的小桥，成为公园一亮点，此即今日之放鸽桥」——这是独立于百度百科的地方文史叙述，明确说明放鸽桥是放鹤洲一带一座实体桥梁。携程/景区介绍类资料亦把放鸽桥与百步桥、坝上桥并列为园内桥梁（「园内的放鸽桥各逞风姿」）。
sa_112398,花溪公园,admin_520111,direct_entry,43aa07999c3c,花溪公园放鹤洲的名称由来,放鹤洲又称芙蓉洲。由于贵州优越的气候条件，冬无严寒、夏无酷暑，全年平均温度15℃，加上优质的水源，丰富的水生物，所以每年都吸引很多候鸟到此栖息，每到冬天就会有很多的白鹤飞到此处，白鹤与水中的一座座的芦苇小岛相呼应，形成了一幅美丽的风景，于是便把这里叫做了放鹤洲。,放鹤洲又称芙蓉洲。由于贵州优越的气候条件，冬无严寒、夏无酷暑，全年平均温度15℃，加上优质的水源，丰富的水生物，所以每年…,culture,名称由来,长期稳定,baike:112398#放鹤洲,放鹤洲,主要景点,放鹤洲又称芙蓉洲。由于贵州优越的气候条件，冬无严寒、夏无酷暑，全年平均温度15℃，加上优质的水源，丰富的水生物，所以每年都吸引很多候鸟到此栖息，每到冬天就会有很多的白鹤飞到此处，白鹤与水中的一座座的芦苇小岛相呼应，形成了一幅美丽的风景，于是便把这里叫做了放鹤洲。,百科章节抽取,交叉印证,稳定,0.9,"[""了解景区"", ""历史文化""]","[""文化游览""]","[""花溪公园"", ""放鹤洲""]",needs_review,ar_964e2d2929ae,real_place,又名芙蓉洲，是花溪河中一片洲渚（芦苇小岛群）。景区介绍类资料把「芙蓉洲」列入花溪公园主要景点并描述「放鹤洲溪流宁静、青渚点点」；云村寨《花溪公园七十七年》提到「放鹤洲一带的跳蹬」并把「放鹤洲」列为主要景点之首（「主要景点有放鹤洲、坝上桥、飞云阁、旗亭（棋亭）、西舍、小憩」）。属园内一处可到达的水中洲渚景观。
sa_112398,花溪公园,admin_520111,direct_entry,4c5672fdd239,花溪公园百步桥的名称由来,百步桥，又称跳墩，因由一百三十多个相隔两尺左右的石墩立于河上，游人跳踩石墩而过，故名。,百步桥，又称跳墩，因由一百三十多个相隔两尺左右的石墩立于河上，游人跳踩石墩而过，故名。,culture,名称由来,长期稳定,baike:112398#百步桥,百步桥,主要景点,百步桥，又称跳墩，因由一百三十多个相隔两尺左右的石墩立于河上，游人跳踩石墩而过，故名。,百科章节抽取,交叉印证,稳定,0.9,"[""了解景区"", ""历史文化""]","[""文化游览""]","[""花溪公园"", ""百步桥""]",needs_review,ar_48401d21c6bc,real_place,花溪公园运营方官网 gyhxgy.cn 游览导览条目中明确列有「百步桥」；景区介绍亦载「花溪河上的百步桥有石磴百具弯弯曲曲置于河坝上，一步一磴，微露水面」。即园内横跨花溪河的跳墩式石磴桥（俗称跳墩/跳蹬），实体存在且是主要打卡点。
sa_112398,花溪公园,admin_520111,direct_entry,bd0dfeb5998b,花溪公园东舍的建设沿革,花溪公园内有两座小洋房，一座在公园东侧（东舍），一座在公园西侧（西舍）。东舍兴建于1940年，于1941年初竣工。起初这里是景区招待所。1944年5月，我国著名文学家 巴金 先生曾与 萧珊 在此“举行婚礼”，共度蜜月，当他把萧珊送上车去四川后，独自在此写完了他构思已久的中篇小说《 憩园 》。建国初期进行过简单修整，仍保持原样。但因巴金老先生的中篇小说《憩园》，而改名为“憩园”，并挂有白底黑字的小木牌“花溪小憩”。1958年，贵州省政府在花溪兴建宾馆，把花溪小憩给撤掉，改建成两层楼户，盖琉璃瓦。为与西舍对称，把花溪小憩改为东舍，并挂牌。八十年代，东舍又经过修整，将屋面瓦改成了土红色。1992年以后，花溪组建了旅游公司，并派人到上海走访巴金老先生，征集资料并成立了巴金纪念馆。,花溪公园内有两座小洋房，一座在公园东侧（东舍），一座在公园西侧（西舍）。东舍兴建于1940年，于1941年初竣工。起初这…,history,建设沿革,长期稳定,baike:112398#东舍,东舍,主要景点,花溪公园内有两座小洋房，一座在公园东侧（东舍），一座在公园西侧（西舍）。东舍兴建于1940年，于1941年初竣工。起初这里是景区招待所。1944年5月，我国著名文学家 巴金 先生曾与 萧珊 在此“举行婚礼”，共度蜜月，当他把萧珊送上车去四川后，独自在此写完了他构思已久的中篇小说《 憩园 》。建国初期进行过简单修整，仍保持原样。但因巴金老先生的中篇小说《憩园》，而改名为“憩园”，并挂有白底黑字的小木牌“花溪小憩”。1958年，贵州省政府在花溪兴建宾馆，把花溪小憩给撤掉，改建成两层楼户，盖琉璃瓦。为与西舍对称，把花溪小憩改为东舍，并挂牌。八十年代，东舍又经过修整，将屋面瓦改成了土红色。1992年以后，花溪组建了旅游公司，并派人到上海走访巴金老先生，征集资料并成立了巴金纪念馆。,百科章节抽取,交叉印证,稳定,0.9,"[""了解景区"", ""历史文化""]","[""文化游览""]","[""花溪公园"", ""东舍""]",needs_review,ar_92d53ffa82a0,real_place,云村寨《抗战后方花园 怡情未敢忘忧国》原文：「增建了憩园（1940年3月建成，砖木结构西式平房，今东舍）」，与西舍（原尚武俱乐部）对称；《花溪公园七十七年》亦以「小憩（东舍）」称之。花溪公园官网导览中对应条目为「憩园」。该建筑即 1944 年巴金与萧珊度蜜月、写《憩园》处，后设巴金纪念馆。是园东侧一栋实体小洋房。
sa_112398,花溪公园,admin_520111,direct_entry,dfa6b1021866,花溪公园麟山的景观构成,花溪河两岸作为“公园”来建设，是从民国二十六年（1937年）冬天开始的。但作为“风景名胜”，它的历史可追溯到明代中期。花溪有一山名为狮子山（今麟山），自从明代《弘治贵州图经新志》把它定为贵阳名山之后，就常有人到花溪游玩。这一时期，花溪河两岸是明山配秀水，绿树荫苍苔，“风景出自然，非由人力造”的自然原始时期。到了清 乾隆 嘉庆年间，花溪开始出现“亭台掩林间，楼阁连霄汉”的人工景观。这是花溪白杨寨（今吉麟村）周奎及其子孙所为。周奎于乾隆五十二年（1787年）作《麟山记》。他说，白杨寨东半里许“有山。壮若伏狮”，但也接着说，“狮麟之辨”、“狮无角而麟一角”。他把山头上一巨石认为是“一角”，说“麟兮麟兮，夫复何疑？”于是把狮子山改名叫麟山，并说“狮不得争也”。,花溪河两岸作为“公园”来建设，是从民国二十六年（1937年）冬天开始的。但作为“风景名胜”，它的历史可追溯到明代中期。花…,geography,景观构成,长期稳定,baike:112398#麟山,麟山,主要景点,花溪河两岸作为“公园”来建设，是从民国二十六年（1937年）冬天开始的。但作为“风景名胜”，它的历史可追溯到明代中期。花溪有一山名为狮子山（今麟山），自从明代《弘治贵州图经新志》把它定为贵阳名山之后，就常有人到花溪游玩。这一时期，花溪河两岸是明山配秀水，绿树荫苍苔，“风景出自然，非由人力造”的自然原始时期。到了清 乾隆 嘉庆年间，花溪开始出现“亭台掩林间，楼阁连霄汉”的人工景观。这是花溪白杨寨（今吉麟村）周奎及其子孙所为。周奎于乾隆五十二年（1787年）作《麟山记》。他说，白杨寨东半里许“有山。壮若伏狮”，但也接着说，“狮麟之辨”、“狮无角而麟一角”。他把山头上一巨石认为是“一角”，说“麟兮麟兮，夫复何疑？”于是把狮子山改名叫麟山，并说“狮不得争也”。,百科章节抽取,交叉印证,稳定,0.9,"[""了解景区"", ""历史文化""]","[""文化游览""]","[""花溪公园"", ""麟山""]",needs_review,ar_ee3dcb9c260f,real_place,花溪公园「四山夹一水」中的一山（麟山、蛇山、龟山、凤山），为园内最高点，原名狮子山，清乾隆年间周奎作《麟山记》改名。实地游记（新浪博客《麟山之巅瞰花溪》）描述东、南两侧各有石阶路通山顶，山腹有可容一人穿行的天然穿洞，山顶平台可俯瞰全园，南坡有依山而建的两层亭子。公园官网导览另有「麟山门」为入口标识。
sa_112398,花溪公园,admin_520111,direct_entry,4f4b947254da,花溪公园的生聚教训（摩崖石刻题字（四字榜书））,此摩崖是 何应钦 为纪念抗日期间贵阳被轰炸所提的。后来由贵阳县县长 刘剑魂 所书写。是日本人发动侵华战争的有力见证。“生聚教训”四字典出于“ 卧薪尝胆 ”，该摩崖所蕴含的意义、哲理同样对中华民族的今天和未来都有极强的启迪意义。,此摩崖是 何应钦 为纪念抗日期间贵阳被轰炸所提的。后来由贵阳县县长 刘剑魂 所书写。是日本人发动侵华战争的有力见证。“生…,culture,摩崖石刻与题记,长期稳定,baike:112398#生聚教训,生聚教训,主要景点,此摩崖是 何应钦 为纪念抗日期间贵阳被轰炸所提的。后来由贵阳县县长 刘剑魂 所书写。是日本人发动侵华战争的有力见证。“生聚教训”四字典出于“ 卧薪尝胆 ”，该摩崖所蕴含的意义、哲理同样对中华民族的今天和未来都有极强的启迪意义。,百科章节抽取,交叉印证,待核,0.9,"[""了解景区"", ""历史文化""]","[""文化游览""]","[""花溪公园"", ""生聚教训""]",needs_review,ar_05fee21fe73c,not_a_place,多方资料一致：该四字位于花溪公园麟山东麓崖壁，为 1937 年主持修建花溪公园的贵阳县长刘剑魂手书（何应钦倡意），取越王勾践「十年生聚，十年教训」典故，寓持久抗战。数据记录自身的描述也自认「此摩崖是何应钦为纪念抗日期间贵阳被轰炸所提的」。它是麟山崖壁上的一处题刻文字，不是一个可前往的独立地点实体；若要建实体节点，应挂在「麟山」之下作为题刻/文物要素。
sa_112398,花溪公园,admin_520111,direct_entry,1c5fab8237b7,花溪公园的黔山一柱（摩崖石刻题字）,刻于公元1993年，出自贵州书法家王鄂华之手，意为景点留名。,刻于公元1993年，出自贵州书法家王鄂华之手，意为景点留名。,culture,摩崖石刻与题记,长期稳定,baike:112398#黔山一柱,黔山一柱,主要景点,刻于公元1993年，出自贵州书法家王鄂华之手，意为景点留名。,百科章节抽取,交叉印证,待核,0.9,"[""了解景区"", ""历史文化""]","[""文化游览""]","[""花溪公园"", ""黔山一柱""]",needs_review,ar_d6e7637a42ba,not_a_place,检索到的实地描述：刻有「黔山一柱」的是麟山之巅那块被视为「麒麟独角」的巨石，位于麟山南侧两层亭子上方，属麟山山顶摩崖题刻群之一（同山还有「佛」字摩崖、东麓「生聚教训」）。数据记录自身亦写「刻于公元1993年，出自贵州书法家王鄂华之手，意为景点留名」。是刻在岩石上的四字题名，不是独立的可前往地点。
sa_112398,花溪公园,admin_520111,direct_entry,033278d90745,花溪公园防空亭的抗战历史遗存,亭上刻有“无防空即无国防”，刻于“民国二十八年（1939年）民族复兴节”，字有斗大，字体为 魏碑体 ，浑厚有力。刻此摩崖，意在突出抗战中防空的重要。在中华人民共和国建国初期被铲掉，只能见到被铲后的痕迹。,亭上刻有“无防空即无国防”，刻于“民国二十八年（1939年）民族复兴节”，字有斗大，字体为 魏碑体 ，浑厚有力。刻此摩崖…,history,抗战历史遗存,长期稳定,baike:112398#防空亭,防空亭,主要景点,亭上刻有“无防空即无国防”，刻于“民国二十八年（1939年）民族复兴节”，字有斗大，字体为 魏碑体 ，浑厚有力。刻此摩崖，意在突出抗战中防空的重要。在中华人民共和国建国初期被铲掉，只能见到被铲后的痕迹。,百科章节抽取,单源,稳定,0.75,"[""了解景区"", ""历史文化""]","[""文化游览""]","[""花溪公园"", ""防空亭""]",needs_review,ar_f81cc0163d79,real_place,云村寨《抗战后方花园 怡情未敢忘忧国》记录园内「防空亭」为实体亭，「六面体石柱上刻有6联」，与观瀑亭、柏亭、防校亭等并列；另有资料称花溪公园龟山上的防空亭系抗战时期防空学校所建，亭旁摩崖刻「无防空即无国防」（建国初被铲）。即：亭是实体建筑，摩崖题字是附着其上的文物要素。需注意该条记录的描述文字几乎全在讲题刻而非亭本身，容易被误读为题刻条目。
sa_112398,花溪公园,admin_520111,direct_entry,ea4fdd737224,花溪公园坝上桥的景观构成,坝上桥原是一座石墩木板桥，桥上朱栏，鲜丽夺目 ，取“坝桥风月”之意命名为坝上桥。,坝上桥原是一座石墩木板桥，桥上朱栏，鲜丽夺目 ，取“坝桥风月”之意命名为坝上桥。,geography,景观构成,长期稳定,baike:112398#坝上桥,坝上桥,主要景点,坝上桥原是一座石墩木板桥，桥上朱栏，鲜丽夺目 ，取“坝桥风月”之意命名为坝上桥。,百科章节抽取,交叉印证,稳定,0.9,"[""了解景区"", ""历史文化""]","[""文化游览""]","[""花溪公园"", ""坝上桥""]",needs_review,ar_d042db1a9c86,real_place,花溪公园官网 gyhxgy.cn 导览条目列有「坝上桥」；云村寨史料载「取坝桥风月之意建了坝上桥（1940年初建成，石墩木板桥）」，《花溪公园七十七年》记周恩来「下榻于花溪公园坝上桥旁的西舍」。数据记录另带独立高德 POI（amapType「风景名胜;风景名胜相关;旅游景点」，地址「花溪公园内(西侧)」）。实体桥梁，位置明确。
