id,name,shortDesc,description,type,locationDesc,isFree,capacity,openingHours,locatedInArea,locatedInScenicArea,locatedInAdminArea,latitude,longitude,coordinateSystem,h3Index,h3IndexCoarse,geoPrecision,picture,pictureDesc,sourceId,fieldSources,fieldUpdatedAt,batchId,externalIds,lastVerifiedAt,verifiedBy,dataQuality,contentHash,createdAt,updatedAt,lastSeenAt,referencedBy,archivedAt,archiveReason
facility_amap_B035302DNK,花溪公园-公共厕所,高德快照中明确标注位于花溪公园内的设施,,卫生间,蟠龙巷45号,,,,,sa_112398,admin_520111,26.435715,106.67422,GCJ02,89400c07387ffff,87400c073ffffff,exact,,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""shortDesc:src_amap_spatial"",""locationDesc:src_amap_spatial"",""locatedInScenicArea:src_amap_spatial"",""externalIds:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""shortDesc:2026-08-26"",""locationDesc:2026-08-26"",""locatedInScenicArea:2026-08-26"",""externalIds:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B035302DNK""]",,,needs_review,4bddca8f36e44ff8c40aab1c14b09839b145646023c72b86aa7320a16656a232,2026-08-26,2026-08-26,2026-08-26,2,,
facility_amap_B03530P42O,贵阳市黔灵山公园-公共厕所,高德快照中明确标注位于黔灵山公园内的设施,,卫生间,枣山路187号黔灵山公园内(西侧),,,,,sa_6479802,admin_520103,26.599386,106.688756,GCJ02,89400c0c21bffff,87400c0c2ffffff,exact,,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""shortDesc:src_amap_spatial"",""locationDesc:src_amap_spatial"",""locatedInScenicArea:src_amap_spatial"",""externalIds:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""shortDesc:2026-08-26"",""locationDesc:2026-08-26"",""locatedInScenicArea:2026-08-26"",""externalIds:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B03530P42O""]",,,needs_review,3b2a968b0a5b96bdd831cc44d3ccce71090ebac7f27ea242eb7676a2747624c6,2026-08-26,2026-08-26,2026-08-26,2,,
facility_amap_B0FFF0A8SW,花溪公园-公共厕所,高德快照中明确标注位于花溪公园内的设施,,卫生间,花溪公园大门广场靠花溪大桥处,,,,,sa_112398,admin_520111,26.435416,106.677109,GCJ02,89400c07383ffff,87400c073ffffff,exact,,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""shortDesc:src_amap_spatial"",""locationDesc:src_amap_spatial"",""locatedInScenicArea:src_amap_spatial"",""externalIds:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""shortDesc:2026-08-26"",""locationDesc:2026-08-26"",""locatedInScenicArea:2026-08-26"",""externalIds:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B0FFF0A8SW""]",,,needs_review,7409b74a9ba0d8d1b844ae3f0759a035836e1051168eeb635633b7a1fc73a968,2026-08-26,2026-08-26,2026-08-26,2,,
facility_amap_B0FFF2YKX6,天河潭风景区-公共厕所(装修中),高德快照中明确标注位于天河潭风景区内的设施,,卫生间,合肥路附近,,,,,sa_4898566,admin_520111,26.439559,106.57745,GCJ02,89400c04eb7ffff,87400c04effffff,exact,,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""shortDesc:src_amap_spatial"",""locationDesc:src_amap_spatial"",""locatedInScenicArea:src_amap_spatial"",""externalIds:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""shortDesc:2026-08-26"",""locationDesc:2026-08-26"",""locatedInScenicArea:2026-08-26"",""externalIds:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B0FFF2YKX6""]",,,needs_review,384a6b272bdcdf13b354054b0b6b0dc3747629d8fcc1b0d9bd48a25b5c703e52,2026-08-26,2026-08-26,2026-08-26,2,,
facility_amap_B0FFF31RIE,贵阳市森林公园-公共厕所,高德快照中明确标注位于贵阳森林公园内的设施,,卫生间,园林路附近,,,,,scenic_amap_B035301FIE,admin_520102,26.554913,106.75569,GCJ02,89400c0f43bffff,87400c0f4ffffff,exact,,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""shortDesc:src_amap_spatial"",""locationDesc:src_amap_spatial"",""locatedInScenicArea:src_amap_spatial"",""externalIds:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""shortDesc:2026-08-26"",""locationDesc:2026-08-26"",""locatedInScenicArea:2026-08-26"",""externalIds:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B0FFF31RIE""]",,,needs_review,d98172e90c23d7dcfe04247c525fbc11722af1a882484e689362c24c19fd4a10,2026-08-26,2026-08-26,2026-08-26,2,,
facility_amap_B0FFH4TROM,黔灵山公园-公共厕所,高德快照中明确标注位于黔灵山公园内的设施,,卫生间,二桥路180号附近,,,,,sa_6479802,admin_520103,26.58143,106.681332,GCJ02,89400c0c057ffff,87400c0c0ffffff,exact,,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""shortDesc:src_amap_spatial"",""locationDesc:src_amap_spatial"",""locatedInScenicArea:src_amap_spatial"",""externalIds:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""shortDesc:2026-08-26"",""locationDesc:2026-08-26"",""locatedInScenicArea:2026-08-26"",""externalIds:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B0FFH4TROM""]",,,needs_review,b7e0291f2ce0ae289a6956b7597334e46f51fcbdc5afc5efc820e044b962e5b3,2026-08-26,2026-08-26,2026-08-26,2,,
facility_amap_B0FFH4TRU4,观山湖公园-公共厕所,高德快照中明确标注位于观山湖公园内的设施,,卫生间,观山东路与松林路交叉口东100米,,,,,scenic_amap_B03530OZ78,admin_520115,26.634415,106.629041,GCJ02,89400c0d947ffff,87400c0d9ffffff,exact,,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""shortDesc:src_amap_spatial"",""locationDesc:src_amap_spatial"",""locatedInScenicArea:src_amap_spatial"",""externalIds:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""shortDesc:2026-08-26"",""locationDesc:2026-08-26"",""locatedInScenicArea:2026-08-26"",""externalIds:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B0FFH4TRU4""]",,,needs_review,ee0454f7394a56dca00ba633bf242f62af74cf0dce0fa271a2359455442b7916,2026-08-26,2026-08-26,2026-08-26,2,,
facility_amap_B0FFH4TRYY,贵阳市森林公园公共厕所,高德快照中明确标注位于贵阳森林公园内的设施,,卫生间,水井湾巷与园林路交叉口东南100米,,,,,scenic_amap_B035301FIE,admin_520102,26.557337,106.745434,GCJ02,89400c0f55bffff,87400c0f5ffffff,exact,,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""shortDesc:src_amap_spatial"",""locationDesc:src_amap_spatial"",""locatedInScenicArea:src_amap_spatial"",""externalIds:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""shortDesc:2026-08-26"",""locationDesc:2026-08-26"",""locatedInScenicArea:2026-08-26"",""externalIds:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B0FFH4TRYY""]",,,needs_review,29b33f75eb2bb966d04a3581a54736ef06dc6aa51d07db9176e4a9e327677755,2026-08-26,2026-08-26,2026-08-26,2,,
facility_amap_B0FFH4TRZ1,贵阳市森林公园-公共厕所,高德快照中明确标注位于贵阳森林公园内的设施,,卫生间,贵阳市森林公园(园林路南),,,,,scenic_amap_B035301FIE,admin_520102,26.553507,106.749317,GCJ02,89400c0f423ffff,87400c0f4ffffff,exact,,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""shortDesc:src_amap_spatial"",""locationDesc:src_amap_spatial"",""locatedInScenicArea:src_amap_spatial"",""externalIds:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""shortDesc:2026-08-26"",""locationDesc:2026-08-26"",""locatedInScenicArea:2026-08-26"",""externalIds:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B0FFH4TRZ1""]",,,needs_review,589ea1e9363766baf1efd53d2c67fb5190cae56fb7a2485c519b23bd0115a475,2026-08-26,2026-08-26,2026-08-26,2,,
facility_amap_B0FFH6NXS4,公共厕所,高德快照中明确标注位于观山湖公园内的设施,,卫生间,观山大桥南观山湖公园内(西南角),,,,,scenic_amap_B03530OZ78,admin_520115,26.632638,106.632748,GCJ02,89400c0d953ffff,87400c0d9ffffff,exact,,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""shortDesc:src_amap_spatial"",""locationDesc:src_amap_spatial"",""locatedInScenicArea:src_amap_spatial"",""externalIds:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""shortDesc:2026-08-26"",""locationDesc:2026-08-26"",""locatedInScenicArea:2026-08-26"",""externalIds:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B0FFH6NXS4""]",,,needs_review,b410056f23fb9a249c622d9cb8230a06cdc4fe83012971f9ce5bc47652263441,2026-08-26,2026-08-26,2026-08-26,2,,
