id,name,sourceEntry,areaType,hadCoord,转为知识单元,description,处置结果
ar_edfe4eb2f652,音乐广场,花溪公园,广场,True,是,音乐广场于2002年建成，此前是一幢苏式风格的大楼，称为“和平礼堂”。 原大楼修建于1951年，修建之初意为当做西南军干校。后因贺龙元帅不愿占用花溪公园之地而勒令停工。已经盖了顶的礼堂在搁置了一段时间后成为贵阳博物馆。贵州是一个有着47种少数民族的大省，主要以苗族、侗族、布依族三大少数民族为主。花溪，是一个少数民族杂居地，主要居住着苗族、布依族，音乐广场对花溪的少数民族来说更是尤为重要，每到少数民族的重大节日，例如：苗族的“四月八”、布依族的“三月三”，各个地方的民族同胞们都会盛装打扮聚集到此载歌载舞欢度他们的节日，非常的热闹。,
ar_c652888ff449,放鸽桥,花溪公园,桥梁,False,是,1943年将介石游花溪，途径此桥时遇一只被枪击而落的斑鸠，斑鸠遭枪击却并无大碍，蒋介石放飞斑鸠，因斑鸠形似鸽子，因而桥得名放鸽桥。,
ar_964e2d2929ae,放鹤洲,花溪公园,未分类,False,是,放鹤洲又称芙蓉洲。由于贵州优越的气候条件，冬无严寒、夏无酷暑，全年平均温度15℃，加上优质的水源，丰富的水生物，所以每年都吸引很多候鸟到此栖息，每到冬天就会有很多的白鹤飞到此处，白鹤与水中的一座座的芦苇小岛相呼应，形成了一幅美丽的风景，于是便把这里叫做了放鹤洲。,
ar_9aa572f16e54,何应钦旧居,花溪公园,故居墓园,False,否,何应钦 ，原国民政府军政部长，抗战时期母亲及姐姐何应香、四弟何辑五就居于这里，何应钦经常都会到这里小住陪伴母亲及家人。,
ar_48401d21c6bc,百步桥,花溪公园,桥梁,False,是,百步桥，又称跳墩，因由一百三十多个相隔两尺左右的石墩立于河上，游人跳踩石墩而过，故名。,
ar_92d53ffa82a0,东舍,花溪公园,未分类,False,是,花溪公园内有两座小洋房，一座在公园东侧（东舍），一座在公园西侧（西舍）。东舍兴建于1940年，于1941年初竣工。起初这里是景区招待所。1944年5月，我国著名文学家 巴金 先生曾与 萧珊 在此“举行婚礼”，共度蜜月，当他把萧珊送上车去四川后，独自在此写完了他构思已久的中篇小说《 憩园 》。建国初期进行过简单修整，仍保持原样。但因巴金老先生的中篇小说《憩园》，而改名为“憩园”，并挂有白底黑字的小木牌“花溪小憩”。1958年，贵州省政府在花溪兴建宾馆，把花溪小憩给撤掉，改建成两层楼户，盖琉璃瓦。为与西舍对称，把花溪小憩改为东舍，并挂牌。八十年代，东舍又经过修整，将屋面瓦改成了土红色。1992年以,
ar_ee3dcb9c260f,麟山,花溪公园,观景台,False,是,花溪河两岸作为“公园”来建设，是从民国二十六年（1937年）冬天开始的。但作为“风景名胜”，它的历史可追溯到明代中期。花溪有一山名为狮子山（今麟山），自从明代《弘治贵州图经新志》把它定为贵阳名山之后，就常有人到花溪游玩。这一时期，花溪河两岸是明山配秀水，绿树荫苍苔，“风景出自然，非由人力造”的自然原始时期。到了清 乾隆 嘉庆年间，花溪开始出现“亭台掩林间，楼阁连霄汉”的人工景观。这是花溪白杨寨（今吉麟村）周奎及其子孙所为。周奎于乾隆五十二年（1787年）作《麟山记》。他说，白杨寨东半里许“有山。壮若伏狮”，但也接着说，“狮麟之辨”、“狮无角而麟一角”。他把山头上一巨石认为是“一角”，说“麟兮麟,
ar_05fee21fe73c,生聚教训,花溪公园,未分类,False,是,此摩崖是 何应钦 为纪念抗日期间贵阳被轰炸所提的。后来由贵阳县县长 刘剑魂 所书写。是日本人发动侵华战争的有力见证。“生聚教训”四字典出于“ 卧薪尝胆 ”，该摩崖所蕴含的意义、哲理同样对中华民族的今天和未来都有极强的启迪意义。,
ar_d6e7637a42ba,黔山一柱,花溪公园,未分类,False,是,刻于公元1993年，出自贵州书法家王鄂华之手，意为景点留名。,
ar_f81cc0163d79,防空亭,花溪公园,古建筑,False,是,亭上刻有“无防空即无国防”，刻于“民国二十八年（1939年）民族复兴节”，字有斗大，字体为 魏碑体 ，浑厚有力。刻此摩崖，意在突出抗战中防空的重要。在中华人民共和国建国初期被铲掉，只能见到被铲后的痕迹。,
ar_d042db1a9c86,坝上桥,花溪公园,桥梁,True,是,坝上桥原是一座石墩木板桥，桥上朱栏，鲜丽夺目 ，取“坝桥风月”之意命名为坝上桥。,
ar_6ea640b7680d,平桥,花溪公园,桥梁,False,是,平桥位于花溪公园西侧大寨村旁，横跨花溪河上。桥畔一弯清水，碧波荡漾，走上以青石块砌成的踏步桥，感受清清的河水在脚下流淌，很是惬意。花溪平桥旁有大片的油茶花田，阳春三月，油菜花开时节来此赏花、野炊、放风筝，更是一番美丽景象。,
ar_c4b12eccc097,西舍,花溪公园,未分类,False,是,西舍与东舍一样是花溪最早的招待所，后经几次翻新，一直以来都作为宾馆来使用。 朱德 、 陈毅 、 贺龙 等国家领导人来到花溪也都下榻于此。1960年5月， 周总理 率中国政府代表团出国访问缅甸、印度、 尼泊尔 、 柬埔寨 、越南等东南亚国家期间，中途回国停留，代表团全体成员均住在花溪，周总理和 邓颖超 同志就下塌在这里。,
ar_38f0b68411d1,棋亭,花溪公园,古建筑,False,是,"棋亭原叫“旗亭”，书上记载，“旗亭”之名是借唐人“旗亭画壁”和宋人“旗亭卖酒”的典故而来。是供游人休息、饮茶、娱乐之处。但还有一种说法是在抗战时期，棋亭原是一座办公楼，每天这里的工作人员都要在此举行升旗仪式，于是叫“旗亭”。

公园开放以后，吸引了大批的游客来此游览，一些棋类爱好者就聚集到这里下棋一比高下，后来便把“旗”字改为“棋”字。 陈毅 元帅来到花溪公园游览时也参与到下棋的行列中，并写下了：“花溪棋亭位山腰，多人聚此费推敲，劝君让他先一着，后发制人棋更高。”的诗篇。",
