id,name,type,amapPoiId,amapTypecode,address,district,adcode,rating,averageSpend,openingHours,locatedInAdminArea,latitude,longitude,coordinateSystem,h3Index,h3IndexCoarse,geoPrecision,identityStatus,identityResolutionMethod,sourceId,batchId,externalIds,lastVerifiedAt,dataQuality,contentHash,lastSeenAt,placeAliasId,normalizedAlias,targetCellR8,targetCellR9
food_40f23cf5-89cb-433f-a202-ae16aaf73a19,大头烤鸡,正餐,B0I3VRJ3AH,050000,中国铁建·国际城璟湾东南门东北80米,南明区,520102,4.8,69,周一至周日 17:30-01:30,admin_520102_e4faf8f5,26.542204,106.683619,GCJ02,89400c0e307ffff,87400c0e3ffffff,exact,source_only,source_external_id,src_amap,batch_amap_food_rating35_20260916,"[""amap:B0I3VRJ3AH""]",2026-09-16 07:26:50.841000,needs_review,32e1e104a0383d05db596c2b65452c792e075d30e6d9aa4b6845b49a516bef26,2026-09-16 07:26:50.841000,alias_e4b3c6a3-c7dd-4a20-b36c-90bef0847b0b,大头烤鸡,88400c0e31fffff,89400c0e307ffff
food_427fcca0-2adb-4e1c-a312-f5601a34d92f,青云市集,正餐,B0HKPZ8N27,050000,青云路83号,南明区,520102,4.8,,周一至周日 00:00-24:00,admin_520102_e4faf8f5,26.564177,106.715094,GCJ02,89400c0f107ffff,87400c0f1ffffff,exact,source_only,source_external_id,src_amap,batch_amap_food_rating35_20260916,"[""amap:B0HKPZ8N27""]",2026-09-16 07:44:20.521000,needs_review,4468eb47178ec686819a84bf02dbb6bf83c8a789214924dda6522e52e1712883,2026-09-16 07:44:20.521000,alias_6bd37a82-df99-43f5-8940-bb5e7807f06f,青云市集,88400c0f11fffff,89400c0f107ffff
food_bd550512-87cc-41f0-a480-e9b4902ce887,31·引力烘焙,咖啡,B0LRTH9FI2,050800,体育路10号6栋2层,南明区,520102,4.7,42,周一至周日 11:00-20:00,admin_520102_e4faf8f5,26.561293,106.69746,GCJ02,89400c0c413ffff,87400c0c4ffffff,exact,source_only,source_external_id,src_amap,batch_amap_food_rating35_20260916,"[""amap:B0LRTH9FI2""]",2026-09-16 07:44:20.521000,needs_review,b9982b345781919fadcfedcb0636d01e49764ed49ba26f67cdd213d0a5865429,2026-09-16 07:44:20.521000,alias_e221b1e7-02ec-40bf-90aa-18e4b80e0068,31引力烘焙,88400c0c41fffff,89400c0c413ffff
food_6ff1be14-40bd-4679-9032-99dc77f90812,8号花园餐厅(甲秀楼店),正餐,B0FFHLTMVI,050100,中南社区服务中心阳明路8号公馆4楼,南明区,520102,4.7,74,周一至周日 10:00-02:30,admin_520102_e4faf8f5,26.570422,106.715619,GCJ02,89400c0f177ffff,87400c0f1ffffff,exact,source_only,source_external_id,src_amap,batch_amap_food_rating35_20260916,"[""amap:B0FFHLTMVI""]",2026-09-16 07:44:20.521000,needs_review,1a87c01b535542cd429621d9de9145a878b4bc527afa518cbbae63b7b1162333,2026-09-16 07:44:20.521000,alias_be598750-3f77-4302-8120-921a894a9765,8号花园餐厅甲秀楼店,88400c0f17fffff,89400c0f177ffff
food_02d31f6c-0d37-47ae-94a3-14139e75f0ab,爆单重庆老火锅,火锅,B0IAB5MDA6,050000,宝山南路187号(油榨街地铁站A口步行30米),南明区,520102,4.7,91,周一至周日 12:00-20:00,admin_520102_e4faf8f5,26.562458,106.731522,GCJ02,89400c0f1d3ffff,87400c0f1ffffff,exact,source_only,source_external_id,src_amap,batch_amap_food_rating35_20260916,"[""amap:B0IAB5MDA6""]",2026-09-16 07:44:20.521000,needs_review,7300930980139b508937b7c3cf66660875155fbcdf970d976672f71d10008367,2026-09-16 07:44:20.521000,alias_baff0605-d4a0-480c-b9a0-de70ca760f55,爆单重庆老火锅,88400c0f1dfffff,89400c0f1d3ffff
food_549fb090-cd40-4ce5-bc67-5104304cba1a,笔记安顺夺夺粉,火锅,B0G2RHJ57K,050117,醒狮路18号小区西北门旁,南明区,520102,4.7,63,周一至周日 11:00-21:00,admin_520102_e4faf8f5,26.575193,106.713915,GCJ02,89400c0f163ffff,87400c0f1ffffff,exact,source_only,source_external_id,src_amap,batch_amap_food_rating35_20260916,"[""amap:B0G2RHJ57K""]",2026-09-16 07:44:20.521000,needs_review,2789852b4da2c8511bb4af5c3f7119267ac2eb107862e861d4f3c20455233f59,2026-09-16 07:44:20.521000,alias_f74d0114-65e4-4a1c-9199-eef833e17ace,笔记安顺夺夺粉,88400c0f17fffff,89400c0f163ffff
food_7f1b88b6-5d14-4927-9726-ca2844934697,大冰的小屋(贵阳分舵青云路店),正餐,B0L6474OV1,050000,青云路1号金熙府1栋,南明区,520102,4.7,60,周一至周日 17:00-03:00,admin_520102_e4faf8f5,26.564739,106.717482,GCJ02,89400c0f117ffff,87400c0f1ffffff,exact,source_only,source_external_id,src_amap,batch_amap_food_rating35_20260916,"[""amap:B0L6474OV1""]",2026-09-16 07:44:20.521000,needs_review,670f01219ad8a4c88c7d9b4513c5751a759d909e206f2ad300d68bafac8d53d4,2026-09-16 07:44:20.521000,alias_ccc75816-286a-4b7d-acbc-d523a75d1a87,大冰的小屋贵阳分舵青云路店,88400c0f11fffff,89400c0f117ffff
food_3d5ad18d-0e1a-4f7c-91e7-6c7911b1be21,大虎老火锅(博爱路店),火锅,B0FFGJ9ZP3,050117,博爱路31号(豪客来旁),南明区,520102,4.7,60,周一至周日 10:00-03:00,admin_520102_e4faf8f5,26.572013,106.711561,GCJ02,89400c0f167ffff,87400c0f1ffffff,exact,source_only,source_external_id,src_amap,batch_amap_food_rating35_20260916,"[""amap:B0FFGJ9ZP3""]",2026-09-16 07:44:20.521000,needs_review,722c0fce09c7eacc49f75666f5973be0c1882c51266269c399e685d522107373,2026-09-16 07:44:20.521000,alias_64d7d268-18c2-4b62-ab2b-1eb4526062fe,大虎老火锅博爱路店,88400c0f17fffff,89400c0f167ffff
food_b346ae78-9450-406b-a64a-041c3319f1d5,大力铁板烧(醒狮路店),正餐,B0KK7HP13L,050100,中华南路街道醒狮路38-40号,南明区,520102,4.7,42,周一至周日 11:00-22:30 2026-02-13至2026-02-20 周一至周日 全天关闭；2026-02-21至2026-03-04 周一至周日 12:00-23:00,admin_520102_e4faf8f5,26.574996,106.713308,GCJ02,89400c0f16fffff,87400c0f1ffffff,exact,source_only,source_external_id,src_amap,batch_amap_food_rating35_20260916,"[""amap:B0KK7HP13L""]",2026-09-16 07:44:20.521000,needs_review,67868cd4f5858a5cbe4e6454ff5a46062652c352407009cd5f1172566524fc95,2026-09-16 07:44:20.521000,alias_0e71bcdd-eb3f-4267-bad7-47a23b51e05d,大力铁板烧醒狮路店,88400c0f17fffff,89400c0f16fffff
food_75b646b4-d9a3-4395-9f17-69be5294c8b8,大胖刘烙锅(甲秀楼店),正餐,B0LA3HELKU,050100,富水南路196号贵州国际商城裙楼荔星名店A座1层,南明区,520102,4.7,64,周一至周日 11:00-23:00,admin_520102_e4faf8f5,26.572046,106.717193,GCJ02,89400c0f173ffff,87400c0f1ffffff,exact,source_only,source_external_id,src_amap,batch_amap_food_rating35_20260916,"[""amap:B0LA3HELKU""]",2026-09-16 07:44:20.521000,needs_review,842bccdfb3c84a713ad9ee0490648c00ccc35f69a0438e89f53be6ea7e06206e,2026-09-16 07:44:20.521000,alias_42d86474-483c-437a-a748-1fe2365763fb,大胖刘烙锅甲秀楼店,88400c0f17fffff,89400c0f173ffff
