parentPoiId,merchantCount,sampleMerchants,reason
B0FFHI0V80,13,豆孃豆米火锅(花果园M区店)；森咖啡(兰花广场店)；张亮麻辣烫(贵阳花果园彭家湾店)；火凤凰小豆腐·坨坨肉(花果园M区店)；螺旋桨螺蛳粉(贵阳花果园M区店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFINGH9D,13,秋霞素粉(花果园财富广场店)；三穗麻鸭(财富广场店)；瑞幸咖啡(花果园财富广场6号楼店)；书亦烧仙草(贵阳南明区花果园R1区店)；茶视界茶馆,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFH33KTQ,11,肖记飘香辣子鸡(花果园财富广场店)；桂源清真全牛火锅(S区总店)；黔西食在牛肉粉(花果园店)；芳园百里铁板烧；李炭炭自助烧烤,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHI0VSR,10,几禾酒楼(兰花广场店)；正新鸡排(贵阳花果园)；武松醉鹅(花果园店)；好快螺正宗螺蛳粉(花果园店)；苏普曼咖啡(花果园M区店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0GR56ZCZQ,10,好利来(世纪金源二店)；煮意潮牛鲜牛肉火锅(世纪金源店)；新大新豆米火锅1993(世纪金源店)；小瑞厨房·番茄鸡火锅(世纪金源店)；小食迹酸汤丝娃娃(世纪金源店),高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFHI1F25,9,新疆和田玉烧烤；遵老四江湖洋芋(花果园M区店)；唛堡派·炸鸡汉堡(花果园店)；东北私房菜(花果园M区店)；四桌老火锅,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFH24805,8,侗木岭老凯里酸汤砂锅粉(花果园店)；水城有家羊肉粉(总店)；蜜雪冰城(花果园一期店)；武松炒饭(花果园店)；青云路留一手烤鱼,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFH2CWN9,8,山东大饼(花果园一期店)；袁记砂锅粉(花果园店)；渝达达老火锅(花果园店)；busan韩式炸鸡火鸡面(花果园一期店)；南明刘记花溪牛肉粉,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFH8JOZD,8,老贵阳正宗黔味家常菜(花果园店)；他先生豆米豆豉酸辣烫(T区店)；S-pizza披萨速递(花果园T区店)；桥头年猪饭；烧先生血旺鸡,高德 ID 查询未返回该父 POI；不从地址猜名称
B0FFIP4HD3,8,西江凯里鹅肉粉(财富广场店)；兴仁家家铜锅牛肉(花果园财富广场店)；香遇乐厨(花果园店)；老麻抄手重庆小面(花果园店)；黔厨子私房菜(财富广场店),高德 ID 查询未返回该父 POI；不从地址猜名称
