,,,,,,,,,
贵阳市交通数据结构化总表,,,,,,,,,
六类交通实体按 Schema 完整字段导出；关系单独展开。空列保留为后续采集模板，不代表字段不存在。,,,,,,,,,
,,,,,,,,,
Schema实体,中文名称,记录数,字段列数,完整经纬度,H3双分辨率,空间设施引用,needs_review,坐标覆盖率,H3覆盖率
TransitHub,交通枢纽,4,49,0,0,4,4,0.0,0.0
TransitLine,公交线路,302,34,0,0,0,302,0.0,0.0
TransitRoute,交通路线,372,38,0,0,0,372,0.0,0.0
TransitStop,公交站点,3630,45,2038,2038,1592,3630,0.5614325068870524,0.5614325068870524
TransitFacility,交通设施,5279,55,5273,5273,0,5279,0.9988634211024815,0.9988634211024815
TransportFareRule,票价规则,17,33,0,0,0,17,0.0,0.0
,,,,,,,,,
,,,,,,,,,
关系类型,数量,用途说明,,使用约定,,,,,
COLLECTED_IN,9604,采集批次,,实体表首行为机器字段名；中文释义、类型和约束见“字段字典”。,,,,,
LineHasRoute,372,线路连接到运行方向/路线,,多值字段以 JSON 数组保存，不能按中文顿号拆分后覆盖原值。,,,,,
NextStop,7701,同一路线内相邻站点,,TransitStop 可能通过 spatialFacility 读取地图坐标；无自带 H3 不等于无法定位。,,,,,
REF_APPLICABLE_ADMIN_AREA,17,票价规则适用行政区,,RouteStopsAt 必须按 seq 排序；NextStop 必须结合 routeId，不能跨路线串联。,,,,,
REF_BELONGS_TO_LINE,372,路线反向引用所属线路,,票价与首末班时间是动态事实，对外回答前必须检查 fieldUpdatedAt/dataQuality。,,,,,
REF_LOCATED_IN_ADMIN_AREA,8797,实体所属区县,,,,,,,
REF_SPATIAL_FACILITY,1596,语义站点或枢纽连接地图空间设施,,,,,,,
RouteStopsAt,8073,路线按 seq 顺序停靠站点,,,,,,,
SOURCED_FROM,16925,字段来源,,,,,,,
