id,name,type,sourceMode,hasShelter,sourcePlaceId,amapPoiId,address,province,city,district,adcode,coordinateSystem,servedLineCount,servedDirectionCount,routeShortNames,coordinateSource,coordinateMethod,qualityStatus,qualityNotes,dataStatus,sourceUrl,sourceCoordinateText,spatialFacility,locatedInAdminArea,latitude,longitude,h3Index,h3IndexCoarse,geoPrecision,sourceId,fieldSources,fieldUpdatedAt,batchId,externalIds,lastVerifiedAt,verifiedBy,dataQuality,contentHash,createdAt,updatedAt,lastSeenAt,referencedBy,archivedAt,archiveReason
transitstop_metro_44f55be2695e6d105c34,窦官,地铁,地铁,,,,,贵州省,贵阳市,,,GCJ02,1,,"[""1号线""]",贵阳交通运营集团官网,官网坐标按BD-09推断转换为GCJ-02,VALID_WITH_INFERRED_SOURCE_CRS,官网未显式声明坐标系；按BD-09特征推断并转换，待运营方确认,OFFICIAL_ONLY,,,,admin_520115,26.653416,106.569331,89400c7638fffff,87400c763ffffff,exact,src_transport_dataset,"[""name:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""province:src_transport_dataset"",""city:src_transport_dataset"",""servedLineCount:src_transport_dataset"",""routeShortNames:src_transport_dataset"",""coordinateSource:src_transport_dataset"",""coordinateMethod:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""dataStatus:src_transport_dataset"",""externalIds:src_transport_dataset"",""latitude:src_transport_dataset"",""longitude:src_transport_dataset"",""coordinateSystem:src_transport_dataset"",""h3Index:src_transport_dataset"",""h3IndexCoarse:src_transport_dataset"",""geoPrecision:src_transport_dataset"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-09-07"",""type:2026-09-07"",""sourceMode:2026-09-07"",""province:2026-09-07"",""city:2026-09-07"",""servedLineCount:2026-09-07"",""routeShortNames:2026-09-07"",""coordinateSource:2026-09-07"",""coordinateMethod:2026-09-07"",""qualityStatus:2026-09-07"",""qualityNotes:2026-09-07"",""dataStatus:2026-09-07"",""externalIds:2026-09-07"",""latitude:2026-09-07"",""longitude:2026-09-07"",""coordinateSystem:2026-09-07"",""h3Index:2026-09-07"",""h3IndexCoarse:2026-09-07"",""geoPrecision:2026-09-07"",""locatedInAdminArea:2026-09-15""]",transport-structured-20260907,"[""transport-metro-stop:GY-RAIL-ST-001""]",,,needs_review,3b898e63935a28e636a4614b120c0b1bdb600b3de33ea5a18a53db556aafc072,2026-09-07,2026-09-07,2026-09-07,1,,
transitstop_metro_a9ae4487964cce33a442,下麦西,地铁,地铁,,,,,贵州省,贵阳市,,,GCJ02,1,,"[""1号线""]",贵阳交通运营集团官网,官网坐标按BD-09推断转换为GCJ-02,VALID_WITH_INFERRED_SOURCE_CRS,官网未显式声明坐标系；按BD-09特征推断并转换，待运营方确认,OFFICIAL_ONLY,,,,admin_520115,26.655549,106.579826,89400c763d3ffff,87400c763ffffff,exact,src_transport_dataset,"[""name:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""province:src_transport_dataset"",""city:src_transport_dataset"",""servedLineCount:src_transport_dataset"",""routeShortNames:src_transport_dataset"",""coordinateSource:src_transport_dataset"",""coordinateMethod:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""dataStatus:src_transport_dataset"",""externalIds:src_transport_dataset"",""latitude:src_transport_dataset"",""longitude:src_transport_dataset"",""coordinateSystem:src_transport_dataset"",""h3Index:src_transport_dataset"",""h3IndexCoarse:src_transport_dataset"",""geoPrecision:src_transport_dataset"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-09-07"",""type:2026-09-07"",""sourceMode:2026-09-07"",""province:2026-09-07"",""city:2026-09-07"",""servedLineCount:2026-09-07"",""routeShortNames:2026-09-07"",""coordinateSource:2026-09-07"",""coordinateMethod:2026-09-07"",""qualityStatus:2026-09-07"",""qualityNotes:2026-09-07"",""dataStatus:2026-09-07"",""externalIds:2026-09-07"",""latitude:2026-09-07"",""longitude:2026-09-07"",""coordinateSystem:2026-09-07"",""h3Index:2026-09-07"",""h3IndexCoarse:2026-09-07"",""geoPrecision:2026-09-07"",""locatedInAdminArea:2026-09-15""]",transport-structured-20260907,"[""transport-metro-stop:GY-RAIL-ST-002""]",,,needs_review,dfc5c4b07f24e230afb7c8d4efdb464867a2f5619fdf341cdf8a03f35aa43856,2026-09-07,2026-09-07,2026-09-07,2,,
transitstop_metro_f59dded580708e1b38cb,老湾塘,地铁,地铁,,,,,贵州省,贵阳市,,,GCJ02,1,,"[""1号线""]",贵阳交通运营集团官网,官网坐标按BD-09推断转换为GCJ-02,VALID_WITH_INFERRED_SOURCE_CRS,官网未显式声明坐标系；按BD-09特征推断并转换，待运营方确认,OFFICIAL_ONLY,,,,admin_520115,26.648358,106.590241,89400c76043ffff,87400c760ffffff,exact,src_transport_dataset,"[""name:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""province:src_transport_dataset"",""city:src_transport_dataset"",""servedLineCount:src_transport_dataset"",""routeShortNames:src_transport_dataset"",""coordinateSource:src_transport_dataset"",""coordinateMethod:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""dataStatus:src_transport_dataset"",""externalIds:src_transport_dataset"",""latitude:src_transport_dataset"",""longitude:src_transport_dataset"",""coordinateSystem:src_transport_dataset"",""h3Index:src_transport_dataset"",""h3IndexCoarse:src_transport_dataset"",""geoPrecision:src_transport_dataset"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-09-07"",""type:2026-09-07"",""sourceMode:2026-09-07"",""province:2026-09-07"",""city:2026-09-07"",""servedLineCount:2026-09-07"",""routeShortNames:2026-09-07"",""coordinateSource:2026-09-07"",""coordinateMethod:2026-09-07"",""qualityStatus:2026-09-07"",""qualityNotes:2026-09-07"",""dataStatus:2026-09-07"",""externalIds:2026-09-07"",""latitude:2026-09-07"",""longitude:2026-09-07"",""coordinateSystem:2026-09-07"",""h3Index:2026-09-07"",""h3IndexCoarse:2026-09-07"",""geoPrecision:2026-09-07"",""locatedInAdminArea:2026-09-15""]",transport-structured-20260907,"[""transport-metro-stop:GY-RAIL-ST-003""]",,,needs_review,4c2e435bd1b8109c2bb379ae169e19379fc1bea33b527bbba095369fc7a6787b,2026-09-07,2026-09-07,2026-09-07,2,,
transitstop_metro_d4925380fce48029a2b3,阅山湖公园,地铁,地铁,,,,,贵州省,贵阳市,,,GCJ02,1,,"[""1号线""]",贵阳交通运营集团官网,官网坐标按BD-09推断转换为GCJ-02,VALID_WITH_INFERRED_SOURCE_CRS,官网未显式声明坐标系；按BD-09特征推断并转换，待运营方确认,OFFICIAL_ONLY,,,,admin_520115,26.64605,106.608239,89400c76603ffff,87400c766ffffff,exact,src_transport_dataset,"[""name:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""province:src_transport_dataset"",""city:src_transport_dataset"",""servedLineCount:src_transport_dataset"",""routeShortNames:src_transport_dataset"",""coordinateSource:src_transport_dataset"",""coordinateMethod:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""dataStatus:src_transport_dataset"",""externalIds:src_transport_dataset"",""latitude:src_transport_dataset"",""longitude:src_transport_dataset"",""coordinateSystem:src_transport_dataset"",""h3Index:src_transport_dataset"",""h3IndexCoarse:src_transport_dataset"",""geoPrecision:src_transport_dataset"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-09-07"",""type:2026-09-07"",""sourceMode:2026-09-07"",""province:2026-09-07"",""city:2026-09-07"",""servedLineCount:2026-09-07"",""routeShortNames:2026-09-07"",""coordinateSource:2026-09-07"",""coordinateMethod:2026-09-07"",""qualityStatus:2026-09-07"",""qualityNotes:2026-09-07"",""dataStatus:2026-09-07"",""externalIds:2026-09-07"",""latitude:2026-09-07"",""longitude:2026-09-07"",""coordinateSystem:2026-09-07"",""h3Index:2026-09-07"",""h3IndexCoarse:2026-09-07"",""geoPrecision:2026-09-07"",""locatedInAdminArea:2026-09-15""]",transport-structured-20260907,"[""transport-metro-stop:GY-RAIL-ST-004""]",,,needs_review,d19902d1bdd8b6fca70b611eedc53daa02fb6a4b1e25c72abaf862b2f63c7fdb,2026-09-07,2026-09-07,2026-09-07,2,,
transitstop_metro_97173a47297cd0c88bb3,林城西路,地铁,地铁,,BV10884259,BV10884259,,贵州省,贵阳市,观山湖区,520115,,2,,"[""1号线"",""2号线""]",高德POI快照,高德原始GCJ-02,VALID,官网坐标按BD-09转换后与高德相差11.3米,MATCHED_BY_NAME_AND_COORDINATE,,latitude=26.645228;longitude=106.617487;coordinateSystem=GCJ02,transitfacility_amap_BV10884259,admin_520115_a1dc1c89,,,,,none,src_transport_dataset,"[""name:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""sourcePlaceId:src_transport_dataset"",""amapPoiId:src_transport_dataset"",""province:src_transport_dataset"",""city:src_transport_dataset"",""district:src_transport_dataset"",""adcode:src_transport_dataset"",""servedLineCount:src_transport_dataset"",""routeShortNames:src_transport_dataset"",""coordinateSource:src_transport_dataset"",""coordinateMethod:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""dataStatus:src_transport_dataset"",""locatedInAdminArea:src_transport_dataset"",""externalIds:src_transport_dataset"",""spatialFacility:src_transport_dataset"",""sourceCoordinateText:src_transport_dataset"",""geoPrecision:src_transport_dataset""]","[""name:2026-05-12"",""type:2026-05-12"",""sourceMode:2026-05-12"",""sourcePlaceId:2026-05-12"",""amapPoiId:2026-05-12"",""province:2026-05-12"",""city:2026-05-12"",""district:2026-05-12"",""adcode:2026-05-12"",""servedLineCount:2026-05-12"",""routeShortNames:2026-05-12"",""coordinateSource:2026-05-12"",""coordinateMethod:2026-05-12"",""qualityStatus:2026-05-12"",""qualityNotes:2026-05-12"",""dataStatus:2026-05-12"",""locatedInAdminArea:2026-05-12"",""externalIds:2026-05-12"",""spatialFacility:2026-05-12"",""sourceCoordinateText:2026-05-12"",""geoPrecision:2026-05-12""]",transport-structured-20260907,"[""transport-metro-stop:GY-RAIL-ST-005"",""amap:BV10884259""]",,,needs_review,406c06773ec190d21d55827eebabb559ef25bfa4bd8d665cb11a2f3240492e00,2026-05-12,2026-05-12,2026-05-12,4,,
transitstop_metro_c90295bb7640456990fb,观山湖公园,地铁,地铁,,BV10805823,BV10805823,,贵州省,贵阳市,观山湖区,520115,,1,,"[""1号线""]",高德POI快照,高德原始GCJ-02,VALID,官网坐标按BD-09转换后与高德相差22.3米,MATCHED_BY_NAME_AND_COORDINATE,,latitude=26.645091;longitude=106.631587;coordinateSystem=GCJ02,transitfacility_amap_BV10805823,admin_520115_a1dc1c89,,,,,none,src_transport_dataset,"[""name:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""sourcePlaceId:src_transport_dataset"",""amapPoiId:src_transport_dataset"",""province:src_transport_dataset"",""city:src_transport_dataset"",""district:src_transport_dataset"",""adcode:src_transport_dataset"",""servedLineCount:src_transport_dataset"",""routeShortNames:src_transport_dataset"",""coordinateSource:src_transport_dataset"",""coordinateMethod:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""dataStatus:src_transport_dataset"",""locatedInAdminArea:src_transport_dataset"",""externalIds:src_transport_dataset"",""spatialFacility:src_transport_dataset"",""sourceCoordinateText:src_transport_dataset"",""geoPrecision:src_transport_dataset""]","[""name:2026-05-12"",""type:2026-05-12"",""sourceMode:2026-05-12"",""sourcePlaceId:2026-05-12"",""amapPoiId:2026-05-12"",""province:2026-05-12"",""city:2026-05-12"",""district:2026-05-12"",""adcode:2026-05-12"",""servedLineCount:2026-05-12"",""routeShortNames:2026-05-12"",""coordinateSource:2026-05-12"",""coordinateMethod:2026-05-12"",""qualityStatus:2026-05-12"",""qualityNotes:2026-05-12"",""dataStatus:2026-05-12"",""locatedInAdminArea:2026-05-12"",""externalIds:2026-05-12"",""spatialFacility:2026-05-12"",""sourceCoordinateText:2026-05-12"",""geoPrecision:2026-05-12""]",transport-structured-20260907,"[""transport-metro-stop:GY-RAIL-ST-006"",""amap:BV10805823""]",,,needs_review,d869865e7e0129fc0ae802635cc47a95a6495e2308258b2973caa64084d84069,2026-05-12,2026-05-12,2026-05-12,2,,
transitstop_metro_f79cc0f422aab96c22f9,国际生态会议中心,地铁,地铁,,BV10805828,BV10805828,,贵州省,贵阳市,观山湖区,520115,,1,,"[""1号线""]",高德POI快照,高德原始GCJ-02,VALID,官网坐标按BD-09转换后与高德相差16.4米,MATCHED_BY_NAME_AND_COORDINATE,,latitude=26.645633;longitude=106.648565;coordinateSystem=GCJ02,transitfacility_amap_BV10805828,admin_520115_a1dc1c89,,,,,none,src_transport_dataset,"[""name:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""sourcePlaceId:src_transport_dataset"",""amapPoiId:src_transport_dataset"",""province:src_transport_dataset"",""city:src_transport_dataset"",""district:src_transport_dataset"",""adcode:src_transport_dataset"",""servedLineCount:src_transport_dataset"",""routeShortNames:src_transport_dataset"",""coordinateSource:src_transport_dataset"",""coordinateMethod:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""dataStatus:src_transport_dataset"",""locatedInAdminArea:src_transport_dataset"",""externalIds:src_transport_dataset"",""spatialFacility:src_transport_dataset"",""sourceCoordinateText:src_transport_dataset"",""geoPrecision:src_transport_dataset""]","[""name:2026-05-12"",""type:2026-05-12"",""sourceMode:2026-05-12"",""sourcePlaceId:2026-05-12"",""amapPoiId:2026-05-12"",""province:2026-05-12"",""city:2026-05-12"",""district:2026-05-12"",""adcode:2026-05-12"",""servedLineCount:2026-05-12"",""routeShortNames:2026-05-12"",""coordinateSource:2026-05-12"",""coordinateMethod:2026-05-12"",""qualityStatus:2026-05-12"",""qualityNotes:2026-05-12"",""dataStatus:2026-05-12"",""locatedInAdminArea:2026-05-12"",""externalIds:2026-05-12"",""spatialFacility:2026-05-12"",""sourceCoordinateText:2026-05-12"",""geoPrecision:2026-05-12""]",transport-structured-20260907,"[""transport-metro-stop:GY-RAIL-ST-007"",""amap:BV10805828""]",,,needs_review,08e565dbddf5e0a084cd448d1eb930a611b9bb2a75a8c43eeed23ceee6f5a4ac,2026-05-12,2026-05-12,2026-05-12,2,,
transitstop_metro_4e3548e029a609150386,阳关,地铁,地铁,,BV10805822,BV10805822,,贵州省,贵阳市,观山湖区,520115,,1,,"[""1号线""]",高德POI快照,高德原始GCJ-02,VALID,官网坐标按BD-09转换后与高德相差51.4米,MATCHED_BY_NAME_AND_COORDINATE,,latitude=26.639058;longitude=106.655737;coordinateSystem=GCJ02,transitfacility_amap_BV10805822,admin_520115_a1dc1c89,,,,,none,src_transport_dataset,"[""name:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""sourcePlaceId:src_transport_dataset"",""amapPoiId:src_transport_dataset"",""province:src_transport_dataset"",""city:src_transport_dataset"",""district:src_transport_dataset"",""adcode:src_transport_dataset"",""servedLineCount:src_transport_dataset"",""routeShortNames:src_transport_dataset"",""coordinateSource:src_transport_dataset"",""coordinateMethod:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""dataStatus:src_transport_dataset"",""locatedInAdminArea:src_transport_dataset"",""externalIds:src_transport_dataset"",""spatialFacility:src_transport_dataset"",""sourceCoordinateText:src_transport_dataset"",""geoPrecision:src_transport_dataset""]","[""name:2026-05-12"",""type:2026-05-12"",""sourceMode:2026-05-12"",""sourcePlaceId:2026-05-12"",""amapPoiId:2026-05-12"",""province:2026-05-12"",""city:2026-05-12"",""district:2026-05-12"",""adcode:2026-05-12"",""servedLineCount:2026-05-12"",""routeShortNames:2026-05-12"",""coordinateSource:2026-05-12"",""coordinateMethod:2026-05-12"",""qualityStatus:2026-05-12"",""qualityNotes:2026-05-12"",""dataStatus:2026-05-12"",""locatedInAdminArea:2026-05-12"",""externalIds:2026-05-12"",""spatialFacility:2026-05-12"",""sourceCoordinateText:2026-05-12"",""geoPrecision:2026-05-12""]",transport-structured-20260907,"[""transport-metro-stop:GY-RAIL-ST-008"",""amap:BV10805822""]",,,needs_review,2b089ed9f57c4a2793c3246cb4621267e08d3434edfa0621006839525cbc2136,2026-05-12,2026-05-12,2026-05-12,2,,
transitstop_metro_b3a4cae3ee005881e23a,新寨,地铁,地铁,,BV10805838,BV10805838,,贵州省,贵阳市,观山湖区,520115,,1,,"[""1号线""]",高德POI快照,高德原始GCJ-02,VALID,官网坐标按BD-09转换后与高德相差4.5米,MATCHED_BY_NAME_AND_COORDINATE,,latitude=26.629075;longitude=106.654321;coordinateSystem=GCJ02,transitfacility_amap_BV10805838,admin_520115_a1dc1c89,,,,,none,src_transport_dataset,"[""name:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""sourcePlaceId:src_transport_dataset"",""amapPoiId:src_transport_dataset"",""province:src_transport_dataset"",""city:src_transport_dataset"",""district:src_transport_dataset"",""adcode:src_transport_dataset"",""servedLineCount:src_transport_dataset"",""routeShortNames:src_transport_dataset"",""coordinateSource:src_transport_dataset"",""coordinateMethod:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""dataStatus:src_transport_dataset"",""locatedInAdminArea:src_transport_dataset"",""externalIds:src_transport_dataset"",""spatialFacility:src_transport_dataset"",""sourceCoordinateText:src_transport_dataset"",""geoPrecision:src_transport_dataset""]","[""name:2026-05-12"",""type:2026-05-12"",""sourceMode:2026-05-12"",""sourcePlaceId:2026-05-12"",""amapPoiId:2026-05-12"",""province:2026-05-12"",""city:2026-05-12"",""district:2026-05-12"",""adcode:2026-05-12"",""servedLineCount:2026-05-12"",""routeShortNames:2026-05-12"",""coordinateSource:2026-05-12"",""coordinateMethod:2026-05-12"",""qualityStatus:2026-05-12"",""qualityNotes:2026-05-12"",""dataStatus:2026-05-12"",""locatedInAdminArea:2026-05-12"",""externalIds:2026-05-12"",""spatialFacility:2026-05-12"",""sourceCoordinateText:2026-05-12"",""geoPrecision:2026-05-12""]",transport-structured-20260907,"[""transport-metro-stop:GY-RAIL-ST-009"",""amap:BV10805838""]",,,needs_review,7d0b059112a3a837637db3a1d6c784033cfa47f9a44667b79ba16697fb30914e,2026-05-12,2026-05-12,2026-05-12,2,,
transitstop_metro_1e5b986706ae97475fa7,白鹭湖,地铁,地铁,,BV10805844,BV10805844,,贵州省,贵阳市,观山湖区,520115,,1,,"[""1号线""]",高德POI快照,高德原始GCJ-02,VALID,官网坐标按BD-09转换后与高德相差29.5米,MATCHED_BY_NAME_AND_COORDINATE,,latitude=26.619642;longitude=106.661739;coordinateSystem=GCJ02,transitfacility_amap_BV10805844,admin_520115_a1dc1c89,,,,,none,src_transport_dataset,"[""name:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""sourcePlaceId:src_transport_dataset"",""amapPoiId:src_transport_dataset"",""province:src_transport_dataset"",""city:src_transport_dataset"",""district:src_transport_dataset"",""adcode:src_transport_dataset"",""servedLineCount:src_transport_dataset"",""routeShortNames:src_transport_dataset"",""coordinateSource:src_transport_dataset"",""coordinateMethod:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""dataStatus:src_transport_dataset"",""locatedInAdminArea:src_transport_dataset"",""externalIds:src_transport_dataset"",""spatialFacility:src_transport_dataset"",""sourceCoordinateText:src_transport_dataset"",""geoPrecision:src_transport_dataset""]","[""name:2026-05-12"",""type:2026-05-12"",""sourceMode:2026-05-12"",""sourcePlaceId:2026-05-12"",""amapPoiId:2026-05-12"",""province:2026-05-12"",""city:2026-05-12"",""district:2026-05-12"",""adcode:2026-05-12"",""servedLineCount:2026-05-12"",""routeShortNames:2026-05-12"",""coordinateSource:2026-05-12"",""coordinateMethod:2026-05-12"",""qualityStatus:2026-05-12"",""qualityNotes:2026-05-12"",""dataStatus:2026-05-12"",""locatedInAdminArea:2026-05-12"",""externalIds:2026-05-12"",""spatialFacility:2026-05-12"",""sourceCoordinateText:2026-05-12"",""geoPrecision:2026-05-12""]",transport-structured-20260907,"[""transport-metro-stop:GY-RAIL-ST-010"",""amap:BV10805844""]",,,needs_review,4d3d108b88718c16260b444ef3b596eeb16f2b8c7e0e44ffb9b538376740e83f,2026-05-12,2026-05-12,2026-05-12,2,,
