id,name,shortName,type,sourceMode,basicFare,isTouristLine,operator,lineCode,evidenceStatus,directionCount,servedStopCount,operators,coverageStatus,qualityStatus,qualityNotes,completenessStatus,dataStatus,sourceUrl,sourceId,fieldSources,fieldUpdatedAt,batchId,externalIds,lastVerifiedAt,verifiedBy,dataQuality,contentHash,createdAt,updatedAt,lastSeenAt,referencedBy,archivedAt,archiveReason
transitline_metro_7d3818d5e430b9be3020,1号线,1号线,地铁,地铁,,否,,L1,,,25,,SOURCE_SEQUENCE_COMPLETE,VALID_WITH_INFERRED_SOURCE_CRS,站名、线路和站序为官网原始顺序；坐标源CRS由61个高德匹配站验证后推断,,,https://www.gyurt.com/,src_transport_dataset,"[""name:src_transport_dataset"",""shortName:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""isTouristLine:src_transport_dataset"",""lineCode:src_transport_dataset"",""servedStopCount:src_transport_dataset"",""coverageStatus:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""externalIds:src_transport_dataset""]","[""name:2026-09-07"",""shortName:2026-09-07"",""type:2026-09-07"",""sourceMode:2026-09-07"",""isTouristLine:2026-09-07"",""lineCode:2026-09-07"",""servedStopCount:2026-09-07"",""coverageStatus:2026-09-07"",""qualityStatus:2026-09-07"",""qualityNotes:2026-09-07"",""sourceUrl:2026-09-07"",""externalIds:2026-09-07""]",transport-structured-20260907,"[""transport-metro-line:GY-RAIL-L1""]",,,needs_review,12a11ced677b429e5764b106897b6612097becb8fcfd392bd5e44cbb9fdb6ab5,2026-09-07,2026-09-07,2026-09-07,1,,
transitline_metro_2231a10a44a8e8bd4d07,2号线,2号线,地铁,地铁,,否,,L2,,,32,,SOURCE_SEQUENCE_COMPLETE,VALID_WITH_INFERRED_SOURCE_CRS,站名、线路和站序为官网原始顺序；坐标源CRS由61个高德匹配站验证后推断,,,https://www.gyurt.com/,src_transport_dataset,"[""name:src_transport_dataset"",""shortName:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""isTouristLine:src_transport_dataset"",""lineCode:src_transport_dataset"",""servedStopCount:src_transport_dataset"",""coverageStatus:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""externalIds:src_transport_dataset""]","[""name:2026-09-07"",""shortName:2026-09-07"",""type:2026-09-07"",""sourceMode:2026-09-07"",""isTouristLine:2026-09-07"",""lineCode:2026-09-07"",""servedStopCount:2026-09-07"",""coverageStatus:2026-09-07"",""qualityStatus:2026-09-07"",""qualityNotes:2026-09-07"",""sourceUrl:2026-09-07"",""externalIds:2026-09-07""]",transport-structured-20260907,"[""transport-metro-line:GY-RAIL-L2""]",,,needs_review,4a17978ecb70ce8f0e2e2ac2b4e5991812358c6b4becabbabdd366cafb50ad4b,2026-09-07,2026-09-07,2026-09-07,1,,
transitline_metro_7d6bb8f6df5ead057c1b,3号线,3号线,地铁,地铁,,否,,L3,,,29,,SOURCE_SEQUENCE_COMPLETE,VALID_WITH_INFERRED_SOURCE_CRS,站名、线路和站序为官网原始顺序；坐标源CRS由61个高德匹配站验证后推断,,,https://www.gyurt.com/,src_transport_dataset,"[""name:src_transport_dataset"",""shortName:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""isTouristLine:src_transport_dataset"",""lineCode:src_transport_dataset"",""servedStopCount:src_transport_dataset"",""coverageStatus:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""externalIds:src_transport_dataset""]","[""name:2026-09-07"",""shortName:2026-09-07"",""type:2026-09-07"",""sourceMode:2026-09-07"",""isTouristLine:2026-09-07"",""lineCode:2026-09-07"",""servedStopCount:2026-09-07"",""coverageStatus:2026-09-07"",""qualityStatus:2026-09-07"",""qualityNotes:2026-09-07"",""sourceUrl:2026-09-07"",""externalIds:2026-09-07""]",transport-structured-20260907,"[""transport-metro-line:GY-RAIL-L3""]",,,needs_review,7c698a4bb28385fcbeff825356188dbcf60f49bad796bab57e9f73e470da505a,2026-09-07,2026-09-07,2026-09-07,1,,
transitline_metro_dadbbe7c2ba6ef61c475,S1线,S1线,地铁,市域铁路,,否,,S1,,,13,,SOURCE_SEQUENCE_COMPLETE,VALID_WITH_INFERRED_SOURCE_CRS,站名、线路和站序为官网原始顺序；坐标源CRS由61个高德匹配站验证后推断,,,https://www.gyurt.com/,src_transport_dataset,"[""name:src_transport_dataset"",""shortName:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""isTouristLine:src_transport_dataset"",""lineCode:src_transport_dataset"",""servedStopCount:src_transport_dataset"",""coverageStatus:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""externalIds:src_transport_dataset""]","[""name:2026-09-07"",""shortName:2026-09-07"",""type:2026-09-07"",""sourceMode:2026-09-07"",""isTouristLine:2026-09-07"",""lineCode:2026-09-07"",""servedStopCount:2026-09-07"",""coverageStatus:2026-09-07"",""qualityStatus:2026-09-07"",""qualityNotes:2026-09-07"",""sourceUrl:2026-09-07"",""externalIds:2026-09-07""]",transport-structured-20260907,"[""transport-metro-line:GY-RAIL-S1""]",,,needs_review,44615c9b9bf0c7b56e497ab97b893f8638ecefce46f5f67100e3c345aea48ab1,2026-09-07,2026-09-07,2026-09-07,1,,
transitline_bus_b474d4cdf77a550bf5dc,1路,1路,公交,公交,2,否,贵阳公交集团南明客运分公司,,AMAP_CURRENT_ACTIVE,1,20,"[""贵阳公交集团南明客运分公司""]",CURRENT_API_ACTIVE_PARTIAL_REFRESH,VALID_CURRENT_API,2026-09-07在线公交接口返回status=1；方向、站序、票价、时间和轨迹按响应更新。,YES,,https://restapi.amap.com/v3/bus/linename,src_transport_dataset,"[""name:src_transport_dataset"",""shortName:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""isTouristLine:src_transport_dataset"",""evidenceStatus:src_transport_dataset"",""directionCount:src_transport_dataset"",""servedStopCount:src_transport_dataset"",""operators:src_transport_dataset"",""coverageStatus:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""completenessStatus:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""externalIds:src_transport_dataset"",""operator:src_transport_dataset"",""basicFare:src_transport_dataset""]","[""name:2026-09-07"",""shortName:2026-09-07"",""type:2026-09-07"",""sourceMode:2026-09-07"",""isTouristLine:2026-09-07"",""evidenceStatus:2026-09-07"",""directionCount:2026-09-07"",""servedStopCount:2026-09-07"",""operators:2026-09-07"",""coverageStatus:2026-09-07"",""qualityStatus:2026-09-07"",""qualityNotes:2026-09-07"",""completenessStatus:2026-09-07"",""sourceUrl:2026-09-07"",""externalIds:2026-09-07"",""operator:2026-09-07"",""basicFare:2026-09-07""]",transport-structured-20260907,"[""transport-bus-line:amap:guiyang:bus_route:1路""]",,,needs_review,7fb0763628f83b28abbf8fc9b21e41975d796451931a7fe2d4de4c5a67236131,2026-09-07,2026-09-07,2026-09-07,1,,
transitline_bus_0ea2c1b0a642b95130af,2路,2路,公交,公交,2,否,贵阳公交集团南明客运分公司,,AMAP_CURRENT_ACTIVE,1,19,"[""贵阳公交集团南明客运分公司""]",CURRENT_API_ACTIVE_PARTIAL_REFRESH,VALID_CURRENT_API,2026-09-07在线公交接口返回status=1；方向、站序、票价、时间和轨迹按响应更新。,YES,,https://restapi.amap.com/v3/bus/linename,src_transport_dataset,"[""name:src_transport_dataset"",""shortName:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""isTouristLine:src_transport_dataset"",""evidenceStatus:src_transport_dataset"",""directionCount:src_transport_dataset"",""servedStopCount:src_transport_dataset"",""operators:src_transport_dataset"",""coverageStatus:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""completenessStatus:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""externalIds:src_transport_dataset"",""operator:src_transport_dataset"",""basicFare:src_transport_dataset""]","[""name:2026-09-07"",""shortName:2026-09-07"",""type:2026-09-07"",""sourceMode:2026-09-07"",""isTouristLine:2026-09-07"",""evidenceStatus:2026-09-07"",""directionCount:2026-09-07"",""servedStopCount:2026-09-07"",""operators:2026-09-07"",""coverageStatus:2026-09-07"",""qualityStatus:2026-09-07"",""qualityNotes:2026-09-07"",""completenessStatus:2026-09-07"",""sourceUrl:2026-09-07"",""externalIds:2026-09-07"",""operator:2026-09-07"",""basicFare:2026-09-07""]",transport-structured-20260907,"[""transport-bus-line:amap:guiyang:bus_route:2路""]",,,needs_review,d5d1d915edb6f310c38677ecc8a1cf754652ea9601f4af1372ea028fa2ae55a5,2026-09-07,2026-09-07,2026-09-07,1,,
transitline_bus_a846219400053c96d1ed,5路,5路,公交,公交,2,否,贵阳公交集团小河客运分公司,,AMAP_CURRENT_ACTIVE,2,33,"[""贵阳公交集团小河客运分公司""]",CURRENT_API_ACTIVE_PARTIAL_REFRESH,VALID_CURRENT_API,2026-09-07在线公交接口返回status=1；方向、站序、票价、时间和轨迹按响应更新。,YES,,https://restapi.amap.com/v3/bus/linename,src_transport_dataset,"[""name:src_transport_dataset"",""shortName:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""isTouristLine:src_transport_dataset"",""evidenceStatus:src_transport_dataset"",""directionCount:src_transport_dataset"",""servedStopCount:src_transport_dataset"",""operators:src_transport_dataset"",""coverageStatus:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""completenessStatus:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""externalIds:src_transport_dataset"",""operator:src_transport_dataset"",""basicFare:src_transport_dataset""]","[""name:2026-09-07"",""shortName:2026-09-07"",""type:2026-09-07"",""sourceMode:2026-09-07"",""isTouristLine:2026-09-07"",""evidenceStatus:2026-09-07"",""directionCount:2026-09-07"",""servedStopCount:2026-09-07"",""operators:2026-09-07"",""coverageStatus:2026-09-07"",""qualityStatus:2026-09-07"",""qualityNotes:2026-09-07"",""completenessStatus:2026-09-07"",""sourceUrl:2026-09-07"",""externalIds:2026-09-07"",""operator:2026-09-07"",""basicFare:2026-09-07""]",transport-structured-20260907,"[""transport-bus-line:amap:guiyang:bus_route:5路""]",,,needs_review,c06593f9578ad1152a3550645da8fe3078d60617f43cb94773c491daf9c09347,2026-09-07,2026-09-07,2026-09-07,2,,
transitline_bus_2dfa249ad56230cfe3a8,6路,6路,公交,公交,2,否,贵阳公交集团,,AMAP_CURRENT_ACTIVE,2,32,"[""贵阳公交集团"",""贵阳公交集团小河客运分公司""]",CURRENT_API_ACTIVE_PARTIAL_REFRESH,VALID_CURRENT_API,2026-09-07在线公交接口返回status=1；方向、站序、票价、时间和轨迹按响应更新。,YES,,https://restapi.amap.com/v3/bus/linename,src_transport_dataset,"[""name:src_transport_dataset"",""shortName:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""isTouristLine:src_transport_dataset"",""evidenceStatus:src_transport_dataset"",""directionCount:src_transport_dataset"",""servedStopCount:src_transport_dataset"",""operators:src_transport_dataset"",""coverageStatus:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""completenessStatus:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""externalIds:src_transport_dataset"",""operator:src_transport_dataset"",""basicFare:src_transport_dataset""]","[""name:2026-09-07"",""shortName:2026-09-07"",""type:2026-09-07"",""sourceMode:2026-09-07"",""isTouristLine:2026-09-07"",""evidenceStatus:2026-09-07"",""directionCount:2026-09-07"",""servedStopCount:2026-09-07"",""operators:2026-09-07"",""coverageStatus:2026-09-07"",""qualityStatus:2026-09-07"",""qualityNotes:2026-09-07"",""completenessStatus:2026-09-07"",""sourceUrl:2026-09-07"",""externalIds:2026-09-07"",""operator:2026-09-07"",""basicFare:2026-09-07""]",transport-structured-20260907,"[""transport-bus-line:amap:guiyang:bus_route:6路""]",,,needs_review,c950a651b96370c60b0e4191f6c6f257957bd9a805193a79500a4a317ea0ad75,2026-09-07,2026-09-07,2026-09-07,2,,
transitline_bus_c7b60ca9118d83cd2b49,8路,8路,公交,公交,2,否,贵阳公交集团,,AMAP_CURRENT_ACTIVE,2,25,"[""贵阳公交集团"",""贵阳公交集团南明客运分公司""]",CURRENT_API_ACTIVE_PARTIAL_REFRESH,VALID_CURRENT_API,2026-09-07在线公交接口返回status=1；方向、站序、票价、时间和轨迹按响应更新。,YES,,https://restapi.amap.com/v3/bus/linename,src_transport_dataset,"[""name:src_transport_dataset"",""shortName:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""isTouristLine:src_transport_dataset"",""evidenceStatus:src_transport_dataset"",""directionCount:src_transport_dataset"",""servedStopCount:src_transport_dataset"",""operators:src_transport_dataset"",""coverageStatus:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""completenessStatus:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""externalIds:src_transport_dataset"",""operator:src_transport_dataset"",""basicFare:src_transport_dataset""]","[""name:2026-09-07"",""shortName:2026-09-07"",""type:2026-09-07"",""sourceMode:2026-09-07"",""isTouristLine:2026-09-07"",""evidenceStatus:2026-09-07"",""directionCount:2026-09-07"",""servedStopCount:2026-09-07"",""operators:2026-09-07"",""coverageStatus:2026-09-07"",""qualityStatus:2026-09-07"",""qualityNotes:2026-09-07"",""completenessStatus:2026-09-07"",""sourceUrl:2026-09-07"",""externalIds:2026-09-07"",""operator:2026-09-07"",""basicFare:2026-09-07""]",transport-structured-20260907,"[""transport-bus-line:amap:guiyang:bus_route:8路""]",,,needs_review,09622d3140f4198c635572252afc9898542c0e9efe235fa98ae57781da16495f,2026-09-07,2026-09-07,2026-09-07,2,,
transitline_bus_72a5f18b2367c01f8f48,15路,15路,公交,公交,2,否,贵阳公交集团,,AMAP_CURRENT_ACTIVE,2,52,"[""贵阳公交集团"",""贵阳公交集团云岩客运分公司""]",CURRENT_API_ACTIVE_PARTIAL_REFRESH,VALID_CURRENT_API,2026-09-07在线公交接口返回status=1；方向、站序、票价、时间和轨迹按响应更新。,YES,,https://restapi.amap.com/v3/bus/linename,src_transport_dataset,"[""name:src_transport_dataset"",""shortName:src_transport_dataset"",""type:src_transport_dataset"",""sourceMode:src_transport_dataset"",""isTouristLine:src_transport_dataset"",""evidenceStatus:src_transport_dataset"",""directionCount:src_transport_dataset"",""servedStopCount:src_transport_dataset"",""operators:src_transport_dataset"",""coverageStatus:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""completenessStatus:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""externalIds:src_transport_dataset"",""operator:src_transport_dataset"",""basicFare:src_transport_dataset""]","[""name:2026-09-07"",""shortName:2026-09-07"",""type:2026-09-07"",""sourceMode:2026-09-07"",""isTouristLine:2026-09-07"",""evidenceStatus:2026-09-07"",""directionCount:2026-09-07"",""servedStopCount:2026-09-07"",""operators:2026-09-07"",""coverageStatus:2026-09-07"",""qualityStatus:2026-09-07"",""qualityNotes:2026-09-07"",""completenessStatus:2026-09-07"",""sourceUrl:2026-09-07"",""externalIds:2026-09-07"",""operator:2026-09-07"",""basicFare:2026-09-07""]",transport-structured-20260907,"[""transport-bus-line:amap:guiyang:bus_route:15路""]",,,needs_review,f382990f641a71d604d92e75ba4e19140e5be5cbae48023a777bf5ef9b510fcc,2026-09-07,2026-09-07,2026-09-07,2,,
