sourceId,sourceType,sourceName,relationType,targetId,targetType,targetName,seq,direction,isTerminal,routeId,role,propertiesJson
transitfacility_amap_B0353000CD,TransitFacility,息烽县客运站,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B0353000CD,TransitFacility,息烽县客运站,REF_LOCATED_IN_ADMIN_AREA,admin_520122,AdminArea,息烽县,,,,,,{}
transitfacility_amap_B0353000CD,TransitFacility,息烽县客运站,SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""openingHours"",""province"",""telephone"",""type""]}"
transitfacility_amap_B0353000CD,TransitFacility,息烽县客运站,SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035300A26,TransitFacility,贵阳龙洞堡国际机场T1航站楼(国际港澳台到达),COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035300A26,TransitFacility,贵阳龙洞堡国际机场T1航站楼(国际港澳台到达),REF_LOCATED_IN_ADMIN_AREA,admin_520102,AdminArea,南明区,,,,,,{}
transitfacility_amap_B035300A26,TransitFacility,贵阳龙洞堡国际机场T1航站楼(国际港澳台到达),SOURCED_FROM,src_amap_spatial,DataSource,高德贵阳空间底图与景区检索快照,,,,,主来源,"{""role"":""主来源"",""fields"":[""adcode"",""address"",""amapPoiId"",""amapType"",""amapTypecode"",""city"",""coordinateSystem"",""district"",""externalIds"",""geoPrecision"",""h3Index"",""h3IndexCoarse"",""latitude"",""longitude"",""name"",""province"",""type""]}"
transitfacility_amap_B035300A26,TransitFacility,贵阳龙洞堡国际机场T1航站楼(国际港澳台到达),SOURCED_FROM,src_grid_derive,DataSource,H3 网格派生,,,,,字段来源,"{""role"":""字段来源"",""fields"":[""locatedInAdminArea""]}"
transitfacility_amap_B035301F2G,TransitFacility,贵阳站,COLLECTED_IN,batch_amap_tourism_spatial_20260826,CollectionBatch,贵阳高德旅游空间底图提取,,,,,主批次,"{""role"":""主批次""}"
transitfacility_amap_B035301F2G,TransitFacility,贵阳站,REF_LOCATED_IN_ADMIN_AREA,admin_520102,AdminArea,南明区,,,,,,{}
