id,name,shortDesc,description,type,facilityClassCode,facilityClassName,detailType,amapPoiId,amapType,amapTypecode,province,city,district,adcode,address,telephone,website,openingHours,sourceUrl,qualityStatus,qualityNotes,rating,averageCost,tags,locatedInAdminArea,latitude,longitude,coordinateSystem,h3Index,h3IndexCoarse,geoPrecision,visitorDemandScenarios,ugcPoiSubtype,ugcLocationDescription,externalMapName,directMentionCount,identityStatus,identityResolutionMethod,possibleSameAs,sourceId,fieldSources,fieldUpdatedAt,batchId,externalIds,lastVerifiedAt,verifiedBy,dataQuality,contentHash,createdAt,updatedAt,lastSeenAt,referencedBy,archivedAt,archiveReason
transitfacility_amap_B0353000CD,息烽县客运站,,,客运站,,,,B0353000CD,交通设施服务;长途汽车站;长途汽车站,150400,贵州省,贵阳市,息烽县,520122,息烽高铁广场附近,0851-87724165,,24小时营业,,,,,,,admin_520122,27.075785,106.747355,GCJ02,89400ea6053ffff,87400ea60ffffff,exact,,,,,,source_only,source_external_id,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""externalIds:src_amap_spatial"",""amapPoiId:src_amap_spatial"",""amapType:src_amap_spatial"",""amapTypecode:src_amap_spatial"",""province:src_amap_spatial"",""city:src_amap_spatial"",""district:src_amap_spatial"",""adcode:src_amap_spatial"",""address:src_amap_spatial"",""telephone:src_amap_spatial"",""openingHours:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""externalIds:2026-08-26"",""amapPoiId:2026-08-26"",""amapType:2026-08-26"",""amapTypecode:2026-08-26"",""province:2026-08-26"",""city:2026-08-26"",""district:2026-08-26"",""adcode:2026-08-26"",""address:2026-08-26"",""telephone:2026-08-26"",""openingHours:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B0353000CD""]",,,needs_review,0698a2a511936f39bb6985f388c6441dfdbff9d8ba30e9cfae57851060676759,2026-08-26,2026-08-26,2026-08-26,0,,
transitfacility_amap_B035300A26,贵阳龙洞堡国际机场T1航站楼(国际港澳台到达),,,机场,,,,B035300A26,交通设施服务;机场相关;机场出发/到达,150105,贵州省,贵阳市,南明区,520102,机场路1号贵阳龙洞堡国际机场1层,,,,,,,,,,admin_520102,26.54056,106.799985,GCJ02,89400c0ad03ffff,87400c0adffffff,exact,,,,,,source_only,source_external_id,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""externalIds:src_amap_spatial"",""amapPoiId:src_amap_spatial"",""amapType:src_amap_spatial"",""amapTypecode:src_amap_spatial"",""province:src_amap_spatial"",""city:src_amap_spatial"",""district:src_amap_spatial"",""adcode:src_amap_spatial"",""address:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""externalIds:2026-08-26"",""amapPoiId:2026-08-26"",""amapType:2026-08-26"",""amapTypecode:2026-08-26"",""province:2026-08-26"",""city:2026-08-26"",""district:2026-08-26"",""adcode:2026-08-26"",""address:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B035300A26""]",,,needs_review,a0f472bcc87a4e9f0a15a47e68fc618431315a96c7c9378f9ab5113753a577a3,2026-08-26,2026-08-26,2026-08-26,0,,
transitfacility_amap_B035301F2G,贵阳站,,,火车站,railway_station,火车站,火车站,B035301F2G,交通设施服务;火车站;火车站,150200,贵州省,贵阳市,南明区,520102,遵义路,0851-88181222,,24小时营业,https://www.amap.com/search?query=%E8%B4%B5%E9%98%B3%E7%AB%99&city=520100,VALID,按贵阳市政府2026游客铁路站页面收录；车站实体一行，已排除货运站、进出站口和市域通勤小站,,,,admin_520102,26.55657,106.702433,GCJ02,89400c0c49bffff,87400c0c4ffffff,exact,,,,,,confirmed_match,shared_external_id,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""externalIds:src_amap_spatial"",""amapPoiId:src_amap_spatial"",""amapType:src_amap_spatial"",""amapTypecode:src_amap_spatial"",""province:src_amap_spatial"",""city:src_amap_spatial"",""district:src_amap_spatial"",""adcode:src_amap_spatial"",""address:src_amap_spatial"",""telephone:src_amap_spatial"",""openingHours:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""name:src_transport_dataset"",""type:src_transport_dataset"",""facilityClassCode:src_transport_dataset"",""facilityClassName:src_transport_dataset"",""detailType:src_transport_dataset"",""amapPoiId:src_transport_dataset"",""amapType:src_transport_dataset"",""amapTypecode:src_transport_dataset"",""province:src_transport_dataset"",""city:src_transport_dataset"",""district:src_transport_dataset"",""adcode:src_transport_dataset"",""address:src_transport_dataset"",""telephone:src_transport_dataset"",""openingHours:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""qualityStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""externalIds:2026-08-26"",""amapPoiId:2026-08-26"",""amapType:2026-08-26"",""amapTypecode:2026-08-26"",""province:2026-08-26"",""city:2026-08-26"",""district:2026-08-26"",""adcode:2026-08-26"",""address:2026-08-26"",""telephone:2026-08-26"",""openingHours:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""name:2026-05-12"",""type:2026-05-12"",""facilityClassCode:2026-05-12"",""facilityClassName:2026-05-12"",""detailType:2026-05-12"",""amapPoiId:2026-05-12"",""amapType:2026-05-12"",""amapTypecode:2026-05-12"",""province:2026-05-12"",""city:2026-05-12"",""district:2026-05-12"",""adcode:2026-05-12"",""address:2026-05-12"",""telephone:2026-05-12"",""openingHours:2026-05-12"",""sourceUrl:2026-05-12"",""qualityStatus:2026-05-12"",""qualityNotes:2026-05-12"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B035301F2G""]",,,needs_review,804976434ee585262b286a77fcb74ab8dd82244f32ef5c314f291760166f5e73,2026-08-26,2026-08-26,2026-08-26,1,,
transitfacility_amap_B035301FU1,花溪车站,,,客运站,,,,B035301FU1,交通设施服务;长途汽车站;长途汽车站,150400,贵州省,贵阳市,花溪区,520111,花溪大道南段2721号,,,,,,,,,,admin_520111,26.43648,106.67767,GCJ02,89400c07383ffff,87400c073ffffff,exact,,,,,,source_only,source_external_id,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""externalIds:src_amap_spatial"",""amapPoiId:src_amap_spatial"",""amapType:src_amap_spatial"",""amapTypecode:src_amap_spatial"",""province:src_amap_spatial"",""city:src_amap_spatial"",""district:src_amap_spatial"",""adcode:src_amap_spatial"",""address:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""externalIds:2026-08-26"",""amapPoiId:2026-08-26"",""amapType:2026-08-26"",""amapTypecode:2026-08-26"",""province:2026-08-26"",""city:2026-08-26"",""district:2026-08-26"",""adcode:2026-08-26"",""address:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B035301FU1""]",,,needs_review,b3cbe8a36f30c8f8dab4265ad54c794482b7c95f498b6241e9ec1868ed411aeb,2026-08-26,2026-08-26,2026-08-26,0,,
transitfacility_amap_B035301JEA,富水花园地下停车场,,,停车场,,,,B035301JEA,交通设施服务;停车场;公共停车场,150904,贵州省,贵阳市,云岩区,520103,富水中路33号富水花园,,,24小时营业,,,,,,,admin_520103,26.579026,106.714117,GCJ02,89400c0c6d3ffff,87400c0c6ffffff,exact,,,,,,source_only,source_external_id,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""externalIds:src_amap_spatial"",""amapPoiId:src_amap_spatial"",""amapType:src_amap_spatial"",""amapTypecode:src_amap_spatial"",""province:src_amap_spatial"",""city:src_amap_spatial"",""district:src_amap_spatial"",""adcode:src_amap_spatial"",""address:src_amap_spatial"",""openingHours:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""externalIds:2026-08-26"",""amapPoiId:2026-08-26"",""amapType:2026-08-26"",""amapTypecode:2026-08-26"",""province:2026-08-26"",""city:2026-08-26"",""district:2026-08-26"",""adcode:2026-08-26"",""address:2026-08-26"",""openingHours:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B035301JEA""]",,,needs_review,c99ad86412b2c21dcd032c4388ead04ce37744b427a18d142ea55b557da9a1c9,2026-08-26,2026-08-26,2026-08-26,0,,
transitfacility_amap_B035301K54,广田停车场,,,停车场,,,,B035301K54,交通设施服务;停车场;公共停车场,150904,贵州省,贵阳市,修文县,520123,184县道西50米,,,24小时营业,,,,,,,admin_520123,26.979741,106.48062,GCJ02,89400c6c35bffff,87400c6c3ffffff,exact,,,,,,source_only,source_external_id,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""externalIds:src_amap_spatial"",""amapPoiId:src_amap_spatial"",""amapType:src_amap_spatial"",""amapTypecode:src_amap_spatial"",""province:src_amap_spatial"",""city:src_amap_spatial"",""district:src_amap_spatial"",""adcode:src_amap_spatial"",""address:src_amap_spatial"",""openingHours:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""externalIds:2026-08-26"",""amapPoiId:2026-08-26"",""amapType:2026-08-26"",""amapTypecode:2026-08-26"",""province:2026-08-26"",""city:2026-08-26"",""district:2026-08-26"",""adcode:2026-08-26"",""address:2026-08-26"",""openingHours:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B035301K54""]",,,needs_review,a48bd158902d18783b4f86624ff6c8679bcec1c7e6810c22512bf8016206b52a,2026-08-26,2026-08-26,2026-08-26,0,,
transitfacility_amap_B035301S5B,清镇市流长乡客车站,,,客运站,,,,B035301S5B,交通设施服务;长途汽车站;长途汽车站,150400,贵州省,贵阳市,清镇市,520181,307省道附近,,,24小时营业,,,,,,,admin_520181,26.670766,106.220186,GCJ02,89400c2c263ffff,87400c2c2ffffff,exact,,,,,,source_only,source_external_id,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""externalIds:src_amap_spatial"",""amapPoiId:src_amap_spatial"",""amapType:src_amap_spatial"",""amapTypecode:src_amap_spatial"",""province:src_amap_spatial"",""city:src_amap_spatial"",""district:src_amap_spatial"",""adcode:src_amap_spatial"",""address:src_amap_spatial"",""openingHours:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""externalIds:2026-08-26"",""amapPoiId:2026-08-26"",""amapType:2026-08-26"",""amapTypecode:2026-08-26"",""province:2026-08-26"",""city:2026-08-26"",""district:2026-08-26"",""adcode:2026-08-26"",""address:2026-08-26"",""openingHours:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B035301S5B""]",,,needs_review,9ce48586a33601a79364fb03656e20413aad6cb6e00b69447cf8fda5e87db5e2,2026-08-26,2026-08-26,2026-08-26,0,,
transitfacility_amap_B035301UGM,停车场(汉方路),,,停车场,,,,B035301UGM,交通设施服务;停车场;公共停车场,150904,贵州省,贵阳市,息烽县,520122,巾帼路,,,24小时营业,,,,,,,admin_520122,27.070244,106.743897,GCJ02,89400ea60c7ffff,87400ea60ffffff,exact,,,,,,source_only,source_external_id,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""externalIds:src_amap_spatial"",""amapPoiId:src_amap_spatial"",""amapType:src_amap_spatial"",""amapTypecode:src_amap_spatial"",""province:src_amap_spatial"",""city:src_amap_spatial"",""district:src_amap_spatial"",""adcode:src_amap_spatial"",""address:src_amap_spatial"",""openingHours:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""externalIds:2026-08-26"",""amapPoiId:2026-08-26"",""amapType:2026-08-26"",""amapTypecode:2026-08-26"",""province:2026-08-26"",""city:2026-08-26"",""district:2026-08-26"",""adcode:2026-08-26"",""address:2026-08-26"",""openingHours:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B035301UGM""]",,,needs_review,b029cf11a026422204b270710258b8c5c7744fd3bf76607b92158cc36e6de07d,2026-08-26,2026-08-26,2026-08-26,0,,
transitfacility_amap_B035301UGN,南江大峡谷景区A区停车场,,,停车场,,,,B035301UGN,交通设施服务;停车场;公共停车场,150904,贵州省,贵阳市,开阳县,520121,南江乡南江大峡谷南江大峡谷景区内(西侧),,,24小时营业,,,,,,,admin_520121,26.940789,106.969336,GCJ02,89400c4d14fffff,87400c4d1ffffff,exact,,,,,,source_only,source_external_id,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""externalIds:src_amap_spatial"",""amapPoiId:src_amap_spatial"",""amapType:src_amap_spatial"",""amapTypecode:src_amap_spatial"",""province:src_amap_spatial"",""city:src_amap_spatial"",""district:src_amap_spatial"",""adcode:src_amap_spatial"",""address:src_amap_spatial"",""openingHours:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""externalIds:2026-08-26"",""amapPoiId:2026-08-26"",""amapType:2026-08-26"",""amapTypecode:2026-08-26"",""province:2026-08-26"",""city:2026-08-26"",""district:2026-08-26"",""adcode:2026-08-26"",""address:2026-08-26"",""openingHours:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B035301UGN""]",,,needs_review,023691a9a4ff75a64ce1d2fd3028547f8c4840806b758039f0a62729ef79b813,2026-08-26,2026-08-26,2026-08-26,0,,
transitfacility_amap_B035301UGQ,高尔夫大酒店停车场,,,停车场,,,,B035301UGQ,交通设施服务;停车场;公共停车场,150904,贵州省,贵阳市,修文县,520123,高尔夫大酒店西(兰海高速公路西),,,24小时营业,,,,,,,admin_520123,26.813724,106.707581,GCJ02,89400c7a9afffff,87400c7a9ffffff,exact,,,,,,source_only,source_external_id,,src_amap_spatial,"[""name:src_amap_spatial"",""type:src_amap_spatial"",""externalIds:src_amap_spatial"",""amapPoiId:src_amap_spatial"",""amapType:src_amap_spatial"",""amapTypecode:src_amap_spatial"",""province:src_amap_spatial"",""city:src_amap_spatial"",""district:src_amap_spatial"",""adcode:src_amap_spatial"",""address:src_amap_spatial"",""openingHours:src_amap_spatial"",""latitude:src_amap_spatial"",""longitude:src_amap_spatial"",""coordinateSystem:src_amap_spatial"",""h3Index:src_amap_spatial"",""h3IndexCoarse:src_amap_spatial"",""geoPrecision:src_amap_spatial"",""locatedInAdminArea:src_grid_derive""]","[""name:2026-08-26"",""type:2026-08-26"",""externalIds:2026-08-26"",""amapPoiId:2026-08-26"",""amapType:2026-08-26"",""amapTypecode:2026-08-26"",""province:2026-08-26"",""city:2026-08-26"",""district:2026-08-26"",""adcode:2026-08-26"",""address:2026-08-26"",""openingHours:2026-08-26"",""latitude:2026-08-26"",""longitude:2026-08-26"",""coordinateSystem:2026-08-26"",""h3Index:2026-08-26"",""h3IndexCoarse:2026-08-26"",""geoPrecision:2026-08-26"",""locatedInAdminArea:2026-09-15""]",amap-tourism-spatial-20260826,"[""amap:B035301UGQ""]",,,needs_review,57f6deb59abc762479632d26ce7405e3f3569487647d30cb922723db7226deda,2026-08-26,2026-08-26,2026-08-26,0,,
