行政区,POI业务类型,POI名称,POI细分类型,地理位置描述,游客需求场景,名称直接命中帖子数（非热度）,来源阶段,证据URL,证据内容,重要口径
乌当区,餐饮美食,常福记鱼荘,黔菜家常菜馆,乌当区东风大道贵阳银行旁、近东风地铁站,乌当区家常菜正餐/炝锅鱼与贵阳炒菜,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/69f41a010000000038035907?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳美食｜物美价廉排队王乌当常福记鱼荘
正文：虽然叫鱼庄，但是是家常菜馆子～
又是一家美味的炒菜
位置就在东风地铁站出来没多远
也是本地人巨推，自己经常去的一家本地参观
分量足，价格ok
我们点了暴炒双萃（腰花和胗花），小黄鱼，牛肉拌面，青椒鸡，苗乡土豆片，炝锅鱼，土豆泥都是一绝，目前吃过的菜还没吃到踩雷。门口还有冰浆、冰粉搭配～夏天去吃爽歪歪
喜欢吃炒菜的一定一定一定要尝试这家。
每天中午12点绝对开始排队了，下午更是人爆满
绝对是妥妥的排队王[心心眼R][心心眼R][心心眼R]

tips：
店名：常福记鱼荘📍
地址：乌当区东风大道贵阳银行旁（近东风地铁站）📍
人均：30-80元
推荐指数：☀️☀️☀️☀️☀️（3刷）

会持续分享贵州本地美食，旅行中美食美景的幸运小李。✨✨✨✨✨",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
乌当区,餐饮美食,浔迹·白水河,河畔咖啡馆,乌当区下坝镇白水河畔,避暑休闲/河畔听溪与山泉冷萃咖啡,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/6a6d6b54000000003302e0ad?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：乌当区寻迹白水河｜半城半隐，拾光慢居♨️
正文：🏕️山野秘境：按下时光慢放键
第一站，是藏在下坝镇白水河畔的“浔迹·白水河”。斑驳的旧厂房保留了工业复古的骨相，点一杯山泉冷萃，坐在河畔听溪水低语，时间仿佛按下了慢放键。",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
乌当区,餐饮美食,王捌院子（乌当店）,甲鱼私房菜,乌当区土巴寨30号、贵御温泉对面,家庭聚餐/朋友聚会与甲鱼正餐,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/691324fe0000000003019380?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：为了这一口！！！我们又又又跑乌当区了
正文：我们又来吃甲鱼了，真的是隔段时间就会来一次，它家菜品味道和服务都还不错，远离市区比较安静，适合家庭聚餐、朋友聚会，环境也好好拍，适合穿中式风格的衣服打卡。
🏡:王捌院子（乌当店）
⛳:乌当区土巴寨30号(贵御温泉对面)
💰:人均200＋
#贵阳[话题]# #贵阳美食[话题]# #贵阳探店[话题]# #贵阳打卡[话题]# #贵阳周边[话题]# #贵阳美食探店[话题]# #贵阳美食攻略[话题]# #贵阳美食打卡指南[话题]# #大声安利本地美食[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
乌当区,餐饮美食,王老九冷锅鱼,冷锅鱼店,乌当区新场镇打铁寨,自驾正餐/冷锅鱼与鱼汤泡饭,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/69b6088e00000000230165fe?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：【宝藏小店】麻辣鲜香乌当王老九冷锅鱼
正文：⭐这家冷锅鱼一定值得

十年前在乌当区和老板聊红树莓基地，他悄悄说：“冷锅鱼马上开业，你来尝！”第二个月店真开了，我成了第一批客人。

然后一吃就是十年🔥

这些年：

· 公司聚餐：十几次
· 带朋友来：四十几次
· 带家人来：十几次

味道始终如一，从不踩雷✨

---

📍地址在这里

王老九冷锅鱼（20余年的老店，众多食客慕名前来）
地址：贵阳市乌当区新场镇打铁寨
电话：13885063828（去之前可以打个问问）

导航路线：直接高德地图搜“乌当区新场镇打铁寨”或者“王老九冷锅鱼”就能到，从市区过去大概50分钟车程

🚗停车超方便：周围停车场比较多，不用担心没地方停！重点是——南网还在他们村小广场装了充电桩，快充慢充都有，电动车党放心冲⚡

---

🥢十年老客的黄金吃法

先吃鱼片（最嫩）➡️ 再吃鱼排（最紧实）➡️ 这时候喊老板煮面（宽面/韭菜叶面都好吃）➡️ 捞鱼头，捞面（泡一分钟刚好）➡️ 最后鱼汤泡饭，绝绝子！😋

---

💡几个提醒

· 辣度别贪🌶️：能吃辣的中辣就够了
· 孩子不吃辣👶：提前说，老板给清蒸一块
· 灵魂红树莓汁🧃：夏天必点，冰凉爽口，配冷锅鱼一绝

---

提我？老板可能多给一勺红树莓汁哦😉

（纯属个人分享，吃了十年才敢这么推）",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
乌当区,餐饮美食,知喜咖啡馆,咖啡甜品店,乌当区温泉路10号东欣苑大门口,下午茶休闲/咖啡、软饮与甜品,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/69e0c2900000000023024f03?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：什么！贵阳洛杉矶？发现一家治愈咖啡店🍰
正文：【知喜咖啡馆】乌当区的治愈小花园🌿
在温泉路东欣苑大门口找到这家咖啡馆，路边很好认，推门进去别有洞天——小花园里种满绿植，阳光透过树叶洒在桌椅上，整个人瞬间松弛下来。
☕️ 玫瑰特调很温柔
牛奶和绿茶做基底，玫瑰糖浆和玫瑰花瓣浮在表面，喝起来花香淡淡的，不会太甜。适合喜欢花香的姐妹。
🍓 莓果软饮是夏日清爽款
蓝莓、树莓、草莓等什锦莓果打碎，颗粒感十足，和茶底很搭。酸甜清新，搅匀后每一口都能吸到果肉，夏天来一杯很舒服。
🍫 黑摩卡奶香浓郁
巧克力酱挂壁，和咖啡、牛奶融合得很好，不是那种齁甜的摩卡，巧克力味很正。配甜品刚好。
🍰 巧克力慕斯细腻
口感很顺滑，巧克力味浓郁但不腻，入口即化。搭配黑摩卡是双倍巧克力快乐。
🎁 盲盒小吃
随机盲盒开出了面包诱惑——蓝莓冰淇淋+黄油烤面包，冰淇淋融化后渗进烤得焦脆的面包，一冷一热很过瘾。一整个下午茶吃得饱饱的。
📍地址：乌当区温泉路10号东欣苑大门口
环境chill、饮品在线、甜品不踩雷，是乌当区难得让人想待一下午的咖啡馆。下次想试试他家其他盲盒～#可以呆一个下午的小店[话题]# #惬意的休闲时光[话题]# #治愈系咖啡馆[话题]# #咖啡馆[话题]# #贵阳美食[话题]# #贵阳咖啡[话题]# #适合安静发呆的咖啡馆[话题]# #漫画窗[话题]# #每天都有值得记录的瞬间[话题]# #咖啡店[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
乌当区,餐饮美食,黔来柴火鸡,柴火鸡农家菜,乌当区083万象温泉斜对面,朋友聚餐/柴火鸡、农家院与自驾停车,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/67f655a2000000001a006003?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：🔥黔来柴火鸡｜藏在贵阳的农家烟火气🔥
正文：贵阳乌当区这家柴火鸡绝了！土灶现炒，香到舔锅底！
在美团挖到宝了！一开始也是冲着5.0评分去的，结果这家柴火鸡让我连干三碗饭…
📍 **地址**：贵阳市乌当区083万象温泉斜对面（导航“黔来柴火鸡”直达）
💰 **人均**：50不到（美团套餐超划算！）
✨ **初印象**：
一开始导航到路边，还以为就是普通的路边小店，结果顺着小坡走20米——**豁然开朗！**
🏡 别有洞天的农家小院，土灶、绿植环绕，氛围感拉满！
🚗 停车方便，环境干净，坐在院子里等餐都是一种享受～
🍗 **必吃推荐**：
✅ **招牌柴火鸡**：用882跑山鸡+秘制酱料，柴火土灶现炒30分钟！鸡肉又糯又入味，千页豆腐吸饱汤汁后膨胀得像小馒头，一口爆汁！
✅ **玉米粑**：贴在锅边烤得焦香，蘸着鸡汁吃绝了！
✅ **火爆鲜鸡血**：嫩滑鲜辣，贵州土著都夸正宗！忘记照相，大家直接去吃吧！😁
✅单点了一个爆炒腰花，味道YYDS！😍
（配菜也超赞，土豆、魔芋…煮到后面更香！）
👩🍳 **体验感满分**：
▪️ 老板超热情，现场炒鸡，烟火气十足～
▪️ 分量实在，我们3人吃双人餐都没吃完！
💬 **真实评价**：
“为了这口鲜鸡血，我愿意开车1小时！”
“玉米粑+鸡汁=碳水快乐炸弹💥”
📌 **Tips**：
▪️ 建议错峰来，饭点可能要等灶台～
▪️ 记得团购！套餐比单点划算很多！",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
乌当区,住宿酒店,万象温泉度假酒店,温泉度假酒店,乌当区新添大道南段150号,家庭出游/公司团建、温泉与含餐住宿,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/5ffd87960000000001004d96?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳温泉♨️|冬日最佳选择💯带地暖🔥
正文：贵阳冬天好去处[派对R]公司团建 家庭出游 溜娃圣地
【关于名字】
🏨万象温泉度假酒店
.
【关于地址】
📍贵州省贵阳市乌当区新添大道南段150号
.
【关于酒店】
🔹客房感受:我们住的这栋酒店比较新，房间带🈶️地暖，太暖和啦，床也很好睡，洗浴水也很大[赞R]
🔹温泉：🈶️室内 大泳池(带浴帽）和儿童区域
🈶️室外 各种各样的泡池随便你选，基本都是一个人承包一座池✌️私汤哈哈
🔹餐食：自助餐种类非常多，味道也很🉑️
🔹公共区域:还有很多🉑️玩的
1⃣️儿童区域
2⃣️游戏机
3⃣️电脑室
4⃣️电影院
5⃣️公共休息区🉑️过夜
6⃣️太空舱
7⃣️棋牌室
🔹整体感受:算是比较新的温泉酒店啦，离市区也不算远🚗服务也很nice[赞R]这里很适合公司团建，家庭出游，也有专门针对团建的🎫还有很多团建游戏设计[斜眼R]性价比挺高的
.
【关于费用】
我们购的是💰580包含（个人觉得太划算啦）
1⃣️双人温泉🎫
2⃣️酒店住宿（大床房or标间）⚠️带地暖的简直不要太暖和🔥[赞R][赞R][赞R]
3⃣️一日三餐❗️❗️❗️(早餐 自助晚餐  宵夜）
4⃣️1米以下儿童免费
.
【关于个人建议】
1⃣️泡温泉之前先冲一个热水澡让皮肤适应
2⃣️多喝姜水（服务员会经常在温泉区送姜水的服务很赞）
3⃣️不要泡太长时间
#贵阳周末好去处#贵阳温泉#公司团建#贵阳探店#贵阳酒店#贵阳旅游",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
乌当区,住宿酒店,悦山轻奢酒店,山景民宿,乌当区水田村、水田景区内,周末度假/遛娃、山景住宿与农家餐食,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/69eece77000000003700c2e7?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳周边民宿
正文：位于贵阳市乌当区水田村，距离贵阳市区驾车20公里左右大约30分钟到达，今年新上的悦山轻奢酒店，在这个室外桃源避暑之都感受大山带来的空气，如果你来贵州一定要来体验一下这个宝藏民宿。
民宿入住还包一早一正餐，老板人美服务好，酒店就在水田景区，周末遛娃，度假，养心简直不要太好了。
体验当地的农家菜，泡着深山老茶[买爆R]
打卡出片更是随处都可以！
意式多梅米拉高定艺术床垫
MUJI裸睡级亲肤床品
特有日本香道疗愈熏香
Enroya白檀香氛洗浴用品
房间采用全实木家具
45平以上大面积客房
超大品茗赏景落地窗
特供深山老茶本味普洱",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
乌当区,住宿酒店,明心楼,布依风情农家乐民宿,乌当区偏坡布依族乡下院村,家庭出游/朋友小聚与短住、长期避暑旅居,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/68941876000000000400252f?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳私藏避暑圣地！
正文：人均一百三左右就可以体验五星级农家乐民宿一体
位置:贵阳市乌当区偏坡乡下院村明心楼农家乐

🏠房间:9间房18张床，家庭出游、朋友小聚都能稳稳安排—带娃的选大房间，闺蜜/兄弟组队睡标间，怎么舒服怎么来～5间房贴心装了空调，吹着冷气看窗外山景，比城市里的酒店还惬意；剩下的房间自带“天然凉感”，夜里山风穿堂过，盖着薄被睡觉，舒服到不想起～

🌳环境:一踏入明心楼，四面绿色大山层层环绕，山间鸟鸣相伴，仿若闯进了世外桃源。布依农家风格的建筑，红灯笼、灰泥瓦、小木楼，古色古香，满满都是惬意与悠然，没有一丝城市的拘束感~
🍗美食：招牌柴火鸡！用的都是农家土鸡🐔 肉质紧实又肥嫩。木柴生火，铁锅慢慢炖制，原汁原味。鸡肉炖到软烂，鲜嫩而不柴，汤汁完全被吸收，超级入味。锅边的锅贴更是点睛之笔，沾上鲜香的鸡肉汤汁，一口锅贴一口肉，香迷糊了！除了柴火鸡，其他农家菜也都是新鲜食材，吃得放心又满足~
🎮娱乐：酒足饭饱后，小院里娱乐设施齐全。想放松就坐下来品品茶🍵 k歌、打糍粑、想和朋友热闹一下，那就搓搓麻将。要是还不尽兴，留宿一晚也超棒，在这宁静的山间睡个好觉，太舒服啦！

爽爽贵阳，避暑天堂。欢迎各位顾客光临。近三年教连续接待广西、四川、武汉的旅客来避暑游玩。
#小众避暑地[话题]# #民宿[话题]# #贵阳旅游[话题]# #贵阳避暑[话题]# #贵阳美食[话题]# #最美民宿[话题]# #贵阳[话题]# #休闲度假圣地[话题]# #避暑好地方[话题]# #就这样避暑[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
乌当区,住宿酒店,汇融国际大酒店,城市酒店,地铁3号线师范学院站旁、距贵阳东站打车十余分钟,高铁到发住宿/地铁游览与含早餐客房,1,20260904_第二阶段_餐饮住宿扩充,https://www.xiaohongshu.com/explore/68e2264e00000000070205a7?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：贵阳市内三天两晚
正文：国庆哪儿人都多，于是乎，选了临近重庆的贵阳
住宿：选的汇融国际大酒店，有窗有双早的标间不到300一晚，位置在3号线师范学院旁边，交通便利，环境安静，距离贵阳东站打车十几分钟，在国庆期间溢价也不高，值得推荐！
day1
🌵烙锅。下午四点一刻到了贵阳东站，到酒店放好东西后，在美团搜了一下附近美食，永彬活油烙锅和白胆猪地摊火锅都不错，挨在一起的，我们选了烙锅，小豆腐很好吃！
🌵博央宫。然后坐地铁去博央宫拍照打卡，人巨多，主打一个来都来了。顺便买了去茶山的黄瓜冰浆，感觉有点甜。
🌵段记烤肉。返程本来准备去东风地铁站和公交站中间的一家路边摊烧烤，结果到新添站肚子不舒服上了个厕所，于是临时决定去吃附近的段记烤肉，肉串7毛一根，苕皮和豆干卷的折耳根和豆芽，蘸辣椒面很好吃😋吃完后就骑小黄车回酒店啦~
day2
🌵见老友。上午去看望生完宝宝的大学好友，顺便蹭了顿午饭~
🌵省博。下午先去了贵州省博物馆，边听b站讲解边游览，走马观花地了解了贵州历史。馆外墙壁的色彩美学很适合打卡拍照，旁边还有一个巨大的图书馆，如果时间充足也可以进去看看书~
🌵东山寺。听说东山寺观景很美，于是我们又坐地铁去了东山寺，快傍晚的时候登顶，风景真的很不错！就是jio杆有点打闪闪[笑哭R]
🌵酸汤牛肉/香酥鸭。下山后本来准备去北京路吃玉珍酸汤牛肉，但是人太多了，就吃了附近的野山舂酸汤牛肉，味道也很不错，还在楼下买了半份但家香酥鸭，吃饱了刚好坐3号线回酒店~
day3
🌵新天一烤/巧八角。早上10点20在酒店吃了早餐，然后还是不想出门，中午点了新天一烤的肉串外卖和巧八角的黄瓜冰浆和西瓜冰浆，感觉黄瓜的太甜了，更喜欢西瓜的，新天一烤的烤串很入味[赞R][赞R]
下午一点十分打车去贵阳东站，启程回渝啦，特别鸣谢咩咩仔旅途中的包容与陪伴[飞吻R][飞吻R]~#贵阳旅游[话题]# #贵阳美食[话题]#",名称在所列小红书原帖中直接命中；该计数仅用于名称证据审核，不代表全网提及量、游客热度或市场排名。
