证据ID,候选ID,问题ID,采集轮次,来源阶段,POI名称,小红书帖子ID,标题,URL,帖子正文,命中名称,帖子类型候选,帖子类型审核,证据片段,证据审核状态,审核备注
EV-702ACF9D9749E81D,POICAND-B19844CC52042B6E,GYTRAVEL-S4-F002,1,20260914_贵阳特色热门美食体验_六区一市,张记凯里味正酸汤,6a98f0f8000000002a006222,贵阳酸汤火锅 | 5家非网红老店,https://www.xiaohongshu.com/explore/6a98f0f8000000002a006222?xsec_token_redacted=1&xsec_source=pc_dots,"1. 古粮辰酸汤牛肉
人均:75元 位置:观山湖区恒大中央公园/会展城
特色:牛肉新鲜扎实,白酸汤清鲜不掩肉味,红酸汤配鱼。吊龙、五花趾现切厚实,牛背筋糯糯口感佳。性价比高,老板热情劝点适量。
短板:吃牛肉选白酸汤,吃鱼选红酸汤;牛背筋需煮久些更糯。

2. 小高山酸汤牛肉
人均:70-90元 位置:云岩区普陀路沙河街
特色:米汤自然发酵,不加添加剂,酸味柔和。鲜切黄牛肉,涮十几秒即熟。
建议:先喝一碗酸汤当汤喝。

3. 黔上黔
人均:80-100元 位置:观山湖区阿云朵仓
特色:野果酸汤清新自然,果香层次丰富。高级民族风环境,停车便利,免费主题布置。招牌:野果酸汤火锅、贵阳烤鸡、糟辣银鳕鱼。
适合:朋友聚会、家庭聚餐、情侣约会

4. 醉贵州酸汤牛肉
人均:70-90元 位置:贵阳(需电话确认)
特色:发酵30天+,凌晨屠宰场直供,隐藏菜单牛脊髓、带皮牛肉。卖完关门,夜宵党首选。
建议:七点前到不用排队。

5. 张记凯里味正酸汤
人均:60-80元 位置:乌当区新添寨
特色:23年老店,凯里人主理,传统红酸汤,社区食堂烟火气。#贵阳美食[话题]# #酸汤火锅[话题]# #本地人推荐[话题]# #非网红餐厅[话题]# #地道风味[话题]#",张记凯里味正酸汤,混合贴候选,,"建议:七点前到不用排队。

5. 张记凯里味正酸汤
人均:60-80元 位置:乌当区新添寨
特色:23年老店,凯里人主理,传统红酸汤,社区食堂烟火气。#贵阳美食[话题]# #酸汤火锅[话题]# #本地人推荐[话题]# #非网红餐厅[话题]# #地道风味[话题]#",待审核,候选混合贴：核实是否描述多个可定位实体；若是，只保留当前POI连续原文片段。
EV-6248568248634722,POICAND-D432FA5B668F7144,GYTRAVEL-S4-F005,1,20260914_贵阳特色热门美食体验_六区一市,资家羊肉粉,6a7dd9590000000022031eca,乌当美食｜资家羊肉粉香得我无法,https://www.xiaohongshu.com/explore/6a7dd9590000000022031eca?xsec_token_redacted=1&xsec_source=pc_dots,"我不算一个特别喜欢吃羊入粉嘞人，但是资家我是真嘞喜欢吃。非常会吃嘞同事带路，乌当区保利资边，好多人排队，中午克吃嘞，同事上过洗手间，回来米粉都不得哦，最后吃嘞米皮。

真嘞香恼火，特别是点过煎鸡蛋，褥到粉里头，吸满汤汁，不要太安逸。还有羊脑花，才6块一份，很新宣，又论，搭配起来只有资么舒服哦。

天天都想喊起同事克吃[笑哭R]一家是资过羊入粉，还有一家是之前写过嘞曹记原汤牛入粉，总是想到哪天食堂不好吃喊上大家一起开车过克[笑哭R]

#羊肉粉[话题]#
#羊脑花[话题]#
#乌当美食[话题]#
#贵阳探店[话题]#
#贵阳羊肉粉推荐[话题]#
#贵阳本土美食[话题]#",资家羊肉粉,普通贴候选,,,待审核,候选普通贴：核实全文是否主要描述当前唯一POI；通过后证据内容保留完整正文。
EV-C0D3DEA344EF4923,POICAND-6B913F1713196961,GYTRAVEL-S4-F016,1,20260914_贵阳特色热门美食体验_六区一市,Combos咖啡,6a2e60c40000000015025f56,贵阳记录,https://www.xiaohongshu.com/explore/6a2e60c40000000015025f56?xsec_token_redacted=1&xsec_source=pc_dots,"-给了夺夺粉再一次机会，爱住
- 好吃得我的泪水打湿洋芋粑
- 顿顿木姜子的浸泡幸福得冒泡泡🫧
- wowotou、combos check（每天路过胡豆都大排长队）
-这次还发掘了一家很好喝的饮品店“锯齿山蜂蜜茶饮”，刺梨泡泡和奶茶都很好喝（真蜂蜜）",Combos,混合贴候选,,"- 好吃得我的泪水打湿洋芋粑
- 顿顿木姜子的浸泡幸福得冒泡泡🫧
- wowotou、combos check（每天路过胡豆都大排长队）
-这次还发掘了一家很好喝的饮品店“锯齿山蜂蜜茶饮”，刺梨泡泡和奶茶都很好喝（真蜂蜜）",待审核,候选混合贴：核实是否描述多个可定位实体；若是，只保留当前POI连续原文片段。
EV-1A2072B85CEEA35A,POICAND-6B913F1713196961,GYTRAVEL-S4-F016,1,20260914_贵阳特色热门美食体验_六区一市,Combos咖啡,6aa4c0f3000000002902ecfe,贵阳咖啡 一种咖啡多种体验的Combos,https://www.xiaohongshu.com/explore/6aa4c0f3000000002902ecfe?xsec_token_redacted=1&xsec_source=pc_dots,"贵阳咖啡：一种咖啡多种体验，主打一豆多喝，去年起在贵阳出圈爆火的爆火的Combos咖啡店
地址：贵州省贵阳市云岩区富水中路104号富侨公寓东楼1层。
贵阳咖啡火出圈后除顶尖的两家咖啡店外，一大批富有特色的贵阳咖啡店也火出了圈，这家Combos便是其中之一。经常在网上刷到，去年夏天就一直想去体验一下，惦记好奇了一年多，此番终于找机会前来体验。
        我点了一份埃塞俄比亚古吉原生种咖啡的冰手冲。
该店既以Combos命名，自要体验其特色。Combos有一种咖啡多种喝法的意思，该店主打三款咖啡的一豆三喝，我点了一份产自埃塞俄比亚西达摩（店内菜单作“西达玛”）的74112的SOE做的Combos，同款咖啡，以一杯美式、一杯拿铁和一杯特调实现不同形式的体验，特调里加入了富有贵州特色的木姜子，这让我有些害怕，木姜子是从小就接触的一款香料，做酸菜豆米或酸菜小豆汤时常用，虽为贵州人，但却是个异类，从接触木姜子开始，就极不喜欢它的味道，不管是木姜花还是木姜子油（个人感觉味道都一个样），都很不喜欢。过去吃丝娃娃时都不用的，现在也只是象征性的滴一滴。贵阳咖啡火出圈后，一批富有贵州特色的咖啡形式也火出圈，如参杂了抹茶（所谓贵州特色的咖啡中，我唯一可以接受加咖啡的抹茶拿铁）、折二根（即鱼腥草）、辣椒、酸汤、甚至牛瘪等料的咖啡特调或Dirty也出现在网上，其中就有加木姜子的，甚至在珠海的一家书签咖啡都有木姜子美式，当时去体验书签咖啡时都不敢喝，此番在Combos体验这一豆三喝，对这款加了木姜子的特调还是有些忌惮的，但令我没想到的是，尝试喝一口，味道还真不错，超乎想象，淡淡的木姜子气息与甜感结合竟然有豆浆的感觉。原本以为最好喝的应该是中间这杯拿铁，没想到这加了木姜子的特调味道竟在拿铁之上，看来对加木姜子的咖啡得调整一下态度了，待回珠海后，或可再前往书签咖啡，体验一下那木姜子美式！
#100家探店计划[话题]# #咖啡[话题]# #探店[话题]# #咖啡店[话题]#  #贵阳咖啡[话题]# #combos[话题]# #贵阳Combos[话题]# #一豆三喝[话题]# #网红咖啡店[话题]# #vlog[话题]#",Combos咖啡,普通贴候选,,,待审核,候选普通贴：核实全文是否主要描述当前唯一POI；通过后证据内容保留完整正文。
EV-E9DB7284476F1D32,POICAND-E77A9526507C3FD0,GYTRAVEL-S4-F016,1,20260914_贵阳特色热门美食体验_六区一市,FUDOU胡豆咖啡,699c1530000000001503aec1,贵阳咖啡封神3家｜实测不踩雷‼️直接抄作业,https://www.xiaohongshu.com/explore/699c1530000000001503aec1?xsec_token_redacted=1&xsec_source=pc_dots,"贵阳咖啡真的太卷了！亲测乔治队长/FUDOU/JUJU，闭眼冲不踩雷👇
☕️ 乔治队长 Captain George
冠军店出品超稳，颜值风味双在线
• 黄油Dirty：黄油香巨浓，丝滑不腻，奶咖狂喜
• 东京艺妓：茶香+果香特调，清爽高级，仪式感拉满
📍地址：太平路店/万象城店
⏰营业时间：10:00-22:00
💰人均：40-60
🍎 FUDOU胡豆咖啡
老社区宝藏小店，风味干净有记忆点
• Dirty：醇厚顺滑，层次超舒服
• 苹果特调：清新果味+冷萃，酸甜解腻超治愈，再加冰奶油，更醇厚，口感很有层次
📍地址：省府路2号（原贵山饭店）
⏰营业时间：10:00-19:00
💰人均：30-45
🍡 JUJU COFFEE
小众创意派，糯叽叽脑袋必冲
• 云南DNA：云南豆风味突出，干净明亮
• 糯米团子：米香+奶咖，温柔香甜像小甜品
📍地址：富水南路与白沙巷交叉口（达德小学旁）
⏰营业时间：10:00-20:00
💰人均：35-50
📝总结
颜值特调→乔治队长
清爽日常→FUDOU
糯叽叽创意→JUJU
贵阳咖啡脑袋快冲！
#贵阳咖啡[话题]# #贵阳探店[话题]# #咖啡测评[话题]# #乔治队长[话题]# #FUDOU咖啡[话题]# #JUJU咖啡[话题]# #贵阳美食[话题]#",FUDOU胡豆咖啡,混合贴候选,,"⏰营业时间：10:00-22:00
💰人均：40-60
🍎 FUDOU胡豆咖啡
老社区宝藏小店，风味干净有记忆点
• Dirty：醇厚顺滑，层次超舒服",待审核,候选混合贴：核实是否描述多个可定位实体；若是，只保留当前POI连续原文片段。
EV-60BE34431F594971,POICAND-E77A9526507C3FD0,GYTRAVEL-S4-F016,1,20260914_贵阳特色热门美食体验_六区一市,FUDOU胡豆咖啡,6a7f31a900000000250170e7,贵阳咖啡三巨头（胡豆|乔治队长|对的）感受,https://www.xiaohongshu.com/explore/6a7f31a900000000250170e7?xsec_token_redacted=1&xsec_source=pc_dots,"贵阳咖啡真的卷到离谱🔥，不出产咖啡的地方居然有咖啡文化，这三大巨头每个都要排队～
自费真实口感总结，点单直接可参考！
🏆1.对的咖啡 DuiDe Coffee｜奶咖天花板
贵阳奶咖我心中第一名🥇(p4-5)
✅必点：冠军牛奶咖啡
真的一口惊艳！奶香柔和不压咖啡味，丝滑醇厚，完全不腻。爱喝奶咖的一定要冲这杯，口感是三家里面奶咖口感最好的。这家热门款的还有橘光爱尔兰，服务员现场打奶泡，有仪式感。每款服务员都会介绍豆子和风味。
✨2.胡豆咖啡 FUDOU COFFEE｜特调玩家必冲（p1-3）
小区里面隐藏的排队人最多的一家，尝试了他们家的combo,选的中烘的豆子，特调的口感是最好的。树莓苹果的特调组合很好喝。
✅必点：店内招牌特调（闭眼点不容易踩雷）
喜欢新奇口感、不爱传统咖啡，直接锁定胡豆。
提醒：高峰期排队人很多，排队30分钟左右，可以错峰。胡豆周围也有一家“对的”，比阿朵云仓的人少。胡豆周边还有很多小吃，可以先取号，周边吃点小吃再过来。
🎞️3.乔治队长 Captain George｜氛围感老牌精品
复古氛围感老店，三家里面环境最好的，阿云朵仓店的环境最大最好，但是阿云朵仓店的品种不全，热门的京都艺妓，莓果城，dirty都没有，主要是手冲和传统咖啡，传统的奶咖口感一般，想喝完整菜单的建议去市区里面。(p6-10阿朵云仓,p11-13青云店)
✅必点：黄油dirty
一口分层！淡淡的黄油咸香，顺滑浓郁
厚奶+咖啡焦香融合得刚刚好。京都艺妓、文昌路一号，莓果城也是热门款，喜欢特调也可以试试。

📝个人总结版点单指南
▪️爱喝奶咖→去【对的咖啡】冠军奶咖
▪️想喝创意特调→冲【胡豆咖啡】
▪️追求豆子品质+全套招牌→乔治队长
#贵阳咖啡[话题]# #贵阳美食[话题]# #贵阳咖啡馆[话题]# #贵阳旅游[话题]# #贵阳旅游推荐[话题]# #小城也有好咖啡[话题]# #咖啡爱好者[话题]# #贵阳旅游攻略[话题]# #贵阳吃喝玩乐[话题]#",FUDOU,混合贴候选,,"✅必点：冠军牛奶咖啡
真的一口惊艳！奶香柔和不压咖啡味，丝滑醇厚，完全不腻。爱喝奶咖的一定要冲这杯，口感是三家里面奶咖口感最好的。这家热门款的还有橘光爱尔兰，服务员现场打奶泡，有仪式感。每款服务员都会介绍豆子和风味。
✨2.胡豆咖啡 FUDOU COFFEE｜特调玩家必冲（p1-3）
小区里面隐藏的排队人最多的一家，尝试了他们家的combo,选的中烘的豆子，特调的口感是最好的。树莓苹果的特调组合很好喝。
✅必点：店内招牌特调（闭眼点不容易踩雷）",待审核,候选混合贴：核实是否描述多个可定位实体；若是，只保留当前POI连续原文片段。
EV-DE29218586200AA8,POICAND-E77A9526507C3FD0,GYTRAVEL-S4-F016,1,20260914_贵阳特色热门美食体验_六区一市,FUDOU胡豆咖啡,6a9abf47000000000d025dfb,贵阳行之咖啡三巨头☕️,https://www.xiaohongshu.com/explore/6a9abf47000000000d025dfb?xsec_token_redacted=1&xsec_source=pc_dots,"在贵阳玩了两天，打卡了大家口中的贵阳咖啡三巨头，部分咖啡定价还是蛮高的，个人觉得FUDOU的性价比最高[赞R]
🔹乔治队长（图1-4）：去的是阿朵云仓的CaptainGeorge风味博物馆，店内装修很不错，很有咖啡风味博物馆的感觉，这家店没有京都艺技等。
☕️选了2号的一套（108r）：特调整体偏酸口一点，含酒精的；奶咖的奶泡状态非常好，入口比较柔和；美式风味并不明显，甚至觉得有点淡。
🔸对的咖啡（图5-9）：去的是新开的南国花锦店，店面挺大的也没怎么排队。点了三杯，最好喝的就是最火的橘光反转爱尔兰。
🍊橘光反转爱尔兰（59r）：确实很貌美啊，仪式感很足，上面的奶油和下面的咖啡液我觉得融合的挺好的，也不突兀，柑橘风味明显。
🌲山苍树dirty（42r）：感觉是在表面滴了几滴木姜子油而产生的木姜子风味，但仅限于前几口有，个人觉得牛奶不够冰，dirty感欠佳，风味也没有很持续。
🍸浓缩马天尼（58r）：第一次尝试咖啡和酒的融合，基酒选了波本威士忌，酒味比较足，甜感丰富（可能因为我不爱太甜的所以觉得一般）
🔹FUDOU胡豆咖啡（图10-15）：要排队取号，过号重取，大概等了半小时吧，我觉得还是值得的。每款名字也很简单，三款都很好喝。
🍎苹果（38r）：有肉桂的，很清爽的果酸，还搭配了冷奶油，可以按自己需求添加，加入奶油后口感层次会更丰富一点。
🍓树莓（38r）：一款注入氮气的咖啡，梅果的风味明显，口感很细腻，果酸味明显。
🍋日本柚子（56r）：含酒精，我觉得咖啡和酒融合的很好，也没有很重的酒感。上来仪式感很足，干冰还是什么用来速冷咖啡液（有点忘记了），加了氮气，顶上的泡沫口感顺滑，柑橘花香风味明显。
#coffee[话题]# #贵阳[话题]# #贵阳咖啡[话题]# #换个城市喝咖啡[话题]# #特调咖啡[话题]# #福豆咖啡[话题]# #对的咖啡[话题]# #乔治队长咖啡[话题]#",FUDOU胡豆咖啡,混合贴候选,,"🌲山苍树dirty（42r）：感觉是在表面滴了几滴木姜子油而产生的木姜子风味，但仅限于前几口有，个人觉得牛奶不够冰，dirty感欠佳，风味也没有很持续。
🍸浓缩马天尼（58r）：第一次尝试咖啡和酒的融合，基酒选了波本威士忌，酒味比较足，甜感丰富（可能因为我不爱太甜的所以觉得一般）
🔹FUDOU胡豆咖啡（图10-15）：要排队取号，过号重取，大概等了半小时吧，我觉得还是值得的。每款名字也很简单，三款都很好喝。
🍎苹果（38r）：有肉桂的，很清爽的果酸，还搭配了冷奶油，可以按自己需求添加，加入奶油后口感层次会更丰富一点。
🍓树莓（38r）：一款注入氮气的咖啡，梅果的风味明显，口感很细腻，果酸味明显。",待审核,候选混合贴：核实是否描述多个可定位实体；若是，只保留当前POI连续原文片段。
EV-1511223CBDBCFA78,POICAND-E77A9526507C3FD0,GYTRAVEL-S4-F016,1,20260914_贵阳特色热门美食体验_六区一市,FUDOU胡豆咖啡,6aa617ba000000002502f9fd,贵阳咖啡封神4家｜实测不踩雷‼️直接抄作业,https://www.xiaohongshu.com/explore/6aa617ba000000002502f9fd?xsec_token_redacted=1&xsec_source=pc_dots,"🐧Fudou （P2-4）夯
老社区宝藏小店，果咖顶级🔝 风味干净有记忆点
▫️苹果特调🍎 清新果味+冷萃  苹果星人喝美了
酸甜解腻超治愈，先喝一大口再加冰奶油，更醇厚，口感很有层次，几口就喝完了
▫️combo：一豆三喝真不错，拿铁醇厚顺滑，爱了
💡店里被各种各样的企鹅元素充斥🐧 最好早去不然要要排很久，建议一次性点好单，不然加单需要重新排队，旁边有同样超火小平素粉店可以一起尝试，但是都建议赶早
📍省府路2号（原贵山饭店）
⏰营业时间：8:30-19:00
💰人均：30-50r

🕊️Duide 对的咖啡（P5-8）夯
橘光反转爱尔兰超秒的 颜值和味道都是top级～
仪式感给到五星（店员还会特意告诉你拍照的哪个瞬间要爆破可以抓拍[飞吻R]）
冠军牛奶咖啡 爱喝奶咖的会很爱 拿铁融合得很丝滑👍
📍南国花锦店/阿朵云仓店
⏰9:30-21:00
💰人均：40-60r

🪐乔治队长 Captain George（P9-14）夯
连喝两天 出品超稳，颜值风味双在线
▫️京都艺妓：茶香+果香特调，清爽高级，仪式感拉满
▫️黄油Dirty：黄油香巨浓，丝滑不腻，奶咖狂喜
▫️粉柚子：加入了干白和红胡椒 增加香气，日本柚子汁使得整体超级清爽
💡我觉得如果怕排队可以下午偏晚上的时候去万象城店 喝完还可以在那条街citywalk一下
📍万象城店/青云市集店
⏰9:30-22:00
💰人均：40-60r

🪵cincin（P15-18）
超级惊喜的一家小店，主打特调的一家新店，废土风的装修风格式，进店就是柚子味的香水
▫️柚子缝隙 设计超绝 一定要尝试的一杯 精油融化后是白巧克力的味道很妙
▫️野果果 清爽好喝的特调果咖 木姜子的加入完全不违和
📍富水南路39号，喷水池附近
⏰ 10:00‑19:00，周三店休
💰30-50r

如果你跟我一样是一个特调爱好者，来贵阳一定超幸福，因为真的有认真在做咖啡，每家把特调都卷出花～
仪式感和设计感都超棒，我是愿意专门为了咖啡再来一趟的～

#贵阳探店[话题]# #果咖评测howto[话题]# #我的咖啡日记[话题]# #特调咖啡[话题]# #COTD咖啡探店[话题]# #weeklypick[话题]# #咖啡是成年人白天的酒[话题]# #贵阳喝咖啡[话题]# #值得一去的咖啡店[话题]#",FUDOU,混合贴候选,,"🐧Fudou （P2-4）夯
老社区宝藏小店，果咖顶级🔝 风味干净有记忆点
▫️苹果特调🍎 清新果味+冷萃  苹果星人喝美了",待审核,候选混合贴：核实是否描述多个可定位实体；若是，只保留当前POI连续原文片段。
EV-972EEAD8204E9676,POICAND-29F82675136C6B86,GYTRAVEL-S4-F016,1,20260914_贵阳特色热门美食体验_六区一市,OuiOui,6a2cf689000000000803dd7a,｜OuiOui｜贵阳从来不缺少给人惊喜的咖啡,https://www.xiaohongshu.com/explore/6a2cf689000000000803dd7a?xsec_token_redacted=1&xsec_source=pc_dots,"｜OuiOui｜
📍贵阳市云岩区省府东街14号院门口

本来同一条街的两家店想要放一起写的
但由于另一家太奇葩
那不得好好单开一篇说道说道；

落地贵阳的第一家咖啡
小小的很可爱
从VI到布置都给人一种小而美的精致感；

【刺梨冰萃咖啡】💰24（组合价）
刺梨，也称醋栗，贵州是主要产区之一
味道偏酸，不适合直接食用
用刺梨做饮料也需要加入大量的糖去做平衡
不然会有很强的酸涩感
咖啡豆子用的西达摩
有比较重的莓果系香气
搭配刺梨可以说是相得益彰
酸甜清爽
在25度的贵阳温度喝着很舒服

【橄榄冰萃咖啡】💰24（组合价）
和刺梨唯一不同的是把刺梨原浆换成橄榄原浆
橄榄相对刺梨
风味上涩感、青感、回甘都更强
作为单一风味来源其实不如刺梨
因此把两杯都喝掉一半后
做了一个大胆的尝试：
倒在一起充分混合
比分别单独喝味道更丰富
可以一试。

【冰美式】💰18
同样的西达摩
风味无需过多重复叙述
只是在喝下一家前先清清口腔
（结果下一家踩大雷）

贵阳总是不缺乏这种给人惊喜的小店

#我的咖啡日记[话题]#
#贵阳咖啡[话题]#
#西达摩[话题]#
#刺梨[话题]#",OuiOui,普通贴候选,,,待审核,候选普通贴：核实全文是否主要描述当前唯一POI；通过后证据内容保留完整正文。
EV-04A22BFDE067CC31,POICAND-4A3E15C70728D713,GYTRAVEL-S4-F006,1,20260914_贵阳特色热门美食体验_六区一市,一烙锅,6704c2bd000000002c014aba,请一定要吃完这几家再离开贵阳😭,https://www.xiaohongshu.com/explore/6704c2bd000000002c014aba?xsec_token_redacted=1&xsec_source=pc_dots,"1️⃣top1一定是笔记安顺夺夺粉火锅：国庆期间11点放号（美味不用等可以取号，过号10分钟内顺延3桌，10分钟之后作废）号是23秒抢到的，饭是下午3点半吃上的[失望R]不过排队王还是有一定的道理，建议点酸辣锅底（一点不辣），锅底里自带一份肉末和夺夺粉，可以再加一份肉末，煮到后面汤汁浓郁，混着肉末，用来拌饭吃，巨巨巨巨好吃！我们两个不喜欢吃米饭的人 都一人吃了两碗[色色R]菜品推荐夺夺粉，干贡菜，虾滑，鸡爪（卤过的超级软糯
缺点就是他们家的服务态度不太好，可能是人太多太忙了[生气R]排队时间太久太久，而且过号10分钟就作废了【‼️不排队小秘诀：去龙湾万达店！人少很多，几乎不用排队，两家我都吃过，味道也差不多的
2️⃣陈氏人家豆米火锅：点的腊肉的锅底，蔬菜是自助的！锅底里的豆子煮到后面黏黏糊糊的，拌饭吃绝了！不用蘸料直接吃就很好吃，有股豆香味，锅底里的腊肉也很多，我们没加水，煮到后面就有点咸了。这家也是连锁店，可以选人少的店去就行了
3️⃣贵厨：到贵阳的第一顿！性价比绝了！120多的双人套餐还送了好几个小吃，感觉四个人吃都绰绰有余，厥粑超级好吃！牛肉丸和牛腩肉都很好吃！蔬菜水果也是自助的，能吃辣的推荐烧椒皮蛋！很辣很好吃😋他们家自制的酸奶也很不错。连锁店，注意避开景区的热门店
4️⃣丝恋丝娃娃：连锁店，里面有大部分的贵州小吃，如果不想去小吃街人挤人，可以选择这家一次性吃遍，但是这家得看门店的品控，之前去过万象城店，很好吃。这次去了人少的甲秀楼店，感觉很失望。酸汤是冷的，洋芋粑也不够酥脆，二块粑像是香豆腐，豆腐圆子还行，秘酱土豆不够入味，脑花很好吃（很辣很麻）他们家我还是最推荐丝娃娃
5️⃣一烙锅：他们家是一盘盘炒好了倒在锅里，类似于铁板烧，油香油香的，没有那种蘸水。推荐洋芋粑，牛肉，二月瓜，掌中宝，苕粉
drink🥤：因为去茶山在成都也有，就没有特意喝了
6️⃣山花：酸奶我觉得平平无奇，和普通的酸奶差不多。鲜奶先是买了透明袋装的（味道和普通鲜奶没有区别，之后又买了1953和免疫球蛋白（这两个都超级推荐！很香甜的奶味，唇齿留香
7️⃣冰浆：见上篇帖子，最推荐甜院
8️⃣小吃：蛋包洋芋（一定要去路边小摊吃，点了外卖超难吃）锅巴糍粑（咸甜口，还不错，土豆片（路边很多卖的，最喜欢海苔味的）刺梨汁（路边买的15r/杯，感觉贵了，之后看到有卖10r的#贵阳旅游[话题]##贵阳美食打卡指南[话题]#",一烙锅,混合贴候选,,"3️⃣贵厨：到贵阳的第一顿！性价比绝了！120多的双人套餐还送了好几个小吃，感觉四个人吃都绰绰有余，厥粑超级好吃！牛肉丸和牛腩肉都很好吃！蔬菜水果也是自助的，能吃辣的推荐烧椒皮蛋！很辣很好吃😋他们家自制的酸奶也很不错。连锁店，注意避开景区的热门店
4️⃣丝恋丝娃娃：连锁店，里面有大部分的贵州小吃，如果不想去小吃街人挤人，可以选择这家一次性吃遍，但是这家得看门店的品控，之前去过万象城店，很好吃。这次去了人少的甲秀楼店，感觉很失望。酸汤是冷的，洋芋粑也不够酥脆，二块粑像是香豆腐，豆腐圆子还行，秘酱土豆不够入味，脑花很好吃（很辣很麻）他们家我还是最推荐丝娃娃
5️⃣一烙锅：他们家是一盘盘炒好了倒在锅里，类似于铁板烧，油香油香的，没有那种蘸水。推荐洋芋粑，牛肉，二月瓜，掌中宝，苕粉
drink🥤：因为去茶山在成都也有，就没有特意喝了
6️⃣山花：酸奶我觉得平平无奇，和普通的酸奶差不多。鲜奶先是买了透明袋装的（味道和普通鲜奶没有区别，之后又买了1953和免疫球蛋白（这两个都超级推荐！很香甜的奶味，唇齿留香",待审核,候选混合贴：核实是否描述多个可定位实体；若是，只保留当前POI连续原文片段。
