问题ID,图谱实体ID,目标实体类型,POI名称,行政区,小红书帖子ID,标题,作者,发布日期,URL,时间窗口,距离核查日天数,名称直接命中,名称弱锚点,名称弱锚点命中,分店或位置上下文命中,游客语境线索,本地日常线索,攻略清单风险,商家营销风险,经营状态风险,跨区行程上下文,异地同名风险,行政区冲突,空间冲突词,旧业务地域污染,疑似协同营销,近重复组ID,同作者多帖,正文字符数,机器分流状态,待审核原文上下文,正文SHA256
GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,68d79f46000000001301e840,"贵阳人的早茶太会了吧!把山野味道包进茶点里
在甲秀楼旁挖到一家宝藏茶餐厅!
刺梨",三万次日落,2025-09-27,https://www.xiaohongshu.com/explore/68d79f46000000001301e840?xsec_token_redacted=1&xsec_source=pc_dots,近24个月,355,是,黔大叔,是,是,是,是,是,否,否,是,否,否,,否,否,,否,375,待审核_跨区行程上下文,"金黄透亮裹着酥香排骨
刺梨的果酸完美中和了甜腻
咬开还有淡淡山野气息,本肉食星人直接光盘!
酸汤灌汤包
薄皮兜着满满酸辣汤汁!
红酸汤是老贵阳的味道
建议先开窗喝汤再吃肉,
小心烫到跳脚~搭配都匀毛尖茶超解腻!
吃完步行5分钟到甲秀楼!
傍晚的南明河波光粼粼
晚霞映着古建筑超有氛围感
这才是贵阳人慢悠悠的生活节奏呀~
黔大叔大牌档(甲秀楼店)
地铁1号线下护国路站B口步行800米
#贵阳美食[话题]# #黔派茶点[话题]# #甲秀楼攻略[话题]# #贵州必吃[话题]# #早茶文化[话题]# #贵阳探店[话题]# #本地人推荐[话题]# #小红书爆款美食[话题]#",f2ce1f8d94a6346edcc52ff669d0f15acfb42991de32a28c93f3c74f525020e8
GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,68d9f5c2000000001303673a,来贵阳旅游必打卡甲秀楼旁边这家黔大叔,是薇仔啊、,2025-09-29,https://www.xiaohongshu.com/explore/68d9f5c2000000001303673a?xsec_token_redacted=1&xsec_source=pc_dots,近24个月,353,是,黔大叔,是,是,是,是,否,否,否,否,否,否,,否,否,,否,51,待语义审核,"来贵阳旅游必打卡甲秀楼旁边这家黔大叔
#本地人都在吃[话题]# #地道特色美食[话题]# #本地人推荐美食[话题]# #当地人常来[话题]#",b54d84b0256f4269e16b99d48242273ed6aeb5b01cf5bcc68feda07cab5d07d8
GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,6a72e6fd0000000027020edc,贵阳吃黔菜|本地人常去的大牌档,咖喱小饿魔😈,2026-08-05,https://www.xiaohongshu.com/explore/6a72e6fd0000000027020edc?xsec_token_redacted=1&xsec_source=pc_dots,近24个月,43,是,黔大叔,是,是,是,是,是,否,否,否,否,否,,否,是,near_dup_ceab58b5962f,否,415,待审核_疑似协同营销,"贵阳吃黔菜|本地人常去的大牌档
初次来贵阳,刷到太多同质化网红美食店,担心味道落差,问了本地朋友才找到黔大叔大牌档。

区别于专门面向游客的门店,这里是贵阳人日常聚餐的选择,烟火气浓厚,大牌档环境自在舒服。
毗邻甲秀楼核心区域,交通便捷,轻松安排进旅游路线。
洞藏糟辣鱼是特色,糟辣风味地道,汤汁拌饭格外香;爆炒板筋口感软嫩;贵阳辣子鸡、黔北双椒鸡两种辣感各有特色,能感受多元黔味。
不能吃辣可以提前告知店员,店内也有专属清淡菜品,适",f93339f8f62b5847c09ed6571453f8652fc0dd1f47046170d1521f3b300989b1
GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,69022f9a0000000004029e14,"贵阳为了这碗粉,我愿意每天早起!",妙蛙种子,2025-10-29,https://www.xiaohongshu.com/explore/69022f9a0000000004029e14?xsec_token_redacted=1&xsec_source=pc_dots,近24个月,323,是,黔大叔,是,是,是,是,否,否,否,是,否,否,,否,否,,否,749,待审核_跨区行程上下文,"丝恋丝娃娃》:一般般,到处都有。
《古良辰酸汤牛肉》(文昌阁店):这个是白酸汤,贵阳特色,也非常好吃!
《陈氏人家豆米火锅》:古良辰酸汤牛肉店隔壁,这个一般般,前面最好不要吃太快,多煮一会,后面那个汤泡米饭好吃~
《聚君缘烙锅》(中山东路店):这个也是特色,好吃! 可以尝一下推荐牛肉、五花肉、安顺烤小肠、还有黄耙~
《黔大叔大排档》(甲秀楼店):说是大排档,其实是贵阳菜,他们家那个牛肉好吃,米饭也好吃!
《江边渔村》(小十字店):68一位炒菜自助,贵阳菜,推荐汽锅虾和贵阳辣子鸡,这两个我点了两次,好吃!
《树厨》:一家商场里的贵阳菜,一般般。
《锦绣苗寨酸汤鱼酸汤牛肉》:在凯里,去苗寨前吃,这个是红酸汤,超级好吃! 本地人推荐的一家。贵阳那个很",7d798d20981cb0761ab62956b217c2be2d88eca284da9ffcf36ba5db3638ba88
GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,67cd297b0000000009014c32,探店:黔大叔大排档(甲秀楼店),夏目漱石,2025-03-09,https://www.xiaohongshu.com/explore/67cd297b0000000009014c32?xsec_token_redacted=1&xsec_source=pc_dots,近24个月,557,是,黔大叔,是,是,是,否,是,否,否,否,否,否,,否,否,,否,300,待语义审核,"探店:黔大叔大排档(甲秀楼店)
黔大叔排挡
价格:点菜50~70元/人(套餐价格低一些)
环境:餐厅的环境还是不错的,干净整洁。
服务:优点:服务人员很积极,上菜速度还不错。
食材味道:1、双椒鸡味道很不错不柴;
2、炝锅鱼中规中矩,外面一层鱼油挺入味,里面的鱼肉入味差一点点;
3、免费的水果挺新鲜的;
4、有免费的煮茶,喝了点橙子煮水",51ab13f429864543de6e4a34e35f2fb96b135784ab069dd3f08468367f51ae19
GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,68c7bf8f000000001c03d3e7,黔大叔大排档(甲秀楼店),西北,2025-09-15,https://www.xiaohongshu.com/explore/68c7bf8f000000001c03d3e7?xsec_token_redacted=1&xsec_source=pc_dots,近24个月,367,是,黔大叔,是,是,否,否,否,否,否,否,否,否,,否,否,,否,118,待语义审核,"黔大叔大排档(甲秀楼店)
湘有湘菜,川有川菜
贵州有黔菜
这是一家专做黔菜的怀旧式餐馆
黔菜风味地道 服务态度很好 有自助水果
最主要的是那一口浓郁米汤 饮料也都特别特别好喝哦
本人和朋友去吃了第一次(恋恋不忘)
结果第二天 ,第三天还去了他家吃饭吃饭吃饭哈哈哈",6d0639c6e648f996137d8bfc86dae9deedc4e80d1d7a9a780a28e9a54c025191
GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,6958bd16000000001e02c0ca,元旦特种兵 | 贵阳浅吃10顿,充满疑问的一文,2026-01-03,https://www.xiaohongshu.com/explore/6958bd16000000001e02c0ca?xsec_token_redacted=1&xsec_source=pc_dots,近24个月,257,是,黔大叔,是,是,是,否,否,否,否,是,否,否,,否,否,,否,197,待审核_跨区行程上下文,"元旦特种兵 | 贵阳浅吃10顿
安云董记牛肉粉(安云路店)
黔牛袁记砂锅黄焖牛肉火锅(原豆腐巷17年老店)
锅巴糍粑(路边)
肠旺面(路边)
333烧烤店(荔波人民广场美食街)
大头烤鸡(国际城店)
豆腐圆子(油榨街路边)
角角烙锅
玉珍豆米豆豉火锅(八鸽岩店)
QUANTIC ESPRESSO COFFEE
黔大叔大牌档(甲秀楼店)

#贵阳[话题]# #美食特种兵[话题]# #美食特种兵[话题]# #贵阳美食[话题]#",a39500e044198b9de52e111ee0b9d4e3e020769a786494d700c6c3314f0d9c66
GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,68d95a54000000000e022bbe,#贵州旅游[话题]# #甲秀楼[话题]##黔派茶点[话题]##黔菜[话题]##黔,天,2025-09-28,https://www.xiaohongshu.com/explore/68d95a54000000000e022bbe?xsec_token_redacted=1&xsec_source=pc_dots,近24个月,354,是,黔大叔,是,是,是,否,否,否,否,否,否,否,,否,否,,否,50,待语义审核,"#贵州旅游[话题]# #甲秀楼[话题]##黔派茶点[话题]##黔菜[话题]##黔
#贵州旅游[话题]# #甲秀楼[话题]##黔派茶点[话题]##黔菜[话题]##黔大叔大排档[话题]#",12fa78ea1c28f80820a822f6ed112d7202a2c6236f1277445777ce23a5c0b6bd
GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,67f0e3dd000000001c036e7c,"老贵阳菜,天花板-黔大叔大排档",边走边看,2025-04-05,https://www.xiaohongshu.com/explore/67f0e3dd000000001c036e7c?xsec_token_redacted=1&xsec_source=pc_dots,近24个月,530,是,黔大叔,是,是,否,是,否,否,否,否,否,否,,否,否,,否,156,待语义审核,"老贵阳菜,天花板-黔大叔大排档
黔大叔大排档应该是贵阳历史最悠久的餐厅了,主打就是老贵阳菜。
必点菜:糟辣鱼、豆豉黑毛猪、陈皮油卤鹅。

我是江苏人,其实不太能吃辣,但是那个油卤鹅真是太好吃了。黑毛猪巨下饭。
好吃好吃逛完甲秀楼,正好过来吃。这间餐厅,也是一直霸占贵阳“必吃榜”榜首。

#贵阳[话题]# #贵阳美食[话题]# #黔菜[话题]#",eac52c939ca61e547f51634fba4b419a4e19c8210db26d2a5857abdbb6c50419
GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,6a59cfef000000001002aff7,黔大叔大排档(阿云朵仓店),Sunny🌈,2026-07-17,https://www.xiaohongshu.com/explore/6a59cfef000000001002aff7?xsec_token_redacted=1&xsec_source=pc_dots,近24个月,62,是,黔大叔,是,是,是,否,否,否,否,否,否,否,,否,否,,否,352,待语义审核,"吃
2黔北双椒鸡,好吃,喜欢麻辣可以冲!外地人不能吃麻吃辣的慎点
3仔姜泡椒脆鱼肚,辣,但是很好吃,喜欢并且能吃辣的一定要点
4腊肉炒笋,腊肉油香油香的,嘎嘎炫饭
5卤味拼盘也不错,
6烧椒皮蛋,配个凉菜很不错,好吃
7西红柿拌米皮,这个是清淡的,不辣,很好吃,也是贵州特色
最后,我觉得可以二刷,他家在甲秀楼也有店
#黔大叔大牌档[话题]# #贵州菜[话题]#",2a25cfa5860bf42c0c8c22485ae2f57670c29533a776c677c65e6c00a346097c
