优先级,POI业务类型,行政区,规划问题数,已采集数,有待审核证据问题数,AI明确无来源数,待审核证据总数,非协同候选作者总数,别名待审证据总数,证据问题命中率,明确无来源率,每题待审核证据数,每题非协同作者数
P0,交通服务,乌当区,1,1,1,0,23,22,0,1.0,0.0,23.0,22.0
P0,交通服务,南明区,2,2,2,0,14,14,0,1.0,0.0,7.0,7.0
P0,交通服务,观山湖区,1,1,1,0,19,19,0,1.0,0.0,19.0,19.0
P0,住宿酒店,云岩区,9,9,7,0,91,81,12,0.7778,0.0,10.11,9.0
P0,住宿酒店,南明区,15,15,14,0,130,98,2,0.9333,0.0,8.67,6.53
P0,住宿酒店,花溪区,2,2,0,0,0,0,11,0.0,0.0,0.0,0.0
P0,住宿酒店,观山湖区,14,14,12,2,127,108,3,0.8571,0.1429,9.07,7.71
P0,景点观光,乌当区,2,2,2,0,42,40,0,1.0,0.0,21.0,20.0
P0,景点观光,云岩区,1,1,1,0,12,12,0,1.0,0.0,12.0,12.0
P0,景点观光,南明区,2,2,2,0,36,36,0,1.0,0.0,18.0,18.0
P0,景点观光,花溪区,6,6,5,0,106,103,0,0.8333,0.0,17.67,17.17
P0,景点观光,观山湖区,1,1,1,0,21,20,0,1.0,0.0,21.0,20.0
P0,餐饮美食,云岩区,18,18,16,1,165,158,10,0.8889,0.0556,9.17,8.78
P0,餐饮美食,南明区,30,30,26,5,246,232,58,0.8667,0.1667,8.2,7.73
P0,餐饮美食,花溪区,5,5,4,0,39,39,7,0.8,0.0,7.8,7.8
P0,餐饮美食,观山湖区,7,7,4,2,22,20,16,0.5714,0.2857,3.14,2.86
P1,住宿酒店,乌当区,5,0,0,0,0,0,0,,,,
P1,住宿酒店,云岩区,6,1,1,0,10,9,0,1.0,0.0,10.0,9.0
P1,住宿酒店,南明区,5,5,4,1,34,32,1,0.8,0.2,6.8,6.4
P1,住宿酒店,清镇市,6,0,0,0,0,0,0,,,,
P1,住宿酒店,白云区,4,0,0,0,0,0,0,,,,
P1,住宿酒店,花溪区,8,2,1,0,7,6,0,0.5,0.0,3.5,3.0
P1,住宿酒店,观山湖区,6,0,0,0,0,0,0,,,,
P1,餐饮美食,乌当区,10,10,9,6,55,54,2,0.9,0.6,5.5,5.4
P1,餐饮美食,云岩区,7,7,7,0,60,59,1,1.0,0.0,8.57,8.43
P1,餐饮美食,清镇市,8,8,7,4,27,27,0,0.875,0.5,3.38,3.38
P1,餐饮美食,白云区,7,7,6,6,24,24,0,0.8571,0.8571,3.43,3.43
P1,餐饮美食,花溪区,15,15,14,2,160,149,2,0.9333,0.1333,10.67,9.93
P1,餐饮美食,观山湖区,13,13,9,5,87,79,0,0.6923,0.3846,6.69,6.08
