审核行ID,证据序号,问题ID,图谱实体ID,目标实体类型,POI名称,行政区,小红书帖子ID,标题,作者,发布日期,URL,机器分流状态,分店或位置上下文命中,游客语境线索,攻略清单风险,商家营销风险,经营状态风险,疑似协同营销,近重复组ID,可用字段范围,待审核原文上下文,直接指向实体,分店确认,游客亲历,独立用户,可用体验断言,风险复核结论,目标字段,断言值,连续引文,审核决定,审核说明,审核人,审核时间
xhs-review-c258f9a59e6211139b498bf5,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,660270c30000000012031bd2,贵阳探店 五天美食红黑榜,特特,2024-03-26,https://www.xiaohongshu.com/explore/660270c30000000012031bd2?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,是,是,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"推荐一家肉饼店
[火R][火R]陈记绿色肉饼王(兴关路店),¥8/人
南明区兴关路224号(贵阳站1.2km)
一定要买加肉的 八块钱 一个肉饼比脸还大 越吃越香 吃完麻麻的非常过瘾 回来还会想念的味道[点赞R][点赞R][点赞R]

[星R][星R][星R] 图4 5 正餐有两家味道都不错 随便点都不踩雷的
[火R]黔大叔大牌档,¥79/人
富水南路186号泰祥国际负2楼
[火R]树厨贵州菜(大十字店),,¥52/人
中华南路8号诺富特酒店旁

[星R][星R] 图6 一烙锅 很多分店 我们吃下来觉得普普通通吧 反转版麻辣香锅 吃一个新鲜吧

[星R] 图7 烤腊排骨 我们吃的是虎门巷一个居民楼里的苍蝇小馆 不推荐 出来又在隔壁买了一把烧烤 ",,,,,,,,,,,,,
xhs-review-c0f90d083b50e203bb10a60b,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,662e64ab000000001c005524,二刷贵阳黔大叔大排档,卿本佳人奈何便秘,2024-04-28,https://www.xiaohongshu.com/explore/662e64ab000000001c005524?xsec_token_redacted=1&xsec_source=pc_dots,待审核_跨区行程上下文,否,否,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"二刷贵阳黔大叔大排档
黔大叔大排档
地址:富水南路186号泰祥国际负2楼
这是第二次吃黔大叔了,菜品主打一个鲜辣。大排档的风格,但环境敞亮干净。
【招牌糟辣鱼】小辣,酸中带甜。
【糊辣炝锅鱼】辣椒确实有点炝,但又香又辣,很够味。
【黔北双椒鸡】越吃越香,但不明白为什么鸡肉一定要要弄成鸡丁大小。
【油卤鹅】特别香嫩,出乎意料的好吃,蘸不蘸干",,,,,,,,,,,,,
xhs-review-e365f22792cfde241a418928,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,66c1d2090000000005033900,贵阳!看我一下午吃三家店,一只鱼,2024-08-18,https://www.xiaohongshu.com/explore/66c1d2090000000005033900?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,否,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"好像也有卖dirty了,哈哈哈哈哈。在半坡拐角上,整条街也很有感觉。整体8.5分。
堰塘街,喷水池H口步行800m

南门口肠旺面
大排队,一整个大排队。门口是明档煮面,嬢嬢们动作麻利,配合默契。好容易排到了不多吃点对不起自己。大排,脆哨,豆腐干全加。面条脆弹,整体7.5分。
护国路153号,中山西站D口1000m

黔大叔大牌档
随机搜索的一家店。最有意思的是门口等位区的围炉煮茶,就是不吃饭,在这坐坐喝喝茶也不错。贵州菜,这家的鱼和辣子鸡都是过油的,于是点了啤酒,吃饱喝足。整体7.5分。
富水南路186号泰祥国际负2楼
#贵阳[话题]# #人间烟火[话题]# #烟火云南就在米店[话题]#",,,,,,,,,,,,,
xhs-review-7c2d25f81da015802232f895,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,66e195f4000000002603103e,掇食贵阳 | 烧满贵州味的黔大叔大牌档,吃痴喫喫钥,2024-09-11,https://www.xiaohongshu.com/explore/66e195f4000000002603103e?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,否,否,是,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"掇食贵阳 | 烧满贵州味的黔大叔大牌档
◽因酸辣而广受喜爱的贵州味,其实远不止酸辣。爆、炒、蒸、煮、炖、烧、烤、煎、腌、酿等技法做出来的酸甜苦辣麻咸鲜,才是贵州菜烧满的味道。
◽几年前第一次听到这名字,还以为是家卖小龙虾烧烤炒饭的店。从当初的社区食堂,到现在的人气餐厅......
◽黔大叔大牌档,2019年品牌成立,2020年首店开业。连续多年入选贵阳必吃",,,,,,,,,,,,,
xhs-review-abccdb491c05314512931e6d,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,67cd297b0000000009014c32,探店:黔大叔大排档(甲秀楼店),夏目漱石,2025-03-09,https://www.xiaohongshu.com/explore/67cd297b0000000009014c32?xsec_token_redacted=1&xsec_source=pc_dots,待语义审核,是,是,是,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"探店:黔大叔大排档(甲秀楼店)
黔大叔排挡
价格:点菜50~70元/人(套餐价格低一些)
环境:餐厅的环境还是不错的,干净整洁。
服务:优点:服务人员很积极,上菜速度还不错。
食材味道:1、双椒鸡味道很不错不柴;
2、炝锅鱼中规中矩,外面一层鱼油挺入味,里面的鱼肉入味差一点点;
3、免费的水果挺新鲜的;
4、有免费的煮茶,喝了点橙子煮水",,,,,,,,,,,,,
xhs-review-a1578543b4ed59fe8603f7ca,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,67da8f86000000000602af40,贵阳|好吃到放不下筷子,泡椒鱼香,2025-03-19,https://www.xiaohongshu.com/explore/67da8f86000000000602af40?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,否,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"贵阳|好吃到放不下筷子
听说花果园的黔大叔家又开新店啦!这我怎么能错过呢,必须得去凑个热闹嘛!想当初,我可是经常拽着我的饭搭子往亨特那边跑,就为了尝尝他家那让人欲罢不能的招牌糟辣鱼呢!
一迈进这家新店,哇塞,那氛围感直接拉满啦!满满怀旧风!
必点的招牌——洞藏糟辣鱼,那鱼肉外面炸得金黄酥脆,里面却嫩得像婴儿的小脸蛋,配上糟辣椒那个酸辣味,简直就是天作之合,吃一口就幸福感爆",,,,,,,,,,,,,
xhs-review-191e2a59e0bfcb159afe65ca,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,67f0e3dd000000001c036e7c,"老贵阳菜,天花板-黔大叔大排档",边走边看,2025-04-05,https://www.xiaohongshu.com/explore/67f0e3dd000000001c036e7c?xsec_token_redacted=1&xsec_source=pc_dots,待语义审核,是,否,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"老贵阳菜,天花板-黔大叔大排档
黔大叔大排档应该是贵阳历史最悠久的餐厅了,主打就是老贵阳菜。
必点菜:糟辣鱼、豆豉黑毛猪、陈皮油卤鹅。

我是江苏人,其实不太能吃辣,但是那个油卤鹅真是太好吃了。黑毛猪巨下饭。
好吃好吃逛完甲秀楼,正好过来吃。这间餐厅,也是一直霸占贵阳“必吃榜”榜首。

#贵阳[话题]# #贵阳美食[话题]# #黔菜[话题]#",,,,,,,,,,,,,
xhs-review-89f7beac07f583406674729a,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,6819c782000000001200690c,在贵州!贵阳这4家值得反复去的美食老店,羊大婶不洋,2025-05-06,https://www.xiaohongshu.com/explore/6819c782000000001200690c?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,否,否,是,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"5层
人均消费:70元左右
特点:老牌黔菜连锁店,品质稳定,闭眼点不踩雷。
宫爆板筋:板筋脆嫩,花生香脆,甜辣的味道超下饭,一份40元左右。
酸汤牛肉:酸汤浓郁开胃,牛肉嫩滑,酸得恰到好处,一份70元左右。
个人体验:经常纠结吃啥的时候就来这,宫爆板筋我能干两大碗饭,酸汤牛肉的酸汤我能喝好几碗,真的百吃不腻。
推荐四
黔大叔大牌档
位置:南明区富水南路168号泰祥国际负二楼
人均消费:65元左右
特点:常年霸占必吃榜,人气超旺,氛围热闹。
糟辣鱼:鱼鲜和糟辣椒香完美融合,鱼肉鲜嫩,汤汁泡饭一绝,一份60元左右。
黔北双椒鸡:鸡肉和双椒搭配,色泽诱人,香辣过瘾,一份50元左右。
个人体验:周末去花果园逛街顺便吃的,一进店就被这热闹的干饭氛围感染,",,,,,,,,,,,,,
xhs-review-2c787e96de72d8982def5af8,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,6842ccf800000000120017fd,黔大叔大排档真实个人评价,摸摸小耳朵,2025-06-06,https://www.xiaohongshu.com/explore/6842ccf800000000120017fd?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,是,否,是,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"黔大叔大排档真实个人评价
跟着小红书的推荐来吃的,进店之后发现很热,问了服务员因为是空调坏了,但吃饭人依旧挺多的。几乎每桌都会点洞藏糟辣鱼。
[一R]洞藏糟辣鱼:几乎不辣,适合不吃辣的人,吃到鱼尾才发现原来还有酸的口感,看来是酱汁没有抹匀。
[二R] 油渣莲花白:原来就是干锅包菜[捂脸R],很油,口味一般
[三R]米饭一点也不好吃
[四R]吃",,,,,,,,,,,,,
xhs-review-3be5b7ca552ae240ecf55b6e,1,GYTRAVEL-HV-20260916-0001,food_4039cbf8-f08b-4ae2-8442-36c87f234d8a,FoodAndBeverage,黔大叔大牌档(甲秀楼店),南明区,68640b710000000023004a03,贵阳美食,☆→✨Wll✨,2025-07-02,https://www.xiaohongshu.com/explore/68640b710000000023004a03?xsec_token_redacted=1&xsec_source=pc_dots,待审核_分店上下文不足,否,否,否,否,否,否,,visitorDemandScenarios、ugcPoiSubtype、ugcLocationDescription,"贵阳美食
贵阳美食必须推荐这家...黔大叔大牌档
这次应该是这几天好评率最高的一顿了...
战斗结束!
​洞藏糟辣鱼𓆜得到了一致好评...
酸汤丸子[强][强][强]
黔北双椒鸡[强][强]
西红柿拌米皮[强]
腊肉炒方竹笋[强]
油渣莲花白[强][强]
出于对黑豆花脆哨沾水的尊重吃了一口...
木姜子凤梨[旺柴][旺柴]
个人喜好...仅供参考
贵阳好吃的太多了.",,,,,,,,,,,,,
