问题ID,采集轮次,result_id,source_index,source_key,source_type,external_entity_id,note_id,标题,发布日期,发布时间,作者,作者ID,xsec_token,URL,帖子正文,正文状态,标准化正文,封面URL,图片数,点赞数,capture_level,capture_method,capture_status,field_provenance,last_error,discovered_at,captured_at,conversation_url,content_sha256
GYTRAVEL-S4-F002,1,a9c6e709-f245-4977-afcb-bee773098705,1,a9c6e709-f245-4977-afcb-bee773098705:1,xhs_note,,6a79f1ab000000003301b59d,贵阳散记（14）酸汤鱼,2026-08-10,2026-08-10T23:43:39+08:00,大熊,5af04c24e8ac2b127a1ad265,ABaN6QamXJh7NPVCQnJ4bKfpgg85VnkcugzAhab9hnYmE=,https://www.xiaohongshu.com/explore/6a79f1ab000000003301b59d?xsec_token_redacted=1&xsec_source=pc_dots,"老凯俚酸汤鱼（省府路店）名气很大，正好距离所住酒店很近。有了前天吃酸汤牛肉的经验，今天不到5点半就前往，果然顺利订座。
	
酸汤真好，煮出来的鱼嫩滑爽口，香味浓郁。至于网上的人均价肯定是逗你玩的，主要看你选什么鱼。店里最贵的是芝麻剑（斑鱯），220元/500克，一条芝麻剑最轻也有近两斤。这家店的黄辣丁值得推荐，煮出来格外鲜嫩，79元/500克，算是性价比很高的。
	
小吃类见图12-13，其中洋芋粑的摆盘像一道大菜。
	
心满意足的走出饭店，外面等候的食客还排着长队……。
	
贵州酸汤鱼是黔菜的代表名片，源自黔东南苗族侗族地区。古时因缺盐，先民以发酵酸汤代盐去腥，逐渐演变为特色美食，其中“凯里酸汤鱼制作技艺”已被列入国家级非物质文化遗产。
酸汤鱼的核心在于自然发酵的酸汤，绝不用工业醋精，主要分为两大流派：
红酸汤——以黔东南野生小番茄（毛辣果）和红辣椒为主料，密封发酵数月。汤色鲜红透亮，酸辣浓郁且带有果香，开胃劲足，是大多数食客的首选。
白酸汤——用糯米米汤或淘米水加入老酸汤发酵而成。汤色清亮微白，酸味柔和清爽，回甜且带有淡淡稻香，适合不喜辣的人群。
——摘自腾讯元宝",present,老凯俚酸汤鱼（省府路店）名气很大，正好距离所住酒店很近。有了前天吃酸汤牛肉的经验，今天不到5点半就前往，果然顺利订座。 酸汤真好，煮出来的鱼嫩滑爽口，香味浓郁。至于网上的人均价肯定是逗你玩的，主要看你选什么鱼。店里最贵的是芝麻剑（斑鱯），220元/500克，一条芝麻剑最轻也有近两斤。这家店的黄辣丁值得推荐，煮出来格外鲜嫩，79元/500克，算是性价比很高的。 小吃类见图12-13，其中洋芋粑的摆盘像一道大菜。 心满意足的走出饭店，外面等候的食客还排着长队……。 贵州酸汤鱼是黔菜的代表名片，源自黔东南苗族侗族地区。古时因缺盐，先民以发酵酸汤代盐去腥，逐渐演变为特色美食，其中“凯里酸汤鱼制作技艺”已被列入国家级非物质文化遗产。 酸汤鱼的核心在于自然发酵的酸汤，绝不用工业醋精，主要分为两大流派： 红酸汤——以黔东南野生小番茄（毛辣果）和红辣椒为主料，密封发酵数月。汤色鲜红透亮，酸辣浓郁且带有果香，开胃劲足，是大多数食客的首选。 白酸汤——用糯米米汤或淘米水加入老酸汤发酵而成。汤色清亮微白，酸味柔和清爽，回甜且带有淡淡稻香，适合不喜辣的人群。 ——摘自腾讯元宝,http://ci.xiaohongshu.com/note_pre_post_uhdr/1040g3r0323monk43mu6g4a54md629kj5okvrs5g?imageView2/2/w/1080/format/jpg,16,15,full_post,vue_props+signed_source_api,complete,"{""body"": ""source_api"", ""note_id"": ""vue_props_or_click_scope"", ""xsec_token"": ""source_api_or_vue_props""}",,2026-09-14T01:19:12-07:00,2026-09-14T01:19:11-07:00,https://www.xiaohongshu.com/ai_chat?conversationId=0de31c95-a2bd-4b5f-908a-31a17eb04c34,0e1a73183c1883c5bbe1880a9ab3582f3d8011936e70f8fb2d2a31f312e573cf
GYTRAVEL-S4-F002,1,a9c6e709-f245-4977-afcb-bee773098705,2,a9c6e709-f245-4977-afcb-bee773098705:2,xhs_note,,6a6cc8b4000000002403d63a,"贵阳老字号｜带外地人吃酸汤鱼只认这家
	
作为贵阳本地人！
每次有朋友来贵州",2026-08-01,2026-08-01T00:09:24+08:00,蛋挞边边,65a8f35f0000000008021a82,ABRcb7z_n0Tpi4UqxtIcHSZv4BwFeHNBwUXeBwCNPZAys=,https://www.xiaohongshu.com/explore/6a6cc8b4000000002403d63a?xsec_token_redacted=1&xsec_source=pc_dots,"贵阳老字号｜带外地人吃酸汤鱼只认这家
	
作为贵阳本地人！
每次有朋友来贵州旅游
我必带去打卡的老牌酸汤鱼就是亮欢寨！
	
开了40年的老牌老店
上过舌尖的口碑老店，本地人都反复吃！
位置超级方便
喷水池地铁直达，逛完民生路、太平路顺路吃
	
民族氛围感拉满
沉浸式感受苗侗风情，拍照巨出片
红酸、白酸两种汤底可选
妥妥贵州专属鸳鸯锅！
	
地道红酸汤yyds
纯毛辣果自然发酵！
天然的酸辣口，醇厚柔和不呛胃
完全不是工业酸味，越煮越香超开胃
	
活鱼现sha现煮江黄鱼超新鲜，吸满酸汤，ju入味
苗家爆浆糍粑｜甜甜的+红糖夹心，趁热ju好吃
凯里西红柿拌米皮｜清爽解腻，一口开胃
	
吃完慢悠悠散步看贵阳夜景
感受满满的市井烟火气
	
#亮欢寨[话题]# #亮欢寨红酸鱼白酸牛[话题]# #贵州人有自己的鸳鸯锅[话题]#",present,贵阳老字号｜带外地人吃酸汤鱼只认这家 作为贵阳本地人！ 每次有朋友来贵州旅游 我必带去打卡的老牌酸汤鱼就是亮欢寨！ 开了40年的老牌老店 上过舌尖的口碑老店，本地人都反复吃！ 位置超级方便 喷水池地铁直达，逛完民生路、太平路顺路吃 民族氛围感拉满 沉浸式感受苗侗风情，拍照巨出片 红酸、白酸两种汤底可选 妥妥贵州专属鸳鸯锅！ 地道红酸汤yyds 纯毛辣果自然发酵！ 天然的酸辣口，醇厚柔和不呛胃 完全不是工业酸味，越煮越香超开胃 活鱼现sha现煮江黄鱼超新鲜，吸满酸汤，ju入味 苗家爆浆糍粑｜甜甜的+红糖夹心，趁热ju好吃 凯里西红柿拌米皮｜清爽解腻，一口开胃 吃完慢悠悠散步看贵阳夜景 感受满满的市井烟火气,http://ci.xiaohongshu.com/notes_pre_post/1040g3k03239tngnm7k005pd8udfi46k2n6l0mgg?imageView2/2/w/1080/format/jpg,9,2,full_post,vue_props+signed_source_api,complete,"{""body"": ""source_api"", ""note_id"": ""vue_props_or_click_scope"", ""xsec_token"": ""source_api_or_vue_props""}",,2026-09-14T01:19:12-07:00,2026-09-14T01:19:11-07:00,https://www.xiaohongshu.com/ai_chat?conversationId=0de31c95-a2bd-4b5f-908a-31a17eb04c34,af90d752de9591d55affb99ab2e26a6e1da154691977c191f339f6741fce6369
GYTRAVEL-S4-F002,1,a9c6e709-f245-4977-afcb-bee773098705,3,a9c6e709-f245-4977-afcb-bee773098705:3,xhs_note,,6a737e06000000000f03a802,贵阳第一顿酸汤鱼，直接给我香迷糊了！,2026-08-06,2026-08-06T02:16:38+08:00,落雪辞,6a700b770000000001004400,ABm0aowR022NX97_qPH6rkbiwY2L6qbSQjNLaBinOM2yA=,https://www.xiaohongshu.com/explore/6a737e06000000000f03a802?xsec_token_redacted=1&xsec_source=pc_dots,"专程跑贵阳，就为了老凯俚这锅酸汤鱼！30年非遗老字号真不是吹的，古法毛辣果自然发酵，汤底酸鲜浓郁，开锅先整一碗汤，太巴适了！鱼池现捞现称，明档厨房干净看得见，鱼肉煮个十几分钟嫩到筷子夹不住，蘸上秘制烧椒蘸水，香得上头！鲜切吊龙嚼劲足，西红柿酱卷粉、豆腐圆子全是贵州味儿，山野时蔬还能免费续。店里整整5500㎡的苗寨风，鼓楼木雕、苗绣银饰到处都是，红灯笼一挂氛围感拉满，随手拍都出片。包厢也超多，大包能坐二三十人，喝茶打牌都行，晚上还有民族歌舞表演，仪式感直接拉满。四楼还有独立包间，家庭聚餐、朋友团建、商务宴请全安排得明明白白。来贵阳，这口酸汤鱼我每次都得吃！
#贵阳探店[话题]#",present,专程跑贵阳，就为了老凯俚这锅酸汤鱼！30年非遗老字号真不是吹的，古法毛辣果自然发酵，汤底酸鲜浓郁，开锅先整一碗汤，太巴适了！鱼池现捞现称，明档厨房干净看得见，鱼肉煮个十几分钟嫩到筷子夹不住，蘸上秘制烧椒蘸水，香得上头！鲜切吊龙嚼劲足，西红柿酱卷粉、豆腐圆子全是贵州味儿，山野时蔬还能免费续。店里整整5500㎡的苗寨风，鼓楼木雕、苗绣银饰到处都是，红灯笼一挂氛围感拉满，随手拍都出片。包厢也超多，大包能坐二三十人，喝茶打牌都行，晚上还有民族歌舞表演，仪式感直接拉满。四楼还有独立包间，家庭聚餐、朋友团建、商务宴请全安排得明明白白。来贵阳，这口酸汤鱼我每次都得吃！,http://ci.xiaohongshu.com/oss-ae/notes_pre_post/1040g3v8323gf8p0mi6005qjg1drg8h00984k03o?imageView2/2/w/1080/format/jpg,17,2,full_post,vue_props+signed_source_api,complete,"{""body"": ""source_api"", ""note_id"": ""vue_props_or_click_scope"", ""xsec_token"": ""source_api_or_vue_props""}",,2026-09-14T01:19:12-07:00,2026-09-14T01:19:11-07:00,https://www.xiaohongshu.com/ai_chat?conversationId=0de31c95-a2bd-4b5f-908a-31a17eb04c34,a288cb7af2156611cc36e9c2b51b3771b8cfde206848e8485c6dcd3a5c2c10a6
GYTRAVEL-S4-F002,1,a9c6e709-f245-4977-afcb-bee773098705,4,a9c6e709-f245-4977-afcb-bee773098705:4,xhs_note,,6a38003900000000060341b7,落地贵阳第一顿老凯里酸汤鱼～,2026-06-21,2026-06-21T23:16:09+08:00,暄儿也不错,5c9ee302000000001101bce4,AB7yNbFe0DL64CiH5KKG9iSheUPxOYIRiY0Vn9_063XXc=,https://www.xiaohongshu.com/explore/6a38003900000000060341b7?xsec_token_redacted=1&xsec_source=pc_dots,"打卡老凯里酸汤鱼（省府街店）好吃服务也很好
	
#贵阳美食[话题]# #贵阳旅游[话题]# #贵阳酸汤鱼[话题]# #贵阳老凯里酸汤鱼[话题]#",present,打卡老凯里酸汤鱼（省府街店）好吃服务也很好,http://ci.xiaohongshu.com/notes_uhdr/1040g3qo321mc8g18ne705n4usc14bf74hakia58?imageView2/2/w/1080/format/jpg,8,7,full_post,vue_props+signed_source_api,complete,"{""body"": ""source_api"", ""note_id"": ""vue_props_or_click_scope"", ""xsec_token"": ""source_api_or_vue_props""}",,2026-09-14T01:19:12-07:00,2026-09-14T01:19:11-07:00,https://www.xiaohongshu.com/ai_chat?conversationId=0de31c95-a2bd-4b5f-908a-31a17eb04c34,2947c281c4f0ba67d77dbbc20f97e65033ff3a2563a1c08da31a432a356e79aa
GYTRAVEL-S4-F002,1,a9c6e709-f245-4977-afcb-bee773098705,5,a9c6e709-f245-4977-afcb-bee773098705:5,xhs_note,,6a3a5ca7000000002201923b,来贵阳，别只拍甲秀楼｜一楼一寨才算到贵阳,2026-06-23,2026-06-23T18:15:03+08:00,Csboys_LL,5a47a9474eacab4300b87b2e,ABHc08atQmCAB2I9tjvT04kferKbKYUAeb3F8lfzlYwmM=,https://www.xiaohongshu.com/explore/6a3a5ca7000000002201923b?xsec_token_redacted=1&xsec_source=pc_dots,"来贵阳，总要去一次甲秀楼。
南明河水缓缓流过，楼影落在水面，像一封写给旧城的情书。
	
但贵阳的故事，不止一座楼。
拍完甲秀楼，转身去亮欢寨，才算把这座城的烟火气补完整。
一楼，是甲秀楼。
一寨，是亮欢寨。
	
这里像藏在城市里的苗寨：吊脚楼、水车、竹编灯、蜡染纹样，苗族盛装小姐姐从席间走过，银饰轻响，芦笙声一起来，整个人好像被贵州的山风轻轻抱住。
	
最动人的，还是那一锅红酸汤鱼。
亮欢寨从1986年走到今天，40年只守着一件事：把自然发酵的红酸汤，熬成贵州人心里的乡愁。酸汤沸腾时，红亮亮地冒着泡，鱼肉鲜嫩，汤底酸香开胃，一口下去，才懂什么叫“贵州的酸，是有魂的”。
	
必点红酸汤江团鱼/黄辣丁，再配豆腐圆子、苗家泡萝卜。酸、鲜、辣、香交织在一起，不是猛烈的刺激，而是山野、稻田、村寨和岁月慢慢发酵出来的味道。
来这里也不只是吃饭。
高山流水敬酒一上场，气氛直接拉满；打糍粑可以亲手参与，热乎乎地吃一口，很有小时候过节的感觉；苗家歌舞响起时，连陌生人都会跟着笑。
	
来贵阳，别只把甲秀楼留在相册里。
再来亮欢寨吃一锅酸汤鱼，看一场苗家歌舞。
一楼一寨，才是贵阳人生照片的完整体。
#贵州酸汤鱼[话题]# #贵阳美食[话题]# #贵州旅游攻略[话题]# #贵阳探店[话题]# #氛围感餐厅打卡[话题]# #苗寨风情[话题]# #漂亮饭打卡指南[话题]# #非遗美食[话题]# #周末去哪儿[话题]# #亮欢寨40周年[话题]#",present,来贵阳，总要去一次甲秀楼。 南明河水缓缓流过，楼影落在水面，像一封写给旧城的情书。 但贵阳的故事，不止一座楼。 拍完甲秀楼，转身去亮欢寨，才算把这座城的烟火气补完整。 一楼，是甲秀楼。 一寨，是亮欢寨。 这里像藏在城市里的苗寨：吊脚楼、水车、竹编灯、蜡染纹样，苗族盛装小姐姐从席间走过，银饰轻响，芦笙声一起来，整个人好像被贵州的山风轻轻抱住。 最动人的，还是那一锅红酸汤鱼。 亮欢寨从1986年走到今天，40年只守着一件事：把自然发酵的红酸汤，熬成贵州人心里的乡愁。酸汤沸腾时，红亮亮地冒着泡，鱼肉鲜嫩，汤底酸香开胃，一口下去，才懂什么叫“贵州的酸，是有魂的”。 必点红酸汤江团鱼/黄辣丁，再配豆腐圆子、苗家泡萝卜。酸、鲜、辣、香交织在一起，不是猛烈的刺激，而是山野、稻田、村寨和岁月慢慢发酵出来的味道。 来这里也不只是吃饭。 高山流水敬酒一上场，气氛直接拉满；打糍粑可以亲手参与，热乎乎地吃一口，很有小时候过节的感觉；苗家歌舞响起时，连陌生人都会跟着笑。 来贵阳，别只把甲秀楼留在相册里。 再来亮欢寨吃一锅酸汤鱼，看一场苗家歌舞。 一楼一寨，才是贵阳人生照片的完整体。,http://ci.xiaohongshu.com/notes_pre_post/1040g3k8321om1jeqn0004a0irfkkeupeebn2t9o?imageView2/2/w/1080/format/jpg,9,56,full_post,vue_props+signed_source_api,complete,"{""body"": ""source_api"", ""note_id"": ""vue_props_or_click_scope"", ""xsec_token"": ""source_api_or_vue_props""}",,2026-09-14T01:19:12-07:00,2026-09-14T01:19:11-07:00,https://www.xiaohongshu.com/ai_chat?conversationId=0de31c95-a2bd-4b5f-908a-31a17eb04c34,217fd9f801c3daa3e97b9adedc8121be24eaabf87957445a9064a7399ee6e244
GYTRAVEL-S4-F002,1,a9c6e709-f245-4977-afcb-bee773098705,6,a9c6e709-f245-4977-afcb-bee773098705:6,xhs_note,,6a572b94000000001102f518,贵阳美食,2026-07-15,2026-07-15T14:41:24+08:00,,5e1f199c0000000001004fed,ABPxlpYldUxiEC5R8VqLR6MGe7fzxrsPUMDBgG9bgY5CA=,https://www.xiaohongshu.com/explore/6a572b94000000001102f518?xsec_token_redacted=1&xsec_source=pc_dots,"正餐最最最推荐老凯俚酸汤鱼（省府路店）好香好好吃，新鲜水果自助任吃。
糖水爱喝木薯羹在民生路有家好好吃，好糯，在贵阳的每天都去买
烙锅吃的是一烙锅蛮好吃的，后面会有点油。
咖啡打卡了DUIDE Coffee ，招牌橘光反转爱尔兰，好喝！推荐！
避雷大健鱿鱼鸡
#贵阳美食[话题]# #民生路美食[话题]# #烙锅[话题]# #贵阳咖啡[话题]#",present,正餐最最最推荐老凯俚酸汤鱼（省府路店）好香好好吃，新鲜水果自助任吃。 糖水爱喝木薯羹在民生路有家好好吃，好糯，在贵阳的每天都去买 烙锅吃的是一烙锅蛮好吃的，后面会有点油。 咖啡打卡了DUIDE Coffee ，招牌橘光反转爱尔兰，好喝！推荐！ 避雷大健鱿鱼鸡,http://ci.xiaohongshu.com/notes_pre_post/1040g3k0322kpismln0005ngv36e08jvdn36u248?imageView2/2/w/1080/format/jpg,8,6,full_post,vue_props+signed_source_api,complete,"{""body"": ""source_api"", ""note_id"": ""vue_props_or_click_scope"", ""xsec_token"": ""source_api_or_vue_props""}",,2026-09-14T01:19:12-07:00,2026-09-14T01:19:11-07:00,https://www.xiaohongshu.com/ai_chat?conversationId=0de31c95-a2bd-4b5f-908a-31a17eb04c34,f3feff5640b05e05ce2f789e3461db3c3cf5fe8f4bdce7668841e32ad8a6a0d6
GYTRAVEL-S4-F002,1,a9c6e709-f245-4977-afcb-bee773098705,7,a9c6e709-f245-4977-afcb-bee773098705:7,xhs_note,,6a83f5e60000000022012912,贵州-凯里-贵阳-酸汤鱼亲身评测,2026-08-18,2026-08-18T14:04:23+08:00,行走在路上,5e342d8d0000000001001619,ABfryKiFkt59Tp4p1B3ezwKslN6xpy4GbYeJmWqEqW9Rk=,https://www.xiaohongshu.com/explore/6a83f5e60000000022012912?xsec_token_redacted=1&xsec_source=pc_dots,"1、凯里：老腾鱼酱酸，越吃越香，汤越煮越有味，恨不得把汤全喝了。
2、贵阳：贵厨酸汤牛肉，看一下多少人吃，排队排了一个半小时，结果就两个字咸还是咸，吃了一半就走了，幸好在凯里吃了，要不然看以为酸汤鱼就是这味，没有一点香味，也不知道为什么这么多人在这里，不信的话，你就吃吧，一吃一个不吱声。真心不要去。
3、贵阳：老凯俚酸汤鱼，刚开始吃的时候一般般，后面越煮香味越浓，味道还算可以。但比老腾家还是差了一点。来贵阳的话，建议可以试一下老凯俚这家。",present,1、凯里：老腾鱼酱酸，越吃越香，汤越煮越有味，恨不得把汤全喝了。 2、贵阳：贵厨酸汤牛肉，看一下多少人吃，排队排了一个半小时，结果就两个字咸还是咸，吃了一半就走了，幸好在凯里吃了，要不然看以为酸汤鱼就是这味，没有一点香味，也不知道为什么这么多人在这里，不信的话，你就吃吧，一吃一个不吱声。真心不要去。 3、贵阳：老凯俚酸汤鱼，刚开始吃的时候一般般，后面越煮香味越浓，味道还算可以。但比老腾家还是差了一点。来贵阳的话，建议可以试一下老凯俚这家。,http://ci.xiaohongshu.com/spectrum/1040g34o3240hq8on74805nhk5m6g85gp0qk5uu0?imageView2/2/w/1080/format/jpg,8,1,full_post,vue_props+signed_source_api,complete,"{""body"": ""source_api"", ""note_id"": ""vue_props_or_click_scope"", ""xsec_token"": ""source_api_or_vue_props""}",,2026-09-14T01:19:12-07:00,2026-09-14T01:19:11-07:00,https://www.xiaohongshu.com/ai_chat?conversationId=0de31c95-a2bd-4b5f-908a-31a17eb04c34,ddeb9e717ab1a9449ac4d2152dc39bfc86204801a56394bbe9065432b147733a
GYTRAVEL-S4-F002,1,a9c6e709-f245-4977-afcb-bee773098705,8,a9c6e709-f245-4977-afcb-bee773098705:8,xhs_note,,6a64881e0000000006010a6a,贵阳个人认为最好吃的酸汤鱼,2026-07-25,2026-07-25T17:55:42+08:00,闻闻,5f43e26a000000000101e6c7,ABrdAGj4303_zWShlTCrNCwIDA1aGNUtpmtG8j8C6qA-0=,https://www.xiaohongshu.com/explore/6a64881e0000000006010a6a?xsec_token_redacted=1&xsec_source=pc_dots,"吃过贵厨，野菜糍粑最好吃，想带些回家，没有
贵阳北站老凯俚酸汤鱼最好吃，鱼现杀，汤底有味，蘸水也好吃，怒买好几包带回家",present,吃过贵厨，野菜糍粑最好吃，想带些回家，没有 贵阳北站老凯俚酸汤鱼最好吃，鱼现杀，汤底有味，蘸水也好吃，怒买好几包带回家,http://ci.xiaohongshu.com/notes_uhdr/1040g3qg3231rrdmqg2005nq3s9l0bpm765dnutg?imageView2/2/w/1080/format/jpg,2,21,full_post,vue_props+signed_source_api,complete,"{""body"": ""source_api"", ""note_id"": ""vue_props_or_click_scope"", ""xsec_token"": ""source_api_or_vue_props""}",,2026-09-14T01:19:12-07:00,2026-09-14T01:19:11-07:00,https://www.xiaohongshu.com/ai_chat?conversationId=0de31c95-a2bd-4b5f-908a-31a17eb04c34,147ff90b6cacd01f8be09c1895009d8d814e8b844cf2d7c3c97f64329de586f0
GYTRAVEL-S4-F002,1,a9c6e709-f245-4977-afcb-bee773098705,9,a9c6e709-f245-4977-afcb-bee773098705:9,xhs_note,,6aa26a3d00000000120006be,"谁懂啊！花果园白宫双子塔酸汤鱼民族表演
	
 在海豚广场抬头，看见海豚嘴",2026-09-10,2026-09-10T16:28:46+08:00,小红薯68527E72,68510ecc000000001b021af6,AB9EM4h6D6bQ0I5s1che6GBxQHStTAxBo2fG6_zXwF37M=,https://www.xiaohongshu.com/explore/6aa26a3d00000000120006be?xsec_token_redacted=1&xsec_source=pc_dots,"谁懂啊！花果园白宫双子塔酸汤鱼民族表演
	
 在海豚广场抬头，看见海豚嘴里藏着一家酸汤鱼。
露台正对花果园白宫和双子塔，傍晚坐下就不想走。
	
 店里像把苗寨搬进了商场。吊脚楼、风雨桥、银饰摆件，眼睛先吃饱。
正餐时段有免费民族歌舞和芦笙表演，还能体验高山流水敬酒互动
	
 酸汤鱼是现杀活鱼，鱼肉嫩，刺不多。古法红酸汤酸得柔和，我连喝两碗汤。
鲜切酸汤牛肉配特色蘸水，涮几秒就捞，嫩滑带酸香，很下饭。
贵州小炒和本地时蔬也顺口，一桌人吃得舒服。
	
 露台拍照很出片，白宫当背景，穿苗服随手拍都好看。室内苗寨场景也能取景。
	
 一层大厅热闹看表演，二层包房安静聚餐。
家庭出游、朋友团建都能安排，消费在观景餐厅里算亲民，没有隐形消费。
	
外地游客来花果园，吃饭和打卡地标能一起搞定，不用来回跑。
本地朋友晚上来吃酸汤鱼、看夜景也合适。
	
#西江传说[话题]# #花果园美食推荐[话题]# #本地人推荐[话题]# #花果园打卡[话题]# #海豚广场美食[话题]# #高山流水体验[话题]# #白宫打卡[话题]# #贵州酸汤鱼推荐[话题]# #最美酸汤鱼村[话题]# #贵阳美食[话题]#
	
~",present,谁懂啊！花果园白宫双子塔酸汤鱼民族表演  在海豚广场抬头，看见海豚嘴里藏着一家酸汤鱼。 露台正对花果园白宫和双子塔，傍晚坐下就不想走。  店里像把苗寨搬进了商场。吊脚楼、风雨桥、银饰摆件，眼睛先吃饱。 正餐时段有免费民族歌舞和芦笙表演，还能体验高山流水敬酒互动  酸汤鱼是现杀活鱼，鱼肉嫩，刺不多。古法红酸汤酸得柔和，我连喝两碗汤。 鲜切酸汤牛肉配特色蘸水，涮几秒就捞，嫩滑带酸香，很下饭。 贵州小炒和本地时蔬也顺口，一桌人吃得舒服。  露台拍照很出片，白宫当背景，穿苗服随手拍都好看。室内苗寨场景也能取景。  一层大厅热闹看表演，二层包房安静聚餐。 家庭出游、朋友团建都能安排，消费在观景餐厅里算亲民，没有隐形消费。 外地游客来花果园，吃饭和打卡地标能一起搞定，不用来回跑。 本地朋友晚上来吃酸汤鱼、看夜景也合适。 ~,http://ci.xiaohongshu.com/notes_pre_post/1040g3k0324u9l624is105q2h1r66s6nmj4v3cu8?imageView2/2/w/1080/format/jpg,4,0,full_post,vue_props+signed_source_api,complete,"{""body"": ""source_api"", ""note_id"": ""vue_props_or_click_scope"", ""xsec_token"": ""source_api_or_vue_props""}",,2026-09-14T01:19:12-07:00,2026-09-14T01:19:11-07:00,https://www.xiaohongshu.com/ai_chat?conversationId=0de31c95-a2bd-4b5f-908a-31a17eb04c34,e86a95be14049db4509957173005a248cd28563892493a5db188d4f667b56b73
GYTRAVEL-S4-F002,1,a9c6e709-f245-4977-afcb-bee773098705,10,a9c6e709-f245-4977-afcb-bee773098705:10,xhs_note,,6a660273000000000100ed31,贵阳①,2026-07-26,2026-07-26T20:49:55+08:00,精神食粮我的命,5f8135e40000000001004d58,ABLSXIg0ErUOOnhSrw1p40zuKbq1pnplJZ3iL0AHeCOkY=,https://www.xiaohongshu.com/explore/6a660273000000000100ed31?xsec_token_redacted=1&xsec_source=pc_dots,"1、老凯俚酸汤鱼：酸汤鱼和酸汤牛肉都吃了，个人觉得酸汤鱼更好吃一些，鱼特别新鲜，鱼肉很紧实；安顺西红柿酱卷粉是top1，酸的恰到好处又很清爽，真的巨好吃！小吃拼盘也是top1哈哈哈哈，不记得分别是什么了，但这三种小吃都很不错，腊味合蒸一般
	
2、旦家香酥鸭好吃，酥酥麻麻的，一边看电视一边啃鸭子，美死咯
	
3、酒店在民生路上，感觉是一条网红街来的，随便做了个攻略就去了，买的街边几家小吃都不好吃，八月瓜也不好吃，民生路其余的小吃感觉没有特别惊艳的，楼下的罗记肠旺面也不好吃
	
4、但民生路酒店对面天桥下的糯米饭很不错，一对老夫妻开着的小店，看着有点年头了，糯米饭看着油但吃着不腻，爱吃糯米的一定要试试；还买了旁边包子铺的三鲜馅儿包子，老板说外地人一般吃不惯，居然是黑芝麻甜口加肉馅儿的，很奇怪，但我觉得挺好吃的
	
5、烙锅：本地人推荐的四禧烙锅，他家是平锅，小肠是必点的，豆腐也不错；还买了毛辣果冰沙（一入口笑了，这不就是西红柿吗）；花果园附近还有一家在巷子里的烙锅应该也不错，晚上溜达看到在外面支的桌子，基本上都是本地人，是凸锅的
	
6、著名打卡点：我在贵阳等着爱你
	
7、折耳根酸奶哈哈哈，里面有细碎的折耳根颗粒，味道不奇怪，能吃折耳根的可以试试
	
8、陈氏人家豆米火锅：没吃豆米火锅等于没来贵州，人均30左右，食材在汤底煮过以后拌饭巨香；旁边还有家地摊火锅应该也很好吃，我们走的时候看到已经满座了
#贵阳美食[话题]# #老凯俚酸汤鱼[话题]# #糯米饭[话题]# #贵州卷粉[话题]# #烙锅[话题]# #豆米火锅[话题]# #陈氏人家豆米火锅[话题]# #地摊火锅[话题]#  #民生路[话题]# #花果园[话题]#",present,1、老凯俚酸汤鱼：酸汤鱼和酸汤牛肉都吃了，个人觉得酸汤鱼更好吃一些，鱼特别新鲜，鱼肉很紧实；安顺西红柿酱卷粉是top1，酸的恰到好处又很清爽，真的巨好吃！小吃拼盘也是top1哈哈哈哈，不记得分别是什么了，但这三种小吃都很不错，腊味合蒸一般 2、旦家香酥鸭好吃，酥酥麻麻的，一边看电视一边啃鸭子，美死咯 3、酒店在民生路上，感觉是一条网红街来的，随便做了个攻略就去了，买的街边几家小吃都不好吃，八月瓜也不好吃，民生路其余的小吃感觉没有特别惊艳的，楼下的罗记肠旺面也不好吃 4、但民生路酒店对面天桥下的糯米饭很不错，一对老夫妻开着的小店，看着有点年头了，糯米饭看着油但吃着不腻，爱吃糯米的一定要试试；还买了旁边包子铺的三鲜馅儿包子，老板说外地人一般吃不惯，居然是黑芝麻甜口加肉馅儿的，很奇怪，但我觉得挺好吃的 5、烙锅：本地人推荐的四禧烙锅，他家是平锅，小肠是必点的，豆腐也不错；还买了毛辣果冰沙（一入口笑了，这不就是西红柿吗）；花果园附近还有一家在巷子里的烙锅应该也不错，晚上溜达看到在外面支的桌子，基本上都是本地人，是凸锅的 6、著名打卡点：我在贵阳等着爱你 7、折耳根酸奶哈哈哈，里面有细碎的折耳根颗粒，味道不奇怪，能吃折耳根的可以试试 8、陈氏人家豆米火锅：没吃豆米火锅等于没来贵州，人均30左右，食材在汤底煮过以后拌饭巨香；旁边还有家地摊火锅应该也很好吃，我们走的时候看到已经满座了,http://ci.xiaohongshu.com/spectrum/1040g34o32338kb4hn2205ns16ni08jaoioa2ru8?imageView2/2/w/1080/format/jpg,10,18,full_post,vue_props+signed_source_api,complete,"{""body"": ""source_api"", ""note_id"": ""vue_props_or_click_scope"", ""xsec_token"": ""source_api_or_vue_props""}",,2026-09-14T01:19:12-07:00,2026-09-14T01:19:11-07:00,https://www.xiaohongshu.com/ai_chat?conversationId=0de31c95-a2bd-4b5f-908a-31a17eb04c34,06b2a740630a089dac7ffd5c2660a85b97220cf9805f895840b2bcbad66439c8
