国家代码,行政层级,行政层级中文,行政区代码,上级行政区代码,中文名称,泰文名称,英文名称,中文显示名,中文名状态,中心纬度,中心经度,西界经度,南界纬度,东界经度,北界纬度,面积平方公里,邮政编码,边界状态,边界文件,边界要素ID,边界坐标系,边界数据时点,Google原生边界支持,Google地图绘制方式,Wikidata网址,名称与代码来源,中心点来源,边界来源
TH,3,乡/曼谷分区,100101,1001,大皇宫区,พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,大皇宫区,Wikidata已有中文名,13.7515521,100.4919731,100.4875804,13.7407529,100.4964921,13.7619034,1.5365549,10200,可绘制,泰国_ADM3_乡分区边界.geojson,TH100101,WGS84 / EPSG:4326,2026-08-25,泰国不支持ADM3,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q15735512,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,OpenStreetMap行政关系（ODbL）
TH,3,乡/曼谷分区,100102,1001,三王府区,วังบูรพาภิรมย์,Wang Burapha Phirom,三王府区,Wikidata已有中文名,13.7434278,100.4989481,100.4937779,13.7386948,100.5040685,13.7484761,0.7261344,10200,可绘制,泰国_ADM3_乡分区边界.geojson,TH100102,WGS84 / EPSG:4326,2026-08-25,泰国不支持ADM3,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q15735546,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,OpenStreetMap行政关系（ODbL）
TH,3,乡/曼谷分区,100103,1001,拉差博披寺区,วัดราชบพิธ,Wat Ratchabophit,拉差博披寺区,Wikidata已有中文名,13.750375,100.4990297,100.4962888,13.747999,100.5018794,13.7518658,0.2117585,10200,可绘制,泰国_ADM3_乡分区边界.geojson,TH100103,WGS84 / EPSG:4326,2026-08-25,泰国不支持ADM3,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q15732001,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,OpenStreetMap行政关系（ODbL）
TH,3,乡/曼谷分区,100104,1001,巴杜披,สำราญราษฎร์,Samran Rat,巴杜披,Wikidata已有中文名,13.7503525,100.5032381,100.5012836,13.7477104,100.5054471,13.7545534,0.2297859,10200,可绘制,泰国_ADM3_乡分区边界.geojson,TH100104,WGS84 / EPSG:4326,2026-08-25,泰国不支持ADM3,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q15735616,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,OpenStreetMap行政关系（ODbL）
TH,3,乡/曼谷分区,100105,1001,虎神庙区,ศาลเจ้าพ่อเสือ,San Chaopho Suea,虎神庙区,Wikidata已有中文名,13.7538873,100.4971569,100.4952727,13.7512681,100.4987265,13.7565329,0.1504395,10200,可绘制,泰国_ADM3_乡分区边界.geojson,TH100105,WGS84 / EPSG:4326,2026-08-25,泰国不支持ADM3,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q15735606,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,OpenStreetMap行政关系（ODbL）
TH,3,乡/曼谷分区,100106,1001,大秋千区,เสาชิงช้า,Sao Chingcha,大秋千区,Wikidata已有中文名,13.7535571,100.5003591,100.498188,13.7514719,100.5024197,13.755572,0.1546625,10200,可绘制,泰国_ADM3_乡分区边界.geojson,TH100106,WGS84 / EPSG:4326,2026-08-25,泰国不支持ADM3,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q15733315,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,OpenStreetMap行政关系（ODbL）
TH,3,乡/曼谷分区,100107,1001,波稳尼威区,บวรนิเวศ,Bowon Niwet,波稳尼威区,Wikidata已有中文名,13.757727,100.5019502,100.4949575,13.7537796,100.5059012,13.7616216,0.4880909,10200,可绘制,泰国_ADM3_乡分区边界.geojson,TH100107,WGS84 / EPSG:4326,2026-08-25,泰国不支持ADM3,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q15733309,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,OpenStreetMap行政关系（ODbL）
TH,3,乡/曼谷分区,100108,1001,哒叻裕区,ตลาดยอด,Talat Yot,哒叻裕区,Wikidata已有中文名,13.7599492,100.4974275,100.4944862,13.7572302,100.5000492,13.7625926,0.1873714,10200,可绘制,泰国_ADM3_乡分区边界.geojson,TH100108,WGS84 / EPSG:4326,2026-08-25,泰国不支持ADM3,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q15735615,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,OpenStreetMap行政关系（ODbL）
TH,3,乡/曼谷分区,100109,1001,查那松康区,ชนะสงคราม,Chana Songkhram,查那松康区,Wikidata已有中文名,13.7617462,100.4944632,100.49108,13.7577421,100.4985426,13.7655,0.3382427,10200,可绘制,泰国_ADM3_乡分区边界.geojson,TH100109,WGS84 / EPSG:4326,2026-08-25,泰国不支持ADM3,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q15735575,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,OpenStreetMap行政关系（ODbL）
TH,3,乡/曼谷分区,100110,1001,班潘通,บ้านพานถม,Ban Phan Thom,班潘通,Wikidata已有中文名,13.7615281,100.5026694,100.4985426,13.756334,100.5074358,13.7669121,0.4126521,10200,可绘制,泰国_ADM3_乡分区边界.geojson,TH100110,WGS84 / EPSG:4326,2026-08-25,泰国不支持ADM3,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q15735613,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,OpenStreetMap行政关系（ODbL）
