行政区,POI业务类型,POI名称,POI细分类型,外文/地图名,地理位置描述,游客需求场景,名称直接命中帖子数（非热度）,来源阶段,证据URL,证据内容,重要口径
巴蜀府,餐饮美食,111 Social Club,咖啡馆,111 Social Club,华欣市区,咖啡休闲/轻食,1,20260831小红书点点AI增量采集,https://www.xiaohongshu.com/explore/6a5de7d20000000006013ebe?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：🇹🇭华欣｜值得一试的地中海风格咖啡店☕️
正文：在华欣呆了三天，今天偶然发现一家风格不错的咖啡店

📍111 Social Club

相比于风很大的Chaplu Cafe来说，我个人更喜欢这一家

第一眼就很舒服，地中海风格的装修，旁边就是海，整体氛围特别安静。来的时候店里还有很多空位，基本没看到有人专门来拍照打卡。

整个咖啡店随便走走都很好拍。白墙、绿植、海景，每个角落都很适合女生出片，可以慢慢逛、慢慢拍，不用担心后面有人一直等着。

饮品大概120泰铢左右，餐食价格也不贵，味道比我想象中好很多，不是那种只靠环境撑起来的咖啡店，整体性价比真的不错。
唯一的小缺点就是没有空调😂
不过店里有风扇，再加上海风一直吹着，实际坐下来也没有特别热

如果你刚好来华欣，又想找一家人少、风景好、能出片，价格也不贵的咖啡店，可以来这家咖啡店试一试。
#泰国旅行[话题]# #曼谷生活[话题]# #华欣[话题]# #华欣旅游[话题]# #泰国咖啡[话题]##海边咖啡馆[话题]# #氛围感咖啡[话题]# #海边拍照[话题]# #泰国咖啡店[话题]#",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
巴蜀府,餐饮美食,正盛餐厅,中泰融合餐厅,เจ๊เล้ง ซีฟู้ด,夜市前一个十字路口,适合晚餐,1,20260901二三线目的地缺口续采,https://www.xiaohongshu.com/explore/5c17cb7b00000000090225e3?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：【泰国❤︎华欣】夜市不能错过的餐厅&马杀鸡
正文：华欣夜市
开放时间
18:00-凌晨
✨ 迷恋泰国的各种夜市🤗
怪自己没有三个胃[叹气R]
🌵这里没有芭提雅的灯红酒绿
也比不上曼谷热闹繁华
但这个海滨城市的惬意和休闲
夜市的小情调会让人陶醉其中
------
🌱网红海鲜大排档  K.O
位于夜市中，海鲜个头很大，也算新鲜，价格合理，但是去吃的宝宝买单的时候记得对账单❗
️他家会有买单时候续报总价的情况，比如总价才1000泰铢，他们会报1500泰铢。
推荐指数✰✰✰
-
🌱网红餐厅  正盛餐厅  人均￥50
在夜市前一个十字路口。这家店生意很火，饭点会排长队，而且只营业到晚上八点多，建议早点去。我们连续吃了两天[笑哭R]。
✨强烈推荐他家的 粉丝大虾🦐√
3个手掌大的海虾 居然才卖170泰铢❗️大虾很新鲜，粉丝吸收了虾的鲜味，味道一级棒！第二天去还点了这个菜，估计海虾卖完了，换成了蓝虾[汗颜R]。
✨他家的海鲜小火锅很出名，几乎是每桌必点！小炭炉上架着传统的瓦锅，里面炖着几种新鲜海鲜，原汁，原味。
✨冬阴功汤对我来说偏酸，爱酸的推荐！
✨蟹肉煎蛋里面是大块的蟹肉，很满足[偷笑R]
✨ 他家的咖啡还有泰式奶茶也很好喝[喝奶茶R]
推荐指数 ✰✰✰✰✰
-
🌱 此时应该来个马杀鸡  店名Day &Night
就在夜市里，在夜市摊后面的房子，很容易略过，建议导航。
人均 💰200泰铢起
店里歪果仁比较多，只有我们是中国游客。一楼大厅做foot massage ，做身体的上二楼，我们做的是Thai massage ，200泰铢一小时，技师的笑容超好，手法很专业，超舒服[得意R]❗️
推荐指数✰✰✰✰✰
------
😘喜欢的快赞我，么么扎！
#泰国旅游
#泰国华欣
#小众旅行地
#网红餐厅打卡
#泰国美食
#泰国自由行攻略[话题]#",名称在本题引用小红书正文中直接命中；该计数用于名称证据审核，不代表全网提及量或游客热度
巴蜀府,餐饮美食,Aowtakiab Seafood,海景海鲜餐厅,อ่าวตะเกียบ ซีฟู้ด,筷子山附近海边,适合日落用餐,1,20260901二三线目的地缺口续采,https://www.xiaohongshu.com/explore/6a2bbd0b000000000e021800?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：🇹🇭泰国华欣｜Aowtakiab Seafood海鲜餐厅
正文：[吧唧R]Aowtakiab Seafood这家是去华欣的时候随手搜的，看到评分和去的人挺多的，就直接去了，果然没踩雷！

📍位置：筷子山附近（Khao Takiab），就直接建在海边，建议傍晚来，夕阳绝美！
🌅环境：半露天座位+无敌海景+海浪声+BGM，氛围感拉满！

[打卡R]这次盲点的招牌炸炉鱼、烤扇贝、蟹肉炒饭、酸辣鱿鱼、炒时蔬都挺不错，食材新鲜，尤其炸海鲈鱼配青芒果沙拉，外酥里嫩不腻；烤扇贝小巧精致，肉质Q弹，炭烤香气浓；蟹肉炒饭还有蟹黄，蟹肉饱满新鲜，蟹黄酥香可口，一口下去好满足；酸辣鱿鱼酸爽又开胃！

💡实用Tips：
- 价格偏中上，人均500-1000泰铢🐷
- 强烈推荐日落时段去，拍照超出片📸
- 可以提前订靠海的位置，不然去晚就没有了！
📌一句话总结：
不是那种廉价游客店，是“认真做饭+认真看海”的宝藏餐厅。
#泰国[话题]# #泰国旅行[话题]# #泰国旅游[话题]# #泰国生活[话题]# #泰国美食[话题]# #华欣美食[话题]# #华欣海鲜[话题]# #海景餐厅[话题]# #泰国自由行[话题]# #筷子山海鲜[话题]#",名称在本题引用小红书正文中直接命中；该计数用于名称证据审核，不代表全网提及量或游客热度
巴蜀府,餐饮美食,Aunt Jaew's Kitchen,海鲜餐厅,ครัวป้าแจ๊ว,เขาตะเกียบ,适合海鲜爱好者,1,20260901二三线目的地缺口续采,https://www.xiaohongshu.com/explore/6a8e784f000000002502601d?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：🇹🇭华欣｜隐藏海鲜小馆（附地址）
正文：4️⃣ Aunt Jaew's Kitchen 4.6🌟
ครัวป้าแจ๊ว - เจ้าเก่าเขาตะเกียบ หัวหิน ซ. 102
老板会介绍这家的招牌，海鲜都好吃！空心菜也很赞。这家只收现金，不能刷卡。

[种草R]如果有需要推荐和订酒店，我也可以帮订哦，价格保证比你搜到的便宜。",名称在本题引用小红书正文中直接命中；该计数用于名称证据审核，不代表全网提及量或游客热度
巴蜀府,餐饮美食,Baan Ko Hua Hin,海鲜餐厅,ร้านอาหารบ้านโก หัวหิน,Naebkehardt Rd,适合家庭聚餐,1,20260901二三线目的地缺口续采,https://www.xiaohongshu.com/explore/6a8e784f000000002502601d?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：🇹🇭华欣｜隐藏海鲜小馆（附地址）
正文：3️⃣Baan Ko Hua Hin ร้านอาหารบ้านโก หัวหิน
📍2, 8 Naebkehardt Rd, Hua Hin, Hua Hin District, Prachuap Khiri Khan 77110，4.9🌟
这家的每个菜都好吃！海鲜一绝。我们已经3刷了！可以看到很多当地年长的爷爷奶奶全家聚餐，昨天我们还偶遇了皇室成员，贴身黑衣保镖带了50+",名称在本题引用小红书正文中直接命中；该计数用于名称证据审核，不代表全网提及量或游客热度
巴蜀府,餐饮美食,BAMP Beach Camp & Cafe,海边咖啡馆,BAMP Beach Camp & Cafe,华欣海滩附近,亲子咖啡/海景休闲,1,20260831小红书点点AI增量采集,https://www.xiaohongshu.com/explore/6a744cee0000000022010a12?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：泰国真的很尊重我们带娃人的钱｜🧒
正文：华欣 BAMP beach camp&cafe
海边餐厅咖啡馆+室外游乐场+室内游乐场。

无敌海景，纯朴又自然的风格，
一份饭、一份小吃+一杯冰沙，总共70人民币；
加上40块钱游乐场费用，
小孩可以玩一下午，
而我已经无聊到只能写这个帖子了…

泰国真的太亲子友好了！
也对我的钱包和眼睛友好！",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
巴蜀府,餐饮美食,Bonnie,海边咖啡馆,บอนนี่,去华欣途中顺路,适合看海喝咖啡,1,20260901二三线目的地缺口续采,https://www.xiaohongshu.com/explore/64c7abcc000000000b02acbe?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：泰国华欣七岩海边咖啡店
正文：去华欣的途中想说看看有没有不错的咖啡店，打个卡喝个咖啡，这家Bonnie很顺路，就去了。店很好找，很美，花花草草的特别得我心，白色系很清新，望着海喝点东西很惬意。正好今天太阳不大，所以一点也不热。就是点的拿铁简直喝不了，太难喝了！而且不便宜，冰淇淋OK，但也挺贵的～估计果汁类气泡水类会OK，这点算是美中不足了。
#泰国华欣[话题]# #咖啡店[话题]# #泰国旅游[话题]#",名称在本题引用小红书正文中直接命中；该计数用于名称证据审核，不代表全网提及量或游客热度
巴蜀府,餐饮美食,Chaplu Cafe & Restaurant,海边咖啡馆,Chaplu Cafe & Restaurant,Cicada 夜市旁 23 巷,海边咖啡/拍照打卡,8,20260831小红书点点AI增量采集,"https://www.xiaohongshu.com/explore/67c82a3d000000002602f329?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66a89172000000002701d547?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6827fb55000000002202fcb5?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a325bda0000000007021f69?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a7aeff9000000003400f9d7?xsec_token_redacted=1&xsec_source=pc_dots","「1」
标题：🇹🇭华欣海景咖啡厅Chaplu
正文：📍 Chaplu Cafe & Restaurant （Cicada夜市旁，HuaHin23巷)
之前来过一次，最近刷到又多了两个小屋子，每个角落拍照都超美的
食物味道也不错，价格合理
#泰国旅行[话题]# #华欣[话题]# #记录吧就现在[话题]# #假期去哪玩[话题]# #咖啡厅[话题]# #旅途中的美景[话题]# #海边咖啡厅[话题]# #泰国华欣[话题]# #新年旅行第一站[话题]# #海边度假[话题]#

「2」
标题：泰国华欣🇹🇭绝美海景咖啡厅
正文：📍Baan Chom Kluen （Cicada夜市旁，HuaHin23巷)
谷歌🗺️🔍 Chaplu Cafe & Restaurant

超级美的咖啡厅，海景窗台太好拍照打卡了
室外无空调，白天还是挺热的

#泰国旅行[话题]#
#泰国旅游[话题]#
#泰国华欣[话题]#
#华欣咖啡厅[话题]#
#旅途中的美景[话题]#
#泰国咖啡厅[话题]#
#华欣旅游[话题]#
#海景咖啡厅[话题]#

「3*混合贴」
标题：泰国华欣🇹🇭必打卡海边咖啡厅
正文：📍Chaplu Cafe & Restaurant

「4*混合贴」
标题：HuaHin｜曼谷周末计划—华欣
正文：☕️Chaplu Cafe & Restaurant

「5」
标题：泰国华欣这家海边咖啡店太好看了～
正文：在华欣在华欣！！！
泰国超适合度假的小众城市⛱
这家咖啡店️旁边就是大海
店里每处都好美，太适合来度假出片了
一坐一拍就是一下午📷
店名：📍Chaplu Cafe&Restaurant

#泰国华欣[话题]# #华欣游玩[话题]#
#华欣海边[话题]# #去海边躺平[话题]##度假[话题]#
#湖边咖啡店[话题]##华欣海滩[话题]# #华欣咖啡店[话题]#",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
巴蜀府,餐饮美食,Chow Mong Restaurant,泰式餐厅,ร้านอาหารชาวมง,The Peri Hua Hin Hotel内,适合午餐,1,20260901二三线目的地缺口续采,https://www.xiaohongshu.com/explore/6a8e784f000000002502601d?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：🇹🇭华欣｜隐藏海鲜小馆（附地址）
正文：1️⃣Chow Mong Restaurant ร้านอาหารชาวมง @The Peri Hua Hin Hotel    4.8🌟
📍25 4 Phet Kasem Rd, Hua Hin, Hua Hin District, Prachuap Khiri Khan 77110
他们家的带蟹肉的菜很容易卖光，基本上晚餐就卖光了，推荐中午来吃。",名称在本题引用小红书正文中直接命中；该计数用于名称证据审核，不代表全网提及量或游客热度
巴蜀府,餐饮美食,Hawaii Sky Beach Cafe,海边咖啡馆,ฮาวาย สกาย บีช,距离华欣市中心38km开车50分钟,适合躺平看海,1,20260901二三线目的地缺口续采,https://www.xiaohongshu.com/explore/6a8696c5000000002300d6d6?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：华欣附近自驾〡七岩海边摆烂躺的咖啡店
正文：上次有分享过七岩的一家全是鸭子的海边咖啡店。
无意发现他家隔壁还有一家，
可以懒人躺的咖啡店。
—————————————————
[打卡R]咖啡店：Hawaii Sky Beach Cafe
🗺距离：距离华欣市中心38km（开车50分钟）
[向右R][向右R][向右R]特色：
[一R]除了躺就是躺，看着大海躺
[二R]这里可以玩jet ski，但我没问价格。
（我们是工作日来的，只有我们一桌外籍游客+两桌泰国人）
[三R]这里也有住宿，但价格虚高。没必要推荐了。
—————————————————
这家店和之前说的鸭子那家挨在一起，
共享一样的沙滩一样的景色。
喜欢探索不同类型摆烂的人可以都试试。
我们来的这天，外面还下着雨，
但坐在茅草屋里看着烟雨朦胧，
海上还飘着打鱼的船，
意境满分💯。
#泰国旅居[话题]# #华欣游玩[话题]# #华欣亲子游[话题]# #海边发发呆[话题]# #海边喝咖啡[话题]#",名称在本题引用小红书正文中直接命中；该计数用于名称证据审核，不代表全网提及量或游客热度
