Google地点ID,业务类别,地点名称,泰文名称,Google主要类型,主要类别,评分,评价数量,完整地址,纬度,经度,县区中文名,乡分区中文名,每周营业时间,电话,官方网站,设施与服务标签,编辑简介,Google地图链接
ChIJPzZsMU6Z4jARQUzvk913bCo,景点,大皇宫,พระบรมมหาราชวัง,castle,城堡,4.6,79769,"Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200",13.749856,100.491576,拍那空县,大皇宫区,星期一: 08:30–15:30 | 星期二: 08:30–15:30 | 星期三: 08:30–15:30 | 星期四: 08:30–15:30 | 星期五: 08:30–15:30 | 星期六: 08:30–15:30 | 星期日: 08:30–15:30,,https://www.royalgrandpalace.th/th/home,适合儿童|无障碍入口|无障碍停车|无障碍洗手间|无障碍座位,这个建于 1782 年的华丽皇宫现是向游客开放的博物馆。,https://maps.google.com/?cid=3056950040631135297&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJXV_mMACZ4jAR5zeAnZdSdgE,景点,河濱夜市,เอเชียทีค เดอะ ริเวอร์ฟร้อนท์,,旅游胜地,4.5,75453,"2194 ถ. เจริญกรุง Wat Phraya Krai, Bang Kho Laem, Bangkok 10120泰国",13.705176,100.502485,曼柯廉县,Wat Phraya Krai,,,,,,https://www.google.com/maps/place/%E6%B2%B3%E6%BF%B1%E5%A4%9C%E5%B8%82/data=!4m7!3m6!1s0x30e2990030e65f5d:0x17652979d8037e7!8m2!3d13.705176!4d100.502485!16s%2Fg%2F11mm6m3kc9!19sChIJXV_mMACZ4jAR5zeAnZdSdgE?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJtepc75aY4jARVvgRfYrM38s,景点,码头夜市,เอเชียทีค เดอะ ริเวอร์ฟร้อนท์,,夜市,4.4,75453,"2194 ถ. เจริญกรุง Wat Phraya Krai, Bang Kho Laem, Bangkok 10120泰国",13.704419,100.503267,曼柯廉县,Wat Phraya Krai,星期一 11:00-00:00 | 星期二 11:00-00:00 | 星期三 11:00-00:00 | 星期四 11:00-00:00 | 星期五 11:00-00:00 | 星期六 11:00-00:00 | 星期日 11:00-00:00,+66 92 246 0812,https://asiatiquethailand.com,,,https://www.google.com/maps/place/%E7%A0%81%E5%A4%B4%E5%A4%9C%E5%B8%82/data=!4m7!3m6!1s0x30e29896ef5ceab5:0xcbdfcc8a7d11f856!8m2!3d13.7044191!4d100.5032671!16s%2Fm%2F0vb404w!19sChIJtepc75aY4jARVvgRfYrM38s?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJ3fiD6BSc4jARS324hNeR8ZE,景点,扎度扎周末市场,ตลาดนัดจตุจักร,,传统市场,4.4,56313,"587, 10 Kamphaeng Phet 2 Rd, Khwaeng Chatuchak, Chatuchak, Bangkok 10900泰国",13.799781,100.550425,乍都节县,Chatuchak,,+66 2 272 4270,https://facebook.com,,,https://www.google.com/maps/place/%E6%89%8E%E5%BA%A6%E6%89%8E%E5%91%A8%E6%9C%AB%E5%B8%82%E5%9C%BA/data=!4m7!3m6!1s0x30e29c14e883f8dd:0x91f191d784b87d4b!8m2!3d13.799781!4d100.5504245!16zL20vMDE1Zzh5!19sChIJ3fiD6BSc4jARS324hNeR8ZE?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJc50ygA1jHTERbHsyFbmUFV0,景点,Safari World,ซาฟารีเวิลด์,,动物园,4.4,49417,"99 Panya Indra Rd, Sam Wa Tawan Tok, Khlong Sam Wa, Bangkok 10510泰国",13.866109,100.705252,空三华县,Sam Wa Tawan Tok,星期一 休息 | 星期二 09:00-16:30 | 星期三 09:00-16:30 | 星期四 09:00-16:30 | 星期五 09:00-16:30 | 星期六 09:00-17:00 | 星期日 09:00-17:00,+66 2 518 1000,https://safariworld.online,,,https://www.google.com/maps/place/Safari+World/data=!4m7!3m6!1s0x311d630d80329d73:0x5d1594b915327b6c!8m2!3d13.8661089!4d100.7052516!16s%2Fm%2F047sllp!19sChIJc50ygA1jHTERbHsyFbmUFV0?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJaSv_6gaZ4jARnbiUVn6Z_YY,景点,郑王庙,วัดอรุณราชวรารามราชวรมหาวิหาร,buddhist_temple,佛教寺庙,4.7,45132,"158 Thanon Wang Doem, Wat Arun, Bangkok Yai, Bangkok 10600泰国",13.743865,100.488444,曼谷艾县,Wat Arun,星期一 08:00-18:00 | 星期二 08:00-18:00 | 星期三 08:00-18:00 | 星期四 08:00-18:00 | 星期五 08:00-18:00 | 星期六 08:00-18:00 | 星期日 08:00-18:00,+66 2 891 2185,https://facebook.com,有洗手间|无障碍入口|无障碍洗手间,水边的巨大佛寺，有铺设华丽瓷砖的标志性中央尖顶。,https://www.google.com/maps/place/%E9%83%91%E7%8E%8B%E5%BA%99/data=!4m7!3m6!1s0x30e29906eaff2b69:0x86fd997e5694b89d!8m2!3d13.7438652!4d100.488444!16zL20vMDVzNjl0!19sChIJaSv_6gaZ4jARnbiUVn6Z_YY?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJ5Wl37g6Z4jARiP4itarBPDQ,景点,玉佛寺,วัดพระศรีรัตนศาสดาราม,buddhist_temple,佛教寺庙,4.7,43722,"Na Phra Lan Rd, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.751644,100.492704,拍那空县,大皇宫区,星期一: 08:30–15:30 | 星期二: 08:30–15:30 | 星期三: 08:30–15:30 | 星期四: 08:30–15:30 | 星期五: 08:30–15:30 | 星期六: 08:30–15:30 | 星期日: 08:30–15:30,,https://www.royalgrandpalace.th/th/home,有洗手间|无障碍停车|无障碍洗手间,这座神圣的寺庙位于大皇宫内，以其供奉的玉佛而闻名。,https://maps.google.com/?cid=3764096327502462600&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJG7BL7Saf4jARNmn5AQiyAaw,景点,伦披尼公园,สวนลุมพินี,,城市公园,4.5,40864,"Lumphini, Pathum Wan, Bangkok 10330泰国",13.731428,100.541698,巴吞旺县,Lumphini,星期一 04:30-22:00 | 星期二 04:30-22:00 | 星期三 04:30-22:00 | 星期四 04:30-22:00 | 星期五 04:30-22:00 | 星期六 04:30-22:00 | 星期日 04:30-22:00,+66 2 252 7006,,,,https://www.google.com/maps/place/%E4%BC%A6%E6%8A%AB%E5%B0%BC%E5%85%AC%E5%9B%AD/data=!4m7!3m6!1s0x30e29f26ed4bb01b:0xac01b20801f96936!8m2!3d13.7314281!4d100.5416984!16zL20vMDlyeGN6!19sChIJG7BL7Saf4jARNmn5AQiyAaw?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJgcxFcQWZ4jARLsIR9Qia9H0,景点,卧佛寺,วัดพระเชตุพนวิมลมังคลาราม ราชวรมหาวิหาร,buddhist_temple,佛教寺庙,4.7,38035,"2 Thanon Sanam Chai, Khwaeng Phra Borom Maha Ratchawang, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.746424,100.492773,拍那空县,大皇宫区,星期一: 08:00–19:30 | 星期二: 08:00–19:30 | 星期三: 08:00–19:30 | 星期四: 08:00–19:30 | 星期五: 08:00–19:30 | 星期六: 08:00–19:30 | 星期日: 08:00–19:30,+66 83 057 7100,https://www.watpho.com/th/home#Page1,有洗手间|无障碍入口|无障碍停车|无障碍洗手间,大型地标寺庙，环境清幽，内有巨型卧佛、历史悠久的艺术品和雕像。,https://maps.google.com/?cid=9076048512320389678&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJrdfOcJOZ4jAR1Grh5w74V1g,景点,唐人街 (耀华力路),ไชน่าทาวน์ (เยาวราช),tourist_attraction,旅游胜地,4.5,34368,"Yaowarat Rd, Khwaeng Chakkrawat, Khet Samphanthawong, Krung Thep Maha Nakhon 10100",13.740862,100.508677,三攀他旺县,差甲瓦區,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,https://expresstickets.shop/bangkok-tour/,适合儿童|有洗手间|无障碍洗手间,,https://maps.google.com/?cid=6365829341215025876&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
