Google地点ID,地点名称,票券类型,标题,供应商,是否官方,价格数值,币种,评分,评价数量,时长,备注,票券链接
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,门票,,玉佛寺,是,15.17,USD,,,,,https://www.royalgrandpalace.th/en/visit/practical-information
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,门票,,Klook,否,19.79,USD,,,,多景区门票 · 即时确认,https://www.klook.com/zh-CN/activity/129462-skip-the-line-grand-palace-and-emerald-buddha-ticket-in-bangkok/?source_channel=googlettd&_language=zh-Hans-US&_currency=USD&_activity_id=129462&package_id=455165&google_surface=maps&google_ads_click_source=&google_funnel=nav&feed_product_id=129462&kl_package_id=455165&aid=26991
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,门票,,GetYourGuide,否,19.72,USD,,,,即时确认 · 电子票,https://www.getyourguide.com/bangkok-l169/bangkok-grand-palace-skip-the-line-entry-ticket-t648830/?locale=zh-Hans-US&currency=USD&surface=maps&funnel=nav&google_ads_click_source=&product_id=648830&option_id=1075058&partner_id=CD951
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,门票,,Tiqets,否,23.74,USD,,,,即时确认 · 电子票,https://www.tiqets.com/zh-Hans-US/bangkok-attractions-c78586/tickets-for-the-grand-palace-bangkok-direct-entry-p1098072/?tq_source=ttd_product_feed&surface=maps&funnel=nav&ttd_user_currency=USD&google_ads_click_source=
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,门票,,KKday,否,19.76,USD,,,,电子票,https://www.kkday.com/zh-cn/product/249877?cid=11798&pkg_oid=1124305&ccy=USD
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,门票,,Trip.com,否,47.61,USD,,,,免费取消 · 电子票,https://trip.com/travel-guide/attraction/bangkok/the-grand-palace-77012?locale=zh-Hans-US&poiType=3&allianceid=1076145&sid=4330723&s-productIdTop=100625939&source=maps&curr=USD&funnel=nav&adsource=&s-googlever=MjYwODI4LjA4MDAwMC4xMC4xMDkuMjUuMjIzLjk5Ljg0MTI3OTA5XzY=
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,门票,,Go City - Boston,否,79,USD,,,,多景区门票 · 即时确认,https://gocity.com/zh-hans/boston/passes/all-inclusive?days=1&utm_medium=organic&utm_source=googleTTD
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,门票,,Agoda,否,25.56,USD,,,,即时确认 · 语音导览,https://www.agoda.com/activities/search?cid=1909882&cityId=9395&selectedActivity=1451232&mseOfferId=2102831&currency=USD&gl=zh-Hans-US&gs=maps&gf=nav&gacs=
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,门票,,FindrHost,否,78.84,USD,,,,多景区门票 · 即时确认,https://www.findrhost.com/tiqets-booking/bangkok-attractions-c78586/tickets-for-tagthai-bangkok-city-day-pass-with-30-benefits-p1101584
ChIJ5Wl37g6Z4jARiP4itarBPDQ,玉佛寺,门票,,Evendo,否,75.43,USD,,,,多景区门票 · 免费取消,https://evendo.com/product/tagthai-bangkok-city-day-pass-20-attractions-and-restaurants/7288790?utm_source=google&utm_medium=gttd&utm_campaign=nav&language=zh-Hans-US&currency=USD&surface=maps&funnel=nav
