景点POI_ID,详情业务ID,景点名称,英文名,泰文名,实体类型,范围分类,携程评分（5分制）,精确点评数,热度（非评分）,区域/商圈,地址,纬度,经度,原坐标系,联系电话,营业时间,建议游玩时长,详情采集状态,列表采集时间（UTC）,详情采集时间（UTC）,详情来源URL,携程景点目的地ID,携程目的地名称,列表来源URL,类型标签,平台榜单原文,封面图片URL（未下载）,评分来源URL,点评数来源URL,坐标来源URL,列表评分,详情评分,列表精确点评数,详情精确点评数,范围核验依据,未采集/失败说明
77043,7541,丹嫩沙多水上市场,,,景点/场所,周边,4.3,950,7.3,,,13.520168,99.958604,WGS84,,,,pending,2026-08-31 02:25:33,,https://you.ctrip.com/sight/damnoensaduak24591/7541.html,24591,丹嫩沙多,https://you.ctrip.com/sight/bangkok191/s0-p2.html,乘船游览,曼谷玩水避暑榜 No.2,https://dimg04.c-ctrip.com/images/0107312000qcazrlu2D2B.jpg,https://you.ctrip.com/sight/bangkok191/s0-p2.html,https://you.ctrip.com/sight/bangkok191/s0-p2.html,https://you.ctrip.com/sight/bangkok191/s0-p2.html,4.3,,950,,携程目的地 ID 非目标城市或标记为周边景点,
89324,73896,暹罗古城,,,景点/场所,周边,4.6,3091,8.1,,,13.538603,100.622574,WGS84,,,,pending,2026-08-31 02:25:30,,https://you.ctrip.com/sight/samutprakan24514/73896.html,24514,沙没巴干,https://you.ctrip.com/sight/bangkok191.html,乘船游览,泰国中部必打卡景点榜 No.3,https://dimg04.c-ctrip.com/images/0105w12000k1ciubw0E2A.jpg,https://you.ctrip.com/sight/bangkok191.html,https://you.ctrip.com/sight/bangkok191.html,https://you.ctrip.com/sight/bangkok191.html,4.6,,3091,,携程目的地 ID 非目标城市或标记为周边景点,
89574,74996,三头神象博物馆,,,景点/场所,周边,4.6,1464,7.1,,,13.628563,100.588938,WGS84,,,,pending,2026-08-31 02:25:30,,https://you.ctrip.com/sight/samutprakan24514/74996.html,24514,沙没巴干,https://you.ctrip.com/sight/bangkok191.html,博物馆&展馆,泰国中部必打卡景点榜 No.15,https://dimg04.c-ctrip.com/images/1lo1812000qlpb8hyF1A2.jpg,https://you.ctrip.com/sight/bangkok191.html,https://you.ctrip.com/sight/bangkok191.html,https://you.ctrip.com/sight/bangkok191.html,4.6,,1464,,携程目的地 ID 非目标城市或标记为周边景点,
10570792,1407662,曼谷梦幻世界,,,演艺/游船/体验产品,周边,4.6,827,6.1,廊曼机场/因派特会展中心,,13.987715,100.674843,WGS84,,,,pending,2026-08-31 02:25:45,,https://you.ctrip.com/sight/thanyaburi1447211/1407662.html,1447211,探耶武里,https://you.ctrip.com/sight/bangkok191/s0-p5.html,主题乐园&游乐场,曼谷亲子景点榜 No.5,https://dimg04.c-ctrip.com/images/1lo0a12000ckrv55hF57A.png,https://you.ctrip.com/sight/bangkok191/s0-p5.html,https://you.ctrip.com/sight/bangkok191/s0-p5.html,https://you.ctrip.com/sight/bangkok191/s0-p5.html,4.6,,827,,携程目的地 ID 非目标城市或标记为周边景点,
154168912,154168912,泰国巴革 · MY CHEMICAL ROMANCE 2026 亚洲巡演,,,限时活动,周边,,0,5,廊曼机场/因派特会展中心,,13.91396,100.548506,WGS84,,,,pending,2026-08-31 02:26:02,,https://you.ctrip.com/sight/pakkret128637/154168912.html,128637,巴革,https://you.ctrip.com/sight/bangkok191/s0-p9.html,演唱会,,https://dimg04.c-ctrip.com/images/0101t12000dg843q661DB.jpg,https://you.ctrip.com/sight/bangkok191/s0-p9.html,https://you.ctrip.com/sight/bangkok191/s0-p9.html,https://you.ctrip.com/sight/bangkok191/s0-p9.html,,,0,,携程目的地 ID 非目标城市或标记为周边景点,
154234360,154234360,泰国曼谷 · 2026-27 BABYMONSTER WORLD TOUR [춤 (CHOOM)] IN BANGKOK,,,限时活动,周边,,0,6.1,廊曼机场/因派特会展中心,,13.912606,100.547753,WGS84,,,,pending,2026-08-31 02:25:45,,https://you.ctrip.com/sight/pakkret128637/154234360.html,128637,巴革,https://you.ctrip.com/sight/bangkok191/s0-p5.html,演唱会,,https://dimg04.c-ctrip.com/images/0100712000sgsq42n026C.jpg,https://you.ctrip.com/sight/bangkok191/s0-p5.html,https://you.ctrip.com/sight/bangkok191/s0-p5.html,https://you.ctrip.com/sight/bangkok191/s0-p5.html,,,0,,携程目的地 ID 非目标城市或标记为周边景点,
154259098,154259098,泰国巴革 · JOJI 2026《SOLARIS》巡回演唱会,,,限时活动,周边,,0,4.7,廊曼机场/因派特会展中心,,13.913035,100.548467,WGS84,,,,pending,2026-08-31 02:26:06,,https://you.ctrip.com/sight/pakkret128637/154259098.html,128637,巴革,https://you.ctrip.com/sight/bangkok191/s0-p10.html,演唱会,,https://dimg04.c-ctrip.com/images/0102t12000dg7vxd792DC.jpg,https://you.ctrip.com/sight/bangkok191/s0-p10.html,https://you.ctrip.com/sight/bangkok191/s0-p10.html,https://you.ctrip.com/sight/bangkok191/s0-p10.html,,,0,,携程目的地 ID 非目标城市或标记为周边景点,
155110170,155110170,泰国巴革 · GFEST 2026 马拉松演唱会,,,限时活动,周边,,0,,廊曼机场/因派特会展中心,,13.911514,100.54838,WGS84,,,,pending,2026-08-31 02:26:06,,https://you.ctrip.com/sight/pakkret128637/155110170.html,128637,巴革,https://you.ctrip.com/sight/bangkok191/s0-p10.html,演唱会,,https://dimg04.c-ctrip.com/images/0100t12000ss21evgAD11.jpg,https://you.ctrip.com/sight/bangkok191/s0-p10.html,https://you.ctrip.com/sight/bangkok191/s0-p10.html,https://you.ctrip.com/sight/bangkok191/s0-p10.html,,,0,,携程目的地 ID 非目标城市或标记为周边景点,
156353477,156353477,泰国巴革 · Stray Kids 2026《RUN IT》世界巡演,,,限时活动,周边,,0,5.3,廊曼机场/因派特会展中心,,13.914267,100.546856,WGS84,,,,pending,2026-08-31 02:25:53,,https://you.ctrip.com/sight/pakkret128637/156353477.html,128637,巴革,https://you.ctrip.com/sight/bangkok191/s0-p7.html,演唱会,,https://dimg04.c-ctrip.com/images/0101w12000swuexx3348A.jpg,https://you.ctrip.com/sight/bangkok191/s0-p7.html,https://you.ctrip.com/sight/bangkok191/s0-p7.html,https://you.ctrip.com/sight/bangkok191/s0-p7.html,,,0,,携程目的地 ID 非目标城市或标记为周边景点,
156412163,156412163,泰国巴革 · BOYNEXTDOOR 2026-2027 《KNOCK ON Vol.2》巡演,,,限时活动,周边,,0,5.3,廊曼机场/因派特会展中心,,13.914267,100.546856,WGS84,,,,pending,2026-08-31 02:25:53,,https://you.ctrip.com/sight/pakkret128637/156412163.html,128637,巴革,https://you.ctrip.com/sight/bangkok191/s0-p7.html,演唱会,,https://dimg04.c-ctrip.com/images/0104212000soedb5s48C3.png,https://you.ctrip.com/sight/bangkok191/s0-p7.html,https://you.ctrip.com/sight/bangkok191/s0-p7.html,https://you.ctrip.com/sight/bangkok191/s0-p7.html,,,0,,携程目的地 ID 非目标城市或标记为周边景点,
