景点POI_ID,详情业务ID,景点名称,英文名,泰文名,实体类型,范围分类,携程评分（5分制）,精确点评数,热度（非评分）,区域/商圈,地址,纬度,经度,原坐标系,联系电话,营业时间,建议游玩时长,详情采集状态,列表采集时间（UTC）,详情采集时间（UTC）,详情来源URL,携程景点目的地ID,携程目的地名称,列表来源URL,类型标签,平台榜单原文,封面图片URL（未下载）,评分来源URL,点评数来源URL,坐标来源URL,列表评分,详情评分,列表精确点评数,详情精确点评数,范围核验依据,未采集/失败说明
148805181,148805181,曼谷逛市场,,,特色体验合集,本地,,0,7.1,拉查达比瑟区,,13.756502,100.56692,WGS84,,,,skipped,2026-08-31 02:25:33,,,191,曼谷,https://you.ctrip.com/sight/bangkok191/s0-p2.html,,泰国特色体验榜 No.3,https://dimg04.c-ctrip.com/images/100u0p000000fgf7050AD.jpg,https://you.ctrip.com/sight/bangkok191/s0-p2.html,https://you.ctrip.com/sight/bangkok191/s0-p2.html,https://you.ctrip.com/sight/bangkok191/s0-p2.html,,,0,,携程目的地 ID 与目标城市一致；非行政边界测绘核验,没有可遵守 robots 访问的无参数详情 URL（例如 /0.html 体验合集）
148805194,148805194,曼谷游船观光,,,特色体验合集,本地,,0,6.5,曼谷老城,,13.73007,100.513008,WGS84,,,,skipped,2026-08-31 02:25:41,,,191,曼谷,https://you.ctrip.com/sight/bangkok191/s0-p4.html,,泰国特色体验榜 No.11,https://dimg04.c-ctrip.com/images/10090g0000007te6y533F.jpg,https://you.ctrip.com/sight/bangkok191/s0-p4.html,https://you.ctrip.com/sight/bangkok191/s0-p4.html,https://you.ctrip.com/sight/bangkok191/s0-p4.html,,,0,,携程目的地 ID 与目标城市一致；非行政边界测绘核验,没有可遵守 robots 访问的无参数详情 URL（例如 /0.html 体验合集）
148838661,148838661,曼谷SPA,,,特色体验合集,本地,,0,5.8,曼谷老城,,13.76304,100.49915,WGS84,,,,skipped,2026-08-31 02:25:49,,,191,曼谷,https://you.ctrip.com/sight/bangkok191/s0-p6.html,,曼谷特色体验榜 No.6,https://dimg04.c-ctrip.com/images/10071f000001h6wlw8206.jpg,https://you.ctrip.com/sight/bangkok191/s0-p6.html,https://you.ctrip.com/sight/bangkok191/s0-p6.html,https://you.ctrip.com/sight/bangkok191/s0-p6.html,,,0,,携程目的地 ID 与目标城市一致；非行政边界测绘核验,没有可遵守 robots 访问的无参数详情 URL（例如 /0.html 体验合集）
148897097,148897097,曼谷人妖秀,,,特色体验合集,本地,,0,6.6,河畔区,,13.753014,100.487506,WGS84,,,,skipped,2026-08-31 02:25:37,,,191,曼谷,https://you.ctrip.com/sight/bangkok191/s0-p3.html,,泰国特色体验榜 No.10,https://dimg04.c-ctrip.com/images/1lo5512000ciwlzja4DF4.jpg,https://you.ctrip.com/sight/bangkok191/s0-p3.html,https://you.ctrip.com/sight/bangkok191/s0-p3.html,https://you.ctrip.com/sight/bangkok191/s0-p3.html,,,0,,携程目的地 ID 与目标城市一致；非行政边界测绘核验,没有可遵守 robots 访问的无参数详情 URL（例如 /0.html 体验合集）
148897112,148897112,曼谷射击,,,特色体验合集,本地,,0,6.4,乍都乍周末市场,,13.77247,100.541507,WGS84,,,,skipped,2026-08-31 02:25:41,,,191,曼谷,https://you.ctrip.com/sight/bangkok191/s0-p4.html,,泰国特色体验榜 No.13,https://dimg04.c-ctrip.com/images/1lo5s12000r0at8acEF13.png,https://you.ctrip.com/sight/bangkok191/s0-p4.html,https://you.ctrip.com/sight/bangkok191/s0-p4.html,https://you.ctrip.com/sight/bangkok191/s0-p4.html,,,0,,携程目的地 ID 与目标城市一致；非行政边界测绘核验,没有可遵守 robots 访问的无参数详情 URL（例如 /0.html 体验合集）
148897124,148897124,曼谷泰拳表演,,,特色体验合集,本地,,0,5.8,河畔区,,13.704159,100.502194,WGS84,,,,skipped,2026-08-31 02:25:49,,,191,曼谷,https://you.ctrip.com/sight/bangkok191/s0-p6.html,,曼谷特色体验榜 No.7,https://dimg04.c-ctrip.com/images/1lo5y12000ikwrebdBFEA.jpg,https://you.ctrip.com/sight/bangkok191/s0-p6.html,https://you.ctrip.com/sight/bangkok191/s0-p6.html,https://you.ctrip.com/sight/bangkok191/s0-p6.html,,,0,,携程目的地 ID 与目标城市一致；非行政边界测绘核验,没有可遵守 robots 访问的无参数详情 URL（例如 /0.html 体验合集）
148914475,148914475,曼谷泰装体验,,,特色体验合集,本地,,0,4.9,曼谷老城,,13.749855,100.491576,WGS84,,,,skipped,2026-08-31 02:26:02,,,191,曼谷,https://you.ctrip.com/sight/bangkok191/s0-p9.html,,曼谷特色体验榜 No.9,https://dimg04.c-ctrip.com/images/0102z12000fjeolp915B7.jpg,https://you.ctrip.com/sight/bangkok191/s0-p9.html,https://you.ctrip.com/sight/bangkok191/s0-p9.html,https://you.ctrip.com/sight/bangkok191/s0-p9.html,,,0,,携程目的地 ID 与目标城市一致；非行政边界测绘核验,没有可遵守 robots 访问的无参数详情 URL（例如 /0.html 体验合集）
149543799,149543799,曼谷泰式烹饪课程,,,特色体验合集,本地,,0,5,是隆/沙吞,,13.726173,100.525262,WGS84,,,,skipped,2026-08-31 02:26:02,,,191,曼谷,https://you.ctrip.com/sight/bangkok191/s0-p9.html,,曼谷特色体验榜 No.8,https://dimg04.c-ctrip.com/images/0103612000hb575gl93EB.jpg,https://you.ctrip.com/sight/bangkok191/s0-p9.html,https://you.ctrip.com/sight/bangkok191/s0-p9.html,https://you.ctrip.com/sight/bangkok191/s0-p9.html,,,0,,携程目的地 ID 与目标城市一致；非行政边界测绘核验,没有可遵守 robots 访问的无参数详情 URL（例如 /0.html 体验合集）
153110240,153110240,曼谷皇家寺院巡礼,,,特色体验合集,本地,,0,7.5,河畔区,,13.743865,100.488444,WGS84,,,,skipped,2026-08-31 02:25:33,,,191,曼谷,https://you.ctrip.com/sight/bangkok191/s0-p2.html,,泰国特色体验榜 No.2,https://dimg04.c-ctrip.com/images/100q1f000001grilmCB98.jpg,https://you.ctrip.com/sight/bangkok191/s0-p2.html,https://you.ctrip.com/sight/bangkok191/s0-p2.html,https://you.ctrip.com/sight/bangkok191/s0-p2.html,,,0,,携程目的地 ID 与目标城市一致；非行政边界测绘核验,没有可遵守 robots 访问的无参数详情 URL（例如 /0.html 体验合集）
154050845,154050845,曼谷citywalk,,,特色体验合集,本地,,0,6,曼谷老城,,13.740329,100.509953,WGS84,,,,skipped,2026-08-31 02:25:45,,,191,曼谷,https://you.ctrip.com/sight/bangkok191/s0-p5.html,,,https://dimg04.c-ctrip.com/images/0100112000as5tjzoB644.jpg,https://you.ctrip.com/sight/bangkok191/s0-p5.html,https://you.ctrip.com/sight/bangkok191/s0-p5.html,https://you.ctrip.com/sight/bangkok191/s0-p5.html,,,0,,携程目的地 ID 与目标城市一致；非行政边界测绘核验,没有可遵守 robots 访问的无参数详情 URL（例如 /0.html 体验合集）
