"景点POI_ID","景点名称","列表展示起价","列表划线价","页面货币符号","币种代码（未提供则空）","明确免费标记","价格类型说明","平台价格类型代码","采集时间（UTC）","来源列表URL","价格适用说明"
"153445090","曼谷河畔码头夜市 ：空中飞轮","66","","¥","","否","门票","2","2026-08-31T02:25:30.000Z","https://you.ctrip.com/sight/bangkok191.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"77012","大皇宫","102","102","¥","","否","门票","2","2026-08-31T02:25:30.000Z","https://you.ctrip.com/sight/bangkok191.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"89574","三头神象博物馆","52","102","¥","","否","门票","2","2026-08-31T02:25:30.000Z","https://you.ctrip.com/sight/bangkok191.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"89324","暹罗古城","78","163","¥","","否","门票","2","2026-08-31T02:25:30.000Z","https://you.ctrip.com/sight/bangkok191.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"13242741","朱拉隆功大学","0","","¥","","是","免费","4","2026-08-31T02:25:30.000Z","https://you.ctrip.com/sight/bangkok191.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"77027","曼谷野生动物世界","181","204","¥","","否","门票","2","2026-08-31T02:25:30.000Z","https://you.ctrip.com/sight/bangkok191.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"18445694","拉差达慕拳击馆","200","","¥","","否","门票","2","2026-08-31T02:25:30.000Z","https://you.ctrip.com/sight/bangkok191.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"82078","湄南河","0","","¥","","是","免费","4","2026-08-31T02:25:30.000Z","https://you.ctrip.com/sight/bangkok191.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"90777","曼谷暹罗海洋世界","220","285","¥","","否","门票","2","2026-08-31T02:25:30.000Z","https://you.ctrip.com/sight/bangkok191.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"153994917","湄南河游船","25","46","¥","","否","门票","2","2026-08-31T02:25:30.000Z","https://you.ctrip.com/sight/bangkok191.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"153110240","曼谷皇家寺院巡礼","","","¥","","否","","5","2026-08-31T02:25:33.000Z","https://you.ctrip.com/sight/bangkok191/s0-p2.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"56594174","王权大京都大厦玻璃观景台","203","","¥","","否","门票","2","2026-08-31T02:25:33.000Z","https://you.ctrip.com/sight/bangkok191/s0-p2.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"36932169","王权大京都大厦","0","","¥","","是","免费","4","2026-08-31T02:25:33.000Z","https://you.ctrip.com/sight/bangkok191/s0-p2.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"97364468","码头夜市","0","","¥","","是","免费","4","2026-08-31T02:25:33.000Z","https://you.ctrip.com/sight/bangkok191/s0-p2.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"77043","丹嫩沙多水上市场","0","","¥","","是","免费","4","2026-08-31T02:25:33.000Z","https://you.ctrip.com/sight/bangkok191/s0-p2.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"77016","郑王庙","","","¥","","否","","5","2026-08-31T02:25:33.000Z","https://you.ctrip.com/sight/bangkok191/s0-p2.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"152515277","曼谷侏罗纪世界体验","129.95","157","¥","","否","门票","2","2026-08-31T02:25:33.000Z","https://you.ctrip.com/sight/bangkok191/s0-p2.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"78585432","皇家公主号湄南河游船","137","202","¥","","否","门票","2","2026-08-31T02:25:33.000Z","https://you.ctrip.com/sight/bangkok191/s0-p2.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"155029030","泰国曼谷 · BTS WORLD TOUR 'ARIRANG' IN BANGKOK","","","¥","","否","","5","2026-08-31T02:25:33.000Z","https://you.ctrip.com/sight/bangkok191/s0-p2.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
"148805181","曼谷逛市场","","","¥","","否","","5","2026-08-31T02:25:33.000Z","https://you.ctrip.com/sight/bangkok191/s0-p2.html","采集时列表展示起价/免费标记；非指定日期结算价，未做币种换算"
