"景点POI_ID","详情业务ID","景点名称","英文名","泰文名","实体类型","范围分类","携程评分（5分制）","精确点评数","热度（非评分）","区域/商圈","地址","纬度","经度","原坐标系","联系电话","营业时间","建议游玩时长","详情采集状态","列表采集时间（UTC）","详情采集时间（UTC）","详情来源URL","携程景点目的地ID","携程目的地名称","列表来源URL","类型标签","平台榜单原文","封面图片URL（未下载）","评分来源URL","点评数来源URL","坐标来源URL","列表评分","详情评分","列表精确点评数","详情精确点评数","范围核验依据","未采集/失败说明"
"77012","7290","大皇宫","The Grand Palace","พระบรมมหาราชวัง","景点/场所","本地","4.4","13406","8.8","曼谷老城","Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200泰国","13.749856","100.491577","WGS84","'+6626235500","全年 08:30-16:30开放（15:30停止售票，15:30停止入园）；9月18日 08:30-12:00开放（11:30停止售票，11:30停止入园）；9月19日 13:00-15:30开放（15:00停止售票，15:00停止入园）","2-3小时","ok","2026-08-31T02:25:30.000Z","2026-08-31T02:26:13.000Z","https://you.ctrip.com/sight/bangkok191/7290.html","191","曼谷","https://you.ctrip.com/sight/bangkok191.html","历史建筑；夜游观景","2026全球100夜游必打卡景点","https://dimg04.c-ctrip.com/images/100f0u000000jh5qyCC3D.jpg","https://you.ctrip.com/sight/bangkok191/7290.html","https://you.ctrip.com/sight/bangkok191/7290.html","https://you.ctrip.com/sight/bangkok191.html","4.4","4.4","13406","13406","携程目的地 ID 与目标城市一致；非行政边界测绘核验",""
"77013","7292","玉佛寺","The Temple of the Emerald Buddha","วัดพระศรีรัตนศาสดาราม","景点/场所","本地","4.7","3117","6.7","曼谷老城","QF2V+M34, Na Phra Lan Rd, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200泰国","13.751644","100.492704","WGS84","'+6626235500","2025年7月4日-2026年9月30日 08:30-16:30开放（15:30停止售票）；9月18日 08:30-12:00开放","1-3小时","ok","2026-08-31T02:25:37.000Z","2026-08-31T02:27:18.000Z","https://you.ctrip.com/sight/bangkok191/7292.html","191","曼谷","https://you.ctrip.com/sight/bangkok191/s0-p3.html","历史建筑","曼谷都会区必打卡景点榜 No.17","https://dimg04.c-ctrip.com/images/0106y120008inlowi4FB2.jpg","https://you.ctrip.com/sight/bangkok191/7292.html","https://you.ctrip.com/sight/bangkok191/7292.html","https://you.ctrip.com/sight/bangkok191/s0-p3.html","4.7","4.7","3117","3117","携程目的地 ID 与目标城市一致；非行政边界测绘核验",""
"77014","7293","卧佛寺","Wat Phra Chetuphon Wimon Mangkhalaram Rajwaramahawihan","วัดพระเชตุพนวิมลมังคลาราม (วัดโพธิ์)","景点/场所","本地","4.8","1313","5.7","曼谷老城","2 Sanam Chai Rd, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200泰国","13.746424","100.492773","WGS84","'+66830577100","全年 08:00-19:30开放","2-3小时","ok","2026-08-31T02:25:49.000Z","2026-08-31T02:28:31.000Z","https://you.ctrip.com/sight/bangkok191/7293.html","191","曼谷","https://you.ctrip.com/sight/bangkok191/s0-p6.html","历史建筑","入选曼谷都会区必打卡景点榜","https://dimg04.c-ctrip.com/images/100c0p000000fj743FFD3.jpg","https://you.ctrip.com/sight/bangkok191/7293.html","https://you.ctrip.com/sight/bangkok191/7293.html","https://you.ctrip.com/sight/bangkok191/s0-p6.html","4.8","4.8","1313","1313","携程目的地 ID 与目标城市一致；非行政边界测绘核验",""
"77016","7296","郑王庙","Wat Arun","วัดอรุณราชวรารามราชวรมหาวิหาร","景点/场所","本地","4.8","5582","7.3","河畔区","158 Thanon Wang Doem, Wat Arun, Bangkok Yai, Bangkok 10600泰国","13.743865","100.488444","WGS84","'+6628912185","全年 07:00-17:20开放","1-3小时","ok","2026-08-31T02:25:33.000Z","2026-08-31T02:26:54.000Z","https://you.ctrip.com/sight/bangkok191/7296.html","191","曼谷","https://you.ctrip.com/sight/bangkok191/s0-p2.html","历史建筑；夜游观景","2026全球100夜游必打卡景点","https://dimg04.c-ctrip.com/images/100u12000000sdi97B596.jpg","https://you.ctrip.com/sight/bangkok191/7296.html","https://you.ctrip.com/sight/bangkok191/7296.html","https://you.ctrip.com/sight/bangkok191/s0-p2.html","4.8","4.8","5582","5582","携程目的地 ID 与目标城市一致；非行政边界测绘核验",""
"77017","7311","四面佛","Erawan Shrine","ศาลท้าวมหาพรหมเอราวัณ","景点/场所","本地","4.7","5050","6.2","暹罗","494 Ratchadamri Rd, Lumphini, Pathum Wan, Bangkok 10330泰国","13.744344","100.540455","WGS84","'+6622528750","全年 06:00-22:00开放","15-30分钟","ok","2026-08-31T02:25:41.000Z","2026-08-31T02:27:55.000Z","https://you.ctrip.com/sight/bangkok191/7311.html","191","曼谷","https://you.ctrip.com/sight/bangkok191/s0-p4.html","夜游观景","曼谷夜游必打卡景点榜 No.14","https://dimg04.c-ctrip.com/images/0106s12000et5n6p0339E.jpg","https://you.ctrip.com/sight/bangkok191/7311.html","https://you.ctrip.com/sight/bangkok191/7311.html","https://you.ctrip.com/sight/bangkok191/s0-p4.html","4.7","4.7","5050","5050","携程目的地 ID 与目标城市一致；非行政边界测绘核验",""
"77027","7500","曼谷野生动物世界","Safari World Bangkok","ซาฟารีเวิลด์ กรุงเทพ","景点/场所","本地","4.3","3175","8.2","","99 Panya Indra Rd, Sam Wa Tawan Tok, Khlong Sam Wa, Bangkok 10510泰国","13.86549","100.70301","WGS84","'+6625181000","每年1月1日-12月28日 09:00-16:30开放；09:00-16:30开放；不开放；每年12月29日 09:00-17:00开放；每年12月30日-12月31日 09:00-17:30开放；不开放","0.5-1天","ok","2026-08-31T02:25:30.000Z","2026-08-31T02:26:22.000Z","https://you.ctrip.com/sight/bangkok191/7500.html","191","曼谷","https://you.ctrip.com/sight/bangkok191.html","动物园&水族馆","2026全球100亲子景点","https://dimg04.c-ctrip.com/images/1lo4612000ckdvifq8928.jpg","https://you.ctrip.com/sight/bangkok191/7500.html","https://you.ctrip.com/sight/bangkok191/7500.html","https://you.ctrip.com/sight/bangkok191.html","4.3","4.3","3175","3175","携程目的地 ID 与目标城市一致；非行政边界测绘核验",""
"77030","7511","伦披尼公园","Lumphini Park","สวนลุมพินี","景点/场所","本地","4.7","337","5.4","齐隆","Lumphini, Pathum Wan, Bangkok 10330泰国","13.731428","100.541698","WGS84","'+6622527006","全年 04:30-22:00开放","1-3小时","ok","2026-08-31T02:25:53.000Z","2026-08-31T02:28:55.000Z","https://you.ctrip.com/sight/bangkok191/7511.html","191","曼谷","https://you.ctrip.com/sight/bangkok191/s0-p7.html","夜游观景；乘船游览","曼谷夜游必打卡景点榜 No.17","https://dimg04.c-ctrip.com/images/100u1f000001gqaldCA3C.jpg","https://you.ctrip.com/sight/bangkok191/7511.html","https://you.ctrip.com/sight/bangkok191/7511.html","https://you.ctrip.com/sight/bangkok191/s0-p7.html","4.7","4.7","337","337","携程目的地 ID 与目标城市一致；非行政边界测绘核验",""
"77031","7512","曼谷国家博物馆","National Museum Bangkok","พิพิธภัณฑสถานแห่งชาติ พระนคร","景点/场所","本地","4.6","516","6.4","曼谷老城","4 Soi Na Phra That, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200泰国","13.757617","100.492517","WGS84","'+6622241370","全年 不开放；08:30-16:00开放","2-3小时","ok","2026-08-31T02:25:41.000Z","2026-08-31T02:27:40.000Z","https://you.ctrip.com/sight/bangkok191/7512.html","191","曼谷","https://you.ctrip.com/sight/bangkok191/s0-p4.html","历史建筑；博物馆&展馆","入选曼谷必打卡景点榜","https://dimg04.c-ctrip.com/images/0101u120008jf2n7f7B5B.jpg","https://you.ctrip.com/sight/bangkok191/7512.html","https://you.ctrip.com/sight/bangkok191/7512.html","https://you.ctrip.com/sight/bangkok191/s0-p4.html","4.6","4.6","516","516","携程目的地 ID 与目标城市一致；非行政边界测绘核验",""
"77038","7523","暹罗水上乐园","Siam Amazing Park","สยามอะเมซิ่งพาร์ค","演艺/游船/体验产品","本地","4.2","686","5.9","素万那普国际机场","203 Suan Sayam Rd, Khan Na Yao, Bangkok 10230泰国","13.805035","100.692058","WGS84","'+6621054294","全年 10:00-18:00开放","1天","ok","2026-08-31T02:25:49.000Z","2026-08-31T02:28:23.000Z","https://you.ctrip.com/sight/bangkok191/7523.html","191","曼谷","https://you.ctrip.com/sight/bangkok191/s0-p6.html","水上乐园&水世界；主题乐园&游乐场","曼谷玩水避暑榜 No.1","https://dimg04.c-ctrip.com/images/1lo0z12000gsi9ufe7D55.jpg","https://you.ctrip.com/sight/bangkok191/7523.html","https://you.ctrip.com/sight/bangkok191/7523.html","https://you.ctrip.com/sight/bangkok191/s0-p6.html","4.2","4.2","686","686","携程目的地 ID 与目标城市一致；非行政边界测绘核验",""
"82078","43782","湄南河","Chao Phraya River","แม่น้ำเจ้าพระยา","景点/场所","本地","4.5","5366","7.9","河畔区","具体登船地点请留意各航班信息","13.753014","100.487507","WGS84","","全年 全天开放","1-3小时","ok","2026-08-31T02:25:30.000Z","2026-08-31T02:26:30.000Z","https://you.ctrip.com/sight/bangkok191/43782.html","191","曼谷","https://you.ctrip.com/sight/bangkok191.html","自然山水；夜游观景","泰国夜游必打卡景点榜 No.1","https://dimg04.c-ctrip.com/images/100i0s000000i7w0g2030.jpg","https://you.ctrip.com/sight/bangkok191/43782.html","https://you.ctrip.com/sight/bangkok191/43782.html","https://you.ctrip.com/sight/bangkok191.html","4.5","4.5","5366","5366","携程目的地 ID 与目标城市一致；非行政边界测绘核验",""
