Google地点ID,业务类别,地点名称,泰文名称,Google主要类型,主要类别,评分,评价数量,价格等级,完整地址,纬度,经度,县区中文名,乡分区中文名,每周营业时间,电话,官方网站,设施与服务标签,编辑简介,Google地图链接
ChIJV0wcFLKZ4jAR9kJJSGzfLFI,美食餐饮,DTF : Dao刀 Tu涂 Fook福,,asian_fusion_restaurant,亚洲混合风味餐馆,4.7,185,,"209 Thanon Chakkraphatdi Phong, Khwaeng Wat Sommanat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.757141,100.509946,邦巴沙都拍县,Wat Sommanat,,+66 90 895 7030,http://www.daotufook.com/,配送|堂食|供应午餐|供应晚餐|供应啤酒|供应鸡尾酒|供应葡萄酒,,https://maps.google.com/?cid=5921353266247582454&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJ6WBn626Z4jARreZgVMZlpuU,美食餐饮,Teddy The Bake,,asian_fusion_restaurant,亚洲混合风味餐馆,,,,"74 Soi Samsen 5, Khwaeng Wat Sam Phraya, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.76608,100.499847,拍那空县,班潘通,,,,,,https://maps.google.com/?cid=16548025783313032877&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJz8Ow_gqZ4jARx5vhPrUONOc,美食餐饮,กะเพราหมูกรอบ by ม่ากรอบ นางเลิ้ง,,asian_fusion_restaurant,亚洲混合风味餐馆,,,,"664 666 Krung Kasem Rd, Khwaeng Wat Sommanat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100",13.76054,100.512029,邦巴沙都拍县,Wat Sommanat,,,,,,https://maps.google.com/?cid=16659957093157149639&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJO-j4RACZ4jAR4cZjMSzklQc,美食餐饮,Big Mama StreetFood,,asian_restaurant,亚洲风味餐馆,5.0,6,PRICE_LEVEL_INEXPENSIVE,"5 Thanon Khao San, Khwaeng Talat Yot, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.758679,100.498027,拍那空县,哒叻裕区,星期一: 15:00–00:00 | 星期二: 15:00–00:00 | 星期三: 15:00–00:00 | 星期四: 15:00–00:00 | 星期五: 15:00–00:00 | 星期六: 15:00–00:00 | 星期日: 15:00–00:00,,,外带|堂食,,https://maps.google.com/?cid=546593808253699809&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJzSTXlWSZ4jARpqacYLDQoG8,美食餐饮,Democracy Pad Thai || Pad Thai Pra Cha Tip Pa Tai,ผัดไทยประชาธิปไตย,asian_restaurant,亚洲风味餐馆,5.0,318,PRICE_LEVEL_INEXPENSIVE,"17 Dinso Rd, Khwaeng Wat Bowon Niwet, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.758938,100.502478,拍那空县,波稳尼威区,星期一: 11:00–22:00 | 星期二: 11:00–22:00 | 星期三: 11:00–22:00 | 星期四: 11:00–22:00 | 星期五: 11:00–22:00 | 星期六: 11:00–22:00 | 星期日: 11:00–22:00,+66 89 036 4088,,适合儿童|堂食|供应午餐|供应晚餐,,https://maps.google.com/?cid=8043658390437406374&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJS7H8nRaZ4jAR0EDJ_96c6xg,美食餐饮,Jia Uan Duck Porridge,เจี่ยอ้วน ข้าวต้มเป็ด,asian_restaurant,亚洲风味餐馆,4.4,374,PRICE_LEVEL_MODERATE,"10, 12 Soi Samran Rat, Khwaeng Samran Rat, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.752963,100.503254,拍那空县,巴杜披,星期一: 15:00–22:00 | 星期二: 15:00–22:00 | 星期三: 15:00–22:00 | 星期四: 15:00–22:00 | 星期五: 15:00–22:00 | 星期六: 15:00–22:00 | 星期日: 15:00–22:00,+66 92 779 7504,,可预约|适合儿童|适合团体|有洗手间|户外座位|外带|配送|堂食|路边取餐|供应晚餐|供应甜品|供应啤酒,,https://maps.google.com/?cid=1795701358025326800&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJHdsrwxmZ4jARV0BOm32rn_Y,美食餐饮,Khao Mu Daeng Nai Hui,ข้าวหมูแดงนายฮุย (นาครสนุก),asian_restaurant,亚洲风味餐馆,3.9,317,PRICE_LEVEL_INEXPENSIVE,"728 1 ถ. เจริญกรุง Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.746194,100.50218,拍那空县,三王府区,星期一: 08:30–15:00 | 星期二: 08:30–15:00 | 星期三: 08:30–15:00 | 星期四: 08:30–15:00 | 星期五: 08:30–15:00 | 星期六: 08:30–15:00 | 星期日: 休息,+66 2 222 1630,,户外座位|外带|堂食|供应早午餐|供应午餐,,https://maps.google.com/?cid=17771111210592125015&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJWcJ2SgCZ4jARXibgOktH4Nk,美食餐饮,Market local,,asian_restaurant,亚洲风味餐馆,,,,"6 Chakkraphet Rd, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.742139,100.495186,拍那空县,三王府区,,,,外带|堂食,,https://maps.google.com/?cid=15699626689449436766&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJT3fm7_mZ4jARipLj09whHkw,美食餐饮,Nong Noey Thai Food,,asian_restaurant,亚洲风味餐馆,,,,"25/2 Soi Chana Songkhram, Khwaeng Chana Songkhram, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.761716,100.494658,拍那空县,哒叻裕区,,,,,,https://maps.google.com/?cid=5484858628515271306&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ2ywoqBGZ4jAR6Sluk1w3f4U,美食餐饮,Red Pork with Rice Sanam Luang,ข้าวหมูแดงสนามหลวง,asian_restaurant,亚洲风味餐馆,4.5,63,PRICE_LEVEL_INEXPENSIVE,"QF2X+9F3, Soi Sukha 1, Khwaeng Wat Ratchabophit, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.750877,100.498677,拍那空县,拉差博披寺区,星期一: 06:00–11:00 | 星期二: 06:00–11:00 | 星期三: 06:00–11:00 | 星期四: 06:00–11:00 | 星期五: 06:00–11:00 | 星期六: 06:00–11:00 | 星期日: 休息,+66 86 549 4098,https://pantip.com/topic/35404348,外带|堂食|供应早餐|供应早午餐|供应午餐,,https://maps.google.com/?cid=9619468199836658153&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
