Google地点ID,地点名称,服务属性,是否支持
ChIJS7H8nRaZ4jAR0EDJ_96c6xg,Jia Uan Duck Porridge,无障碍停车,否
ChIJS7H8nRaZ4jAR0EDJ_96c6xg,Jia Uan Duck Porridge,可预约,是
ChIJHdsrwxmZ4jARV0BOm32rn_Y,Khao Mu Daeng Nai Hui,无障碍入口,否
ChIJHdsrwxmZ4jARV0BOm32rn_Y,Khao Mu Daeng Nai Hui,无障碍停车,否
ChIJHdsrwxmZ4jARV0BOm32rn_Y,Khao Mu Daeng Nai Hui,可预约,否
ChIJ2ywoqBGZ4jAR6Sluk1w3f4U,Red Pork with Rice Sanam Luang,无障碍入口,否
ChIJ2ywoqBGZ4jAR6Sluk1w3f4U,Red Pork with Rice Sanam Luang,无障碍停车,否
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,适合儿童,是
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,适合观看体育,否
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,有洗手间,是
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,户外座位,是
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,外带,是
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,配送,是
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,堂食,是
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,路边取餐,是
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,供应早餐,是
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,供应早午餐,是
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,供应午餐,是
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,供应咖啡,否
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,供应甜品,否
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,供应啤酒,否
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,供应鸡尾酒,否
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,供应葡萄酒,否
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,供应素食,是
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,现场音乐,否
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,无障碍入口,否
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,无障碍停车,否
ChIJTR7xCDiZ4jARXB6cqm1sy6U,Sae Phun ข้าวหน้าไก่แซ่พุ้น,无障碍座位,否
ChIJ-bzC_BOZ4jARGLP5eY7dJwg,Siriphon Phochana,无障碍入口,否
ChIJ-bzC_BOZ4jARGLP5eY7dJwg,Siriphon Phochana,无障碍停车,否
ChIJ-bzC_BOZ4jARGLP5eY7dJwg,Siriphon Phochana,无障碍座位,否
ChIJb7ZVMP2Z4jARRKKoGShsVPc,cheng gong chicken rice restaurant,无障碍入口,否
ChIJb7ZVMP2Z4jARRKKoGShsVPc,cheng gong chicken rice restaurant,无障碍停车,否
ChIJb7ZVMP2Z4jARRKKoGShsVPc,cheng gong chicken rice restaurant,无障碍座位,否
ChIJ0QDC8BOZ4jARY7WqIrAOkck,Mont NomSod,有洗手间,是
ChIJ0QDC8BOZ4jARY7WqIrAOkck,Mont NomSod,外带,是
ChIJ0QDC8BOZ4jARY7WqIrAOkck,Mont NomSod,配送,是
ChIJ0QDC8BOZ4jARY7WqIrAOkck,Mont NomSod,堂食,是
ChIJ0QDC8BOZ4jARY7WqIrAOkck,Mont NomSod,供应早餐,否
ChIJ0QDC8BOZ4jARY7WqIrAOkck,Mont NomSod,供应咖啡,是
ChIJ0QDC8BOZ4jARY7WqIrAOkck,Mont NomSod,无障碍入口,否
ChIJ0QDC8BOZ4jARY7WqIrAOkck,Mont NomSod,无障碍停车,否
ChIJkQ351hKZ4jARWUMwyuYNn2c,Brick Bar,适合儿童,否
ChIJkQ351hKZ4jARWUMwyuYNn2c,Brick Bar,适合观看体育,否
ChIJkQ351hKZ4jARWUMwyuYNn2c,Brick Bar,有洗手间,是
ChIJkQ351hKZ4jARWUMwyuYNn2c,Brick Bar,户外座位,否
ChIJkQ351hKZ4jARWUMwyuYNn2c,Brick Bar,外带,否
ChIJkQ351hKZ4jARWUMwyuYNn2c,Brick Bar,配送,否
ChIJkQ351hKZ4jARWUMwyuYNn2c,Brick Bar,堂食,是
ChIJkQ351hKZ4jARWUMwyuYNn2c,Brick Bar,供应啤酒,是
ChIJkQ351hKZ4jARWUMwyuYNn2c,Brick Bar,供应鸡尾酒,是
ChIJkQ351hKZ4jARWUMwyuYNn2c,Brick Bar,供应葡萄酒,是
ChIJkQ351hKZ4jARWUMwyuYNn2c,Brick Bar,现场音乐,是
ChIJkQ351hKZ4jARWUMwyuYNn2c,Brick Bar,无障碍入口,否
ChIJkQ351hKZ4jARWUMwyuYNn2c,Brick Bar,无障碍停车,否
ChIJkQ351hKZ4jARWUMwyuYNn2c,Brick Bar,可预约,是
ChIJkQ351hKZ4jARWUMwyuYNn2c,Brick Bar,允许携带宠物,否
ChIJkQ351hKZ4jARWUMwyuYNn2c,Brick Bar,适合团体,是
ChIJlb8hgcCZ4jARuePQi0g9oN4,Leelabar,适合儿童,否
ChIJlb8hgcCZ4jARuePQi0g9oN4,Leelabar,适合观看体育,否
ChIJlb8hgcCZ4jARuePQi0g9oN4,Leelabar,有洗手间,是
ChIJlb8hgcCZ4jARuePQi0g9oN4,Leelabar,户外座位,是
ChIJlb8hgcCZ4jARuePQi0g9oN4,Leelabar,外带,否
ChIJlb8hgcCZ4jARuePQi0g9oN4,Leelabar,配送,否
ChIJlb8hgcCZ4jARuePQi0g9oN4,Leelabar,堂食,是
ChIJlb8hgcCZ4jARuePQi0g9oN4,Leelabar,路边取餐,是
ChIJlb8hgcCZ4jARuePQi0g9oN4,Leelabar,供应啤酒,是
ChIJlb8hgcCZ4jARuePQi0g9oN4,Leelabar,供应鸡尾酒,是
ChIJlb8hgcCZ4jARuePQi0g9oN4,Leelabar,供应葡萄酒,是
ChIJlb8hgcCZ4jARuePQi0g9oN4,Leelabar,现场音乐,是
ChIJlb8hgcCZ4jARuePQi0g9oN4,Leelabar,可预约,是
ChIJlb8hgcCZ4jARuePQi0g9oN4,Leelabar,适合团体,是
ChIJD40jGxSZ4jARAdz6qwlE7rs,Swing Bar,适合儿童,否
ChIJD40jGxSZ4jARAdz6qwlE7rs,Swing Bar,适合观看体育,否
ChIJD40jGxSZ4jARAdz6qwlE7rs,Swing Bar,有洗手间,是
ChIJD40jGxSZ4jARAdz6qwlE7rs,Swing Bar,户外座位,是
ChIJD40jGxSZ4jARAdz6qwlE7rs,Swing Bar,外带,否
ChIJD40jGxSZ4jARAdz6qwlE7rs,Swing Bar,配送,是
ChIJD40jGxSZ4jARAdz6qwlE7rs,Swing Bar,堂食,是
ChIJD40jGxSZ4jARAdz6qwlE7rs,Swing Bar,路边取餐,否
ChIJD40jGxSZ4jARAdz6qwlE7rs,Swing Bar,供应啤酒,是
ChIJD40jGxSZ4jARAdz6qwlE7rs,Swing Bar,供应鸡尾酒,是
ChIJD40jGxSZ4jARAdz6qwlE7rs,Swing Bar,供应葡萄酒,是
ChIJD40jGxSZ4jARAdz6qwlE7rs,Swing Bar,现场音乐,否
ChIJD40jGxSZ4jARAdz6qwlE7rs,Swing Bar,无障碍入口,否
ChIJD40jGxSZ4jARAdz6qwlE7rs,Swing Bar,无障碍停车,否
ChIJD40jGxSZ4jARAdz6qwlE7rs,Swing Bar,可预约,是
ChIJD40jGxSZ4jARAdz6qwlE7rs,Swing Bar,允许携带宠物,否
ChIJD40jGxSZ4jARAdz6qwlE7rs,Swing Bar,适合团体,是
ChIJKTYlfBaZ4jARXzODWG5fhSw,Tai Soon Bar,适合儿童,是
ChIJKTYlfBaZ4jARXzODWG5fhSw,Tai Soon Bar,适合观看体育,否
ChIJKTYlfBaZ4jARXzODWG5fhSw,Tai Soon Bar,有洗手间,是
ChIJKTYlfBaZ4jARXzODWG5fhSw,Tai Soon Bar,户外座位,是
ChIJKTYlfBaZ4jARXzODWG5fhSw,Tai Soon Bar,配送,否
ChIJKTYlfBaZ4jARXzODWG5fhSw,Tai Soon Bar,堂食,是
ChIJKTYlfBaZ4jARXzODWG5fhSw,Tai Soon Bar,供应啤酒,是
ChIJKTYlfBaZ4jARXzODWG5fhSw,Tai Soon Bar,供应鸡尾酒,是
ChIJKTYlfBaZ4jARXzODWG5fhSw,Tai Soon Bar,供应葡萄酒,是
ChIJKTYlfBaZ4jARXzODWG5fhSw,Tai Soon Bar,现场音乐,是
ChIJKTYlfBaZ4jARXzODWG5fhSw,Tai Soon Bar,无障碍入口,否
ChIJKTYlfBaZ4jARXzODWG5fhSw,Tai Soon Bar,无障碍停车,否
ChIJKTYlfBaZ4jARXzODWG5fhSw,Tai Soon Bar,可预约,是
ChIJKTYlfBaZ4jARXzODWG5fhSw,Tai Soon Bar,适合团体,是
ChIJhaP5JYmZ4jARDhQPXrHre0s,Nittaya Roasted Beef (halal),无障碍入口,否
ChIJhaP5JYmZ4jARDhQPXrHre0s,Nittaya Roasted Beef (halal),无障碍停车,否
ChIJhaP5JYmZ4jARDhQPXrHre0s,Nittaya Roasted Beef (halal),无障碍座位,否
ChIJ6zNwWwyZ4jARZ5EmnxkG5Lg,Café Velodome – All day Breakfast,无障碍入口,否
ChIJx-zdvxCZ4jARwQylspvgsTE,Jay Mam Pork Congee,无障碍入口,否
ChIJx-zdvxCZ4jARwQylspvgsTE,Jay Mam Pork Congee,无障碍停车,否
ChIJx-zdvxCZ4jARwQylspvgsTE,Jay Mam Pork Congee,无障碍座位,否
ChIJx-zdvxCZ4jARwQylspvgsTE,Jay Mam Pork Congee,可预约,否
ChIJZ5QdUxeZ4jARj1ko7s05VHM,Nai Kai Krata,无障碍停车,否
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,适合儿童,是
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,适合观看体育,否
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,有洗手间,是
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,户外座位,否
ChIJ3Sbd0P6Z4jARdVP-cMH6PmY,On Lok Yun,外带,是
