Google地点ID,业务类别,地点名称,泰文名称,Google主要类型,主要类别,评分,评价数量,完整地址,纬度,经度,县区中文名,乡分区中文名,官方网站,设施与服务标签,Google地图链接
ChIJC7iXERSZ4jARXAkvzJHy240,交通服务,Phan Fa Lilat Bridge,,bridge,桥,,,"ถนน ราชดำเนินกลาง Banglamphu QG44+F7P, Khwaeng Bang Khun Phrom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10100",13.756207,100.505694,邦巴沙都拍县,班巴区,,,https://maps.google.com/?cid=10222030487257287004&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJP0axlomZ4jARyl2uGBFzmPY,交通服务,Saphan Han,,bridge,桥,,,"4 592 Chakkraphet Rd, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200",13.744123,100.502643,三攀他旺县,差甲瓦區,,,https://maps.google.com/?cid=17769078847056010698&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJTW4hXRWZ4jAReSTZLFdKROA,交通服务,Nang Loeng Police Station (Ratchadamnoen Side),,bus_station,公交车站,,,"泰国曼谷都会区 Pom Prap Sattru Phai, 曼谷 Banglamphu",13.757458,100.506576,邦巴沙都拍县,Wat Sommanat,,,https://maps.google.com/?cid=16160123101187220601&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJU8XBog2Z4jARLsFGownim-A,交通服务,Supreme Court,,bus_station,公交车站,,,"泰国曼谷都会区 Phra Nakhon, 曼谷 Banglamphu",13.755618,100.494529,拍那空县,大皇宫区,,,https://maps.google.com/?cid=16184778216907915566&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJwZgwZROZ4jARaSo6KUCG0Xo,交通服务,After Democracy Monument,หลังอนุสาวรีย์ประชาธิปไตย,bus_stop,公交站,4.4,20,"Wat Bowon Niwet, Phra Nakhon, Bangkok 10200",13.756834,100.500087,拍那空县,波稳尼威区,,,https://maps.google.com/?cid=8850002352887442025&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJzVSPgBqZ4jARyrbK4cv78_A,交通服务,After Si Kak Phraya Si,,bus_stop,公交站,,,"泰国曼谷都会区 Phra Nakhon, 曼谷 Banglamphu",13.74725,100.498634,拍那空县,三王府区,,,https://maps.google.com/?cid=17362497841528485578&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJXUweZhOZ4jARUrRbdZjqEUE,交通服务,Before Democracy Monument,ก่อนอนุสาวรีย์ประชาธิปไตย,bus_stop,公交站,4.3,44,"Wat Bowon Niwet, Phra Nakhon, Bangkok 10200",13.757258,100.500108,拍那空县,波稳尼威区,,,https://maps.google.com/?cid=4688786627594269778&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJpzyaPQWZ4jARQ9OalYEn4gA,交通服务,Chao Chetu Garden,สวนเจ้าเชตุ,bus_stop,公交站,3.1,16,"泰国曼谷都会区 Phra Nakhon, 曼谷邮政编码: 10200",13.745934,100.494453,拍那空县,三王府区,,有洗手间,https://maps.google.com/?cid=63656782250824515&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJSS_14RKZ4jARLqwF86OB1BU,交通服务,Khok Wua intersection,แยกคอกวัว,bus_stop,公交站,3.6,24,"泰国曼谷都会区 Phra Nakhon, 曼谷 Banglamphu",13.757264,100.497922,拍那空县,哒叻裕区,,,https://maps.google.com/?cid=1573024711016033326&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ChIJpdAaIBOZ4jAR0Na94xPnyug,交通服务,Kong Slak,กองสลาก,bus_stop,公交站,3.8,26,"泰国曼谷都会区 Phra Nakhon, 曼谷 Banglamphu",13.757783,100.497673,拍那空县,哒叻裕区,,,https://maps.google.com/?cid=16774473834706097872&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
