Google地点ID,地点名称,站点名称,线路ID,线路名称,线路简称,交通机构名称,交通机构网址,票价网址,车辆类型
ChIJiYCpwwSZ4jARjrpuSYUGWos,Sanam Chai,สถานีสนามไชย,ChIJr6CFCXOZ4jARU_PeJYXjtmo,Blue Line,,Mass Rapid Transit Authority of Thailand,https://www.mrta.co.th/,https://www.mrta.co.th/en/services/entickets/,SUBWAY
ChIJgYPi_BmZ4jARPG7NNfd20HA,Sam Yot,Sam Yot,ChIJr6CFCXOZ4jARU_PeJYXjtmo,Blue Line,,Mass Rapid Transit Authority of Thailand,https://www.mrta.co.th/,https://www.mrta.co.th/en/services/entickets/,SUBWAY
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,MRT สามยอด,ChIJzedVqr6h4jARw3b670T_C1g,Praksa Bodin - Sanam Luang (Expressway),25E REG (3-7E),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,MRT สามยอด,ChIJqzd7et6Y4jARSBrA8YCDtXk,Circle : BRT Ratchaphruek - Bang Lamphu,15 REG (4-2),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,MRT สามยอด,ChIJaefTZ0me4jAR174g2E8gDvg,Nakkila Laemthong Village - Tha Chang,501 AC (1-53),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,MRT สามยอด,ChIJmciQp_6b4jARx6Ccd1CP9HQ,Kamphaengphet Depot - Saphan Phut,5 REG,Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,MRT สามยอด,ChIJQYqS4GSe4jARfKIO24fmWMk,Baan Eua Arthon Buengkum - Saphan Phut,73 AC (2-45),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,MRT สามยอด,ChIJ_4H5Z0me4jARAf7TJ4UTsJ4,Nakkila Laemthong Village - Tha Chang,501 REG (1-53),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,MRT สามยอด,ChIJzedVqr6h4jARACZSdqDCWeE,Praksa Bodin - Sanam Luang (Expressway),25E NGV (3-7E),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
ChIJn2nl_hmZ4jARNlPVHrkhlwQ,MRT Sam Yot Station,MRT สามยอด,ChIJeRdpCxaZ4jARdTPjXjLDJL0,Circle : Sanam Luang - Thewet,53 REG (2-9),Bangkok Mass Transit Authority(BMTA),http://www.bmta.co.th/en,,BUS
