Google地点ID,地点名称,Google评论ID,评论评分,评论文字,评论语言,发布时间,作者名称,Google评论链接
ChIJiYCpwwSZ4jARjrpuSYUGWos,Sanam Chai,Ci9DQUlRQUNvZENodHljRjlvT214aGRqSm1jMnQzVDI0NE1qbFZOekoyU0hjd1UwRRAB,5.0,曼谷地铁MRT蓝线沙南猜站，最靠近大皇宫玉佛寺的地铁站，也是泰国各种军政机关和博物馆所在地的核心中枢车站，车站装修算是曼谷地铁里很大气的一个车站，出站步行前往大皇宫要10分钟左右，车站出口处就是暹罗博物馆，沿途那些忽悠今日大皇宫不开门的人一律无视即可,zh,Sat Jul 18 2026 18:52:58 GMT-0700 (Pacific Daylight Time),Ikushin Shi,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT214aGRqSm1jMnQzVDI0NE1qbFZOekoyU0hjd1UwRRAB!2m1!1s0x30e29904c3a98089:0x8b5a0685496eba8e
ChIJiYCpwwSZ4jARjrpuSYUGWos,Sanam Chai,Ci9DQUlRQUNvZENodHljRjlvT2pBeU1rRTVla2RWY3pkV1lXRldaMTlKVVVsU01FRRAB,4.0,超有泰国风味的地铁站，很漂亮。,zh,Thu Aug 21 2025 21:00:53 GMT-0700 (Pacific Daylight Time),lee wan Lian,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2pBeU1rRTVla2RWY3pkV1lXRldaMTlKVVVsU01FRRAB!2m1!1s0x30e29904c3a98089:0x8b5a0685496eba8e
ChIJiYCpwwSZ4jARjrpuSYUGWos,Sanam Chai,ChdDSUhNMG9nS0VJQ0FnSUNla2F5czhnRRAB,5.0,一个装修精美的地铁站，象佛寺，又象宫殿。,zh,Fri Sep 16 2022 02:36:56 GMT-0700 (Pacific Daylight Time),Allan Tse,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUNla2F5czhnRRAB!2m1!1s0x30e29904c3a98089:0x8b5a0685496eba8e
ChIJiYCpwwSZ4jARjrpuSYUGWos,Sanam Chai,Ci9DQUlRQUNvZENodHljRjlvT2xwVWQxbE5VbWcxVTBaTVl6WnRSVzUwTTNZdFRWRRAB,5.0,许多人认为它是最漂亮的地铁站，车站内部融合了泰国建筑风格，周围环绕着重要的旅游景点。,zh-CN,Thu May 07 2026 09:44:03 GMT-0700 (Pacific Daylight Time),Gofu_Gif,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2xwVWQxbE5VbWcxVTBaTVl6WnRSVzUwTTNZdFRWRRAB!2m1!1s0x30e29904c3a98089:0x8b5a0685496eba8e
ChIJiYCpwwSZ4jARjrpuSYUGWos,Sanam Chai,Ci9DQUlRQUNvZENodHljRjlvT2pVMVdWbHdPQzFtUXpod05EVTNSMlJ0T1RCelMxRRAB,5.0,这是曼谷地铁蓝线上的一个站点。由于卧佛寺和大皇宫近在咫尺，而且附近还有一个观景点可以眺望河对岸的黎明寺，因此这里是许多游客的必游之地。该站以其传统的泰式室内设计而闻名。,zh-CN,Thu May 07 2026 08:34:33 GMT-0700 (Pacific Daylight Time),Steven Hwang (아쭈s),https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2pVMVdWbHdPQzFtUXpod05EVTNSMlJ0T1RCelMxRRAB!2m1!1s0x30e29904c3a98089:0x8b5a0685496eba8e
ChIJgYPi_BmZ4jARPG7NNfd20HA,Sam Yot,ChdDSUhNMG9nS0VJQ0FnSUNKa1pxUG53RRAB,5.0,地铁站，很有情调，适合打卡,zh,Wed Jun 28 2023 22:16:05 GMT-0700 (Pacific Daylight Time),xie hao (Xie Hao),https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUNKa1pxUG53RRAB!2m1!1s0x30e29919fce28381:0x70d076f735cd6e3c
ChIJgYPi_BmZ4jARPG7NNfd20HA,Sam Yot,Ci9DQUlRQUNvZENodHljRjlvT2pGdWFFRjVTSFp6Y1hSTlMwbDVVeTFUVTNnM1NGRRAB,4.0,干净整洁，准点率极高。除了自动售票机，还有售票柜台。走进地铁就像蒸完桑拿后跳进水里一样舒服。如果行程较长，建议穿暖和些。线路指示牌非常清晰，很容易找到方向。,zh-CN,Fri Feb 13 2026 20:46:41 GMT-0800 (Pacific Standard Time),Petra Stolz,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2pGdWFFRjVTSFp6Y1hSTlMwbDVVeTFUVTNnM1NGRRAB!2m1!1s0x30e29919fce28381:0x70d076f735cd6e3c
ChIJgYPi_BmZ4jARPG7NNfd20HA,Sam Yot,ChZDSUhNMG9nS0VJQ0FnTUR3b2FLQUlBEAE,5.0,20250214 Metro station 北边有一个较大的公园，周边社区规划良好，文教氛围浓厚，放学时段中小学生众多。近市政府。车站出入口设计特殊，感觉像早期欧式、泰式建筑混合，靠近才知道是地铁出口。,zh-CN,Wed Mar 26 2025 03:55:59 GMT-0700 (Pacific Daylight Time),Jason YiZhen Lin,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnTUR3b2FLQUlBEAE!2m1!1s0x30e29919fce28381:0x70d076f735cd6e3c
ChIJgYPi_BmZ4jARPG7NNfd20HA,Sam Yot,Ci9DQUlRQUNvZENodHljRjlvT21GbExWaExOMWh4WjBselQwRTVVbFJ4WlhKWGEzYxAB,4.0,地铁站位置很方便。如果能设置男女分开的洗手间就太好了。上次我去的时候用的是老年人洗手间，不太干净，而且男女共用，地板湿滑。行动不便的人使用起来会很不方便。,zh-CN,Fri Jun 19 2026 02:57:12 GMT-0700 (Pacific Daylight Time),busa j,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21GbExWaExOMWh4WjBselQwRTVVbFJ4WlhKWGEzYxAB!2m1!1s0x30e29919fce28381:0x70d076f735cd6e3c
ChIJgYPi_BmZ4jARPG7NNfd20HA,Sam Yot,ChdDSUhNMG9nS0VJQ0FnTURJeEsyaTVnRRAB,5.0,🚉三耀地铁站是蓝线未来的一个站点，未来将与紫线连接。 ⭐️该站采用复古风格装饰，与周围环境融为一体。乍一看，您可能都不会意识到它是一个车站。 ✨它靠近许多重要地标，包括素泰寺、巨型秋千和帕胡拉特地区。,zh-CN,Sun Apr 06 2025 23:30:23 GMT-0700 (Pacific Daylight Time),JT.,https://www.google.com/maps/reviews/data=!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnTURJeEsyaTVnRRAB!2m1!1s0x30e29919fce28381:0x70d076f735cd6e3c
