输出数据表,字段名,中文含义,来源,数据类型建议,键角色,说明
01_运营机构.csv,agency_id,运营机构ID,agency.txt,文本标识,主键或外键,保持GTFS原值；不要将标识字段自动转为数字。
01_运营机构.csv,agency_name,运营机构名称,agency.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
01_运营机构.csv,agency_url,运营机构网址,agency.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
01_运营机构.csv,agency_timezone,运营机构时区,agency.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
02_线路.csv,route_id,线路ID,routes.txt,文本标识,主键或外键,保持GTFS原值；不要将标识字段自动转为数字。
02_线路.csv,agency_id,运营机构ID,routes.txt,文本标识,主键或外键,保持GTFS原值；不要将标识字段自动转为数字。
02_线路.csv,route_short_name,线路简称,routes.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
02_线路.csv,route_long_name,线路长名称,routes.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
02_线路.csv,route_desc,线路说明,routes.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
02_线路.csv,route_type,GTFS交通类型代码,routes.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
02_线路.csv,route_color,线路颜色,routes.txt,文本标识,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
03_站点.csv,stop_id,站点ID,stops.txt,文本标识,主键或外键,保持GTFS原值；不要将标识字段自动转为数字。
03_站点.csv,stop_name,站点名称,stops.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
03_站点.csv,stop_lat,纬度,stops.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
03_站点.csv,stop_lon,经度,stops.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
03_站点.csv,zone_id,票价区域ID,stops.txt,文本标识,票价区域关联键,保持GTFS原值；不要将标识字段自动转为数字。
03_站点.csv,wheelchair_boarding,轮椅上下车信息,stops.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
05_行程.csv,route_id,线路ID,trips.txt,文本标识,主键或外键,保持GTFS原值；不要将标识字段自动转为数字。
05_行程.csv,service_id,服务日历ID,trips.txt,文本标识,主键或外键,保持GTFS原值；不要将标识字段自动转为数字。
05_行程.csv,trip_id,行程ID,trips.txt,文本标识,主键或外键,保持GTFS原值；不要将标识字段自动转为数字。
05_行程.csv,trip_headsign,行程终点／方向牌,trips.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
05_行程.csv,direction_id,方向ID,trips.txt,文本标识,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
05_行程.csv,shape_id,轨迹ID,trips.txt,文本标识,主键或外键,保持GTFS原值；不要将标识字段自动转为数字。
05_行程.csv,wheelchair_accessible,轮椅可达信息,trips.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
06_站序时刻.csv,trip_id,行程ID,stop_times.txt,文本标识,主键或外键,保持GTFS原值；不要将标识字段自动转为数字。
06_站序时刻.csv,arrival_time,计划到达时间,stop_times.txt,文本标识,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
06_站序时刻.csv,departure_time,计划出发时间,stop_times.txt,文本标识,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
06_站序时刻.csv,stop_id,站点ID,stop_times.txt,文本标识,主键或外键,保持GTFS原值；不要将标识字段自动转为数字。
06_站序时刻.csv,stop_sequence,停靠顺序,stop_times.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
06_站序时刻.csv,timepoint,时刻点精度标记,stop_times.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
07_班次频率.csv,trip_id,行程ID,frequencies.txt,文本标识,主键或外键,保持GTFS原值；不要将标识字段自动转为数字。
07_班次频率.csv,start_time,频率区间开始,frequencies.txt,文本标识,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
07_班次频率.csv,end_time,频率区间结束,frequencies.txt,文本标识,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
07_班次频率.csv,headway_secs,班距秒数,frequencies.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
08_服务日历.csv,service_id,服务日历ID,calendar.txt,文本标识,主键或外键,保持GTFS原值；不要将标识字段自动转为数字。
08_服务日历.csv,monday,周一运行,calendar.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
08_服务日历.csv,tuesday,周二运行,calendar.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
08_服务日历.csv,wednesday,周三运行,calendar.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
08_服务日历.csv,thursday,周四运行,calendar.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
08_服务日历.csv,friday,周五运行,calendar.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
08_服务日历.csv,saturday,周六运行,calendar.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
08_服务日历.csv,sunday,周日运行,calendar.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
08_服务日历.csv,start_date,有效开始日期,calendar.txt,文本标识,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
08_服务日历.csv,end_date,有效结束日期,calendar.txt,文本标识,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
09_服务日例外.csv,service_id,服务日历ID,calendar_dates.txt,文本标识,主键或外键,保持GTFS原值；不要将标识字段自动转为数字。
09_服务日例外.csv,date,例外日期,calendar_dates.txt,文本标识,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
09_服务日例外.csv,exception_type,例外类型,calendar_dates.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
10_票价属性.csv,fare_id,票价ID,fare_attributes.txt,文本标识,主键或外键,保持GTFS原值；不要将标识字段自动转为数字。
10_票价属性.csv,price,票价金额,fare_attributes.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
10_票价属性.csv,currency_type,币种,fare_attributes.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
10_票价属性.csv,payment_method,支付时点,fare_attributes.txt,数值或文本（按GTFS定义）,属性字段,保持GTFS原值；不要将标识字段自动转为数字。
