检查ID,检查项,异常数量,状态,处理方式
Q001,routes.route_id重复行,0,通过,应为0
Q002,trips.trip_id重复行,0,通过,应为0
Q003,stops.stop_id重复行,0,通过,应为0
Q004,agency.agency_id重复行,2,警告,源数据ID冲突；完整保留，入库建议使用agency_id+agency_name或内部代理键
Q005,trips引用不存在route_id的行,0,通过,进入99_未分类
Q006,stop_times引用不存在trip_id的行,0,通过,进入99_未分类
Q007,frequencies引用不存在trip_id的行,0,通过,进入99_未分类
Q008,fare_rules非空route_id不存在于routes的行,0,通过,进入99_未分类
Q009,fare_rules的route_id为空且已按agency_id+票价区域推断分类,3969,通过,GTFS允许route_id为空；本批均可明确归类
Q010,route_id为空且无法推断交通类型的fare_rules行,0,通过,进入99_未分类
Q011,route_id为空且推断到多个交通类型的fare_rules行,0,通过,按多个交通类型复制并在统计中披露
Q012,fare_rules引用不存在fare_id的唯一值,0,通过,保留规则并标记警告
Q013,未被fare_rules使用的fare_attributes行,0,通过,进入99_未分类
Q014,fare_attributes.fare_id重复行,0,通过,建议复核
Q015,stop_times引用不存在stop_id的唯一值,0,通过,应为0
Q016,routes引用不存在agency_id的唯一值,0,通过,应为0
Q017,trips引用不存在shape_id的唯一值,0,通过,应为0
Q018,fare_rules引用但stops.zone_id不存在的唯一票价区域,1,警告,在12_票价区域站点.csv中保留未映射警告行
Q019,未映射票价区域对应的fare_rules字段引用次数,120,通过,Q018的影响范围说明；源规则保留但无法解析为具体站点
