源文件,数据行数,文件字节,SHA256,字段
agency.txt,126,17395,59bcad73941c752fa19f871f48b215c851376e752e17a0a659e48f17ee89a0e9,"agency_id,agency_name,agency_url,agency_timezone"
stops.txt,17078,2006636,5ded435fa180cbb88d1138b76a1d94de150646e1a21b6ff1db0e3f220e75ffa5,"stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding"
routes.txt,2068,615027,e6671a0258d4c8ad8da5e96bba9e180a08560155cffd8a2b31e6dcec3cd13b24,"route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color"
trips.txt,4656,418043,91a9d33ac1d581bfc811c8a408988acef7a1c0180121f34759d3752f57662de1,"route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible"
stop_times.txt,159470,7154175,ddf49efb840bd6cb87e6dbb3bda742e63752793d1a5f2b4e05870db2545c2fca,"trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint"
calendar.txt,7,466,3624d42e7dc43f2b9696f956a8fbef149239b466c3d262660e24a8e7358c037e,"service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date"
calendar_dates.txt,105,2026,1b704c456c119994e031a7da190e013136d24a555e79cc42a4d3e067c15fd631,"service_id,date,exception_type"
fare_attributes.txt,943141,36161027,5ce97c0e08ccbf4a8fd2cebf843ad69b395ed43885a8fe4c1af4bd1dfed42902,"fare_id,price,currency_type,payment_method,transfers,agency_id"
fare_rules.txt,943141,29218758,6e161fb4786f5f5e0e123f129fe641ba5b810ccddc24c367bbfeff72d9b5a086,"fare_id,route_id,origin_id,destination_id"
shapes.txt,3866865,153756243,cb1a96e391e7b7f85f2b9d14deef2080d738a2027fb2554531c73b22269a6d4e,"shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence"
frequencies.txt,10071,354384,fcf7bdc02e1773a2af71244c4ba61a0ea70ca241823a38dab4f3beb5df3a0318,"trip_id,start_time,end_time,headway_secs"
feed_info.txt,1,361,92cc25dcb46c3e327697f7a9edd8f8d27dfa6cf02a874197789e420ddae1f916,"feed_publisher_name,feed_publisher_url,feed_lang,feed_start_date,feed_end_date,feed_version,feed_contact_url"
