交通类型代码,交通类型中文,route_id,stop_id,最小stop_sequence,最大stop_sequence,经过行程数
0,有轨电车与轻轨,1,12,8,24,6
0,有轨电车与轻轨,1,13601,2,40,6
0,有轨电车与轻轨,1,13602,3,41,6
0,有轨电车与轻轨,1,13603,4,42,6
0,有轨电车与轻轨,1,13604,5,43,6
0,有轨电车与轻轨,1,13605,4,44,6
0,有轨电车与轻轨,1,13606,3,45,6
0,有轨电车与轻轨,1,13607,2,46,6
0,有轨电车与轻轨,1,13608,1,47,6
0,有轨电车与轻轨,1,13612,2,32,6
0,有轨电车与轻轨,1,13638,3,33,6
0,有轨电车与轻轨,1,13639,4,34,6
0,有轨电车与轻轨,1,13640,5,35,6
0,有轨电车与轻轨,1,13641,6,36,6
0,有轨电车与轻轨,1,13828,7,37,6
0,有轨电车与轻轨,1,13829,8,38,6
0,有轨电车与轻轨,1,13830,9,39,6
0,有轨电车与轻轨,1,13831,8,40,6
0,有轨电车与轻轨,1,13837,7,41,6
0,有轨电车与轻轨,1,13838,6,42,6
0,有轨电车与轻轨,1,13839,5,43,6
0,有轨电车与轻轨,1,13840,4,44,6
0,有轨电车与轻轨,1,13841,3,45,6
0,有轨电车与轻轨,1,13842,2,46,6
0,有轨电车与轻轨,1,13843,1,47,6
0,有轨电车与轻轨,1,14,1,39,8
0,有轨电车与轻轨,1,15,2,38,6
0,有轨电车与轻轨,1,16,3,37,6
0,有轨电车与轻轨,1,17,4,36,6
0,有轨电车与轻轨,1,18,5,35,6
0,有轨电车与轻轨,1,19,6,34,6
0,有轨电车与轻轨,1,20,7,33,6
0,有轨电车与轻轨,1,21,8,32,6
0,有轨电车与轻轨,1,22,9,31,6
0,有轨电车与轻轨,1,23,10,30,6
0,有轨电车与轻轨,1,24,11,29,6
0,有轨电车与轻轨,1,25,12,28,6
0,有轨电车与轻轨,1,26,11,27,6
0,有轨电车与轻轨,1,27,10,26,6
0,有轨电车与轻轨,1,28,9,25,6
0,有轨电车与轻轨,1,30,7,25,6
0,有轨电车与轻轨,1,32,6,26,6
0,有轨电车与轻轨,1,33,5,27,6
0,有轨电车与轻轨,1,34,4,28,6
0,有轨电车与轻轨,1,35,3,29,6
0,有轨电车与轻轨,1,36,2,30,6
0,有轨电车与轻轨,1,37,1,31,8
0,有轨电车与轻轨,2,1,1,14,4
0,有轨电车与轻轨,2,10,4,11,4
0,有轨电车与轻轨,2,11,3,12,4
0,有轨电车与轻轨,2,12,2,13,4
0,有轨电车与轻轨,2,13,1,14,4
0,有轨电车与轻轨,2,13844,6,9,4
0,有轨电车与轻轨,2,2,2,13,4
0,有轨电车与轻轨,2,3,3,12,4
0,有轨电车与轻轨,2,4,4,11,4
0,有轨电车与轻轨,2,5,5,10,4
0,有轨电车与轻轨,2,6,6,9,4
0,有轨电车与轻轨,2,7,7,8,4
0,有轨电车与轻轨,2,8,7,8,4
0,有轨电车与轻轨,2,9,5,10,4
0,有轨电车与轻轨,2025,13834,1,3,4
0,有轨电车与轻轨,2025,13835,2,2,4
0,有轨电车与轻轨,2025,13836,1,3,4
0,有轨电车与轻轨,2026,13845,4,7,2
0,有轨电车与轻轨,2026,13846,1,10,2
0,有轨电车与轻轨,2026,5409,2,9,2
0,有轨电车与轻轨,2026,5410,3,8,2
0,有轨电车与轻轨,2026,5411,4,7,2
0,有轨电车与轻轨,2026,5412,5,6,2
0,有轨电车与轻轨,2026,5413,5,6,2
0,有轨电车与轻轨,2026,5415,3,8,2
0,有轨电车与轻轨,2026,5416,2,9,2
0,有轨电车与轻轨,2026,5417,1,10,2
0,有轨电车与轻轨,2027,13846,1,4,2
0,有轨电车与轻轨,2027,13847,1,4,2
0,有轨电车与轻轨,2027,13848,2,3,2
0,有轨电车与轻轨,2027,13849,2,3,2
