交通类型代码,交通类型中文,service_id,date,exception_type
0,有轨电车与轻轨,1,20260101,2
0,有轨电车与轻轨,1,20260102,2
0,有轨电车与轻轨,1,20260303,2
0,有轨电车与轻轨,1,20260406,2
0,有轨电车与轻轨,1,20260413,2
0,有轨电车与轻轨,1,20260414,2
0,有轨电车与轻轨,1,20260415,2
0,有轨电车与轻轨,1,20260501,2
0,有轨电车与轻轨,1,20260504,2
0,有轨电车与轻轨,1,20260531,2
0,有轨电车与轻轨,1,20260603,2
0,有轨电车与轻轨,1,20260728,2
0,有轨电车与轻轨,1,20260729,2
0,有轨电车与轻轨,1,20260730,2
0,有轨电车与轻轨,1,20260812,2
0,有轨电车与轻轨,1,20261013,2
0,有轨电车与轻轨,1,20261023,2
0,有轨电车与轻轨,1,20261205,2
0,有轨电车与轻轨,1,20261207,2
0,有轨电车与轻轨,1,20261210,2
0,有轨电车与轻轨,1,20261231,2
0,有轨电车与轻轨,2,20260101,1
0,有轨电车与轻轨,2,20260102,1
0,有轨电车与轻轨,2,20260303,1
0,有轨电车与轻轨,2,20260406,1
0,有轨电车与轻轨,2,20260413,1
0,有轨电车与轻轨,2,20260414,1
0,有轨电车与轻轨,2,20260415,1
0,有轨电车与轻轨,2,20260501,1
0,有轨电车与轻轨,2,20260504,1
0,有轨电车与轻轨,2,20260531,1
0,有轨电车与轻轨,2,20260603,1
0,有轨电车与轻轨,2,20260728,1
0,有轨电车与轻轨,2,20260729,1
0,有轨电车与轻轨,2,20260730,1
0,有轨电车与轻轨,2,20260812,1
0,有轨电车与轻轨,2,20261013,1
0,有轨电车与轻轨,2,20261023,1
0,有轨电车与轻轨,2,20261205,1
0,有轨电车与轻轨,2,20261207,1
0,有轨电车与轻轨,2,20261210,1
0,有轨电车与轻轨,2,20261231,1
