交通类型代码,交通类型中文,zone_id,stop_id,stop_name,stop_name_泰文,stop_name_英文,票价规则引用次数,映射状态
0,有轨电车与轻轨,1,1,BTS บางหว้า;BTS Bang Wa,BTS บางหว้า,BTS Bang Wa,126,已匹配stops.zone_id
0,有轨电车与轻轨,2,2,BTS วุฒากาศ;BTS Wutthakat,BTS วุฒากาศ,BTS Wutthakat,126,已匹配stops.zone_id
0,有轨电车与轻轨,3,3,BTS ตลาดพลู;BTS Talat Phlu,BTS ตลาดพลู,BTS Talat Phlu,126,已匹配stops.zone_id
0,有轨电车与轻轨,4,4,BTS โพธิ์นิมิตร;BTS Pho Nimit,BTS โพธิ์นิมิตร,BTS Pho Nimit,126,已匹配stops.zone_id
0,有轨电车与轻轨,5,5,BTS วงเวียนใหญ่;BTS Wongwian Yai,BTS วงเวียนใหญ่,BTS Wongwian Yai,126,已匹配stops.zone_id
0,有轨电车与轻轨,6,6,BTS กรุงธนบุรี;BTS Krung Thon Buri,BTS กรุงธนบุรี,BTS Krung Thon Buri,126,已匹配stops.zone_id
0,有轨电车与轻轨,7,7,BTS สะพานตากสิน;BTS Saphan Taksin,BTS สะพานตากสิน,BTS Saphan Taksin,126,已匹配stops.zone_id
0,有轨电车与轻轨,8,8,BTS สุรศักดิ์;BTS Surasak,BTS สุรศักดิ์,BTS Surasak,126,已匹配stops.zone_id
0,有轨电车与轻轨,9,9,BTS ช่องนนทรี;BTS Chong Nonsi,BTS ช่องนนทรี,BTS Chong Nonsi,126,已匹配stops.zone_id
0,有轨电车与轻轨,10,10,BTS ศาลาแดง;BTS Sala Daeng,BTS ศาลาแดง,BTS Sala Daeng,126,已匹配stops.zone_id
0,有轨电车与轻轨,11,11,BTS ราชดำริ;BTS Ratchadamri,BTS ราชดำริ,BTS Ratchadamri,126,已匹配stops.zone_id
0,有轨电车与轻轨,12,12,BTS สยาม;BTS Siam,BTS สยาม,BTS Siam,126,已匹配stops.zone_id
0,有轨电车与轻轨,13,13,BTS สนามกีฬาแห่งชาติ;BTS National Stadium,BTS สนามกีฬาแห่งชาติ,BTS National Stadium,126,已匹配stops.zone_id
0,有轨电车与轻轨,14,14,BTS สำโรง;BTS Samrong,BTS สำโรง,BTS Samrong,126,已匹配stops.zone_id
