交通类型代码,交通类型中文,route_id,stop_id,最小stop_sequence,最大stop_sequence,经过行程数
1,地铁,2224,14117,1,23,2
1,地铁,2224,14118,1,23,2
1,地铁,2224,14119,2,22,2
1,地铁,2224,14121,4,20,2
1,地铁,2224,14122,5,19,2
1,地铁,2224,14123,6,18,2
1,地铁,2224,14124,7,17,2
1,地铁,2224,14125,8,16,2
1,地铁,2224,14126,9,15,2
1,地铁,2224,14127,10,14,2
1,地铁,2224,14128,11,13,2
1,地铁,2224,14129,12,12,2
1,地铁,2224,14130,11,13,2
1,地铁,2224,14131,10,14,2
1,地铁,2224,14132,9,15,2
1,地铁,2224,14133,8,16,2
1,地铁,2224,14134,7,17,2
1,地铁,2224,14135,6,18,2
1,地铁,2224,14136,5,19,2
1,地铁,2224,14137,4,20,2
1,地铁,2224,14138,3,21,2
1,地铁,2224,14139,2,22,2
1,地铁,2224,14393,3,21,2
1,地铁,2436,14622,2,29,2
1,地铁,2436,14623,3,28,2
1,地铁,2436,14624,4,27,2
1,地铁,2436,14625,5,26,2
1,地铁,2436,14626,6,25,2
1,地铁,2436,14627,7,24,2
1,地铁,2436,14628,8,23,2
1,地铁,2436,14629,9,22,2
1,地铁,2436,14630,1,21,6
1,地铁,2436,14631,11,20,2
1,地铁,2436,14632,12,19,2
1,地铁,2436,14633,13,18,2
1,地铁,2436,14634,14,17,2
1,地铁,2436,14635,15,16,2
1,地铁,2436,14636,15,16,2
1,地铁,2436,14637,14,17,2
1,地铁,2436,14638,13,18,2
1,地铁,2436,14639,12,19,2
1,地铁,2436,14640,11,20,2
1,地铁,2436,14641,10,21,2
1,地铁,2436,14642,9,22,2
1,地铁,2436,14643,8,23,2
1,地铁,2436,14644,7,24,2
1,地铁,2436,14645,6,25,2
1,地铁,2436,14646,5,26,2
1,地铁,2436,14647,4,27,2
1,地铁,2436,14648,3,28,2
1,地铁,2436,14649,2,29,2
1,地铁,2436,14650,1,30,2
1,地铁,2436,16936,2,2,4
1,地铁,2436,16937,1,3,4
1,地铁,2436,359,1,30,2
1,地铁,3,13624,7,20,12
1,地铁,3,13625,6,21,12
1,地铁,3,13626,5,22,12
1,地铁,3,13627,4,23,12
1,地铁,3,13628,1,24,18
1,地铁,3,13632,2,25,12
1,地铁,3,13633,1,26,18
1,地铁,3,13634,2,27,12
1,地铁,3,13635,3,28,12
1,地铁,3,13636,2,29,12
1,地铁,3,13637,1,30,12
1,地铁,3,13642,2,9,6
1,地铁,3,13643,3,8,6
1,地铁,3,13644,4,7,6
1,地铁,3,13645,5,6,6
1,地铁,3,13646,5,6,6
1,地铁,3,13647,4,7,6
1,地铁,3,13648,3,8,6
1,地铁,3,13649,2,9,6
1,地铁,3,329,10,17,12
1,地铁,3,331,1,30,18
1,地铁,3,333,12,16,12
1,地铁,3,334,2,29,12
1,地铁,3,336,11,16,12
1,地铁,3,337,9,18,12
1,地铁,3,339,5,26,12
1,地铁,3,340,6,25,12
1,地铁,3,341,13,18,12
1,地铁,3,342,8,23,12
1,地铁,3,343,8,19,12
1,地铁,3,344,9,22,12
1,地铁,3,345,12,19,12
1,地铁,3,346,3,28,12
1,地铁,3,350,11,20,12
1,地铁,3,351,7,24,12
1,地铁,3,352,4,27,12
1,地铁,3,360,10,21,12
1,地铁,3,361,13,17,12
1,地铁,4,330,4,13,4
1,地铁,4,331,1,16,4
1,地铁,4,332,7,10,4
1,地铁,4,335,2,15,4
1,地铁,4,338,7,10,4
1,地铁,4,347,3,14,4
1,地铁,4,348,1,16,4
1,地铁,4,349,5,12,4
1,地铁,4,353,2,15,4
1,地铁,4,354,4,13,4
1,地铁,4,355,3,14,4
1,地铁,4,356,5,12,4
1,地铁,4,357,6,11,4
1,地铁,4,358,8,9,4
1,地铁,4,359,6,11,4
1,地铁,4,362,8,9,4
