交通类型代码,交通类型中文,route_id,trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
1,地铁,4,242,00:00:00,00:00:00,348,1,0
1,地铁,4,242,00:02:00,00:02:30,353,2,0
1,地铁,4,242,00:04:30,00:05:00,355,3,0
1,地铁,4,242,00:07:00,00:07:30,330,4,0
1,地铁,4,242,00:09:30,00:10:00,349,5,0
1,地铁,4,242,00:12:00,00:12:30,357,6,0
1,地铁,4,242,00:14:30,00:15:00,332,7,0
1,地铁,4,242,00:17:00,00:17:30,358,8,0
1,地铁,4,242,00:19:30,00:20:00,362,9,0
1,地铁,4,242,00:22:00,00:22:30,338,10,0
1,地铁,4,242,00:24:30,00:25:00,359,11,0
1,地铁,4,242,00:27:00,00:27:30,356,12,0
1,地铁,4,242,00:29:30,00:30:00,354,13,0
1,地铁,4,242,00:32:00,00:32:30,347,14,0
1,地铁,4,242,00:34:30,00:35:00,335,15,0
1,地铁,4,242,00:37:00,00:37:00,331,16,0
1,地铁,4,243,00:00:00,00:00:00,331,1,0
1,地铁,4,243,00:02:00,00:02:30,335,2,0
1,地铁,4,243,00:04:30,00:05:00,347,3,0
1,地铁,4,243,00:07:00,00:07:30,354,4,0
1,地铁,4,243,00:09:30,00:10:00,356,5,0
1,地铁,4,243,00:12:00,00:12:30,359,6,0
1,地铁,4,243,00:14:30,00:15:00,338,7,0
1,地铁,4,243,00:17:00,00:17:30,362,8,0
1,地铁,4,243,00:19:30,00:20:00,358,9,0
1,地铁,4,243,00:22:00,00:22:30,332,10,0
1,地铁,4,243,00:24:30,00:25:00,357,11,0
1,地铁,4,243,00:27:00,00:27:30,349,12,0
1,地铁,4,243,00:29:30,00:30:00,330,13,0
1,地铁,4,243,00:32:00,00:32:30,355,14,0
1,地铁,4,243,00:34:30,00:35:00,353,15,0
1,地铁,4,243,00:37:00,00:37:00,348,16,0
1,地铁,4,244,00:00:00,00:00:00,348,1,0
1,地铁,4,244,00:02:00,00:02:30,353,2,0
1,地铁,4,244,00:04:30,00:05:00,355,3,0
1,地铁,4,244,00:07:00,00:07:30,330,4,0
1,地铁,4,244,00:09:30,00:10:00,349,5,0
1,地铁,4,244,00:12:00,00:12:30,357,6,0
1,地铁,4,244,00:14:30,00:15:00,332,7,0
1,地铁,4,244,00:17:00,00:17:30,358,8,0
1,地铁,4,244,00:19:30,00:20:00,362,9,0
1,地铁,4,244,00:22:00,00:22:30,338,10,0
1,地铁,4,244,00:24:30,00:25:00,359,11,0
1,地铁,4,244,00:27:00,00:27:30,356,12,0
1,地铁,4,244,00:29:30,00:30:00,354,13,0
1,地铁,4,244,00:32:00,00:32:30,347,14,0
1,地铁,4,244,00:34:30,00:35:00,335,15,0
1,地铁,4,244,00:37:00,00:37:00,331,16,0
1,地铁,4,245,00:00:00,00:00:00,331,1,0
1,地铁,4,245,00:02:00,00:02:30,335,2,0
1,地铁,4,245,00:04:30,00:05:00,347,3,0
1,地铁,4,245,00:07:00,00:07:30,354,4,0
1,地铁,4,245,00:09:30,00:10:00,356,5,0
1,地铁,4,245,00:12:00,00:12:30,359,6,0
1,地铁,4,245,00:14:30,00:15:00,338,7,0
1,地铁,4,245,00:17:00,00:17:30,362,8,0
1,地铁,4,245,00:19:30,00:20:00,358,9,0
1,地铁,4,245,00:22:00,00:22:30,332,10,0
1,地铁,4,245,00:24:30,00:25:00,357,11,0
1,地铁,4,245,00:27:00,00:27:30,349,12,0
1,地铁,4,245,00:29:30,00:30:00,330,13,0
1,地铁,4,245,00:32:00,00:32:30,355,14,0
1,地铁,4,245,00:34:30,00:35:00,353,15,0
1,地铁,4,245,00:37:00,00:37:00,348,16,0
1,地铁,3,257,00:00:00,00:01:00,13637,1,0
1,地铁,3,257,00:03:00,00:03:30,13636,2,0
1,地铁,3,257,00:05:30,00:06:00,13635,3,0
1,地铁,3,257,00:07:45,00:08:15,13634,4,0
1,地铁,3,257,00:10:15,00:10:45,13633,5,0
1,地铁,3,257,00:12:30,00:13:00,13632,6,0
1,地铁,3,257,00:14:30,00:15:00,13628,7,0
1,地铁,3,257,00:18:00,00:18:30,13627,8,0
1,地铁,3,257,00:19:30,00:20:00,13626,9,0
1,地铁,3,257,00:21:45,00:22:15,13625,10,0
1,地铁,3,257,00:23:40,00:24:10,13624,11,0
1,地铁,3,257,00:25:40,00:26:10,343,12,0
1,地铁,3,257,00:28:10,00:28:40,337,13,0
1,地铁,3,257,00:30:10,00:30:40,329,14,0
1,地铁,3,257,00:32:40,00:33:10,336,15,0
1,地铁,3,257,00:35:10,00:35:40,333,16,0
1,地铁,3,257,00:37:40,00:38:10,361,17,0
1,地铁,3,257,00:41:10,00:41:40,341,18,0
1,地铁,3,257,00:43:40,00:44:10,345,19,0
1,地铁,3,257,00:46:10,00:46:40,350,20,0
1,地铁,3,257,00:48:40,00:49:10,360,21,0
1,地铁,3,257,00:51:10,00:51:40,344,22,0
1,地铁,3,257,00:53:40,00:54:10,342,23,0
1,地铁,3,257,00:56:10,00:56:40,351,24,0
1,地铁,3,257,00:58:40,00:59:10,340,25,0
1,地铁,3,257,01:01:10,01:01:40,339,26,0
1,地铁,3,257,01:03:40,01:04:10,352,27,0
1,地铁,3,257,01:06:10,01:06:40,346,28,0
1,地铁,3,257,01:08:40,01:09:10,334,29,0
1,地铁,3,257,01:12:10,01:12:10,331,30,0
1,地铁,3,261,00:00:00,00:00:00,331,1,0
1,地铁,3,261,00:02:00,00:02:30,334,2,0
1,地铁,3,261,00:04:30,00:05:00,346,3,0
1,地铁,3,261,00:07:00,00:07:30,352,4,0
1,地铁,3,261,00:09:30,00:10:00,339,5,0
1,地铁,3,261,00:12:00,00:12:30,340,6,0
1,地铁,3,261,00:15:30,00:16:00,351,7,0
1,地铁,3,261,00:18:00,00:18:30,342,8,0
1,地铁,3,261,00:20:30,00:21:00,344,9,0
1,地铁,3,261,00:23:00,00:23:30,360,10,0
1,地铁,3,261,00:25:30,00:26:00,350,11,0
1,地铁,3,261,00:28:00,00:28:30,345,12,0
1,地铁,3,261,00:30:30,00:31:00,341,13,0
1,地铁,3,261,00:33:00,00:33:30,361,14,0
1,地铁,3,261,00:35:30,00:36:00,333,15,0
1,地铁,3,261,00:38:00,00:38:30,336,16,0
1,地铁,3,261,00:40:30,00:41:00,329,17,0
1,地铁,3,261,00:42:30,00:43:00,337,18,0
1,地铁,3,261,00:45:00,00:45:30,343,19,0
1,地铁,3,261,00:47:00,00:47:30,13624,20,0
1,地铁,3,261,00:48:55,00:49:25,13625,21,0
1,地铁,3,261,00:51:10,00:51:40,13626,22,0
1,地铁,3,261,00:52:40,00:53:10,13627,23,0
1,地铁,3,261,00:56:10,00:56:40,13628,24,0
1,地铁,3,261,00:58:10,00:58:40,13632,25,0
1,地铁,3,261,01:00:25,01:00:55,13633,26,0
1,地铁,3,261,01:02:55,01:03:25,13634,27,0
1,地铁,3,261,01:05:10,01:05:40,13635,28,0
1,地铁,3,261,01:07:40,01:08:10,13636,29,0
1,地铁,3,261,01:10:10,01:10:10,13637,30,0
1,地铁,3,262,00:00:00,00:00:00,331,1,0
1,地铁,3,262,00:03:00,00:03:30,334,2,0
1,地铁,3,262,00:05:30,00:06:00,346,3,0
1,地铁,3,262,00:08:00,00:08:30,352,4,0
1,地铁,3,262,00:10:30,00:11:00,339,5,0
1,地铁,3,262,00:13:00,00:13:30,340,6,0
1,地铁,3,262,00:16:30,00:17:00,351,7,0
1,地铁,3,262,00:19:00,00:19:30,342,8,0
1,地铁,3,262,00:21:30,00:22:00,344,9,0
1,地铁,3,262,00:24:00,00:24:30,360,10,0
1,地铁,3,262,00:26:30,00:27:00,350,11,0
1,地铁,3,262,00:29:00,00:29:30,345,12,0
1,地铁,3,262,00:31:30,00:32:00,341,13,0
1,地铁,3,262,00:35:00,00:35:30,361,14,0
1,地铁,3,262,00:37:30,00:38:00,333,15,0
1,地铁,3,262,00:40:00,00:40:30,336,16,0
1,地铁,3,262,00:42:30,00:43:00,329,17,0
1,地铁,3,262,00:45:00,00:45:30,337,18,0
1,地铁,3,262,00:47:30,00:48:00,343,19,0
1,地铁,3,262,00:49:30,00:50:00,13624,20,0
1,地铁,3,262,00:51:30,00:52:00,13625,21,0
1,地铁,3,262,00:53:45,00:54:15,13626,22,0
1,地铁,3,262,00:55:15,00:55:45,13627,23,0
1,地铁,3,262,00:58:45,00:59:15,13628,24,0
1,地铁,3,262,01:00:45,01:01:15,13632,25,0
1,地铁,3,262,01:03:00,01:03:30,13633,26,0
1,地铁,3,262,01:05:30,01:06:00,13634,27,0
1,地铁,3,262,01:07:45,01:08:15,13635,28,0
1,地铁,3,262,01:10:15,01:10:45,13636,29,0
1,地铁,3,262,01:12:45,01:12:45,13637,30,0
1,地铁,3,263,00:00:00,00:01:00,13637,1,0
1,地铁,3,263,00:03:00,00:03:30,13636,2,0
1,地铁,3,263,00:05:30,00:06:00,13635,3,0
1,地铁,3,263,00:07:45,00:08:15,13634,4,0
1,地铁,3,263,00:10:15,00:10:45,13633,5,0
1,地铁,3,263,00:12:30,00:13:00,13632,6,0
1,地铁,3,263,00:14:30,00:15:00,13628,7,0
1,地铁,3,263,00:18:00,00:18:30,13627,8,0
1,地铁,3,263,00:19:30,00:20:00,13626,9,0
1,地铁,3,263,00:21:45,00:22:15,13625,10,0
1,地铁,3,263,00:23:40,00:24:10,13624,11,0
1,地铁,3,263,00:25:40,00:26:10,343,12,0
1,地铁,3,263,00:28:10,00:28:40,337,13,0
1,地铁,3,263,00:30:40,00:31:10,329,14,0
1,地铁,3,263,00:33:10,00:33:40,336,15,0
1,地铁,3,263,00:35:40,00:36:10,333,16,0
1,地铁,3,263,00:38:10,00:38:40,361,17,0
1,地铁,3,263,00:41:40,00:42:10,341,18,0
1,地铁,3,263,00:44:10,00:44:40,345,19,0
1,地铁,3,263,00:46:40,00:47:10,350,20,0
1,地铁,3,263,00:49:10,00:49:40,360,21,0
1,地铁,3,263,00:51:40,00:52:10,344,22,0
1,地铁,3,263,00:54:10,00:54:40,342,23,0
1,地铁,3,263,00:56:40,00:57:10,351,24,0
1,地铁,3,263,00:59:10,00:59:40,340,25,0
1,地铁,3,263,01:01:40,01:02:10,339,26,0
1,地铁,3,263,01:04:10,01:04:40,352,27,0
1,地铁,3,263,01:06:40,01:07:10,346,28,0
1,地铁,3,263,01:09:10,01:09:40,334,29,0
1,地铁,3,263,01:12:40,01:12:40,331,30,0
1,地铁,3,5272,00:00:00,00:01:00,331,1,0
1,地铁,3,5272,00:04:00,00:04:30,13642,2,0
1,地铁,3,5272,00:08:30,00:09:00,13643,3,0
1,地铁,3,5272,00:11:00,00:11:30,13644,4,0
1,地铁,3,5272,00:15:30,00:16:00,13645,5,0
1,地铁,3,5272,00:18:00,00:18:30,13646,6,0
1,地铁,3,5272,00:22:30,00:23:00,13647,7,0
1,地铁,3,5272,00:25:00,00:25:30,13648,8,0
1,地铁,3,5272,00:28:30,00:29:00,13649,9,0
1,地铁,3,5272,00:31:00,00:31:00,13628,10,0
1,地铁,3,5273,00:00:00,00:01:00,13628,1,0
1,地铁,3,5273,00:03:00,00:03:30,13649,2,0
1,地铁,3,5273,00:06:30,00:07:00,13648,3,0
1,地铁,3,5273,00:09:00,00:09:30,13647,4,0
1,地铁,3,5273,00:13:30,00:14:00,13646,5,0
1,地铁,3,5273,00:16:00,00:16:30,13645,6,0
1,地铁,3,5273,00:20:30,00:21:00,13644,7,0
1,地铁,3,5273,00:23:00,00:23:30,13643,8,0
1,地铁,3,5273,00:27:30,00:28:00,13642,9,0
1,地铁,3,5273,00:31:00,00:31:00,331,10,0
1,地铁,3,5284,00:00:00,00:01:00,13637,1,0
1,地铁,3,5284,00:03:00,00:04:00,13636,2,0
1,地铁,3,5284,00:06:00,00:07:00,13635,3,0
1,地铁,3,5284,00:08:45,00:09:45,13634,4,0
1,地铁,3,5284,00:11:45,00:11:45,13633,5,0
1,地铁,3,5285,00:00:00,00:01:00,13633,1,0
1,地铁,3,5285,00:01:00,00:02:00,13632,2,0
1,地铁,3,5285,00:02:00,00:03:00,13628,3,0
1,地铁,3,5285,00:03:00,00:04:00,13627,4,0
1,地铁,3,5285,00:04:00,00:05:00,13626,5,0
1,地铁,3,5285,00:05:00,00:06:00,13625,6,0
1,地铁,3,5285,00:06:00,00:07:00,13624,7,0
1,地铁,3,5285,00:07:00,00:08:00,343,8,0
1,地铁,3,5285,00:08:00,00:09:00,337,9,0
1,地铁,3,5285,00:09:00,00:10:00,329,10,0
1,地铁,3,5285,00:10:00,00:11:00,336,11,0
1,地铁,3,5285,00:11:00,00:12:00,333,12,0
1,地铁,3,5285,00:12:00,00:13:00,361,13,0
1,地铁,3,5285,00:13:00,00:14:00,341,14,0
1,地铁,3,5285,00:14:00,00:15:00,345,15,0
1,地铁,3,5285,00:15:00,00:16:00,350,16,0
1,地铁,3,5285,00:16:00,00:17:00,360,17,0
1,地铁,3,5285,00:17:00,00:18:00,344,18,0
1,地铁,3,5285,00:18:00,00:19:00,342,19,0
1,地铁,3,5285,00:19:00,00:20:00,351,20,0
1,地铁,3,5285,00:20:00,00:21:00,340,21,0
1,地铁,3,5285,00:21:00,00:22:00,339,22,0
1,地铁,3,5285,00:22:00,00:23:00,352,23,0
1,地铁,3,5285,00:23:00,00:24:00,346,24,0
1,地铁,3,5285,00:24:00,00:25:00,334,25,0
1,地铁,3,5285,00:25:00,00:25:00,331,26,0
1,地铁,3,5286,00:00:00,00:01:00,331,1,0
1,地铁,3,5286,00:04:00,00:04:30,334,2,0
1,地铁,3,5286,00:06:30,00:07:00,346,3,0
1,地铁,3,5286,00:09:00,00:09:30,352,4,0
1,地铁,3,5286,00:11:30,00:12:00,339,5,0
1,地铁,3,5286,00:14:00,00:14:30,340,6,0
1,地铁,3,5286,00:16:30,00:17:00,351,7,0
1,地铁,3,5286,00:19:00,00:19:30,342,8,0
1,地铁,3,5286,00:21:30,00:22:00,344,9,0
1,地铁,3,5286,00:24:00,00:24:30,360,10,0
1,地铁,3,5286,00:26:30,00:27:00,350,11,0
1,地铁,3,5286,00:29:00,00:29:30,345,12,0
1,地铁,3,5286,00:31:30,00:32:00,341,13,0
1,地铁,3,5286,00:35:00,00:35:30,361,14,0
1,地铁,3,5286,00:37:30,00:38:00,333,15,0
1,地铁,3,5286,00:40:00,00:40:30,336,16,0
1,地铁,3,5286,00:42:30,00:43:00,329,17,0
1,地铁,3,5286,00:44:30,00:45:00,337,18,0
1,地铁,3,5286,00:47:00,00:47:30,343,19,0
1,地铁,3,5286,00:49:00,00:49:30,13624,20,0
1,地铁,3,5286,00:50:55,00:51:25,13625,21,0
1,地铁,3,5286,00:53:10,00:53:40,13626,22,0
1,地铁,3,5286,00:54:40,00:55:10,13627,23,0
1,地铁,3,5286,00:58:10,00:58:40,13628,24,0
1,地铁,3,5286,01:00:10,01:00:40,13632,25,0
1,地铁,3,5286,01:02:25,01:02:25,13633,26,0
1,地铁,3,5287,00:00:00,00:01:00,13637,1,0
1,地铁,3,5287,00:03:00,00:03:30,13636,2,0
1,地铁,3,5287,00:05:30,00:06:00,13635,3,0
1,地铁,3,5287,00:07:45,00:08:15,13634,4,0
1,地铁,3,5287,00:10:15,00:10:15,13633,5,0
1,地铁,2224,6873,00:00:00,00:01:00,14118,1,0
1,地铁,2224,6873,00:04:00,00:04:18,14119,2,0
1,地铁,2224,6873,00:07:18,00:07:36,14393,3,0
1,地铁,2224,6873,00:10:36,00:10:54,14121,4,0
1,地铁,2224,6873,00:13:54,00:14:12,14122,5,0
1,地铁,2224,6873,00:17:12,00:17:30,14123,6,0
1,地铁,2224,6873,00:20:30,00:20:48,14124,7,0
1,地铁,2224,6873,00:23:48,00:24:06,14125,8,0
1,地铁,2224,6873,00:27:06,00:27:24,14126,9,0
1,地铁,2224,6873,00:30:24,00:30:42,14127,10,0
1,地铁,2224,6873,00:33:42,00:34:00,14128,11,0
1,地铁,2224,6873,00:37:00,00:37:18,14129,12,0
1,地铁,2224,6873,00:40:18,00:40:36,14130,13,0
1,地铁,2224,6873,00:43:36,00:43:54,14131,14,0
1,地铁,2224,6873,00:46:54,00:47:12,14132,15,0
1,地铁,2224,6873,00:50:12,00:50:30,14133,16,0
1,地铁,2224,6873,00:53:30,00:53:48,14134,17,0
1,地铁,2224,6873,00:56:48,00:57:06,14135,18,0
1,地铁,2224,6873,01:00:06,01:00:24,14136,19,0
1,地铁,2224,6873,01:03:24,01:03:42,14137,20,0
1,地铁,2224,6873,01:06:42,01:07:00,14138,21,0
1,地铁,2224,6873,01:10:00,01:10:18,14139,22,0
1,地铁,2224,6873,01:13:18,01:13:18,14117,23,0
1,地铁,2224,6874,00:00:00,00:01:00,14117,1,0
1,地铁,2224,6874,00:04:00,00:04:18,14139,2,0
1,地铁,2224,6874,00:07:18,00:07:36,14138,3,0
1,地铁,2224,6874,00:10:36,00:10:54,14137,4,0
1,地铁,2224,6874,00:13:54,00:14:12,14136,5,0
1,地铁,2224,6874,00:17:12,00:17:30,14135,6,0
1,地铁,2224,6874,00:20:30,00:20:48,14134,7,0
1,地铁,2224,6874,00:23:48,00:24:06,14133,8,0
1,地铁,2224,6874,00:27:06,00:27:24,14132,9,0
1,地铁,2224,6874,00:30:24,00:30:42,14131,10,0
1,地铁,2224,6874,00:33:42,00:34:00,14130,11,0
1,地铁,2224,6874,00:37:00,00:37:18,14129,12,0
1,地铁,2224,6874,00:40:18,00:40:36,14128,13,0
1,地铁,2224,6874,00:43:36,00:43:54,14127,14,0
1,地铁,2224,6874,00:46:54,00:47:12,14126,15,0
1,地铁,2224,6874,00:50:12,00:50:30,14125,16,0
1,地铁,2224,6874,00:53:30,00:53:48,14124,17,0
1,地铁,2224,6874,00:56:48,00:57:06,14123,18,0
1,地铁,2224,6874,01:00:06,01:00:24,14122,19,0
1,地铁,2224,6874,01:03:24,01:03:42,14121,20,0
1,地铁,2224,6874,01:06:42,01:07:00,14393,21,0
1,地铁,2224,6874,01:10:00,01:10:18,14119,22,0
