交通类型代码,交通类型中文,route_id,trip_id,start_time,end_time,headway_secs
1,地铁,4,242,05:30:00,05:44:00,420
1,地铁,4,242,05:44:00,05:52:00,480
1,地铁,4,242,05:52:00,06:20:00,420
1,地铁,4,242,06:20:00,06:28:00,480
1,地铁,4,242,06:28:00,06:30:00,120
1,地铁,4,242,06:30:00,06:45:00,300
1,地铁,4,242,06:45:00,06:49:00,240
1,地铁,4,242,06:49:00,07:14:00,300
1,地铁,4,242,07:14:00,07:18:00,240
1,地铁,4,242,07:18:00,07:43:00,300
1,地铁,4,242,07:43:00,07:47:00,240
1,地铁,4,242,07:47:00,08:12:00,300
1,地铁,4,242,08:12:00,08:16:00,240
1,地铁,4,242,08:16:00,08:26:00,300
1,地铁,4,242,08:26:00,08:30:00,240
1,地铁,4,242,08:30:00,08:36:00,360
1,地铁,4,242,08:36:00,08:43:00,420
1,地铁,4,242,08:43:00,08:49:00,360
1,地铁,4,242,08:49:00,08:56:00,420
1,地铁,4,242,08:56:00,09:02:00,360
1,地铁,4,242,09:02:00,09:09:00,420
1,地铁,4,242,09:09:00,09:21:00,360
1,地铁,4,242,09:21:00,09:28:00,420
1,地铁,4,242,09:28:00,09:30:00,120
1,地铁,4,242,09:30:00,09:39:00,540
1,地铁,4,242,09:39:00,09:47:00,480
1,地铁,4,242,09:47:00,09:56:00,540
1,地铁,4,242,09:56:00,10:04:00,480
1,地铁,4,242,10:04:00,10:13:00,540
1,地铁,4,242,10:13:00,10:21:00,480
1,地铁,4,242,10:21:00,10:30:00,540
1,地铁,4,242,10:30:00,10:38:00,480
1,地铁,4,242,10:38:00,10:47:00,540
1,地铁,4,242,10:47:00,10:55:00,480
1,地铁,4,242,10:55:00,11:04:00,540
1,地铁,4,242,11:04:00,11:12:00,480
1,地铁,4,242,11:12:00,11:21:00,540
1,地铁,4,242,11:21:00,11:29:00,480
1,地铁,4,242,11:29:00,11:38:00,540
1,地铁,4,242,11:38:00,11:46:00,480
1,地铁,4,242,11:46:00,11:55:00,540
1,地铁,4,242,11:55:00,12:03:00,480
1,地铁,4,242,12:03:00,12:12:00,540
1,地铁,4,242,12:12:00,12:20:00,480
1,地铁,4,242,12:20:00,12:29:00,540
1,地铁,4,242,12:29:00,12:37:00,480
1,地铁,4,242,12:37:00,12:46:00,540
1,地铁,4,242,12:46:00,12:54:00,480
1,地铁,4,242,12:54:00,13:03:00,540
1,地铁,4,242,13:03:00,13:11:00,480
1,地铁,4,242,13:11:00,13:20:00,540
1,地铁,4,242,13:20:00,13:28:00,480
1,地铁,4,242,13:28:00,13:37:00,540
1,地铁,4,242,13:37:00,13:45:00,480
1,地铁,4,242,13:45:00,13:54:00,540
1,地铁,4,242,13:54:00,14:02:00,480
1,地铁,4,242,14:02:00,14:11:00,540
1,地铁,4,242,14:11:00,14:19:00,480
1,地铁,4,242,14:19:00,14:28:00,540
1,地铁,4,242,14:28:00,14:36:00,480
1,地铁,4,242,14:36:00,14:45:00,540
1,地铁,4,242,14:45:00,14:53:00,480
1,地铁,4,242,14:53:00,15:02:00,540
1,地铁,4,242,15:02:00,15:10:00,480
1,地铁,4,242,15:10:00,15:19:00,540
1,地铁,4,242,15:19:00,15:27:00,480
1,地铁,4,242,15:27:00,15:36:00,540
1,地铁,4,242,15:36:00,15:44:00,480
1,地铁,4,242,15:44:00,15:53:00,540
1,地铁,4,242,15:53:00,16:01:00,480
1,地铁,4,242,16:01:00,16:10:00,540
1,地铁,4,242,16:10:00,16:18:00,480
1,地铁,4,242,16:18:00,16:27:00,540
1,地铁,4,242,16:27:00,16:35:00,480
1,地铁,4,242,16:35:00,16:44:00,540
1,地铁,4,242,16:44:00,17:00:00,480
1,地铁,4,242,17:00:00,17:15:00,300
1,地铁,4,242,17:15:00,17:19:00,240
1,地铁,4,242,17:19:00,17:44:00,300
1,地铁,4,242,17:44:00,17:48:00,240
1,地铁,4,242,17:48:00,18:13:00,300
1,地铁,4,242,18:13:00,18:17:00,240
1,地铁,4,242,18:17:00,18:42:00,300
1,地铁,4,242,18:42:00,18:46:00,240
1,地铁,4,242,18:46:00,19:11:00,300
1,地铁,4,242,19:11:00,19:15:00,240
1,地铁,4,242,19:15:00,19:40:00,300
1,地铁,4,242,19:40:00,19:44:00,240
1,地铁,4,242,19:44:00,19:59:00,300
1,地铁,4,242,19:59:00,20:00:00,60
1,地铁,4,242,20:00:00,20:06:00,360
1,地铁,4,242,20:06:00,20:13:00,420
1,地铁,4,242,20:13:00,20:19:00,360
1,地铁,4,242,20:19:00,20:26:00,420
1,地铁,4,242,20:26:00,20:32:00,360
1,地铁,4,242,20:32:00,20:39:00,420
1,地铁,4,242,20:39:00,20:51:00,360
1,地铁,4,242,20:51:00,20:58:00,420
1,地铁,4,242,20:58:00,21:00:00,120
1,地铁,4,242,21:00:00,21:10:00,600
1,地铁,4,242,21:10:00,21:19:00,540
1,地铁,4,242,21:19:00,21:29:00,600
1,地铁,4,242,21:29:00,21:38:00,540
1,地铁,4,242,21:38:00,21:48:00,600
1,地铁,4,242,21:48:00,21:57:00,540
1,地铁,4,242,21:57:00,22:07:00,600
1,地铁,4,242,22:07:00,22:16:00,540
1,地铁,4,242,22:16:00,22:26:00,600
1,地铁,4,242,22:26:00,22:35:00,540
1,地铁,4,242,22:35:00,22:45:00,600
1,地铁,4,242,22:45:00,22:54:00,540
1,地铁,4,242,22:54:00,23:04:00,600
1,地铁,4,242,23:04:00,23:13:00,540
1,地铁,4,242,23:13:00,23:23:00,600
1,地铁,4,242,23:23:00,23:32:00,540
1,地铁,4,242,23:32:00,23:42:00,600
1,地铁,4,242,23:42:00,23:51:00,540
1,地铁,4,243,05:30:00,05:44:00,420
1,地铁,4,243,05:44:00,05:52:00,480
1,地铁,4,243,05:52:00,06:20:00,420
1,地铁,4,243,06:20:00,06:28:00,480
1,地铁,4,243,06:28:00,06:30:00,120
1,地铁,4,243,06:30:00,06:45:00,300
1,地铁,4,243,06:45:00,06:49:00,240
1,地铁,4,243,06:49:00,07:14:00,300
1,地铁,4,243,07:14:00,07:18:00,240
1,地铁,4,243,07:18:00,07:43:00,300
1,地铁,4,243,07:43:00,07:47:00,240
1,地铁,4,243,07:47:00,08:12:00,300
1,地铁,4,243,08:12:00,08:16:00,240
1,地铁,4,243,08:16:00,08:26:00,300
1,地铁,4,243,08:26:00,08:30:00,240
1,地铁,4,243,08:30:00,08:36:00,360
1,地铁,4,243,08:36:00,08:43:00,420
1,地铁,4,243,08:43:00,08:49:00,360
1,地铁,4,243,08:49:00,08:56:00,420
1,地铁,4,243,08:56:00,09:02:00,360
1,地铁,4,243,09:02:00,09:09:00,420
1,地铁,4,243,09:09:00,09:21:00,360
1,地铁,4,243,09:21:00,09:28:00,420
1,地铁,4,243,09:28:00,09:30:00,120
1,地铁,4,243,09:30:00,09:39:00,540
1,地铁,4,243,09:39:00,09:47:00,480
1,地铁,4,243,09:47:00,09:56:00,540
1,地铁,4,243,09:56:00,10:04:00,480
1,地铁,4,243,10:04:00,10:13:00,540
1,地铁,4,243,10:13:00,10:21:00,480
1,地铁,4,243,10:21:00,10:30:00,540
1,地铁,4,243,10:30:00,10:38:00,480
1,地铁,4,243,10:38:00,10:47:00,540
1,地铁,4,243,10:47:00,10:55:00,480
1,地铁,4,243,10:55:00,11:04:00,540
1,地铁,4,243,11:04:00,11:12:00,480
1,地铁,4,243,11:12:00,11:21:00,540
1,地铁,4,243,11:21:00,11:29:00,480
1,地铁,4,243,11:29:00,11:38:00,540
1,地铁,4,243,11:38:00,11:46:00,480
1,地铁,4,243,11:46:00,11:55:00,540
1,地铁,4,243,11:55:00,12:03:00,480
1,地铁,4,243,12:03:00,12:12:00,540
1,地铁,4,243,12:12:00,12:20:00,480
1,地铁,4,243,12:20:00,12:29:00,540
1,地铁,4,243,12:29:00,12:37:00,480
1,地铁,4,243,12:37:00,12:46:00,540
1,地铁,4,243,12:46:00,12:54:00,480
1,地铁,4,243,12:54:00,13:03:00,540
1,地铁,4,243,13:03:00,13:11:00,480
1,地铁,4,243,13:11:00,13:20:00,540
1,地铁,4,243,13:20:00,13:28:00,480
1,地铁,4,243,13:28:00,13:37:00,540
1,地铁,4,243,13:37:00,13:45:00,480
1,地铁,4,243,13:45:00,13:54:00,540
1,地铁,4,243,13:54:00,14:02:00,480
1,地铁,4,243,14:02:00,14:11:00,540
1,地铁,4,243,14:11:00,14:19:00,480
1,地铁,4,243,14:19:00,14:28:00,540
1,地铁,4,243,14:28:00,14:36:00,480
1,地铁,4,243,14:36:00,14:45:00,540
1,地铁,4,243,14:45:00,14:53:00,480
1,地铁,4,243,14:53:00,15:02:00,540
1,地铁,4,243,15:02:00,15:10:00,480
1,地铁,4,243,15:10:00,15:19:00,540
1,地铁,4,243,15:19:00,15:27:00,480
1,地铁,4,243,15:27:00,15:36:00,540
1,地铁,4,243,15:36:00,15:44:00,480
1,地铁,4,243,15:44:00,15:53:00,540
1,地铁,4,243,15:53:00,16:01:00,480
1,地铁,4,243,16:01:00,16:10:00,540
1,地铁,4,243,16:10:00,16:18:00,480
1,地铁,4,243,16:18:00,16:27:00,540
1,地铁,4,243,16:27:00,16:35:00,480
1,地铁,4,243,16:35:00,16:44:00,540
1,地铁,4,243,16:44:00,17:00:00,480
1,地铁,4,243,17:00:00,17:15:00,300
1,地铁,4,243,17:15:00,17:19:00,240
1,地铁,4,243,17:19:00,17:44:00,300
1,地铁,4,243,17:44:00,17:48:00,240
1,地铁,4,243,17:48:00,18:13:00,300
1,地铁,4,243,18:13:00,18:17:00,240
1,地铁,4,243,18:17:00,18:42:00,300
