交通类型代码,交通类型中文,zone_id,stop_id,stop_name,stop_name_泰文,stop_name_英文,票价规则引用次数,映射状态
1,地铁,329,329,MRT สีลม;MRT Si Lom,MRT สีลม,MRT Si Lom,76,已匹配stops.zone_id
1,地铁,330,330,MRT บางพลู;MRT Bang Phlu,MRT บางพลู,MRT Bang Phlu,32,已匹配stops.zone_id
1,地铁,331,331,MRT เตาปูน;MRT Tao Poon,MRT เตาปูน,MRT Tao Poon,108,已匹配stops.zone_id
1,地铁,332,332,MRT ไทรม้า;MRT Sai Ma,MRT ไทรม้า,MRT Sai Ma,32,已匹配stops.zone_id
1,地铁,333,333,MRT คลองเตย;MRT Khlong Toei,MRT คลองเตย,MRT Khlong Toei,76,已匹配stops.zone_id
1,地铁,334,334,MRT บางซื่อ;MRT BANG SUE,MRT บางซื่อ,MRT BANG SUE,76,已匹配stops.zone_id
1,地铁,335,335,MRT บางซ่อน;MRT Bang Son,MRT บางซ่อน,MRT Bang Son,32,已匹配stops.zone_id
1,地铁,336,336,MRT ลุมพินี;MRT Lumphini,MRT ลุมพินี,MRT Lumphini,76,已匹配stops.zone_id
1,地铁,337,337,MRT สามย่าน;MRT Sam Yan,MRT สามย่าน,MRT Sam Yan,76,已匹配stops.zone_id
1,地铁,338,338,MRT บางกระสอ;MRT Bang Krasor,MRT บางกระสอ,MRT Bang Krasor,32,已匹配stops.zone_id
1,地铁,339,339,MRT พหลโยธิน;MRT Phahon Yothin,MRT พหลโยธิน,MRT Phahon Yothin,76,已匹配stops.zone_id
1,地铁,340,340,MRT ลาดพร้าว;MRT Lat Phrao,MRT ลาดพร้าว,MRT Lat Phrao,76,已匹配stops.zone_id
1,地铁,341,341,MRT สุขุมวิท;MRT Sukhumvit,MRT สุขุมวิท,MRT Sukhumvit,76,已匹配stops.zone_id
1,地铁,342,342,MRT สุทธิสาร;MRT Sutthisan,MRT สุทธิสาร,MRT Sutthisan,76,已匹配stops.zone_id
1,地铁,343,343,MRT หัวลำโพง;MRT Hua Lamphong,MRT หัวลำโพง,MRT Hua Lamphong,76,已匹配stops.zone_id
1,地铁,344,344,MRT ห้วยขวาง;MRT Huai Khwang,MRT ห้วยขวาง,MRT Huai Khwang,76,已匹配stops.zone_id
1,地铁,345,345,MRT เพชรบุรี;MRT Phetchaburi,MRT เพชรบุรี,MRT Phetchaburi,76,已匹配stops.zone_id
1,地铁,346,346,MRT กำแพงเพชร;MRT Kamphaeng Phet,MRT กำแพงเพชร,MRT Kamphaeng Phet,76,已匹配stops.zone_id
1,地铁,347,347,MRT วงศ์สว่าง;MRT Wong Sawang,MRT วงศ์สว่าง,MRT Wong Sawang,32,已匹配stops.zone_id
1,地铁,348,348,MRT คลองบางไผ่;MRT Khlong Bang Phai,MRT คลองบางไผ่,MRT Khlong Bang Phai,32,已匹配stops.zone_id
1,地铁,349,349,MRT บางรักใหญ่;MRT Bang Rak Yai,MRT บางรักใหญ่,MRT Bang Rak Yai,32,已匹配stops.zone_id
1,地铁,350,350,MRT พระรามเก้า;MRT Phra Ram 9,MRT พระรามเก้า,MRT Phra Ram 9,76,已匹配stops.zone_id
1,地铁,351,351,MRT รัชดาภิเษก;MRT Ratchadaphisek,MRT รัชดาภิเษก,MRT Ratchadaphisek,76,已匹配stops.zone_id
1,地铁,352,352,MRT สวนจตุจักร;MRT Chatuchak Park,MRT สวนจตุจักร,MRT Chatuchak Park,76,已匹配stops.zone_id
1,地铁,353,353,MRT ตลาดบางใหญ่;MRT Talad Bang Yai,MRT ตลาดบางใหญ่,MRT Talad Bang Yai,32,已匹配stops.zone_id
1,地铁,354,354,MRT แยกติวานนท์;MRT Yeak Tiwanon,MRT แยกติวานนท์,MRT Yeak Tiwanon,32,已匹配stops.zone_id
1,地铁,355,355,MRT สามแยกบางใหญ่;MRT Sam Yeak Bang Yai,MRT สามแยกบางใหญ่,MRT Sam Yeak Bang Yai,32,已匹配stops.zone_id
1,地铁,356,356,MRT กระทรวงสาธารณสุข;MRT Ministry of Public Health,MRT กระทรวงสาธารณสุข,MRT Ministry of Public Health,32,已匹配stops.zone_id
1,地铁,357,357,MRT บางรักน้อยท่าอิฐ;MRT Bang Rak Noi Tha It,MRT บางรักน้อยท่าอิฐ,MRT Bang Rak Noi Tha It,32,已匹配stops.zone_id
1,地铁,358,358,MRT สะพานพระนั่งเกล้า;MRT Phra Nang Klao Bridge,MRT สะพานพระนั่งเกล้า,MRT Phra Nang Klao Bridge,32,已匹配stops.zone_id
1,地铁,359,359,MRT ศูนย์ราชการนนทบุรี;MRT Nonthaburi Civic Center,MRT ศูนย์ราชการนนทบุรี,MRT Nonthaburi Civic Center,96,已匹配stops.zone_id
1,地铁,360,360,MRT ศูนย์วัฒนธรรมแห่งประเทศไทย;MRT Thailand Cultural Centre,MRT ศูนย์วัฒนธรรมแห่งประเทศไทย,MRT Thailand Cultural Centre,76,已匹配stops.zone_id
1,地铁,361,361,MRT ศูนย์การประชุมแห่งชาติสิริกิติ์;MRT Queen Sirikit National Convention Centre,MRT ศูนย์การประชุมแห่งชาติสิริกิติ์,MRT Queen Sirikit National Convention Centre,76,已匹配stops.zone_id
1,地铁,362,362,MRT แยกนนทบุรี 1;MRT Yeak Nonthaburi 1,MRT แยกนนทบุรี 1,MRT Yeak Nonthaburi 1,32,已匹配stops.zone_id
1,地铁,13624,13624,MRT วัดมังกร;MRT wat Mangkon,MRT วัดมังกร,MRT wat Mangkon,76,已匹配stops.zone_id
1,地铁,13625,13625,MRT สามยอด;MRT Sam Yot,MRT สามยอด,MRT Sam Yot,76,已匹配stops.zone_id
1,地铁,13626,13626,MRT สนามไชย;MRT Sanam Chai,MRT สนามไชย,MRT Sanam Chai,76,已匹配stops.zone_id
1,地铁,13627,13627,MRT อิสรภาพ;MRT Itsaraphap,MRT อิสรภาพ,MRT Itsaraphap,76,已匹配stops.zone_id
1,地铁,13628,13628,MRT ท่าพระ;MRT Tha Phra,MRT ท่าพระ,MRT Tha Phra,76,已匹配stops.zone_id
1,地铁,13632,13632,MRT บางไผ่;MRT Bangphai,MRT บางไผ่,MRT Bangphai,76,已匹配stops.zone_id
1,地铁,13633,13633,MRT บางหว้า;MRT Bangwa,MRT บางหว้า,MRT Bangwa,76,已匹配stops.zone_id
1,地铁,13634,13634,MRT เพชรเกษม 48;MRT phetkasem 48,MRT เพชรเกษม 48,MRT phetkasem 48,76,已匹配stops.zone_id
1,地铁,13635,13635,MRT ภาษีเจริญ;MRT Phasi Charoen,MRT ภาษีเจริญ,MRT Phasi Charoen,76,已匹配stops.zone_id
1,地铁,13636,13636,MRT บางแค;MRT Bang Khae,MRT บางแค,MRT Bang Khae,76,已匹配stops.zone_id
1,地铁,13637,13637,MRT หลักสอง;MRT lak Song,MRT หลักสอง,MRT lak Song,76,已匹配stops.zone_id
1,地铁,13642,13642,MRT บางโพ;MRT Bang Pho,MRT บางโพ,MRT Bang Pho,76,已匹配stops.zone_id
1,地铁,13643,13643,MRT บางอ้อ;MRT Bang O,MRT บางอ้อ,MRT Bang O,76,已匹配stops.zone_id
1,地铁,13644,13644,MRT บางพลัด;MRT Bang Phlat,MRT บางพลัด,MRT Bang Phlat,76,已匹配stops.zone_id
1,地铁,13645,13645,MRT สิรินธร;MRT Sirindhorn,MRT สิรินธร,MRT Sirindhorn,76,已匹配stops.zone_id
1,地铁,13646,13646,MRT บางยี่ขัน;MRT Bang Yi Khan,MRT บางยี่ขัน,MRT Bang Yi Khan,76,已匹配stops.zone_id
1,地铁,13647,13647,MRT บางขุนนนท์;MRT Bang Khun Non,MRT บางขุนนนท์,MRT Bang Khun Non,76,已匹配stops.zone_id
1,地铁,13648,13648,MRT ไฟฉาย;MRT Fai Chai,MRT ไฟฉาย,MRT Fai Chai,76,已匹配stops.zone_id
1,地铁,13649,13649,MRT จรัญฯ 13;MRT Charan 13,MRT จรัญฯ 13,MRT Charan 13,76,已匹配stops.zone_id
1,地铁,14117,14117,MRT สำโรง;MRT Samrong,MRT สำโรง,MRT Samrong,46,已匹配stops.zone_id
1,地铁,14118,14118,MRT ลาดพร้าว;MRT Lad Phrao,MRT ลาดพร้าว,MRT Lad Phrao,46,已匹配stops.zone_id
1,地铁,14119,14119,MRT ภาวนา;MRT Phawana,MRT ภาวนา,MRT Phawana,46,已匹配stops.zone_id
1,地铁,14121,14121,MRT ลาดพร้าว 71;MRT Lad Phrao 71,MRT ลาดพร้าว 71,MRT Lad Phrao 71,46,已匹配stops.zone_id
1,地铁,14122,14122,MRT ลาดพร้าว 83;MRT Lad Phrao 83,MRT ลาดพร้าว 83,MRT Lad Phrao 83,46,已匹配stops.zone_id
1,地铁,14123,14123,MRT มหาดไทย;MRT Mahat Thai,MRT มหาดไทย,MRT Mahat Thai,46,已匹配stops.zone_id
1,地铁,14124,14124,MRT ลาดพร้าว 101;MRT Lad Phrao 101,MRT ลาดพร้าว 101,MRT Lad Phrao 101,46,已匹配stops.zone_id
1,地铁,14125,14125,MRT บางกะปิ;MRT Bang Kapi,MRT บางกะปิ,MRT Bang Kapi,46,已匹配stops.zone_id
1,地铁,14126,14126,MRT แยกลำสาลี;MRT Yaek Lam Sali,MRT แยกลำสาลี,MRT Yaek Lam Sali,46,已匹配stops.zone_id
