交通类型代码,交通类型中文,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,地铁,222,13.892495769,100.408238868,1
1,地铁,222,13.890676985,100.408398736,2
1,地铁,222,13.888037791,100.408656262,3
1,地铁,222,13.885737174,100.40886815,4
1,地铁,222,13.883230836,100.409115896,5
1,地铁,222,13.880711813,100.409347342,6
1,地铁,222,13.878559862,100.409510333,7
1,地铁,222,13.87835416,100.409533152,8
1,地铁,222,13.878164281,100.40956575,9
1,地铁,222,13.877705406,100.409699402,10
1,地铁,222,13.877293999,100.409842834,11
1,地铁,222,13.876987027,100.409989526,12
1,地铁,222,13.876756005,100.410132958,13
1,地铁,222,13.876392068,100.410390483,14
1,地铁,222,13.876104082,100.410631709,15
1,地铁,222,13.875790778,100.41096421,16
1,地铁,222,13.875613556,100.411192397,17
1,地铁,222,13.87511037,100.412072547,18
1,地铁,222,13.87505657,100.412186641,19
1,地铁,222,13.874854029,100.412685393,20
1,地铁,222,13.874702123,100.413164585,21
1,地铁,222,13.8745787,100.41361118,22
1,地铁,222,13.874512241,100.413982799,23
1,地铁,222,13.874445783,100.414520668,24
1,地铁,222,13.874420465,100.415052018,25
1,地铁,222,13.874420465,100.41536496,26
1,地铁,222,13.874480594,100.416310306,27
1,地铁,222,13.874648324,100.418595436,28
1,地铁,222,13.875401521,100.428264047,29
1,地铁,222,13.875651532,100.431680332,30
1,地铁,222,13.875790778,100.433336318,31
1,地铁,222,13.876116741,100.437681651,32
1,地铁,222,13.876161046,100.438428149,33
1,地铁,222,13.876904745,100.448188033,34
1,地铁,222,13.876920568,100.44878132,35
1,地铁,222,13.876892086,100.449723406,36
1,地铁,222,13.876866769,100.450052647,37
1,地铁,222,13.876831958,100.45036233,38
1,地铁,222,13.876752841,100.450795885,39
1,地铁,222,13.876607266,100.451470667,40
1,地铁,222,13.876464855,100.452070473,41
1,地铁,222,13.876135729,100.453097314,42
1,地铁,222,13.875876225,100.453726459,43
1,地铁,222,13.874005888,100.457908801,44
1,地铁,222,13.873053308,100.460063538,45
1,地铁,222,13.872208326,100.461843397,46
1,地铁,222,13.871777921,100.462769184,47
1,地铁,222,13.871432964,100.46355154,48
1,地铁,222,13.871243079,100.464047032,49
1,地铁,222,13.871154466,100.464311077,50
1,地铁,222,13.870989899,100.464858725,51
1,地铁,222,13.870730389,100.465807331,52
1,地铁,222,13.870236687,100.467733882,53
1,地铁,222,13.869939199,100.468959572,54
1,地铁,222,13.869799949,100.469598496,55
1,地铁,222,13.869670194,100.470605779,56
1,地铁,222,13.869632217,100.471388134,57
1,地铁,222,13.869638546,100.4719912,58
1,地铁,222,13.869698677,100.472822453,59
1,地铁,222,13.870116426,100.477897984,60
1,地铁,222,13.870211369,100.479280145,61
1,地铁,222,13.870467715,100.482171601,62
1,地铁,222,13.870496197,100.482804005,63
1,地铁,222,13.870483538,100.483358173,64
1,地铁,222,13.870436067,100.484000357,65
1,地铁,222,13.87039809,100.484342637,66
1,地铁,222,13.87033163,100.484795752,67
1,地铁,222,13.870182886,100.485434675,68
1,地铁,222,13.869983506,100.486142055,69
1,地铁,222,13.869828432,100.486608209,70
1,地铁,222,13.869572086,100.487260171,71
1,地铁,222,13.868980273,100.488420665,72
1,地铁,222,13.868353646,100.489584419,73
1,地铁,222,13.864479913,100.497016797,74
1,地铁,222,13.864147605,100.497711137,75
1,地铁,222,13.86362224,100.498910749,76
1,地铁,222,13.863220303,100.499914772,77
1,地铁,222,13.862875334,100.500840559,78
1,地铁,222,13.862505044,100.501798945,79
1,地铁,222,13.862014489,100.503256082,80
1,地铁,222,13.861637869,100.504631723,81
1,地铁,222,13.86135936,100.505723761,82
1,地铁,222,13.861099839,100.506923373,83
1,地铁,222,13.860583962,100.509909363,84
1,地铁,222,13.860473191,100.510769954,85
1,地铁,222,13.85984654,100.515382592,86
1,地铁,222,13.859780077,100.515675975,87
1,地铁,222,13.859729439,100.515835706,88
1,地铁,222,13.859539545,100.516282301,89
1,地铁,222,13.859371804,100.516536566,90
1,地铁,222,13.859204064,100.516754974,91
1,地铁,222,13.858954036,100.517012499,92
1,地铁,222,13.858745151,100.517188529,93
1,地铁,222,13.858501452,100.517338481,94
1,地铁,222,13.857476015,100.517847012,95
1,地铁,222,13.856865182,100.518130616,96
