交通类型代码,交通类型中文,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_long_name_泰文,route_long_name_英文,中文展示名,中文名状态,中文名依据URL
2,铁路,5,SRTET,ARL,รถไฟฟ้าเชื่อมต่อท่าอากาศยาน;Airport Rail Link,รถไฟฟ้าเชื่อมต่อท่าอากาศยาน รถไฟฟ้าเชื่อมต่อท่าอากาศยาน;Airport Rail Link Airport Rail Link,2,E32020,รถไฟฟ้าเชื่อมต่อท่าอากาศยาน,Airport Rail Link,素万那普机场捷运（ARL）,公开常见中文功能名（非官方）,https://www.transit.land/routes/r-w4rw-arl
2,铁路,6,SRT,102,เชียงใหม่ - กรุงเทพ;Chiang Mai - Bangkok,รถไฟแห่งประเทศไทย รถเร็ว ชั้น 3;State Railway of Thailand Rapid 3,2,B22222,เชียงใหม่ - กรุงเทพ,Chiang Mai - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,7,SRT,105,กรุงเทพ - ศิลาอาสน์;Bangkok - Sila At,รถไฟแห่งประเทศไทย รถเร็ว ชั้น 3;State Railway of Thailand Rapid 3,2,B22222,กรุงเทพ - ศิลาอาสน์,Bangkok - Sila At,,未提供中文；保留泰文/英文原名,
2,铁路,8,SRT,106,ศิลาอาสน์ - กรุงเทพ;Sila At - Bangkok,รถไฟแห่งประเทศไทย รถเร็ว ชั้น 3;State Railway of Thailand Rapid 3,2,B22222,ศิลาอาสน์ - กรุงเทพ,Sila At - Bangkok,,未提供中文；保留泰文/英文原名,
2,铁路,9,SRT,107,กรุงเทพอภิวัฒน์ - เด่นชัย;Krung Thep Aphiwat - Den Chai,รถไฟแห่งประเทศไทย รถเร็ว ชั้น 3;State Railway of Thailand Rapid 3,2,b22222,กรุงเทพอภิวัฒน์ - เด่นชัย,Krung Thep Aphiwat - Den Chai,,未提供中文；保留泰文/英文原名,
2,铁路,10,SRT,108,เด่นชัย - กรุงเทพอภิวัฒน์;Den Chai - Krung Thep Aphiwat,รถไฟแห่งประเทศไทย รถเร็ว ชั้น 3;State Railway of Thailand Rapid 3,2,b22222,เด่นชัย - กรุงเทพอภิวัฒน์,Den Chai - Krung Thep Aphiwat,,未提供中文；保留泰文/英文原名,
2,铁路,11,SRT,109,กรุงเทพอภิวัฒน์ - เชียงใหม่;Krung Thep Aphiwat - Chiang Mai,รถไฟแห่งประเทศไทย รถเร็ว ชั้น 3;State Railway of Thailand Rapid 3,2,b22222,กรุงเทพอภิวัฒน์ - เชียงใหม่,Krung Thep Aphiwat - Chiang Mai,,未提供中文；保留泰文/英文原名,
2,铁路,12,SRT,111,กรุงเทพอภิวัฒน์ - เด่นชัย;Krung Thep Aphiwat - Den Chai,รถไฟแห่งประเทศไทย รถเร็ว ชั้น 3;State Railway of Thailand Rapid 3,2,b22222,กรุงเทพอภิวัฒน์ - เด่นชัย,Krung Thep Aphiwat - Den Chai,,未提供中文；保留泰文/英文原名,
2,铁路,13,SRT,112,เด่นชัย - กรุงเทพอภิวัฒน์;Den Chai - Krung Thep Aphiwat,รถไฟแห่งประเทศไทย รถเร็ว ชั้น 3;State Railway of Thailand Rapid 3,2,b22222,เด่นชัย - กรุงเทพอภิวัฒน์,Den Chai - Krung Thep Aphiwat,,未提供中文；保留泰文/英文原名,
2,铁路,14,SRT,133,กรุงเทพอภิวัฒน์ - หนองคาย;Krung Thep Aphiwat - Nong Khai,รถไฟแห่งประเทศไทย รถเร็ว ชั้น 3;State Railway of Thailand Rapid 3,2,b22222,กรุงเทพอภิวัฒน์ - หนองคาย,Krung Thep Aphiwat - Nong Khai,,未提供中文；保留泰文/英文原名,
2,铁路,15,SRT,134,หนองคาย - กรุงเทพอภิวัฒน์;Nong Khai - Krung Thep Aphiwat,รถไฟแห่งประเทศไทย รถเร็ว ชั้น 3;State Railway of Thailand Rapid 3,2,b22222,หนองคาย - กรุงเทพอภิวัฒน์,Nong Khai - Krung Thep Aphiwat,,未提供中文；保留泰文/英文原名,
