交通类型代码,交通类型中文,stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding,stop_name_泰文,stop_name_英文,分类依据
2,铁路,212,SRT กรุงเทพ;SRT Bangkok,13.7392,100.51689,212,2,SRT กรุงเทพ,SRT Bangkok,stop_times停靠＋fare_rules票价区域
2,铁路,213,SRT ตลาดใหม่ดอนเมือง;SRT Talatmai Don Muang,13.91468,100.59808,213,2,SRT ตลาดใหม่ดอนเมือง,SRT Talatmai Don Muang,stop_times停靠＋fare_rules票价区域
2,铁路,214,SRT ดอนเมือง;SRT Don Muang,13.91971,100.60102,214,2,SRT ดอนเมือง,SRT Don Muang,stop_times停靠＋fare_rules票价区域
2,铁路,215,SRT หลักหก;SRT Lak Hok,13.96584,100.60538,215,2,SRT หลักหก,SRT Lak Hok,stop_times停靠＋fare_rules票价区域
2,铁路,216,SRT คลองหนึ่ง;SRT Khlong Nhung,14.02334,100.59818,216,2,SRT คลองหนึ่ง,SRT Khlong Nhung,stop_times停靠＋fare_rules票价区域
2,铁路,217,SRT คลองรังสิต;SRT Khlong Rangsit,13.98619,100.60256,217,2,SRT คลองรังสิต,SRT Khlong Rangsit,stop_times停靠＋fare_rules票价区域
2,铁路,218,SRT การเคหะ กม.19;SRT Khan Keha Khomo Sipkao,13.89837,100.58902,218,2,SRT การเคหะ กม.19,SRT Khan Keha Khomo Sipkao,stop_times停靠＋fare_rules票价区域
2,铁路,219,SRT ม.ธรรมศาสตร์;SRT Thammasat University,14.07947,100.58852,219,2,SRT ม.ธรรมศาสตร์,SRT Thammasat University,stop_times停靠＋fare_rules票价区域
2,铁路,220,SRT โรงพยาบาลรามาธิบดี;SRT RAMATHIBODI HOSPITAL,13.76658,100.52461,220,2,SRT โรงพยาบาลรามาธิบดี,SRT RAMATHIBODI HOSPITAL,stop_times停靠＋fare_rules票价区域
2,铁路,222,SRT รังสิต;SRT Rangsit,13.99064,100.60208,222,2,SRT รังสิต,SRT Rangsit,stop_times停靠＋fare_rules票价区域
2,铁路,223,SRT เชียงราก;SRT Chiang Rak,14.05533,100.59265,223,2,SRT เชียงราก,SRT Chiang Rak,stop_times停靠＋fare_rules票价区域
2,铁路,224,SRT นวนคร;SRT Nava Nakhon,14.11446,100.58442,224,2,SRT นวนคร,SRT Nava Nakhon,stop_times停靠
2,铁路,225,SRT ยมราช;SRT Yommaraj,13.75819,100.52126,225,2,SRT ยมราช,SRT Yommaraj,stop_times停靠＋fare_rules票价区域
