交通类型代码,交通类型中文,route_id,stop_id,最小stop_sequence,最大stop_sequence,经过行程数
2,铁路,10,214,2,2,1
2,铁路,10,222,1,1,1
2,铁路,10,266,3,3,1
2,铁路,100,212,13,13,1
2,铁路,100,225,12,12,1
2,铁路,100,226,10,10,1
2,铁路,100,229,8,8,1
2,铁路,100,230,7,7,1
2,铁路,100,231,6,6,1
2,铁路,100,232,5,5,1
2,铁路,100,233,4,4,1
2,铁路,100,234,2,2,1
2,铁路,100,236,1,1,1
2,铁路,100,238,11,11,1
2,铁路,100,240,9,9,1
2,铁路,100,242,3,3,1
2,铁路,101,212,1,1,1
2,铁路,101,226,3,3,1
2,铁路,101,229,5,5,1
2,铁路,101,230,6,6,1
2,铁路,101,231,7,7,1
2,铁路,101,233,8,8,1
2,铁路,101,234,10,10,1
2,铁路,101,236,11,11,1
2,铁路,101,238,2,2,1
2,铁路,101,240,4,4,1
2,铁路,101,242,9,9,1
2,铁路,102,212,11,11,1
2,铁路,102,226,9,9,1
2,铁路,102,229,7,7,1
2,铁路,102,230,6,6,1
2,铁路,102,231,5,5,1
2,铁路,102,233,4,4,1
2,铁路,102,234,2,2,1
2,铁路,102,236,1,1,1
2,铁路,102,238,10,10,1
2,铁路,102,240,8,8,1
2,铁路,102,242,3,3,1
2,铁路,103,212,1,1,1
2,铁路,103,226,4,4,1
2,铁路,103,229,6,6,1
2,铁路,103,230,8,8,1
2,铁路,103,231,9,9,1
2,铁路,103,232,10,10,1
2,铁路,103,233,11,11,1
2,铁路,103,234,13,13,1
2,铁路,103,236,14,14,1
2,铁路,103,237,2,2,1
2,铁路,103,238,3,3,1
2,铁路,103,240,5,5,1
2,铁路,103,241,7,7,1
2,铁路,103,242,12,12,1
2,铁路,105,243,1,1,1
2,铁路,105,244,3,3,1
2,铁路,105,245,4,4,1
2,铁路,105,247,5,5,1
2,铁路,105,248,7,7,1
2,铁路,105,249,8,8,1
2,铁路,105,268,2,2,1
2,铁路,105,269,6,6,1
2,铁路,106,243,8,8,1
2,铁路,106,244,6,6,1
2,铁路,106,245,5,5,1
2,铁路,106,247,4,4,1
2,铁路,106,248,2,2,1
2,铁路,106,249,1,1,1
