交通类型代码,交通类型中文,route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,trip_headsign_泰文,trip_headsign_英文
2,铁路,6,3,89,กรุงเทพ;Bangkok,1,78,2,กรุงเทพ,Bangkok
2,铁路,8,3,90,กรุงเทพ;Bangkok,1,79,2,กรุงเทพ,Bangkok
2,铁路,10,3,91,กรุงเทพ;Bangkok,1,80,2,กรุงเทพ,Bangkok
2,铁路,12,3,92,เชียงราก;Chiang Rak,0,81,2,เชียงราก,Chiang Rak
2,铁路,13,3,93,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,82,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
2,铁路,24,3,94,นครปฐม;Nakhon Pathom,0,83,2,นครปฐม,Nakhon Pathom
2,铁路,25,3,95,กรุงเทพ;Bangkok,1,84,2,กรุงเทพ,Bangkok
2,铁路,26,3,96,นครปฐม;Nakhon Pathom,0,85,2,นครปฐม,Nakhon Pathom
2,铁路,27,3,97,กรุงเทพ;Bangkok,1,86,2,กรุงเทพ,Bangkok
2,铁路,28,3,98,นครปฐม;Nakhon Pathom,0,87,2,นครปฐม,Nakhon Pathom
2,铁路,29,3,99,กรุงเทพ;Bangkok,1,88,2,กรุงเทพ,Bangkok
2,铁路,30,3,100,นครปฐม;Nakhon Pathom,0,89,2,นครปฐม,Nakhon Pathom
2,铁路,31,3,101,กรุงเทพ;Bangkok,1,90,2,กรุงเทพ,Bangkok
2,铁路,34,3,102,ม.ธรรมศาสตร์;Thammasat University,0,91,2,ม.ธรรมศาสตร์,Thammasat University
2,铁路,35,3,103,กรุงเทพ;Bangkok,1,92,2,กรุงเทพ,Bangkok
2,铁路,37,3,104,กรุงเทพ;Bangkok,1,93,2,กรุงเทพ,Bangkok
2,铁路,44,3,105,โพรงมะเดื่อ;Phrong Madua,0,94,2,โพรงมะเดื่อ,Phrong Madua
2,铁路,47,3,106,โพรงมะเดื่อ;Phrong Madua,0,95,2,โพรงมะเดื่อ,Phrong Madua
2,铁路,48,3,107,โพรงมะเดื่อ;Phrong Madua,0,96,2,โพรงมะเดื่อ,Phrong Madua
2,铁路,50,3,108,โพรงมะเดื่อ;Phrong Madua,0,97,2,โพรงมะเดื่อ,Phrong Madua
2,铁路,52,3,109,โพรงมะเดื่อ;Phrong Madua,0,98,2,โพรงมะเดื่อ,Phrong Madua
2,铁路,53,3,110,กรุงเทพ;Bangkok,1,99,2,กรุงเทพ,Bangkok
2,铁路,54,3,111,คลองหลวงแพ่ง;Khlong Luang Phaeng,0,100,2,คลองหลวงแพ่ง,Khlong Luang Phaeng
2,铁路,55,3,112,กรุงเทพ;Bangkok,1,101,2,กรุงเทพ,Bangkok
2,铁路,56,3,113,คลองหลวงแพ่ง;Khlong Luang Phaeng,0,102,2,คลองหลวงแพ่ง,Khlong Luang Phaeng
2,铁路,57,3,114,กรุงเทพ;Bangkok,1,103,2,กรุงเทพ,Bangkok
2,铁路,58,3,115,คลองหลวงแพ่ง;Khlong Luang Phaeng,0,104,2,คลองหลวงแพ่ง,Khlong Luang Phaeng
2,铁路,59,3,116,กรุงเทพ;Bangkok,1,105,2,กรุงเทพ,Bangkok
2,铁路,60,3,117,คลองหลวงแพ่ง;Khlong Luang Phaeng,0,106,2,คลองหลวงแพ่ง,Khlong Luang Phaeng
