交通类型代码,交通类型中文,route_id,trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
2,铁路,6,89,19:55:00,19:55:00,222,1,0
2,铁路,6,89,20:05:00,20:07:00,214,2,0
2,铁路,6,89,20:22:00,20:22:00,266,3,0
2,铁路,8,90,13:11:00,13:11:00,222,1,0
2,铁路,8,90,13:19:00,13:21:00,214,2,0
2,铁路,8,90,13:26:00,13:27:00,302,3,0
2,铁路,8,90,13:32:00,13:33:00,300,4,0
2,铁路,8,90,13:37:00,13:38:00,267,5,0
2,铁路,8,90,13:43:00,13:45:00,266,6,0
2,铁路,8,90,13:51:00,13:53:00,228,7,0
2,铁路,8,90,14:08:00,14:09:00,212,8,0
2,铁路,10,91,04:00:00,04:00:00,222,1,0
2,铁路,10,91,04:03:00,04:05:00,214,2,0
2,铁路,10,91,04:20:00,04:20:00,266,3,0
2,铁路,12,92,07:30:00,07:32:00,266,1,0
2,铁路,12,92,07:47:00,07:48:00,214,2,0
2,铁路,12,92,07:55:00,07:56:00,222,3,0
2,铁路,12,92,08:04:00,08:04:00,223,4,0
2,铁路,13,93,16:42:00,16:42:00,223,1,0
2,铁路,13,93,16:49:00,16:52:00,222,2,0
2,铁路,13,93,17:02:00,17:04:00,214,3,0
2,铁路,13,93,17:19:00,17:19:00,266,4,0
2,铁路,24,94,18:50:00,18:51:00,266,1,0
2,铁路,24,94,19:03:00,19:04:00,246,2,0
2,铁路,24,94,19:09:00,19:10:00,245,3,0
2,铁路,24,94,19:26:00,19:27:00,249,4,0
2,铁路,24,94,20:01:00,20:01:00,256,5,0
2,铁路,25,95,05:28:00,05:28:00,256,1,0
2,铁路,25,95,06:22:00,06:23:00,249,2,0
2,铁路,25,95,06:49:00,06:50:00,246,3,0
2,铁路,25,95,07:01:00,07:01:00,266,4,0
2,铁路,26,96,16:10:00,16:11:00,266,1,0
2,铁路,26,96,16:21:00,16:22:00,246,2,0
2,铁路,26,96,16:27:00,16:28:00,245,3,0
2,铁路,26,96,16:41:00,16:42:00,249,4,0
2,铁路,26,96,17:07:00,17:07:00,256,5,0
2,铁路,27,97,07:07:00,07:07:00,256,1,0
2,铁路,27,97,07:45:00,07:46:00,249,2,0
2,铁路,27,97,08:11:00,08:12:00,246,3,0
2,铁路,27,97,08:23:00,08:23:00,266,4,0
2,铁路,28,98,13:10:00,13:11:00,266,1,0
2,铁路,28,98,13:22:00,13:23:00,246,2,0
2,铁路,28,98,13:28:00,13:29:00,245,3,0
2,铁路,28,98,13:44:00,13:45:00,249,4,0
2,铁路,28,98,14:11:00,14:11:00,256,5,0
2,铁路,29,99,09:10:00,09:10:00,256,1,0
2,铁路,29,99,09:53:00,09:54:00,249,2,0
2,铁路,29,99,10:19:00,10:20:00,246,3,0
2,铁路,29,99,10:32:00,10:32:00,266,4,0
2,铁路,30,100,17:35:00,17:35:00,212,1,0
2,铁路,30,100,17:36:00,17:37:00,228,2,0
2,铁路,30,100,17:38:00,17:39:00,266,3,0
2,铁路,30,100,17:40:00,17:41:00,246,4,0
2,铁路,30,100,17:42:00,17:43:00,249,5,0
2,铁路,30,100,17:44:00,17:45:00,256,6,0
2,铁路,31,101,03:40:00,03:40:00,256,1,0
2,铁路,31,101,03:41:00,03:42:00,249,2,0
2,铁路,31,101,03:43:00,03:44:00,246,3,0
2,铁路,31,101,03:45:00,03:46:00,266,4,0
2,铁路,31,101,03:47:00,03:48:00,228,5,0
2,铁路,31,101,03:49:00,03:50:00,212,6,0
2,铁路,34,102,09:30:00,09:30:00,212,1,0
2,铁路,34,102,09:43:00,09:44:00,228,2,0
2,铁路,34,102,09:50:00,09:53:00,266,3,0
2,铁路,34,102,09:58:00,09:59:00,267,4,0
2,铁路,34,102,10:04:00,10:05:00,300,5,0
2,铁路,34,102,10:12:00,10:13:00,302,6,0
2,铁路,34,102,10:18:00,10:20:00,214,7,0
2,铁路,34,102,10:26:00,10:27:00,217,8,0
2,铁路,34,102,10:30:00,10:31:00,222,9,0
2,铁路,34,102,10:38:00,10:39:00,223,10,0
2,铁路,34,102,10:42:00,10:42:00,219,11,0
2,铁路,35,103,12:49:00,12:49:00,219,1,0
2,铁路,35,103,12:54:00,12:55:00,223,2,0
2,铁路,35,103,13:02:00,13:05:00,222,3,0
2,铁路,35,103,13:06:00,13:07:00,217,4,0
2,铁路,35,103,13:15:00,13:17:00,214,5,0
2,铁路,35,103,13:19:00,13:20:00,302,6,0
2,铁路,35,103,13:27:00,13:28:00,300,7,0
2,铁路,35,103,13:34:00,13:35:00,267,8,0
2,铁路,35,103,13:42:00,13:44:00,266,9,0
2,铁路,35,103,13:51:00,13:52:00,228,10,0
2,铁路,35,103,14:05:00,14:05:00,212,11,0
2,铁路,37,104,08:59:00,08:59:00,219,1,0
2,铁路,37,104,09:04:00,09:05:00,223,2,0
2,铁路,37,104,09:12:00,09:15:00,222,3,0
2,铁路,37,104,09:16:00,09:17:00,217,4,0
2,铁路,37,104,09:25:00,09:27:00,214,5,0
2,铁路,37,104,09:36:00,09:37:00,300,6,0
2,铁路,37,104,09:43:00,09:44:00,267,7,0
2,铁路,37,104,09:47:00,09:49:00,266,8,0
2,铁路,37,104,09:56:00,09:57:00,228,9,0
2,铁路,37,104,10:10:00,10:10:00,212,10,0
2,铁路,44,105,13:10:00,13:10:00,243,1,0
2,铁路,44,105,13:12:00,13:13:00,268,2,0
