交通类型代码,交通类型中文,service_id,date,exception_type
2,铁路,1,20260101,2
2,铁路,1,20260102,2
2,铁路,1,20260303,2
2,铁路,1,20260406,2
2,铁路,1,20260413,2
2,铁路,1,20260414,2
2,铁路,1,20260415,2
2,铁路,1,20260501,2
2,铁路,1,20260504,2
2,铁路,1,20260531,2
2,铁路,1,20260603,2
2,铁路,1,20260728,2
2,铁路,1,20260729,2
2,铁路,1,20260730,2
2,铁路,1,20260812,2
2,铁路,1,20261013,2
2,铁路,1,20261023,2
2,铁路,1,20261205,2
2,铁路,1,20261207,2
2,铁路,1,20261210,2
2,铁路,1,20261231,2
2,铁路,2,20260101,1
2,铁路,2,20260102,1
2,铁路,2,20260303,1
2,铁路,2,20260406,1
2,铁路,2,20260413,1
2,铁路,2,20260414,1
2,铁路,2,20260415,1
2,铁路,2,20260501,1
2,铁路,2,20260504,1
2,铁路,2,20260531,1
2,铁路,2,20260603,1
2,铁路,2,20260728,1
2,铁路,2,20260729,1
2,铁路,2,20260730,1
2,铁路,2,20260812,1
2,铁路,2,20261013,1
2,铁路,2,20261023,1
2,铁路,2,20261205,1
2,铁路,2,20261207,1
2,铁路,2,20261210,1
2,铁路,2,20261231,1
2,铁路,5,20260101,2
2,铁路,5,20260102,2
2,铁路,5,20260303,2
2,铁路,5,20260406,2
2,铁路,5,20260413,2
2,铁路,5,20260414,2
2,铁路,5,20260415,2
2,铁路,5,20260501,2
2,铁路,5,20260504,2
2,铁路,5,20260531,2
2,铁路,5,20260603,2
2,铁路,5,20260728,2
2,铁路,5,20260729,2
2,铁路,5,20260730,2
2,铁路,5,20260812,2
2,铁路,5,20261013,2
2,铁路,5,20261023,2
2,铁路,5,20261205,2
2,铁路,5,20261207,2
2,铁路,5,20261210,2
2,铁路,5,20261231,2
2,铁路,7,20260101,1
2,铁路,7,20260102,1
2,铁路,7,20260303,1
2,铁路,7,20260406,1
2,铁路,7,20260413,1
2,铁路,7,20260414,1
2,铁路,7,20260415,1
2,铁路,7,20260501,1
2,铁路,7,20260504,1
2,铁路,7,20260531,1
2,铁路,7,20260603,1
2,铁路,7,20260728,1
2,铁路,7,20260729,1
2,铁路,7,20260730,1
2,铁路,7,20260812,1
2,铁路,7,20261013,1
2,铁路,7,20261023,1
2,铁路,7,20261205,1
2,铁路,7,20261207,1
2,铁路,7,20261210,1
2,铁路,7,20261231,1
