交通类型代码,交通类型中文,fare_id,price,currency_type,payment_method,transfers,agency_id
2,铁路,663,45.00,THB,0,0,SRTET
2,铁路,664,20.00,THB,0,0,SRTET
2,铁路,665,25.00,THB,0,0,SRTET
2,铁路,666,15.00,THB,0,0,SRTET
2,铁路,667,30.00,THB,0,0,SRTET
2,铁路,668,35.00,THB,0,0,SRTET
2,铁路,669,40.00,THB,0,0,SRTET
2,铁路,670,30.00,THB,0,0,SRTET
2,铁路,671,25.00,THB,0,0,SRTET
2,铁路,672,20.00,THB,0,0,SRTET
2,铁路,673,25.00,THB,0,0,SRTET
2,铁路,674,20.00,THB,0,0,SRTET
2,铁路,675,15.00,THB,0,0,SRTET
2,铁路,676,15.00,THB,0,0,SRTET
2,铁路,677,25.00,THB,0,0,SRTET
2,铁路,678,30.00,THB,0,0,SRTET
2,铁路,679,35.00,THB,0,0,SRTET
2,铁路,680,15.00,THB,0,0,SRTET
2,铁路,681,15.00,THB,0,0,SRTET
2,铁路,682,20.00,THB,0,0,SRTET
2,铁路,683,20.00,THB,0,0,SRTET
2,铁路,684,25.00,THB,0,0,SRTET
2,铁路,685,20.00,THB,0,0,SRTET
2,铁路,686,15.00,THB,0,0,SRTET
2,铁路,687,40.00,THB,0,0,SRTET
2,铁路,688,15.00,THB,0,0,SRTET
2,铁路,689,35.00,THB,0,0,SRTET
2,铁路,690,30.00,THB,0,0,SRTET
2,铁路,691,30.00,THB,0,0,SRTET
2,铁路,692,15.00,THB,0,0,SRTET
2,铁路,693,25.00,THB,0,0,SRTET
2,铁路,694,20.00,THB,0,0,SRTET
2,铁路,695,20.00,THB,0,0,SRTET
2,铁路,696,25.00,THB,0,0,SRTET
2,铁路,697,15.00,THB,0,0,SRTET
2,铁路,698,40.00,THB,0,0,SRTET
2,铁路,699,15.00,THB,0,0,SRTET
2,铁路,700,15.00,THB,0,0,SRTET
2,铁路,701,35.00,THB,0,0,SRTET
2,铁路,702,30.00,THB,0,0,SRTET
2,铁路,703,25.00,THB,0,0,SRTET
2,铁路,704,20.00,THB,0,0,SRTET
2,铁路,705,15.00,THB,0,0,SRTET
2,铁路,706,15.00,THB,0,0,SRTET
2,铁路,707,20.00,THB,0,0,SRTET
2,铁路,708,25.00,THB,0,0,SRTET
2,铁路,709,30.00,THB,0,0,SRTET
2,铁路,710,35.00,THB,0,0,SRTET
2,铁路,711,20.00,THB,0,0,SRTET
2,铁路,712,15.00,THB,0,0,SRTET
2,铁路,713,20.00,THB,0,0,SRTET
2,铁路,714,25.00,THB,0,0,SRTET
2,铁路,715,30.00,THB,0,0,SRTET
2,铁路,716,35.00,THB,0,0,SRTET
2,铁路,717,45.00,THB,0,0,SRTET
2,铁路,718,40.00,THB,0,0,SRTET
2,铁路,680577,3.00,THB,0,0,SRT
2,铁路,680578,5.00,THB,0,0,SRT
2,铁路,680579,5.00,THB,0,0,SRT
2,铁路,680580,6.00,THB,0,0,SRT
2,铁路,680581,6.00,THB,0,0,SRT
2,铁路,680582,6.00,THB,0,0,SRT
2,铁路,680583,6.00,THB,0,0,SRT
2,铁路,680584,8.00,THB,0,0,SRT
2,铁路,680585,8.00,THB,0,0,SRT
2,铁路,680586,9.00,THB,0,0,SRT
2,铁路,680587,9.00,THB,0,0,SRT
2,铁路,680588,10.00,THB,0,0,SRT
2,铁路,680589,10.00,THB,0,0,SRT
2,铁路,680590,3.00,THB,0,0,SRT
2,铁路,680591,3.00,THB,0,0,SRT
2,铁路,680592,3.00,THB,0,0,SRT
2,铁路,680593,5.00,THB,0,0,SRT
2,铁路,680594,5.00,THB,0,0,SRT
2,铁路,680595,5.00,THB,0,0,SRT
2,铁路,680596,6.00,THB,0,0,SRT
2,铁路,680597,6.00,THB,0,0,SRT
2,铁路,680598,6.00,THB,0,0,SRT
2,铁路,680599,8.00,THB,0,0,SRT
2,铁路,680600,8.00,THB,0,0,SRT
2,铁路,680601,9.00,THB,0,0,SRT
2,铁路,680602,9.00,THB,0,0,SRT
2,铁路,680603,5.00,THB,0,0,SRT
2,铁路,680604,3.00,THB,0,0,SRT
2,铁路,680605,3.00,THB,0,0,SRT
2,铁路,680606,3.00,THB,0,0,SRT
2,铁路,680607,3.00,THB,0,0,SRT
2,铁路,680608,5.00,THB,0,0,SRT
2,铁路,680609,5.00,THB,0,0,SRT
2,铁路,680610,5.00,THB,0,0,SRT
2,铁路,680611,6.00,THB,0,0,SRT
2,铁路,680612,6.00,THB,0,0,SRT
2,铁路,680613,6.00,THB,0,0,SRT
2,铁路,680614,8.00,THB,0,0,SRT
2,铁路,680615,9.00,THB,0,0,SRT
2,铁路,680616,5.00,THB,0,0,SRT
2,铁路,680617,3.00,THB,0,0,SRT
2,铁路,680618,3.00,THB,0,0,SRT
2,铁路,680619,3.00,THB,0,0,SRT
2,铁路,680620,3.00,THB,0,0,SRT
2,铁路,680621,3.00,THB,0,0,SRT
2,铁路,680622,3.00,THB,0,0,SRT
2,铁路,680623,5.00,THB,0,0,SRT
2,铁路,680624,5.00,THB,0,0,SRT
2,铁路,680625,6.00,THB,0,0,SRT
2,铁路,680626,6.00,THB,0,0,SRT
2,铁路,680627,8.00,THB,0,0,SRT
2,铁路,680628,8.00,THB,0,0,SRT
2,铁路,680629,6.00,THB,0,0,SRT
2,铁路,680630,5.00,THB,0,0,SRT
2,铁路,680631,3.00,THB,0,0,SRT
2,铁路,680632,3.00,THB,0,0,SRT
2,铁路,680633,3.00,THB,0,0,SRT
2,铁路,680634,3.00,THB,0,0,SRT
2,铁路,680635,3.00,THB,0,0,SRT
2,铁路,680636,3.00,THB,0,0,SRT
2,铁路,680637,5.00,THB,0,0,SRT
2,铁路,680638,6.00,THB,0,0,SRT
2,铁路,680639,6.00,THB,0,0,SRT
2,铁路,680640,6.00,THB,0,0,SRT
2,铁路,680641,8.00,THB,0,0,SRT
2,铁路,680642,6.00,THB,0,0,SRT
2,铁路,680643,5.00,THB,0,0,SRT
2,铁路,680644,3.00,THB,0,0,SRT
2,铁路,680645,3.00,THB,0,0,SRT
2,铁路,680646,3.00,THB,0,0,SRT
2,铁路,680647,3.00,THB,0,0,SRT
2,铁路,680648,3.00,THB,0,0,SRT
2,铁路,680649,3.00,THB,0,0,SRT
2,铁路,680650,3.00,THB,0,0,SRT
2,铁路,680651,5.00,THB,0,0,SRT
2,铁路,680652,5.00,THB,0,0,SRT
2,铁路,680653,6.00,THB,0,0,SRT
2,铁路,680654,6.00,THB,0,0,SRT
2,铁路,680655,6.00,THB,0,0,SRT
2,铁路,680656,5.00,THB,0,0,SRT
2,铁路,680657,5.00,THB,0,0,SRT
2,铁路,680658,3.00,THB,0,0,SRT
2,铁路,680659,3.00,THB,0,0,SRT
2,铁路,680660,3.00,THB,0,0,SRT
2,铁路,680661,3.00,THB,0,0,SRT
2,铁路,680662,3.00,THB,0,0,SRT
2,铁路,680663,3.00,THB,0,0,SRT
2,铁路,680664,5.00,THB,0,0,SRT
2,铁路,680665,5.00,THB,0,0,SRT
2,铁路,680666,6.00,THB,0,0,SRT
2,铁路,680667,6.00,THB,0,0,SRT
2,铁路,680668,6.00,THB,0,0,SRT
2,铁路,680669,6.00,THB,0,0,SRT
2,铁路,680670,5.00,THB,0,0,SRT
2,铁路,680671,3.00,THB,0,0,SRT
2,铁路,680672,3.00,THB,0,0,SRT
2,铁路,680673,3.00,THB,0,0,SRT
2,铁路,680674,3.00,THB,0,0,SRT
2,铁路,680675,3.00,THB,0,0,SRT
2,铁路,680676,3.00,THB,0,0,SRT
2,铁路,680677,3.00,THB,0,0,SRT
2,铁路,680678,5.00,THB,0,0,SRT
2,铁路,680679,5.00,THB,0,0,SRT
2,铁路,680680,6.00,THB,0,0,SRT
2,铁路,680681,8.00,THB,0,0,SRT
2,铁路,680682,6.00,THB,0,0,SRT
2,铁路,680683,5.00,THB,0,0,SRT
2,铁路,680684,5.00,THB,0,0,SRT
2,铁路,680685,3.00,THB,0,0,SRT
2,铁路,680686,3.00,THB,0,0,SRT
2,铁路,680687,3.00,THB,0,0,SRT
2,铁路,680688,3.00,THB,0,0,SRT
2,铁路,680689,3.00,THB,0,0,SRT
2,铁路,680690,3.00,THB,0,0,SRT
2,铁路,680691,3.00,THB,0,0,SRT
2,铁路,680692,5.00,THB,0,0,SRT
2,铁路,680693,6.00,THB,0,0,SRT
2,铁路,680694,8.00,THB,0,0,SRT
2,铁路,680695,6.00,THB,0,0,SRT
2,铁路,680696,6.00,THB,0,0,SRT
2,铁路,680697,5.00,THB,0,0,SRT
2,铁路,680698,5.00,THB,0,0,SRT
2,铁路,680699,3.00,THB,0,0,SRT
2,铁路,680700,3.00,THB,0,0,SRT
2,铁路,680701,3.00,THB,0,0,SRT
2,铁路,680702,3.00,THB,0,0,SRT
2,铁路,680703,3.00,THB,0,0,SRT
2,铁路,680704,3.00,THB,0,0,SRT
2,铁路,680705,5.00,THB,0,0,SRT
2,铁路,680706,5.00,THB,0,0,SRT
2,铁路,680707,9.00,THB,0,0,SRT
2,铁路,680708,8.00,THB,0,0,SRT
2,铁路,680709,6.00,THB,0,0,SRT
2,铁路,680710,6.00,THB,0,0,SRT
2,铁路,680711,6.00,THB,0,0,SRT
2,铁路,680712,5.00,THB,0,0,SRT
2,铁路,680713,5.00,THB,0,0,SRT
2,铁路,680714,3.00,THB,0,0,SRT
2,铁路,680715,3.00,THB,0,0,SRT
2,铁路,680716,3.00,THB,0,0,SRT
2,铁路,680717,3.00,THB,0,0,SRT
2,铁路,680718,3.00,THB,0,0,SRT
2,铁路,680719,3.00,THB,0,0,SRT
2,铁路,680720,9.00,THB,0,0,SRT
2,铁路,680721,8.00,THB,0,0,SRT
2,铁路,680722,6.00,THB,0,0,SRT
2,铁路,680723,6.00,THB,0,0,SRT
2,铁路,680724,6.00,THB,0,0,SRT
2,铁路,680725,5.00,THB,0,0,SRT
2,铁路,680726,5.00,THB,0,0,SRT
2,铁路,680727,5.00,THB,0,0,SRT
2,铁路,680728,3.00,THB,0,0,SRT
2,铁路,680729,3.00,THB,0,0,SRT
2,铁路,680730,3.00,THB,0,0,SRT
2,铁路,680731,3.00,THB,0,0,SRT
2,铁路,680732,3.00,THB,0,0,SRT
2,铁路,680733,10.00,THB,0,0,SRT
2,铁路,680734,9.00,THB,0,0,SRT
2,铁路,680735,8.00,THB,0,0,SRT
2,铁路,680736,8.00,THB,0,0,SRT
2,铁路,680737,6.00,THB,0,0,SRT
2,铁路,680738,6.00,THB,0,0,SRT
2,铁路,680739,6.00,THB,0,0,SRT
2,铁路,680740,5.00,THB,0,0,SRT
2,铁路,680741,5.00,THB,0,0,SRT
2,铁路,680742,5.00,THB,0,0,SRT
2,铁路,680743,3.00,THB,0,0,SRT
2,铁路,680744,3.00,THB,0,0,SRT
2,铁路,680745,3.00,THB,0,0,SRT
2,铁路,680746,10.00,THB,0,0,SRT
2,铁路,680747,9.00,THB,0,0,SRT
2,铁路,680748,9.00,THB,0,0,SRT
2,铁路,680749,8.00,THB,0,0,SRT
2,铁路,680750,8.00,THB,0,0,SRT
2,铁路,680751,6.00,THB,0,0,SRT
2,铁路,680752,6.00,THB,0,0,SRT
2,铁路,680753,6.00,THB,0,0,SRT
2,铁路,680754,6.00,THB,0,0,SRT
2,铁路,680755,5.00,THB,0,0,SRT
2,铁路,680756,3.00,THB,0,0,SRT
2,铁路,680757,3.00,THB,0,0,SRT
2,铁路,680758,3.00,THB,0,0,SRT
2,铁路,680759,3.00,THB,0,0,SRT
2,铁路,680760,3.00,THB,0,0,SRT
2,铁路,680761,3.00,THB,0,0,SRT
2,铁路,680762,5.00,THB,0,0,SRT
2,铁路,680763,6.00,THB,0,0,SRT
2,铁路,680764,6.00,THB,0,0,SRT
2,铁路,680765,6.00,THB,0,0,SRT
2,铁路,680766,6.00,THB,0,0,SRT
2,铁路,680767,8.00,THB,0,0,SRT
2,铁路,680768,8.00,THB,0,0,SRT
2,铁路,680769,9.00,THB,0,0,SRT
2,铁路,680770,9.00,THB,0,0,SRT
2,铁路,680771,10.00,THB,0,0,SRT
2,铁路,680772,3.00,THB,0,0,SRT
2,铁路,680773,3.00,THB,0,0,SRT
2,铁路,680774,3.00,THB,0,0,SRT
2,铁路,680775,5.00,THB,0,0,SRT
2,铁路,680776,5.00,THB,0,0,SRT
2,铁路,680777,5.00,THB,0,0,SRT
2,铁路,680778,6.00,THB,0,0,SRT
2,铁路,680779,6.00,THB,0,0,SRT
2,铁路,680780,6.00,THB,0,0,SRT
2,铁路,680781,8.00,THB,0,0,SRT
2,铁路,680782,8.00,THB,0,0,SRT
2,铁路,680783,9.00,THB,0,0,SRT
2,铁路,680784,10.00,THB,0,0,SRT
2,铁路,680785,3.00,THB,0,0,SRT
2,铁路,680786,3.00,THB,0,0,SRT
2,铁路,680787,3.00,THB,0,0,SRT
2,铁路,680788,3.00,THB,0,0,SRT
2,铁路,680789,3.00,THB,0,0,SRT
2,铁路,680790,5.00,THB,0,0,SRT
2,铁路,680791,5.00,THB,0,0,SRT
2,铁路,680792,5.00,THB,0,0,SRT
2,铁路,680793,6.00,THB,0,0,SRT
2,铁路,680794,6.00,THB,0,0,SRT
2,铁路,680795,6.00,THB,0,0,SRT
2,铁路,680796,8.00,THB,0,0,SRT
2,铁路,680797,9.00,THB,0,0,SRT
2,铁路,680798,3.00,THB,0,0,SRT
2,铁路,680799,3.00,THB,0,0,SRT
2,铁路,680800,3.00,THB,0,0,SRT
2,铁路,680801,3.00,THB,0,0,SRT
2,铁路,680802,3.00,THB,0,0,SRT
2,铁路,680803,3.00,THB,0,0,SRT
2,铁路,680804,5.00,THB,0,0,SRT
2,铁路,680805,5.00,THB,0,0,SRT
2,铁路,680806,6.00,THB,0,0,SRT
2,铁路,680807,6.00,THB,0,0,SRT
2,铁路,680808,6.00,THB,0,0,SRT
2,铁路,680809,8.00,THB,0,0,SRT
2,铁路,680810,9.00,THB,0,0,SRT
2,铁路,680811,5.00,THB,0,0,SRT
2,铁路,680812,5.00,THB,0,0,SRT
2,铁路,680813,3.00,THB,0,0,SRT
2,铁路,680814,3.00,THB,0,0,SRT
2,铁路,680815,3.00,THB,0,0,SRT
2,铁路,680816,3.00,THB,0,0,SRT
2,铁路,680817,3.00,THB,0,0,SRT
2,铁路,680818,3.00,THB,0,0,SRT
2,铁路,680819,5.00,THB,0,0,SRT
2,铁路,680820,5.00,THB,0,0,SRT
2,铁路,680821,6.00,THB,0,0,SRT
2,铁路,680822,6.00,THB,0,0,SRT
2,铁路,680823,8.00,THB,0,0,SRT
2,铁路,680824,6.00,THB,0,0,SRT
2,铁路,680825,5.00,THB,0,0,SRT
2,铁路,680826,3.00,THB,0,0,SRT
2,铁路,680827,3.00,THB,0,0,SRT
2,铁路,680828,3.00,THB,0,0,SRT
2,铁路,680829,3.00,THB,0,0,SRT
2,铁路,680830,3.00,THB,0,0,SRT
2,铁路,680831,3.00,THB,0,0,SRT
2,铁路,680832,3.00,THB,0,0,SRT
2,铁路,680833,5.00,THB,0,0,SRT
2,铁路,680834,5.00,THB,0,0,SRT
2,铁路,680835,6.00,THB,0,0,SRT
2,铁路,680836,8.00,THB,0,0,SRT
2,铁路,680837,6.00,THB,0,0,SRT
2,铁路,680838,5.00,THB,0,0,SRT
2,铁路,680839,5.00,THB,0,0,SRT
2,铁路,680840,3.00,THB,0,0,SRT
2,铁路,680841,3.00,THB,0,0,SRT
2,铁路,680842,3.00,THB,0,0,SRT
2,铁路,680843,3.00,THB,0,0,SRT
2,铁路,680844,3.00,THB,0,0,SRT
2,铁路,680845,3.00,THB,0,0,SRT
2,铁路,680846,3.00,THB,0,0,SRT
2,铁路,680847,5.00,THB,0,0,SRT
2,铁路,680848,6.00,THB,0,0,SRT
2,铁路,680849,6.00,THB,0,0,SRT
2,铁路,680850,6.00,THB,0,0,SRT
2,铁路,680851,6.00,THB,0,0,SRT
2,铁路,680852,5.00,THB,0,0,SRT
2,铁路,680853,5.00,THB,0,0,SRT
2,铁路,680854,3.00,THB,0,0,SRT
2,铁路,680855,3.00,THB,0,0,SRT
2,铁路,680856,3.00,THB,0,0,SRT
2,铁路,680857,3.00,THB,0,0,SRT
2,铁路,680858,3.00,THB,0,0,SRT
2,铁路,680859,3.00,THB,0,0,SRT
2,铁路,680860,5.00,THB,0,0,SRT
2,铁路,680861,5.00,THB,0,0,SRT
2,铁路,680862,6.00,THB,0,0,SRT
2,铁路,680863,6.00,THB,0,0,SRT
2,铁路,680864,6.00,THB,0,0,SRT
2,铁路,680865,5.00,THB,0,0,SRT
2,铁路,680866,5.00,THB,0,0,SRT
2,铁路,680867,3.00,THB,0,0,SRT
2,铁路,680868,3.00,THB,0,0,SRT
2,铁路,680869,3.00,THB,0,0,SRT
2,铁路,680870,3.00,THB,0,0,SRT
2,铁路,680871,3.00,THB,0,0,SRT
2,铁路,680872,3.00,THB,0,0,SRT
2,铁路,680873,3.00,THB,0,0,SRT
2,铁路,680874,5.00,THB,0,0,SRT
2,铁路,680875,6.00,THB,0,0,SRT
2,铁路,680876,8.00,THB,0,0,SRT
2,铁路,680877,6.00,THB,0,0,SRT
