交通类型代码,交通类型中文,zone_id,stop_id,stop_name,stop_name_泰文,stop_name_英文,票价规则引用次数,映射状态
2,铁路,212,212,SRT กรุงเทพ;SRT Bangkok,SRT กรุงเทพ,SRT Bangkok,673,已匹配stops.zone_id
2,铁路,213,213,SRT ตลาดใหม่ดอนเมือง;SRT Talatmai Don Muang,SRT ตลาดใหม่ดอนเมือง,SRT Talatmai Don Muang,23,已匹配stops.zone_id
2,铁路,214,214,SRT ดอนเมือง;SRT Don Muang,SRT ดอนเมือง,SRT Don Muang,331,已匹配stops.zone_id
2,铁路,215,215,SRT หลักหก;SRT Lak Hok,SRT หลักหก,SRT Lak Hok,92,已匹配stops.zone_id
2,铁路,216,216,SRT คลองหนึ่ง;SRT Khlong Nhung,SRT คลองหนึ่ง,SRT Khlong Nhung,116,已匹配stops.zone_id
2,铁路,217,217,SRT คลองรังสิต;SRT Khlong Rangsit,SRT คลองรังสิต,SRT Khlong Rangsit,197,已匹配stops.zone_id
2,铁路,218,218,SRT การเคหะ กม.19;SRT Khan Keha Khomo Sipkao,SRT การเคหะ กม.19,SRT Khan Keha Khomo Sipkao,143,已匹配stops.zone_id
2,铁路,219,219,SRT ม.ธรรมศาสตร์;SRT Thammasat University,SRT ม.ธรรมศาสตร์,SRT Thammasat University,133,已匹配stops.zone_id
2,铁路,220,220,SRT โรงพยาบาลรามาธิบดี;SRT RAMATHIBODI HOSPITAL,SRT โรงพยาบาลรามาธิบดี,SRT RAMATHIBODI HOSPITAL,207,已匹配stops.zone_id
2,铁路,222,222,SRT รังสิต;SRT Rangsit,SRT รังสิต,SRT Rangsit,332,已匹配stops.zone_id
2,铁路,223,223,SRT เชียงราก;SRT Chiang Rak,SRT เชียงราก,SRT Chiang Rak,223,已匹配stops.zone_id
2,铁路,225,225,SRT ยมราช;SRT Yommaraj,SRT ยมราช,SRT Yommaraj,36,已匹配stops.zone_id
2,铁路,226,226,SRT มักกะสัน;SRT Makkasan,SRT มักกะสัน,SRT Makkasan,328,已匹配stops.zone_id
2,铁路,228,228,SRT สามเสน;SRT Sam Sen,SRT สามเสน,SRT Sam Sen,390,已匹配stops.zone_id
2,铁路,229,229,SRT คลองตัน;SRT Khlong Tan,SRT คลองตัน,SRT Khlong Tan,326,已匹配stops.zone_id
2,铁路,230,230,SRT หัวหมาก;SRT Hua Mak,SRT หัวหมาก,SRT Hua Mak,326,已匹配stops.zone_id
2,铁路,231,231,SRT บ้านทับช้าง;SRT Ban Thap Chang,SRT บ้านทับช้าง,SRT Ban Thap Chang,316,已匹配stops.zone_id
2,铁路,232,232,SRT ซอยวัดลานบุญ;SRT Soi Wat Lan Boon,SRT ซอยวัดลานบุญ,SRT Soi Wat Lan Boon,242,已匹配stops.zone_id
2,铁路,233,233,SRT ลาดกระบัง;SRT Lat Krabang,SRT ลาดกระบัง,SRT Lat Krabang,326,已匹配stops.zone_id
2,铁路,234,234,SRT หัวตะเข้;SRT Hua Takhe,SRT หัวตะเข้,SRT Hua Takhe,328,已匹配stops.zone_id
2,铁路,236,236,SRT คลองหลวงแพ่ง;SRT Khlong Luang Phaeng,SRT คลองหลวงแพ่ง,SRT Khlong Luang Phaeng,269,已匹配stops.zone_id
2,铁路,237,237,SRT อุรุพงษ์;SRT Urupong,SRT อุรุพงษ์,SRT Urupong,175,已匹配stops.zone_id
2,铁路,238,238,SRT พญาไท;SRT Phayathai,SRT พญาไท,SRT Phayathai,316,已匹配stops.zone_id
2,铁路,240,240,SRT อโศก;SRT Asoke,SRT อโศก,SRT Asoke,316,已匹配stops.zone_id
