交通类型代码,交通类型中文,agency_id,agency_name,agency_url,agency_timezone,agency_name_泰文,agency_name_英文
3,公交车,997 NK,จี.เอ็น.เค.ที.;997 NK,https://12go.asia/,Asia/Bangkok,จี.เอ็น.เค.ที.,997 NK
3,公交车,999 TWT,999 ธันวาทรานสปอร์ต;999 Thanwa Transport,https://myontour.com/,Asia/Bangkok,999 ธันวาทรานสปอร์ต,999 Thanwa Transport
3,公交车,ACP,แอร์ชัยภูมิ;airchaiyaphum,https://airchaiyaphum.com/,Asia/Bangkok,แอร์ชัยภูมิ,airchaiyaphum
3,公交车,AKP,แอร์โคราชพัฒนา ;Airkorat,http://www.airkorat.com/,Asia/Bangkok,แอร์โคราชพัฒนา,Airkorat
3,公交车,AML,แอร์เมืองเลย;airmuangloei,https://airmuangloei.com/th-th,Asia/Bangkok,แอร์เมืองเลย,airmuangloei
3,公交车,APT,แอร์ประหยัดทัวร์;Air Prayat Tours,https://myontour.com/Bus-schedule/airprayattour/?utm_source=chatgpt.com,Asia/Bangkok,แอร์ประหยัดทัวร์,Air Prayat Tours
3,公交车,ARU,แอร์อุบล;Air Ubon,https://www.bus-th.com/,Asia/Bangkok,แอร์อุบล,Air Ubon
3,公交车,BC,"สหกรณ์รถยนต์โดยสารระนอง จำกัด;Bus Cooperative,.Ltd",https://web.cpd.go.th/ranong/index.php/data/2017-05-26-07-12-43,Asia/Bangkok,สหกรณ์รถยนต์โดยสารระนอง จำกัด,"Bus Cooperative,.Ltd"
3,公交车,BKB,บางกอกบัสไลน์;bangkokbusline,https://www.bangkokbusline.co.th/,Asia/Bangkok,บางกอกบัสไลน์,bangkokbusline
3,公交车,BMA,กรุงเทพมหานคร;Bangkok Metropolitan Administration,http://www.bangkok.go.th,Asia/Bangkok,กรุงเทพมหานคร,Bangkok Metropolitan Administration
3,公交车,BMTA,องค์การขนส่งมวลชนกรุงเทพ (ขสมก.);Bangkok Mass Transit Authority,http://www.bmta.co.th/?q=home,Asia/Bangkok,องค์การขนส่งมวลชนกรุงเทพ (ขสมก.),Bangkok Mass Transit Authority
3,公交车,BST,บางสะพานทัวร์;Bang Saphan Tour,https://www.busonlineticket.co.th/,Asia/Bangkok,บางสะพานทัวร์,Bang Saphan Tour
3,公交车,BT,บุษราคัมทัวร์;Busarakam Tour,https://booking.busandvan.com/,Asia/Bangkok,บุษราคัมทัวร์,Busarakam Tour
3,公交车,BTK,"บ.กรุงเทพธนาคม;The Krungthep Thanakom Co.,Ltd",http://www.thanakom.co.th/thanakom/,Asia/Bangkok,บ.กรุงเทพธนาคม,"The Krungthep Thanakom Co.,Ltd"
3,公交车,BUS524 ,บริษัท บางกอกยูเนียนเซอร์วิส 524 จำกัด;BANGKOK UNION SERVICE 524 COMPANY LIMITED,https://www.dataforthai.com/company/0105550084006/,Asia/Bangkok,บริษัท บางกอกยูเนียนเซอร์วิส 524 จำกัด,BANGKOK UNION SERVICE 524 COMPANY LIMITED
3,公交车,CCT,เชิดชัยทัวร์;Cherdchai Tour,https://www.cherdchaitour.com/th-th,Asia/Bangkok,เชิดชัยทัวร์,Cherdchai Tour
3,公交车,CCT,โชคเจริญชัย ทรานสปอร์ต;Chokcharoenchai Transport,https://www.facebook.com/people/,Asia/Bangkok,โชคเจริญชัย ทรานสปอร์ต,Chokcharoenchai Transport
3,公交车,CDT,จันทร์แดง ทรานสปอร์ต;Chan Daeng Transport,https://www.facebook.com/CDT.LP/?locale=th_TH,Asia/Bangkok,จันทร์แดง ทรานสปอร์ต,Chan Daeng Transport
3,公交车,CNT,ชาญทัวร์;Chan Tour,https://www.chantour.co.th/th-th,Asia/Bangkok,ชาญทัวร์,Chan Tour
3,公交车,CPT,ชุมแพทัวร์;Chum Phae Tour,https://www.busonlineticket.co.th,Asia/Bangkok,ชุมแพทัวร์,Chum Phae Tour
3,公交车,CUT,ชฎาอุทัยธานีทัวร์;CHADA UTHAITHANI TOUR LIMITED PARTNERSHIP,https://www.facebook.com/profile.php?id=100068116491603,Asia/Bangkok,ชฎาอุทัยธานีทัวร์,CHADA UTHAITHANI TOUR LIMITED PARTNERSHIP
3,公交车,DLT,กรมการขนส่งทางบก;Department of Land Transport,https://www.dlt.go.th,Asia/Bangkok,กรมการขนส่งทางบก,Department of Land Transport
3,公交车,GMT,อาม่าทัวร์;Grandma Tour,https://bus-ticket24hr.com/,Asia/Bangkok,อาม่าทัวร์,Grandma Tour
3,公交车,GOF,จีโอ แฟมิลี่;GO Family,https://www.busx.com/th-th/provider/gofamily,Asia/Bangkok,จีโอ แฟมิลี่,GO Family
3,公交车,HIN,สวัสดีอีสาน;Hello Isaan,https://www.bus4booking.com/,Asia/Bangkok,สวัสดีอีสาน,Hello Isaan
3,公交车,HPT,หัวหิน-ปราณทัวร์;Hua Hin Pran Tour,https://www.facebook.com/HPTminibus/,Asia/Bangkok,หัวหิน-ปราณทัวร์,Hua Hin Pran Tour
3,公交车,JJR,เจเจอาร์ ทราเวล;JJR Travel,https://www.busonlineticket.co.th,Asia/Bangkok,เจเจอาร์ ทราเวล,JJR Travel
