交通类型代码,交通类型中文,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_long_name_泰文,route_long_name_英文,中文展示名,中文名状态,中文名依据URL
3,公交车,179,BTK,BRT,รถโดยสารประจำทางด่วนพิเศษ;Bus Rapid Transit,รถโดยสารประจำทางด่วนพิเศษ รถโดยสารประจำทางด่วนพิเศษ;Bus Rapid Transit Bus Rapid Transit,3,009900,รถโดยสารประจำทางด่วนพิเศษ,Bus Rapid Transit,,未提供中文；保留泰文/英文原名,
3,公交车,258,BMTA,3-12E (102),แพรกษาบ่อดิน - เซ็นทรัลพระราม 3 (ทางด่วน);Praeksa Bodin - Central RAMA 3 (expressway),รถโดยสารประจำทาง ขสมก รถปรับอากาศ มาตรฐาน 2 ยูโรทู/เทียบเท่า;Bangkok Mass Transit Authority Air Condition Stadard 2 EURO II,3,fe9a2e,แพรกษาบ่อดิน - เซ็นทรัลพระราม 3 (ทางด่วน),Praeksa Bodin - Central RAMA 3 (expressway),,未提供中文；保留泰文/英文原名,
3,公交车,264,BMTA,1-12E (107),บางเขน - คลองเตย (ทางด่วน);Bangkhen - Klong Toey (Expressway),รถโดยสารประจำทาง ขสมก รถธรรมดา มาตรฐาน 3;Bangkok Mass Transit Authority Ordinary Standard 3,3,ff0000,บางเขน - คลองเตย (ทางด่วน),Bangkhen - Klong Toey (Expressway),,未提供中文；保留泰文/英文原名,
3,公交车,272,BMTA,4-20 (111),วงกลมเจริญนคร - ตลาดพลู;Circle Charoen Nakhon - Talad Phlu,รถโดยสารประจำทาง ขสมก รถธรรมดา มาตรฐาน 3;Bangkok Mass Transit Authority Ordinary Standard 3,3,ff0000,วงกลมเจริญนคร - ตลาดพลู,Circle Charoen Nakhon - Talad Phlu,,未提供中文；保留泰文/英文原名,
3,公交车,275,BMTA,1-21 (114),รังสิต - นครอินทร์; Rangsit -  Nakhon In,รถโดยสารประจำทาง ขสมก รถปรับอากาศ มาตรฐาน 2 ยูโรทู/เทียบเท่า;Bangkok Mass Transit Authority Air Condition Stadard 2 EURO II,3,fe9a2e,รังสิต - นครอินทร์,Rangsit -  Nakhon In,,未提供中文；保留泰文/英文原名,
3,公交车,288,TSB,1-13 (126),ศูนย์ราชการฯ แจ้งวัฒนะ - คลองตัน; Government Complex - Klong Tun,รถโดยสาร TSB รถปรับอากาศ;Bus TSB Air Condition,3,063970,ศูนย์ราชการฯ แจ้งวัฒนะ - คลองตัน,Government Complex - Klong Tun,,未提供中文；保留泰文/英文原名,
3,公交车,291,BMTA,1-14E,บางเขน - สำโรง (ทางด่วน);Samrong - Bangkhen,รถโดยสารประจำทาง ขสมก รถปรับอากาศ มาตรฐาน 2 ยูโรทู/เทียบเท่า;Bangkok Mass Transit Authority Air Condition Stadard 2 EURO II,3,fe9a2e,บางเขน - สำโรง (ทางด่วน),Samrong - Bangkhen,,未提供中文；保留泰文/英文原名,
3,公交车,292,BMTA,1-14E,บางเขน - สำโรง (ทางด่วน);Samrong - Bangkhen,รถโดยสารประจำทาง ขสมก รถธรรมดา มาตรฐาน 3;Bangkok Mass Transit Authority Ordinary Standard 3,3,ff0000,บางเขน - สำโรง (ทางด่วน),Samrong - Bangkhen,,未提供中文；保留泰文/英文原名,
3,公交车,293,BMTA,3-38 (13),คลองเตย - ห้วยขวาง - ปัฐวิกรณ์;Klong Toey - Huai Kwang - Patthavikon,รถโดยสารประจำทาง ขสมก รถธรรมดา มาตรฐาน 3;Bangkok Mass Transit Authority Ordinary Standard 3,3,ff0000,คลองเตย - ห้วยขวาง - ปัฐวิกรณ์,Klong Toey - Huai Kwang - Patthavikon,,未提供中文；保留泰文/英文原名,
3,公交车,301,BMTA,3-47 (136),หมอชิต 2 - คลองเตย;Mochit 2 - Klongtoey,รถโดยสารประจำทาง ขสมก รถธรรมดา มาตรฐาน 3;Bangkok Mass Transit Authority Ordinary Standard 3,3,ff0000,หมอชิต 2 - คลองเตย,Mochit 2 - Klongtoey,,未提供中文；保留泰文/英文原名,
3,公交车,302,BMTA,3-48 (137),วงกลมรัชดาภิเษก - รามคำแหง (วนซ้าย);CircleRatchadapisek - Ramkhamhaeng,รถโดยสารประจำทาง ขสมก รถปรับอากาศ มาตรฐาน 2 ยูโรทู/เทียบเท่า;Bangkok Mass Transit Authority Air Condition Stadard 2 EURO II,3,fe9a2e,วงกลมรัชดาภิเษก - รามคำแหง (วนซ้าย),CircleRatchadapisek - Ramkhamhaeng,,未提供中文；保留泰文/英文原名,
3,公交车,312,BMTA,3-17E (142),ฟาร์มจระเข้สมุทรปราการ - อู่แสมดำ (ทางด่วน);Samut Prakan Crocodile Farm - Samaedam (expressway),รถโดยสารประจำทาง ขสมก รถปรับอากาศ มาตรฐาน 2 ยูโรทู/เทียบเท่า;Bangkok Mass Transit Authority Air Condition Stadard 2 EURO II,3,fe9a2e,ฟาร์มจระเข้สมุทรปราการ - อู่แสมดำ (ทางด่วน),Samut Prakan Crocodile Farm - Samaedam (expressway),,未提供中文；保留泰文/英文原名,
3,公交车,317,BMTA,3-18 (145),แพรกษาบ่อดิน - หมอชิต 2;Praksa-Bodin - Mochit 2,รถโดยสารประจำทาง ขสมก รถธรรมดา มาตรฐาน 3 (พิเศษ);Bangkok Mass Transit Authority Ordinary Standard 3 (special),3,ff0000,แพรกษาบ่อดิน - หมอชิต 2,Praksa-Bodin - Mochit 2,,未提供中文；保留泰文/英文原名,
3,公交车,323,TSB,1-15 (150),ปากเกร็ด - มีนบุรี;Pak Kret - Minburi,รถโดยสาร TSB รถปรับอากาศ;Bus TSB Air Condition,3,063970,ปากเกร็ด - มีนบุรี,Pak Kret - Minburi,,未提供中文；保留泰文/英文原名,
3,公交车,325,BMTA,2-49 (156L) ,วงกลมอู่ใต้ทางด่วนรามอินทรา - ลาดพร้าว 71 (วนซ้าย);CircleRamintra - Ladprao 71,รถโดยสารประจำทาง ขสมก รถธรรมดา มาตรฐาน 3;Bangkok Mass Transit Authority Ordinary Standard 3,3,ff0000,วงกลมอู่ใต้ทางด่วนรามอินทรา - ลาดพร้าว 71 (วนซ้าย),CircleRamintra - Ladprao 71,,未提供中文；保留泰文/英文原名,
3,公交车,330,BMTA,2-21E (166),เมืองทองธานี - อนุสาวรีย์ชัยสมรภูมิ (ทางด่วน);Muangthong Thani - Victory Monument (Expressway),รถโดยสารประจำทาง ขสมก รถปรับอากาศ;Bangkok Mass Transit Authority Air Condition,3,0000e6,เมืองทองธานี - อนุสาวรีย์ชัยสมรภูมิ (ทางด่วน),Muangthong Thani - Victory Monument (Expressway),,未提供中文；保留泰文/英文原名,
