交通类型代码,交通类型中文,stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding,stop_name_泰文,stop_name_英文,分类依据
3,公交车,199,BRT ราชพฤกษ์;BRT Ratchapruek,13.715902131,100.478926526,199,1,BRT ราชพฤกษ์,BRT Ratchapruek,stop_times停靠
3,公交车,200,BRT สะพานพระราม3;BRT Rama III Bridge,13.6939551776,100.500069221,200,1,BRT สะพานพระราม3,BRT Rama III Bridge,stop_times停靠
3,公交车,201,BRT เจริญราฎร์;BRT Charoenrat,13.6902799873,100.50421344,201,1,BRT เจริญราฎร์,BRT Charoenrat,stop_times停靠
3,公交车,202,BRT สะพานพระราม9;BRT Rama IX Bridge,13.6882374673,100.515434299,202,1,BRT สะพานพระราม9,BRT Rama IX Bridge,stop_times停靠
3,公交车,203,BRT วัดดอกไม้;BRT Wat Dokmai,13.6823873492,100.525425504,203,1,BRT วัดดอกไม้,BRT Wat Dokmai,stop_times停靠
3,公交车,204,BRT วัดปริวาส;BRT Wat Pariwat,13.6747568246,100.534200447,204,1,BRT วัดปริวาส,BRT Wat Pariwat,stop_times停靠
3,公交车,205,BRT วัดด่าน;BRT Wat Dan,13.674227731,100.543133839,205,1,BRT วัดด่าน,BRT Wat Dan,stop_times停靠
3,公交车,206,BRT นราราม3;BRT Nararam 3,13.6964483025,100.545280109,206,1,BRT นราราม3,BRT Nararam 3,stop_times停靠
3,公交车,207,BRT ถนนจันทน์;BRT Thanon Chan,13.7047908647,100.538943111,207,1,BRT ถนนจันทน์,BRT Thanon Chan,stop_times停靠
3,公交车,208,BRT เทคนิคกรุงเทพ;BRT Technic Krungthep,13.7124528838,100.535013352,208,1,BRT เทคนิคกรุงเทพ,BRT Technic Krungthep,stop_times停靠
3,公交车,209,BRT อาคารสงเคราะห์;BRT Arkan Songkhro,13.7173126343,100.532578749,209,1,BRT อาคารสงเคราะห์,BRT Arkan Songkhro,stop_times停靠
3,公交车,210,BRT สาทร;BRT Sathorn,13.7213758185,100.530511694,210,1,BRT สาทร,BRT Sathorn,stop_times停靠
3,公交车,363,สวนสราญรมย์;Saranrom Park,13.747348395,100.49568857,363,1,สวนสราญรมย์,Saranrom Park,stop_times停靠＋fare_rules票价区域
3,公交车,364,วังบูรพา;Wangburapa,13.745495021459721,100.50270545108776,364,1,วังบูรพา,Wangburapa,stop_times停靠＋fare_rules票价区域
3,公交车,365,วัดช่องลม;Wat Chong Lom,13.70277726286405,100.5459500069469,365,1,วัดช่องลม,Wat Chong Lom,stop_times停靠＋fare_rules票价区域
3,公交车,366,ม.เซนต์จอห์น;Saint John's University,13.809688036,100.56005139,366,1,ม.เซนต์จอห์น,Saint John's University,stop_times停靠＋fare_rules票价区域
3,公交车,367,รพ.เด็ก;Children Hospital,13.7662147902218,100.53515824,367,1,รพ.เด็ก,Children Hospital,stop_times停靠＋fare_rules票价区域
3,公交车,368,คริสตจักรสะพานเหลือง;Saphan Lueng Church,13.734842764607093,100.52334211196532,368,1,คริสตจักรสะพานเหลือง,Saphan Lueng Church,stop_times停靠＋fare_rules票价区域
3,公交车,369,ซอยรามคำแหง 43/1;Ramkhamhaeng Road Soi 43/1,13.758973753,100.61699747,369,1,ซอยรามคำแหง 43/1,Ramkhamhaeng Road Soi 43/1,stop_times停靠
3,公交车,370,ตรงข้ามซอยศูนย์วิจัย;Opposite Soi Soonvijai,13.744841422,100.58374944,370,1,ตรงข้ามซอยศูนย์วิจัย,Opposite Soi Soonvijai,stop_times停靠＋fare_rules票价区域
3,公交车,371,โลตัสพัฒนาการ;Lotus's Phatthanakan,13.7363953359832,100.635599332381,371,1,โลตัสพัฒนาการ,Lotus's Phatthanakan,stop_times停靠＋fare_rules票价区域
3,公交车,372,ตรงข้ามท่าน้ำเป๊ปซี่;Opposite Pepsi Pier,13.720175148,100.50865965,372,1,ตรงข้ามท่าน้ำเป๊ปซี่,Opposite Pepsi Pier,stop_times停靠＋fare_rules票价区域
3,公交车,373,ลิตเติ้ลวอล์ค รามคำแหง;Littlewalk Ramkhamhaeng,13.774671526753,100.668899751261,373,1,ลิตเติ้ลวอล์ค รามคำแหง,Littlewalk Ramkhamhaeng,stop_times停靠＋fare_rules票价区域
3,公交车,374,กองบัญชาการกองทัพอากาศ;Royal Thai Air Force,13.9222539532288,100.624064314184,374,1,กองบัญชาการกองทัพอากาศ,Royal Thai Air Force,stop_times停靠＋fare_rules票价区域
3,公交车,375,ตรงข้าม รพ.เลิดสิน;Lerdsin Hospital (Opposite),13.7226987076588,100.517574444314,375,1,ตรงข้าม รพ.เลิดสิน,Lerdsin Hospital (Opposite),stop_times停靠＋fare_rules票价区域
3,公交车,376,ตรงข้ามแฟชั่นไอส์แลนด์;Fashion Island (Opposite),13.825011560586491,100.67635730631633,376,1,ตรงข้ามแฟชั่นไอส์แลนด์,Fashion Island (Opposite),stop_times停靠＋fare_rules票价区域
3,公交车,377,กรมช่างอากาศ;Directorate of Aeronautical Engineering,13.793348642102561,100.53090455673673,377,1,กรมช่างอากาศ,Directorate of Aeronautical Engineering,stop_times停靠＋fare_rules票价区域
3,公交车,378,ตรงข้ามโรงแรมสุดาพาเลซ;Opposite Suda Palace Hotel,13.788984341,100.55073371,378,1,ตรงข้ามโรงแรมสุดาพาเลซ,Opposite Suda Palace Hotel,stop_times停靠＋fare_rules票价区域
