交通类型代码,交通类型中文,route_id,stop_id,最小stop_sequence,最大stop_sequence,经过行程数
3,公交车,1076,1037,6,6,2
3,公交车,1076,11946,12,12,2
3,公交车,1076,2696,3,3,2
3,公交车,1076,2697,4,4,2
3,公交车,1076,2698,7,7,2
3,公交车,1076,2699,8,8,2
3,公交车,1076,2700,9,9,2
3,公交车,1076,2701,10,10,2
3,公交车,1076,2702,11,11,2
3,公交车,1076,4349,5,5,2
3,公交车,1076,7458,2,2,2
3,公交车,1076,7459,1,1,2
3,公交车,1077,1456,3,3,2
3,公交车,1077,2023,7,7,2
3,公交车,1077,2475,2,2,2
3,公交车,1077,2478,9,9,2
3,公交车,1077,2480,10,10,2
3,公交车,1077,2481,11,11,2
3,公交车,1077,2482,12,12,2
3,公交车,1077,2483,13,13,2
3,公交车,1077,2484,14,14,2
3,公交车,1077,2485,15,15,2
3,公交车,1077,2486,16,16,2
3,公交车,1077,2487,17,17,2
3,公交车,1077,2488,18,18,2
3,公交车,1077,2489,19,19,2
3,公交车,1077,2490,20,20,2
3,公交车,1077,2491,21,21,2
3,公交车,1077,2492,22,22,2
3,公交车,1077,2493,23,23,2
3,公交车,1077,2494,24,24,2
3,公交车,1077,2495,25,25,2
3,公交车,1077,2496,26,26,2
3,公交车,1077,2497,27,27,2
3,公交车,1077,2498,28,28,2
3,公交车,1077,388,4,4,2
3,公交车,1077,4614,5,5,2
3,公交车,1077,4615,6,6,2
3,公交车,1077,4672,1,1,2
3,公交车,1077,493,8,8,2
3,公交车,1078,2700,4,4,2
3,公交车,1078,2701,5,5,2
3,公交车,1078,2702,6,6,2
3,公交车,1078,2705,2,2,2
3,公交车,1078,2706,3,3,2
3,公交车,1078,393,8,8,2
3,公交车,1078,4154,1,1,2
3,公交车,1078,4753,7,7,2
3,公交车,1079,3926,3,3,2
3,公交车,1079,3984,2,2,2
3,公交车,1079,4154,7,7,2
3,公交车,1079,4155,4,4,2
3,公交车,1079,4156,5,5,2
3,公交车,1079,4157,6,6,2
3,公交车,1079,7507,1,1,2
3,公交车,1080,10288,20,20,2
3,公交车,1080,10289,21,21,2
3,公交车,1080,12563,31,31,2
3,公交车,1080,12565,32,32,2
3,公交车,1080,12571,33,33,2
3,公交车,1080,12572,34,34,2
3,公交车,1080,12574,35,35,2
3,公交车,1080,12622,37,37,2
3,公交车,1080,12625,36,36,2
3,公交车,1080,1263,38,38,2
3,公交车,1080,12636,22,22,2
3,公交车,1080,12639,23,23,2
3,公交车,1080,12642,25,25,2
3,公交车,1080,12643,24,24,2
3,公交车,1080,12647,27,27,2
3,公交车,1080,12650,28,28,2
3,公交车,1080,12653,26,26,2
3,公交车,1080,12663,29,29,2
3,公交车,1080,12665,30,30,2
3,公交车,1080,12895,49,49,2
3,公交车,1080,1317,12,12,2
3,公交车,1080,1318,13,13,2
3,公交车,1080,1319,14,14,2
3,公交车,1080,1320,15,15,2
3,公交车,1080,1321,16,16,2
3,公交车,1080,1322,17,17,2
3,公交车,1080,1323,18,18,2
3,公交车,1080,1324,19,19,2
3,公交车,1080,2628,1,1,2
3,公交车,1080,2629,2,2,2
3,公交车,1080,3840,3,3,2
3,公交车,1080,3841,4,4,2
3,公交车,1080,3842,5,5,2
3,公交车,1080,3843,6,6,2
3,公交车,1080,3844,7,7,2
3,公交车,1080,3845,8,8,2
3,公交车,1080,3846,9,9,2
3,公交车,1080,3847,10,10,2
3,公交车,1080,3848,11,11,2
3,公交车,1080,409,40,40,2
3,公交车,1080,4184,43,43,2
3,公交车,1080,843,44,44,2
3,公交车,1080,844,45,45,2
3,公交车,1080,845,46,46,2
3,公交车,1080,846,47,47,2
3,公交车,1080,847,48,48,2
3,公交车,1080,909,39,39,2
3,公交车,1080,910,41,41,2
3,公交车,1080,911,42,42,2
3,公交车,1081,10290,46,46,2
3,公交车,1081,12564,33,33,2
3,公交车,1081,12566,32,32,2
3,公交车,1081,12569,30,30,2
3,公交车,1081,12570,31,31,2
3,公交车,1081,12573,29,29,2
3,公交车,1081,12589,22,22,2
3,公交车,1081,12612,23,23,2
3,公交车,1081,12614,24,24,2
3,公交车,1081,12617,25,25,2
3,公交车,1081,12619,27,27,2
3,公交车,1081,12623,26,26,2
3,公交车,1081,12624,28,28,2
3,公交车,1081,12638,45,45,2
3,公交车,1081,12640,44,44,2
3,公交车,1081,12641,43,43,2
3,公交车,1081,12645,41,41,2
3,公交车,1081,12646,40,40,2
3,公交车,1081,12648,38,38,2
3,公交车,1081,12649,39,39,2
3,公交车,1081,12652,42,42,2
3,公交车,1081,12661,36,36,2
3,公交车,1081,12662,37,37,2
3,公交车,1081,12664,35,35,2
3,公交车,1081,12666,34,34,2
3,公交车,1081,12896,1,1,2
3,公交车,1081,1310,47,47,2
3,公交车,1081,1311,48,48,2
3,公交车,1081,1312,49,49,2
3,公交车,1081,1313,50,50,2
3,公交车,1081,1314,51,51,2
3,公交车,1081,1315,52,52,2
3,公交车,1081,1316,53,53,2
3,公交车,1081,2633,68,68,2
3,公交车,1081,2634,69,69,2
3,公交车,1081,2635,70,70,2
3,公交车,1081,3778,55,55,2
3,公交车,1081,3779,56,56,2
3,公交车,1081,3780,57,57,2
3,公交车,1081,3781,58,58,2
3,公交车,1081,3782,59,59,2
3,公交车,1081,3783,60,60,2
3,公交车,1081,3784,61,61,2
3,公交车,1081,3785,62,62,2
3,公交车,1081,3786,63,63,2
3,公交车,1081,3787,64,64,2
3,公交车,1081,3788,65,65,2
3,公交车,1081,3789,66,66,2
3,公交车,1081,416,54,54,2
3,公交车,1081,4185,20,20,2
3,公交车,1081,4698,12,12,2
3,公交车,1081,4957,17,17,2
3,公交车,1081,5353,18,18,2
3,公交车,1081,5475,67,67,2
3,公交车,1081,836,3,3,2
3,公交车,1081,837,4,4,2
3,公交车,1081,838,6,6,2
3,公交车,1081,839,7,7,2
3,公交车,1081,878,2,2,2
3,公交车,1081,879,5,5,2
