交通类型代码,交通类型中文,service_id,date,exception_type
3,公交车,1,20260101,2
3,公交车,1,20260102,2
3,公交车,1,20260303,2
3,公交车,1,20260406,2
3,公交车,1,20260413,2
3,公交车,1,20260414,2
3,公交车,1,20260415,2
3,公交车,1,20260501,2
3,公交车,1,20260504,2
3,公交车,1,20260531,2
3,公交车,1,20260603,2
3,公交车,1,20260728,2
3,公交车,1,20260729,2
3,公交车,1,20260730,2
3,公交车,1,20260812,2
3,公交车,1,20261013,2
3,公交车,1,20261023,2
3,公交车,1,20261205,2
3,公交车,1,20261207,2
3,公交车,1,20261210,2
3,公交车,1,20261231,2
3,公交车,2,20260101,1
3,公交车,2,20260102,1
3,公交车,2,20260303,1
3,公交车,2,20260406,1
3,公交车,2,20260413,1
3,公交车,2,20260414,1
3,公交车,2,20260415,1
3,公交车,2,20260501,1
3,公交车,2,20260504,1
3,公交车,2,20260531,1
3,公交车,2,20260603,1
3,公交车,2,20260728,1
3,公交车,2,20260729,1
3,公交车,2,20260730,1
3,公交车,2,20260812,1
3,公交车,2,20261013,1
3,公交车,2,20261023,1
3,公交车,2,20261205,1
3,公交车,2,20261207,1
3,公交车,2,20261210,1
3,公交车,2,20261231,1
