交通类型代码,交通类型中文,zone_id,stop_id,stop_name,stop_name_泰文,stop_name_英文,票价规则引用次数,映射状态
3,公交车,363,363,สวนสราญรมย์;Saranrom Park,สวนสราญรมย์,Saranrom Park,634,已匹配stops.zone_id
3,公交车,364,364,วังบูรพา;Wangburapa,วังบูรพา,Wangburapa,399,已匹配stops.zone_id
3,公交车,365,365,วัดช่องลม;Wat Chong Lom,วัดช่องลม,Wat Chong Lom,92,已匹配stops.zone_id
3,公交车,366,366,ม.เซนต์จอห์น;Saint John's University,ม.เซนต์จอห์น,Saint John's University,357,已匹配stops.zone_id
3,公交车,367,367,รพ.เด็ก;Children Hospital,รพ.เด็ก,Children Hospital,973,已匹配stops.zone_id
3,公交车,368,368,คริสตจักรสะพานเหลือง;Saphan Lueng Church,คริสตจักรสะพานเหลือง,Saphan Lueng Church,775,已匹配stops.zone_id
3,公交车,370,370,ตรงข้ามซอยศูนย์วิจัย;Opposite Soi Soonvijai,ตรงข้ามซอยศูนย์วิจัย,Opposite Soi Soonvijai,873,已匹配stops.zone_id
3,公交车,371,371,โลตัสพัฒนาการ;Lotus's Phatthanakan,โลตัสพัฒนาการ,Lotus's Phatthanakan,484,已匹配stops.zone_id
3,公交车,372,372,ตรงข้ามท่าน้ำเป๊ปซี่;Opposite Pepsi Pier,ตรงข้ามท่าน้ำเป๊ปซี่,Opposite Pepsi Pier,373,已匹配stops.zone_id
3,公交车,373,373,ลิตเติ้ลวอล์ค รามคำแหง;Littlewalk Ramkhamhaeng,ลิตเติ้ลวอล์ค รามคำแหง,Littlewalk Ramkhamhaeng,795,已匹配stops.zone_id
3,公交车,374,374,กองบัญชาการกองทัพอากาศ;Royal Thai Air Force,กองบัญชาการกองทัพอากาศ,Royal Thai Air Force,566,已匹配stops.zone_id
3,公交车,375,375,ตรงข้าม รพ.เลิดสิน;Lerdsin Hospital (Opposite),ตรงข้าม รพ.เลิดสิน,Lerdsin Hospital (Opposite),387,已匹配stops.zone_id
3,公交车,376,376,ตรงข้ามแฟชั่นไอส์แลนด์;Fashion Island (Opposite),ตรงข้ามแฟชั่นไอส์แลนด์,Fashion Island (Opposite),833,已匹配stops.zone_id
3,公交车,377,377,กรมช่างอากาศ;Directorate of Aeronautical Engineering,กรมช่างอากาศ,Directorate of Aeronautical Engineering,303,已匹配stops.zone_id
3,公交车,378,378,ตรงข้ามโรงแรมสุดาพาเลซ;Opposite Suda Palace Hotel,ตรงข้ามโรงแรมสุดาพาเลซ,Opposite Suda Palace Hotel,62,已匹配stops.zone_id
3,公交车,379,379,สวนเจ้าเชตุ;Suan Chao Chet,สวนเจ้าเชตุ,Suan Chao Chet,149,已匹配stops.zone_id
3,公交车,380,380,ซอยเอกชัย 46;Soi Ekkachai 46,ซอยเอกชัย 46,Soi Ekkachai 46,134,已匹配stops.zone_id
3,公交车,382,382,ตรงข้ามไปรษณีย์ลาดพร้าว;Post Office Lat Phrao (Opposite),ตรงข้ามไปรษณีย์ลาดพร้าว,Post Office Lat Phrao (Opposite),916,已匹配stops.zone_id
3,公交车,383,383,ก่อนแยกหมู่บ้านเศรษฐกิจ;Before Setthakit Village Junction,ก่อนแยกหมู่บ้านเศรษฐกิจ,Before Setthakit Village Junction,861,已匹配stops.zone_id
3,公交车,384,384,เซ็นทรัลปิ่นเกล้า;Central Pinklao,เซ็นทรัลปิ่นเกล้า,Central Pinklao,1093,已匹配stops.zone_id
3,公交车,385,385,วัดอ้อมน้อย;Wat Om Noi,วัดอ้อมน้อย,Wat Om Noi,51,已匹配stops.zone_id
3,公交车,386,386,ธรรมสภา;Thammasapa,ธรรมสภา,Thammasapa,315,已匹配stops.zone_id
3,公交车,387,387,ตรงข้าม รพ.ศิริราช;Siriraj Hospital (Opposite),ตรงข้าม รพ.ศิริราช,Siriraj Hospital (Opposite),438,已匹配stops.zone_id
3,公交车,388,388,สน.มีนบุรี;Minburi Police Station,สน.มีนบุรี,Minburi Police Station,717,已匹配stops.zone_id
3,公交车,390,390,ซอยวิลาลัย;Soi Wilalai,ซอยวิลาลัย,Soi Wilalai,324,已匹配stops.zone_id
3,公交车,391,391,ตรงข้ามซอยวัดสมรโกฎิ;Opposite Soi Wat Samon Kot,ตรงข้ามซอยวัดสมรโกฎิ,Opposite Soi Wat Samon Kot,354,已匹配stops.zone_id
3,公交车,392,392,ตรงข้ามโรงเรียนเตรียมอุดมศึกษาน้อมเกล้า กุนนที;Opposite Triam Udom Suksa Nomklao Kunnatee School,ตรงข้ามโรงเรียนเตรียมอุดมศึกษาน้อมเกล้า กุนนที,Opposite Triam Udom Suksa Nomklao Kunnatee School,708,已匹配stops.zone_id
3,公交车,393,393,แยกประชาอุทิศ;Pracha Uthit Intersection,แยกประชาอุทิศ,Pracha Uthit Intersection,706,已匹配stops.zone_id
