交通类型代码,交通类型中文,agency_id,agency_name,agency_url,agency_timezone,agency_name_泰文,agency_name_英文
4,轮渡,AS,บริษัท อริษา สปีดโบ๊ท จำกัด;Arisa Speedboat,https://www.facebook.com/Ruaengwit/?locale=th_TH,Asia/Bangkok,บริษัท อริษา สปีดโบ๊ท จำกัด,Arisa Speedboat
4,轮渡,AT,บริษัท อ่าวนาง เทรเวล จำกัด;Aonang Travel,https://www.aonangtravel.co.th/th,Asia/Bangkok,บริษัท อ่าวนาง เทรเวล จำกัด,Aonang Travel
4,轮渡,AWM,บริษัท อันดามัน เวฟ มาสเตอร์ จำกัด;andaman wave master,https://www.andamanwavemaster.com/,Asia/Bangkok,บริษัท อันดามัน เวฟ มาสเตอร์ จำกัด,andaman wave master
4,轮渡,BS,บริษัท บันดาหยา จำกัด;Bundhaya speed boat,https://www.bundhayaspeedboat.com/,Asia/Bangkok,บริษัท บันดาหยา จำกัด,Bundhaya speed boat
4,轮渡,BTK,"บ.กรุงเทพธนาคม;The Krungthep Thanakom Co.,Ltd",http://www.thanakom.co.th/thanakom/,Asia/Bangkok,บ.กรุงเทพธนาคม,"The Krungthep Thanakom Co.,Ltd"
4,轮渡,CG,บริษัท ชาวเกาะ กรุ๊ป จำกัด;Chaokoh Group,https://www.chaokohferry.com/,Asia/Bangkok,บริษัท ชาวเกาะ กรุ๊ป จำกัด,Chaokoh Group
4,轮渡,CPL,บริษัท ชาวเกาะ ลอร์ด จำกัด; Chaokoh PhiPhi Lodge,-,Asia/Bangkok,บริษัท ชาวเกาะ ลอร์ด จำกัด,Chaokoh PhiPhi Lodge
4,轮渡,CT,บริษัท ชูเรียง จำกัด;Chureang Travel,https://chureangtravel.com/,Asia/Bangkok,บริษัท ชูเรียง จำกัด,Chureang Travel
4,轮渡,FT,บ.ครอบครัวขนส่ง;Family transport company,http://www.md.go.th,Asia/Bangkok,บ.ครอบครัวขนส่ง,Family transport company
4,轮渡,KS,บริษัท ขนิษฐา สปีดโบ๊ท จำกัด;Kanichta Speedboat,https://www.kanichtaspeedboat.com/,Asia/Bangkok,บริษัท ขนิษฐา สปีดโบ๊ท จำกัด,Kanichta Speedboat
4,轮渡,LS,บริษัท ลันตาซุปเปอร์คอนคอร์ด;Lanta Superconcord,-,Asia/Bangkok,บริษัท ลันตาซุปเปอร์คอนคอร์ด,Lanta Superconcord
4,轮渡,LTP,บริษัท ลันตา เพชรไพลิน จำกัด;Lanta Petpailin,-,Asia/Bangkok,บริษัท ลันตา เพชรไพลิน จำกัด,Lanta Petpailin
4,轮渡,PPC,บริษัท พีพี ครุยเซอร์ จำกัด;Phi Phi Cruiser,http://www.phiphi-cruisers.com,Asia/Bangkok,บริษัท พีพี ครุยเซอร์ จำกัด,Phi Phi Cruiser
4,轮渡,PPCS,บริษัท พีพี คาบาน่า สปีดโบ๊ท จำกัด;Phiphi Cabana Speed Boat ,https://www.facebook.com/p/Phiphi-Cabana-Speed-Boat-100083349968256/,Asia/Bangkok,บริษัท พีพี คาบาน่า สปีดโบ๊ท จำกัด,Phiphi Cabana Speed Boat
4,轮渡,PPCT,บริษัท พีพี ชูกิจ ทองเกิด จำกัด;PP. Chookit Thongkerd,-,Asia/Bangkok,บริษัท พีพี ชูกิจ ทองเกิด จำกัด,PP. Chookit Thongkerd
