交通类型代码,交通类型中文,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_long_name_泰文,route_long_name_英文,中文展示名,中文名状态,中文名依据URL
4,轮渡,180,ST,เรือด่วนธงเขียวเหลือง,เรือด่วนธงเขียวเหลือง;Yellow Green  line,เรือด่วนเจ้าพระยา เรือด่วนสายสีเขียว;Chao Phraya Express Boat Green line,4,00b300,เรือด่วนธงเขียวเหลือง,Yellow Green  line,,未提供中文；保留泰文/英文原名,
4,轮渡,181,ST,เรือประจำทาง (ไม่มีธง),เรือด่วนประจำทาง (ไม่มีธง);Local line,เรือด่วนเจ้าพระยา เรือด่วนประจำทาง (ไม่มีธง);Chao Phraya Express Boat Local line,4,808080,เรือด่วนประจำทาง (ไม่มีธง),Local line,,未提供中文；保留泰文/英文原名,
4,轮渡,182,ST,เรือด่วนธงส้ม,เรือด่วนธงส้ม;Orange line,เรือด่วนเจ้าพระยา เรือด่วนสายสีส้ม;Chao Phraya Express Boat Orange line,4,ff6600,เรือด่วนธงส้ม,Orange line,,未提供中文；保留泰文/英文原名,
4,轮渡,183,ST,เรือด่วนธงเหลือง,เรือด่วนธงเหลือง;Yellow line,เรือด่วนเจ้าพระยา เรือด่วนสายสีเหลือง;Chao Phraya Express Boat Yellow line,4,ffcc00,เรือด่วนธงเหลือง,Yellow line,,未提供中文；保留泰文/英文原名,
4,轮渡,184,BTK,เรือคลองภาษีเจริญ,เรือคลองภาษีเจริญ;Phasi Charoen Line,เรือคลองภาษีเจริญ เรือคลองภาษีเจริญ;Khlong Phasi Charoen Boat Phasi Charoen line,4,804000,เรือคลองภาษีเจริญ,Phasi Charoen Line,,未提供中文；保留泰文/英文原名,
4,轮渡,185,FT,เรือคลองแสนแสบ,เรือคลองแสนแสบ;San Sab,เรือคลองแสนแสบ เรือคลองแสนแสบ;Khlong Saen Saep Boat San Sab,4,cc00cc,เรือคลองแสนแสบ,San Sab,,未提供中文；保留泰文/英文原名,
4,轮渡,187,ST,เรือข้ามฟาก,ท่าสาทร - ท่าตากสิน;Sathon Pier - Taksin Bridge Pier,เรือข้ามฟาก เรือข้ามฟาก;Ferry Boat Ferry Boat,4,0000ff,ท่าสาทร - ท่าตากสิน,Sathon Pier - Taksin Bridge Pier,,未提供中文；保留泰文/英文原名,
4,轮渡,188,ST,เรือข้ามฟาก,ท่าช้าง - ท่าวังหลัง;Tha Chang Pier - Wang Lang Pier,เรือข้ามฟาก เรือข้ามฟาก;Ferry Boat Ferry Boat,4,0000ff,ท่าช้าง - ท่าวังหลัง,Tha Chang Pier - Wang Lang Pier,,未提供中文；保留泰文/英文原名,
4,轮渡,189,ST,เรือข้ามฟาก,ท่าช้าง - ท่าวัดระฆัง;Tha Chang Pier - Wat Rakang Pier,เรือข้ามฟาก เรือข้ามฟาก;Ferry Boat Ferry Boat,4,0000ff,ท่าช้าง - ท่าวัดระฆัง,Tha Chang Pier - Wat Rakang Pier,,未提供中文；保留泰文/英文原名,
4,轮渡,190,ST,เรือข้ามฟาก,ท่าเภตรา - ท่าพระประแดง;PheTra Pier - Phrapadang Pier,เรือข้ามฟาก เรือข้ามฟาก;Ferry Boat Ferry Boat,4,0000ff,ท่าเภตรา - ท่าพระประแดง,PheTra Pier - Phrapadang Pier,,未提供中文；保留泰文/英文原名,
