交通类型代码,交通类型中文,stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding,stop_name_泰文,stop_name_英文,分类依据
4,轮渡,92,ท่าเรือสาทร;Sathon (Taksin) Pier,13.7186313490843,100.512707009912,92,2,ท่าเรือสาทร,Sathon (Taksin) Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,93,ท่าเรือโอเรียนเต็ล (ปิดปรับปรุง);Prietal Pier (Close),13.723321871902,100.513557270169,93,2,ท่าเรือโอเรียนเต็ล (ปิดปรับปรุง),Prietal Pier (Close),stop_times停靠＋fare_rules票价区域
4,轮渡,94,ท่าเรือสี่พระยา;Si Phraya Pier,13.7284790262418,100.513178743422,94,2,ท่าเรือสี่พระยา,Si Phraya Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,95,ท่าเรือกรมเจ้าท่า;Marine Department Pier,13.7324580414895,100.511931851506,95,2,ท่าเรือกรมเจ้าท่า,Marine Department Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,96,ท่าเรือราชวงศ์;Rajchawongse Pier,13.738450049824,100.504578910768,96,2,ท่าเรือราชวงศ์,Rajchawongse Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,97,ท่าเรือสะพานพุทธ;Memorial Bridge Pier,13.7398644905801,100.498139262199,97,2,ท่าเรือสะพานพุทธ,Memorial Bridge Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,98,ท่าเรือปากคลองตลาด (ยอดพิมาน);YodpimanRiver Walk Pier,13.7406063927715,100.495777241886,98,2,ท่าเรือปากคลองตลาด (ยอดพิมาน),YodpimanRiver Walk Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,99,ท่าเรือราชินี;Rajinee Pier,13.7416107904152,100.494029447436,99,2,ท่าเรือราชินี,Rajinee Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,101,ท่าเรือท่าช้าง;Tha Chang Pier,13.7523211663322,100.488207377493,101,2,ท่าเรือท่าช้าง,Tha Chang Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,102,ท่าเรือพรานนก (วังหลัง);Wang Lang Pier,13.7561929604838,100.486905835569,102,2,ท่าเรือพรานนก (วังหลัง),Wang Lang Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,103,ท่าเรือรถไฟ;Thonburi Railway Pier,13.7592166865432,100.487622655928,103,2,ท่าเรือรถไฟ,Thonburi Railway Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,104,ท่าเรือพระปิ่นเกล้า;Phra Pin Klao Bridge Pier,13.7629747148732,100.490694120526,104,2,ท่าเรือพระปิ่นเกล้า,Phra Pin Klao Bridge Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,105,ท่าเรือพระอาทิตย์;Phra Arthit Pier,13.7636748607936,100.494107231498,105,2,ท่าเรือพระอาทิตย์,Phra Arthit Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,106,ท่าเรือสะพานพระราม 8;Rama 8 Bridge Pier,13.7676255983996,100.497641712427,106,2,ท่าเรือสะพานพระราม 8,Rama 8 Bridge Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,107,ท่าเรือเทเวศน์;Thewej Pier,13.7720109952824,100.500119738281,107,2,ท่าเรือเทเวศน์,Thewej Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,108,ท่าเรือสะพานกรุงธน (ซังฮี้);Krung Thon Bridge (Sang Hi) Pier,13.7818183297458,100.501196309924,108,2,ท่าเรือสะพานกรุงธน (ซังฮี้),Krung Thon Bridge (Sang Hi) Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,109,ท่าพายัพ;Payap Pier,13.78750494935388,100.50816804170607,109,2,ท่าพายัพ,Payap Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,110,ท่าเรือกรมชลประทานสามเสน;Irrigation Department Pier,13.7887126543911,100.509591624141,110,2,ท่าเรือกรมชลประทานสามเสน,Irrigation Department Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,111,ท่าเรือเขียวไข่กา;Kheaw Khai ka Pier,13.7910293857145,100.511753484607,111,2,ท่าเรือเขียวไข่กา,Kheaw Khai ka Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,112,ท่าเรือเกียกกาย;Kaik Kai Pier,13.7987328811162,100.51711589098,112,2,ท่าเรือเกียกกาย,Kaik Kai Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,113,ท่าเรือวัดสร้อยทอง;Wat Soi Thong Pier,13.8121100952885,100.517532303929,113,2,ท่าเรือวัดสร้อยทอง,Wat Soi Thong Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,114,ท่าเรือสะพานพระราม 7;Rama 7 Bridge Pier,13.8129009307525,100.513379909098,114,2,ท่าเรือสะพานพระราม 7,Rama 7 Bridge Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,115,ท่าเรือพิบูลย์สงคราม 1;Pibulsongklam 1 Pier,13.8177145831704,100.505708456039,115,2,ท่าเรือพิบูลย์สงคราม 1,Pibulsongklam 1 Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,116,ท่าเรือวัดเขมา (ปิดปรับปรุง);Wat Khema Pier (Close),13.8218109116462,100.50206836313,116,2,ท่าเรือวัดเขมา (ปิดปรับปรุง),Wat Khema Pier (Close),stop_times停靠＋fare_rules票价区域
4,轮渡,117,ท่าเรือวัดตึก;Wat Tuek Pier,13.824493573814,100.498912408948,117,2,ท่าเรือวัดตึก,Wat Tuek Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,118,ท่าเรือวัดเขียน;Wat Kien Pier,13.8281838116199,100.496841743588,118,2,ท่าเรือวัดเขียน,Wat Kien Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,119,ท่าเรือสะพานพระราม 5;Rama 5 Bridge Pier,13.8322740959534,100.493891984224,119,2,ท่าเรือสะพานพระราม 5,Rama 5 Bridge Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,120,ท่านนทบุรี;Nonthaburi Pier,13.842141399324158,100.49088723957539,120,2,ท่านนทบุรี,Nonthaburi Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,121,ท่าเรือวัดวรจรรยาวาส;Wat Worachanyawas Pier,13.7093874779135,100.506828278303,121,2,ท่าเรือวัดวรจรรยาวาส,Wat Worachanyawas Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,122,ท่าเรือวัดราชสิงขร;Wat Rajchasingkorn Pier,13.7065289048386,100.503895282745,122,2,ท่าเรือวัดราชสิงขร,Wat Rajchasingkorn Pier,stop_times停靠＋fare_rules票价区域
4,轮渡,123,ท่าเรือกระทรวงพาณิชย์;Ministry of Commerce Pier,13.8846158276838,100.486402250826,123,2,ท่าเรือกระทรวงพาณิชย์,Ministry of Commerce Pier,stop_times停靠
4,轮渡,124,ท่าเรือวัดกลางเกร็ด;Wat Klangkret Pier,13.9046134123482,100.491563156247,124,2,ท่าเรือวัดกลางเกร็ด,Wat Klangkret Pier,stop_times停靠
4,轮渡,125,ท่าเรือปากเกร็ด;Pakkret Pier,13.9154546012614,100.49477878958,125,2,ท่าเรือปากเกร็ด,Pakkret Pier,stop_times停靠
4,轮渡,126,ท่าเรือสาทร (ข้ามฟาก);Sathon Pier (Ferry),13.7193179476851,100.512902140617,126,2,ท่าเรือสาทร (ข้ามฟาก),Sathon Pier (Ferry),stop_times停靠
4,轮渡,127,ท่าเรือสี่พระยา (ข้ามฟาก);Si Phraya Pier (Ferry),13.7292571167963,100.512947067618,127,2,ท่าเรือสี่พระยา (ข้ามฟาก),Si Phraya Pier (Ferry),stop_times停靠
