交通类型代码,交通类型中文,route_id,stop_id,最小stop_sequence,最大stop_sequence,经过行程数
4,轮渡,180,101,6,15,2
4,轮渡,180,102,7,14,2
4,轮渡,180,103,8,13,2
4,轮渡,180,104,9,12,2
4,轮渡,180,107,10,11,2
4,轮渡,180,109,10,11,2
4,轮渡,180,112,9,12,2
4,轮渡,180,114,7,14,2
4,轮渡,180,120,6,15,2
4,轮渡,180,123,4,17,2
4,轮渡,180,124,2,19,2
4,轮渡,180,125,1,20,2
4,轮渡,180,13945,8,13,2
4,轮渡,180,13947,5,16,2
4,轮渡,180,16642,3,18,2
4,轮渡,180,92,1,20,2
4,轮渡,180,94,2,19,2
4,轮渡,180,95,3,18,2
4,轮渡,180,96,4,17,2
4,轮渡,180,99,5,16,2
4,轮渡,181,101,11,20,2
4,轮渡,181,102,12,19,2
4,轮渡,181,103,13,18,2
4,轮渡,181,104,14,17,2
4,轮渡,181,105,15,16,2
4,轮渡,181,106,15,16,2
4,轮渡,181,107,14,17,2
4,轮渡,181,108,13,18,2
4,轮渡,181,109,12,19,2
4,轮渡,181,110,11,20,2
4,轮渡,181,111,10,21,2
4,轮渡,181,112,9,22,2
4,轮渡,181,113,8,23,2
4,轮渡,181,114,7,24,2
4,轮渡,181,115,6,25,2
4,轮渡,181,116,5,26,2
4,轮渡,181,117,4,27,2
4,轮渡,181,118,3,28,2
4,轮渡,181,119,2,29,2
4,轮渡,181,120,1,30,2
4,轮渡,181,121,2,29,2
4,轮渡,181,122,1,30,2
4,轮渡,181,92,3,28,2
4,轮渡,181,93,4,27,2
4,轮渡,181,94,5,26,2
4,轮渡,181,95,6,25,2
4,轮渡,181,96,7,24,2
4,轮渡,181,97,8,23,2
4,轮渡,181,98,9,22,2
4,轮渡,181,99,10,21,2
4,轮渡,182,101,11,18,6
4,轮渡,182,102,12,17,6
4,轮渡,182,103,13,16,6
4,轮渡,182,104,14,15,6
4,轮渡,182,105,14,15,6
4,轮渡,182,107,13,16,6
4,轮渡,182,108,12,17,6
4,轮渡,182,109,11,18,6
4,轮渡,182,111,10,19,6
4,轮渡,182,112,9,20,6
4,轮渡,182,113,7,22,6
4,轮渡,182,114,6,23,6
4,轮渡,182,116,5,24,6
4,轮渡,182,117,4,25,6
4,轮渡,182,118,3,26,6
4,轮渡,182,119,2,27,6
4,轮渡,182,120,1,28,6
4,轮渡,182,122,1,28,6
4,轮渡,182,13945,8,21,6
4,轮渡,182,13951,4,25,6
4,轮渡,182,146,19,19,3
4,轮渡,182,16593,10,10,3
4,轮渡,182,92,2,27,6
4,轮渡,182,93,3,26,6
4,轮渡,182,94,5,24,6
4,轮渡,182,95,6,23,6
4,轮渡,182,96,7,22,6
4,轮渡,182,97,8,21,6
4,轮渡,182,99,9,20,6
4,轮渡,183,101,6,10,2
4,轮渡,183,102,7,9,2
4,轮渡,183,103,8,8,2
4,轮渡,183,104,7,9,2
4,轮渡,183,107,6,10,2
4,轮渡,183,109,5,11,2
4,轮渡,183,112,4,12,2
4,轮渡,183,114,2,14,2
4,轮渡,183,120,1,15,2
4,轮渡,183,13945,3,13,2
4,轮渡,183,92,1,15,2
4,轮渡,183,94,2,14,2
4,轮渡,183,95,3,13,2
4,轮渡,183,96,4,12,2
4,轮渡,183,99,5,11,2
4,轮渡,184,303,1,15,4
4,轮渡,184,304,2,14,4
