交通类型代码,交通类型中文,route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,trip_headsign_泰文,trip_headsign_英文
4,轮渡,181,1,9,ท่านนทบุรี;Nonthaburi Pier,0,9,2,ท่านนทบุรี,Nonthaburi Pier
4,轮渡,181,1,10,วัดราชสิงขร;Wat Ratchsingkhon Pier,1,8,2,วัดราชสิงขร,Wat Ratchsingkhon Pier
4,轮渡,182,1,11,ท่านนทบุรี;Nonthaburi Pier,0,11,2,ท่านนทบุรี,Nonthaburi Pier
4,轮渡,182,1,12,วัดราชสิงขร;Wat Ratchsingkhon Pier,1,10,2,วัดราชสิงขร,Wat Ratchsingkhon Pier
4,轮渡,182,2,13,ท่านนทบุรี (วันเสาร์);Nonthaburi Pier (Sat.),0,11,2,ท่านนทบุรี (วันเสาร์),Nonthaburi Pier (Sat.)
4,轮渡,182,2,14,วัดราชสิงขร (วันเสาร์);Wat Ratchsingkhon Pier (Sat),1,10,2,วัดราชสิงขร (วันเสาร์),Wat Ratchsingkhon Pier (Sat)
4,轮渡,183,1,15,ท่านนทบุรี;Nonthaburi Pier,0,13,2,ท่านนทบุรี,Nonthaburi Pier
4,轮渡,183,1,16,ท่าสาทร;Sathon Pier,1,12,2,ท่าสาทร,Sathon Pier
4,轮渡,180,1,18,ท่าปากเกร็ด;pak Kret Pier,0,23,2,ท่าปากเกร็ด,pak Kret Pier
4,轮渡,180,1,19,ท่าสาทร;Sathon Pier,1,20,2,ท่าสาทร,Sathon Pier
4,轮渡,184,1,23,ท่าเพชรเกษม 69;Patchkasem Pier,0,15,2,ท่าเพชรเกษม 69,Patchkasem Pier
4,轮渡,184,1,24,ท่าประตูน้ำภาษาเจริญ;Pratunam Phasi Charoen Pier,1,14,2,ท่าประตูน้ำภาษาเจริญ,Pratunam Phasi Charoen Pier
4,轮渡,187,1,25,ท่าสาทร;Sathon Pier,0,47,2,ท่าสาทร,Sathon Pier
4,轮渡,187,1,26,ท่าตากสิน;Taksin Bridge Pier,1,46,2,ท่าตากสิน,Taksin Bridge Pier
4,轮渡,188,1,27,ท่าช้าง;Tha Chang Pier,0,57,2,ท่าช้าง,Tha Chang Pier
4,轮渡,188,1,28,ท่าวังหลัง;Wang Lang Pier,1,56,2,ท่าวังหลัง,Wang Lang Pier
4,轮渡,189,1,29,ท่าช้าง;Tha Chang Pier,0,59,2,ท่าช้าง,Tha Chang Pier
4,轮渡,189,1,30,ท่าวัดระฆัง;Wat Rakang Pier,1,58,2,ท่าวัดระฆัง,Wat Rakang Pier
4,轮渡,190,1,31,ท่าเภตรา;PheTra Pier,0,41,2,ท่าเภตรา,PheTra Pier
4,轮渡,190,1,32,ท่าพระประแดง;Wat Bangnanok Pier,1,40,2,ท่าพระประแดง,Wat Bangnanok Pier
4,轮渡,191,1,33,ท่าเตียน;Tha Tien Pier,0,65,2,ท่าเตียน,Tha Tien Pier
