交通类型代码,交通类型中文,route_id,trip_id,start_time,end_time,headway_secs
4,轮渡,181,9,06:45:00,07:30:00,1200
4,轮渡,181,9,16:00:00,16:30:00,1500
4,轮渡,181,10,06:45:00,07:30:00,1200
4,轮渡,181,10,16:00:00,16:30:00,1500
4,轮渡,182,11,06:15:00,06:45:00,1800
4,轮渡,182,11,06:45:00,07:15:00,900
4,轮渡,182,11,07:15:00,07:40:00,1500
4,轮渡,182,11,07:40:00,09:10:00,1800
4,轮渡,182,11,09:10:00,15:00:00,21000
4,轮渡,182,11,15:00:00,16:00:00,900
4,轮渡,182,11,16:00:00,17:20:00,1200
4,轮渡,182,11,17:20:00,18:10:00,1500
4,轮渡,182,12,06:00:00,07:00:00,1200
4,轮渡,182,12,07:00:00,07:45:00,900
4,轮渡,182,12,07:45:00,08:10:00,1500
4,轮渡,182,12,08:10:00,09:10:00,1800
4,轮渡,182,12,09:10:00,09:20:00,600
4,轮渡,182,12,09:20:00,15:20:00,21600
4,轮渡,182,12,15:20:00,17:20:00,1200
4,轮渡,182,12,17:20:00,18:10:00,1500
4,轮渡,182,13,08:30:00,09:10:00,2400
4,轮渡,182,13,09:10:00,09:40:00,1800
4,轮渡,182,13,09:40:00,15:20:00,20400
4,轮渡,182,13,15:20:00,17:00:00,1200
4,轮渡,182,13,17:00:00,17:15:00,900
4,轮渡,182,13,17:15:00,17:40:00,1500
4,轮渡,182,14,07:30:00,08:00:00,1800
4,轮渡,182,14,08:00:00,08:40:00,2400
4,轮渡,182,14,08:40:00,09:00:00,1200
4,轮渡,182,14,09:00:00,09:10:00,600
4,轮渡,182,14,09:10:00,09:40:00,1800
4,轮渡,182,14,09:40:00,15:15:00,20100
4,轮渡,182,14,15:15:00,15:40:00,1500
4,轮渡,182,14,15:40:00,17:00:00,1200
4,轮渡,183,15,17:15:00,17:35:00,1200
4,轮渡,183,15,17:35:00,18:00:00,1500
4,轮渡,183,15,18:00:00,18:40:00,1200
4,轮渡,183,15,18:40:00,19:05:00,1500
4,轮渡,183,16,06:00:00,07:00:00,1200
4,轮渡,183,16,07:00:00,07:15:00,900
4,轮渡,183,16,07:15:00,07:45:00,1800
4,轮渡,183,16,07:45:00,08:05:00,1200
4,轮渡,180,18,16:00:00,17:00:00,1200
4,轮渡,180,18,17:00:00,17:25:00,1500
4,轮渡,180,18,17:25:00,17:45:00,1200
4,轮渡,180,19,06:00:00,06:20:00,1200
4,轮渡,180,19,06:20:00,06:45:00,1500
4,轮渡,180,19,06:45:00,07:00:00,900
4,轮渡,180,19,07:00:00,07:20:00,1200
4,轮渡,180,19,07:20:00,07:50:00,1800
4,轮渡,184,23,06:00:00,09:00:00,900
4,轮渡,184,23,16:00:00,19:30:00,900
4,轮渡,184,24,06:00:00,09:00:00,900
4,轮渡,184,24,16:00:00,19:30:00,900
4,轮渡,187,25,05:30:00,09:00:00,600
4,轮渡,187,25,09:01:00,15:00:00,900
4,轮渡,187,25,15:01:00,20:00:00,600
4,轮渡,187,26,05:30:00,09:00:00,600
4,轮渡,187,26,09:01:00,15:00:00,900
4,轮渡,187,26,15:01:00,20:00:00,600
4,轮渡,188,27,05:00:00,09:00:00,600
4,轮渡,188,27,09:01:00,15:00:00,900
4,轮渡,188,27,15:01:00,20:00:00,600
4,轮渡,188,28,05:00:00,09:00:00,600
4,轮渡,188,28,09:01:00,15:00:00,900
4,轮渡,188,28,15:01:00,20:00:00,600
4,轮渡,189,29,06:00:00,09:00:00,600
4,轮渡,189,29,09:01:00,15:00:00,900
4,轮渡,189,29,15:01:00,20:00:00,600
4,轮渡,189,30,06:00:00,09:00:00,600
4,轮渡,189,30,09:01:00,15:00:00,900
4,轮渡,189,30,15:01:00,20:00:00,600
4,轮渡,190,31,05:00:00,09:00:00,600
4,轮渡,190,31,09:01:00,15:00:00,900
4,轮渡,190,31,15:01:00,20:00:00,600
4,轮渡,190,32,05:00:00,09:00:00,600
4,轮渡,190,32,09:01:00,15:00:00,900
4,轮渡,190,32,15:01:00,20:00:00,600
4,轮渡,191,33,05:00:00,09:00:00,600
4,轮渡,191,33,09:01:00,15:00:00,900
4,轮渡,191,33,15:01:00,20:00:00,600
4,轮渡,191,34,05:00:00,09:00:00,600
